left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
305712,0.008434750536525091,36244344,0.7733721984318436,0,0,8903308,0.7733721984318436,3424715.1199999996,3169090.8899999997,203854953201.04,203854697576.81,7515470.08,7259845.85,1
963396,0.02658058868440273,36244344,0.9471364690722502,0,0,34361153,0.9471364690722502,7167318.4,6671023.66,786748240037.84,786747743743.1,9754930.290000001,9258635.55,1
2219732,0.06124354188890824,36244344,0.5870142662811059,0,0,49068133,0.5870142662811059,12264382.09,12266875.23,1123485377100.44,1123485379593.58,7037675.58,7040168.72,4
374565,0.010334440043941753,36244344,0.37674783133059325,0,0,5314082,0.37674783133059325,2727228.24,3020950.33,121674126947.54999,121674420669.65,3691434.18,3985156.28,0
736327,0.020315638765596087,36244344,0.9291408336704894,0,0,25763366,0.9291408336704894,5981032.67,5509663.13,589890234482.94,589889763113.4,9402158.990000002,8930789.450000001,1
541378,0.014936896085082958,36244344,0.16548532372388916,0,0,3373731,0.16548532372388916,2960506.9799999995,3546835.8200000003,77246550290.27,77247136619.11,1561886.7,2148215.5300000003,4
887634,0.024490276331115276,36244344,0.34351726713552877,0,0,11482404,0.34351726713552877,5092188.52,5431934.96,262906486901.18002,262906826647.63004,3264262.12,3604008.56,4
606746,0.016740432658955008,36244344,0.5611058376446267,0,0,12820414,0.5611058376446267,4338149.33,4376526.5600000005,293542537508.17,293542575885.41,5638873.74,5677250.98,0
332753,0.009180825565500648,36244344,0.1049082306469666,0,0,1314564,0.1049082306469666,1819969.3099999996,2490198.7399999998,30098978039.39,30099648268.829998,960432.7099999998,1630662.15,4
532166,0.014682732290588568,36244344,0.46618435141218173,0,0,9342329,0.46618435141218173,3721657.32,3891502.97,213906509243.9,213906679089.56,4659662.09,4829507.75,0
1419225,0.03915714407743178,36244344,0.4232843888690605,0,0,22622148,0.4232843888690605,7872676.0600000005,8101941.130000001,517966622047.12,517966851312.19,4770464.49,4999729.5600000005,4
2327284,0.06421095661160263,36244344,0.5216893151659746,0,0,45720573,0.5216893151659746,12569284.45,12662253.64,1046839422985.7999,1046839515954.99,6411857.78,6504826.96,4
