left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
305712,0.008434751,36244344,0.770286779,0,0,11882673.7,11627049.47,2.03863E+11,2.03863E+11,15974923.66,15719299.43,3
963396,0.026580589,36244344,0.938884119,0,0,15641358.87,15145064.13,7.86757E+11,7.86756E+11,18233675.75,17737381.01,3
2219732,0.061243542,36244344,0.585042897,0,0,20769144.12,20771637.25,1.12349E+12,1.12349E+12,15553277.61,15555770.74,4
374565,0.01033444,36244344,0.375608012,0,0,11186868.01,11480590.1,1.21683E+11,1.21683E+11,12152898.95,12446621.04,2
736327,0.020315639,36244344,0.921836522,0,0,14449520.09,13978150.55,5.89899E+11,5.89898E+11,17874241.41,17402871.87,3
541378,0.014936896,36244344,0.166789141,0,0,11424228.04,12010556.87,77255012953,77255599282,10028252.75,10614581.59,4
887634,0.024490276,36244344,0.34296725,0,0,13564376.34,13904122.78,2.62915E+11,2.62915E+11,11740784.93,12080531.38,4
606746,0.016740433,36244344,0.558985148,0,0,12803467.17,12841844.4,2.93551E+11,2.93551E+11,14107151.58,14145528.81,2
332753,0.009180826,36244344,0.105692491,0,0,10278588.31,10948817.74,30107436008,30108106238,9420676.71,10090906.14,4
532166,0.014682732,36244344,0.467359542,0,0,12185151.11,12354996.76,2.13915E+11,2.13915E+11,13125750.88,13295596.54,2
1419225,0.039157144,36244344,0.424320551,0,0,16357862.68,16587127.75,5.17975E+11,5.17975E+11,13262581.1,13491846.18,4
2327284,0.064210957,36244344,0.521761906,0,0,21076674.4,21169643.58,1.04685E+12,1.04685E+12,14930607.72,15023576.91,4
1098388,0.030305087,36244344,0.424979357,0,0,14809214.97,15037482.71,4.01563E+11,4.01564E+11,13055145.76,13283413.5,4
473999,0.013077875,36244344,0.169960312,0,0,11113775.28,11695578.29,68977133610,68977715413,10021600.97,10603403.98,4
1170721,0.032300792,36244344,0.776905108,0,0,16198436.18,15932931.83,7.87869E+11,7.87868E+11,16724674.65,16459170.31,3
1133242,0.031266727,36244344,0.538465864,0,0,15312603.85,15381022.97,5.27074E+11,5.27074E+11,14241922.77,14310341.89,4
1563168,0.043128605,36244344,0.150480638,0,0,16215699.18,16823742.32,2.01918E+11,2.01919E+11,10408548.05,11016591.19,4
410808,0.011334403,36244344,0.003182041,0,0,10378996.43,10822241.64,1139870754,1140313999,8639926.22,9083171.44,4
1943681,0.053627154,36244344,0.296825044,0,0,18487291.94,18891663.96,4.97509E+11,4.97509E+11,11960899.23,12365271.26,4
1924150,0.053088283,36244344,0.624970313,0,0,19448794.77,19396516.28,1.0395E+12,1.0395E+12,15745850.1,15693571.61,5
