left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
117953,0.045207806896477715,2609129,0.8846664921512122,0,0,547472,0.8846664921512122,214016.85999999987,183076.8799999999,6211037205.2699995,6211006265.29,499449.9299999998,468509.95999999985,1
152316,0.05837810242421897,2609129,0.6317131119235576,0,0,504823,0.6317131119235576,189340.54000000015,181942.3500000001,5727192501.39,5727185103.200001,370313.68000000005,362915.4900000001,1
122580,0.04698119564038421,2609129,0.05760964674418168,0,0,37050,0.05760964674418168,73653.01000000001,113624.92000000004,420414080.34999996,420454052.25999993,52405.78000000003,92377.69000000006,4
448243,0.17179794483139776,2609129,0.36634677702788937,0,0,861548,0.36634677702788937,302478.6,319778.98,9774284395.02,9774301695.39,343983.85,361284.23,0
735832,0.2820220847646858,2609129,0.8573658105827654,0,0,3309927,0.8573658105827654,558108.5400000002,529707.1100000002,37550821196.43,37550792795.0,779958.4900000001,751557.0600000002,1
310745,0.11909913231580348,2609129,0.7204557536250603,0,0,1174587,0.7204557536250603,293118.1,277460.94999999995,13325572470.02,13325556812.87,510721.4800000001,495064.3300000002,1
604475,0.231676931267101,2609129,0.6801331018895578,0,0,2156979,0.6801331018895578,448833.67999999993,436926.65000000014,24470621150.899998,24470609243.87,615958.44,604051.4099999999,1
949735,0.36400461609985557,2609129,0.7946506286197424,0,0,3959609,0.7946506286197424,665293.9600000001,642731.09,44921775364.0,44921752801.12,841188.9700000001,818626.09,1
745049,0.2855546812748622,2609129,0.05330246223931435,0,0,208356,0.05330246223931435,398040.12,437289.89,2364116571.5499997,2364155821.3199997,314431.89,353681.66000000003,4
1304230,0.4998717962967718,2609129,0.6614483224095091,0,0,4526095,0.6614483224095091,832957.13,822791.2399999999,51347679237.310005,51347669071.43,920393.9899999999,910228.1,1
1010510,0.3872978300421328,2609129,0.7714976913751678,0,0,4090241,0.7714976913751678,694320.0800000001,673913.3600000001,46403762130.22,46403741723.51,855011.06,834604.3500000001,1
924426,0.3543044441267565,2609129,0.20718599961902995,0,0,1004861,0.20718599961902995,524810.67,556925.2899999999,11400619838.18,11400651952.8,462647.55999999994,494762.18000000005,4
430836,0.16512636975787706,2609129,0.8742085960487197,0,0,1976062,0.8742085960487197,389116.49,359150.02,22418140716.31,22418110749.84,650033.61,620067.14,1
919376,0.35236893231419375,2609129,0.7979555629484015,0,0,3848978,0.7979555629484015,648966.28,626094.5,43666334465.97,43666311594.19,829199.53,806327.76,1
556210,0.21317842084465735,2609129,0.8312406170794928,0,0,2425712,0.8312406170794928,451597.8500000001,425628.29000000004,27519245558.81,27519219589.25,681595.6699999999,655626.1100000001,1
1098388,0.4209788017380513,2609129,0.10815754989500327,0,0,623284,0.10815754989500327,594889.9299999999,636222.1599999999,7071383292.91,7071424625.139999,484453.3699999999,525785.6000000001,4
473999,0.18166943834513358,2609129,0.7250975325482182,0,0,1803215,0.7250975325482182,384992.32999999996,368904.23,20457440091.79,20457424003.7,583569.3799999999,567481.28,1
1232138,0.47224111954602477,2609129,0.5514798233433457,0,0,3565025,0.5514798233433457,767588.5199999999,767657.7699999999,40445268172.81,40445268242.06,818840.2999999999,818909.5499999999,0
477429,0.18298405329901282,2609129,0.566595212425296,0,0,1419238,0.566595212425296,356552.6000000001,355215.68000000005,16101253975.029999,16101252638.11,494866.0099999999,493529.08999999997,1
410808,0.157450244890153,2609129,0.027714612807569115,0,0,59734,0.027714612807569115,218645.59999999998,253600.5099999999,677698345.97,677733300.8800001,169847.22999999986,204802.1399999999,4
1009793,0.38702302569171554,2609129,0.8790450759621314,0,0,4657116,0.8790450759621314,717520.2899999998,687101.99,52834608174.36,52834577756.06,920827.6699999999,890409.3699999999,1
1120134,0.42931338389171253,2609129,0.2630107595293295,0,0,1545671,0.2630107595293295,641189.64,668106.3100000002,17536211230.3,17536238146.98,573341.9700000001,600258.64,4
1094021,0.41930506310726684,2609129,0.36227875279451494,0,0,2079420,0.36227875279451494,649481.7800000001,667160.9,23590936040.15,23590953719.27,615880.66,633559.7800000001,4
1043499,0.39994151304899067,2609129,0.7062996885167425,0,0,3866826,0.7062996885167425,698374.31,684033.52,43869190928.06,43869176587.27,830048.52,815707.73,1
1161760,0.44526736700255143,2609129,0.7837113458169374,0,0,4776900,0.7837113458169374,781802.5499999999,760256.16,54193928247.11,54193906700.72,932279.38,910732.9900000001,1
20738,0.007948246330480403,2609129,0.16484734944113533,0,0,17936,0.16484734944113533,38400.899999999994,74455.68999999997,203510537.15,203546591.94,74308.6,110363.38999999998,0
684008,0.2621595176014678,2609129,0.4011495790357625,0,0,1439598,0.4011495790357625,436540.43999999994,450601.73,16331938232.570002,16331952293.86,489547.56000000006,503608.8500000001,0
