left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
117953,0.045207806896477715,2609129,0.8846664921512122,0,0,547472,0.8846664921512122,214248.8599999994,183308.88000000082,6211037205.26,6211006265.29,499855.9299999997,468915.94999999925,1
152316,0.05837810242421897,2609129,0.6317131119235576,0,0,504823,0.6317131119235576,189638.54000000097,182240.34999999963,5727192501.39,5727185103.2,370835.1799999997,363436.9900000002,1
122580,0.04698119564038421,2609129,0.05760964674418168,0,0,37050,0.05760964674418168,73893.00999999978,113864.91000000015,420414080.34999996,420454052.25,52825.78000000119,92797.69000000134,4
448243,0.17179794483139776,2609129,0.36634677702788937,0,0,861548,0.36634677702788937,303354.61000000127,320654.98000000045,9774284395.02,9774301695.4,347049.86000000127,364350.23000000045,0
735832,0.2820220847646858,2609129,0.8573658105827654,0,0,3309927,0.8573658105827654,559546.5399999991,531145.0999999996,37550821196.43,37550792794.99,784991.4799999986,756590.0499999989,1
310745,0.11909913231580348,2609129,0.7204557536250603,0,0,1174587,0.7204557536250603,293724.0999999996,278066.9399999995,13325572470.02,13325556812.87,512842.48000000045,497185.3200000003,1
604475,0.231676931267101,2609129,0.6801331018895578,0,0,2156979,0.6801331018895578,450015.6899999995,438108.66000000015,24470621150.91,24470609243.879997,620095.4499999993,608188.4199999999,1
949735,0.36400461609985557,2609129,0.7946506286197424,0,0,3959609,0.7946506286197424,667149.9700000007,644587.0899999999,44921775364.0,44921752801.130005,847684.9700000007,825122.0999999996,1
745049,0.2855546812748622,2609129,0.05330246223931435,0,0,208356,0.05330246223931435,399496.1199999992,438745.8900000006,2364116571.54,2364155821.32,319527.87999999896,358777.66000000015,4
1304230,0.4998717962967718,2609129,0.6614483224095091,0,0,4526095,0.6614483224095091,835505.129999999,825339.2400000002,51347679237.310005,51347669071.420006,929311.9900000002,919146.0999999996,1
1010510,0.3872978300421328,2609129,0.7714976913751678,0,0,4090241,0.7714976913751678,696294.0800000001,675887.3600000013,46403762130.22,46403741723.51,861920.0600000005,841513.3399999999,1
924426,0.3543044441267565,2609129,0.20718599961902995,0,0,1004861,0.20718599961902995,526616.6700000018,558731.290000001,11400619838.179998,11400651952.8,468968.55000000075,501083.1700000018,4
430836,0.16512636975787706,2609129,0.8742085960487197,0,0,1976062,0.8742085960487197,389956.48999999836,359990.01999999955,22418140716.309998,22418110749.839996,652973.6099999994,623007.1399999987,1
919376,0.35236893231419375,2609129,0.7979555629484015,0,0,3848978,0.7979555629484015,650762.2800000012,627890.5,43666334465.97,43666311594.19,835485.5300000012,812613.75,1
556210,0.21317842084465735,2609129,0.8312406170794928,0,0,2425712,0.8312406170794928,452683.8500000015,426714.2800000012,27519245558.809998,27519219589.249996,685396.6699999999,659427.1000000015,1
1098388,0.4209788017380513,2609129,0.10815754989500327,0,0,623284,0.10815754989500327,597033.9300000016,638366.1600000001,7071383292.91,7071424625.14,491957.36000000127,533289.6000000015,4
473999,0.18166943834513358,2609129,0.7250975325482182,0,0,1803215,0.7250975325482182,385918.339999998,369830.23999999836,20457440091.800003,20457424003.7,586810.379999999,570722.2899999991,1
1232138,0.47224111954602477,2609129,0.5514798233433457,0,0,3565025,0.5514798233433457,769996.5199999996,770065.7599999998,40445268172.81,40445268242.06,827268.3000000007,827337.5399999991,0
477429,0.18298405329901282,2609129,0.566595212425296,0,0,1419238,0.566595212425296,357484.5999999996,356147.6799999997,16101253975.03,16101252638.11,498128.0099999998,496791.08999999985,1
410808,0.157450244890153,2609129,0.027714612807569115,0,0,59734,0.027714612807569115,219447.59999999963,254402.5,677698345.97,677733300.87,172654.23000000045,207609.1400000006,4
1009793,0.38702302569171554,2609129,0.8790450759621314,0,0,4657116,0.8790450759621314,719492.290000001,689073.9800000023,52834608174.36,52834577756.06,927729.6700000018,897311.370000001,1
1120134,0.42931338389171253,2609129,0.2630107595293295,0,0,1545671,0.2630107595293295,643377.6400000006,670294.3100000005,17536211230.3,17536238146.98,580999.959999999,607916.6400000006,4
1094021,0.41930506310726684,2609129,0.36227875279451494,0,0,2079420,0.36227875279451494,651619.7800000012,669298.9000000004,23590936040.15,23590953719.27,623363.6600000001,641042.7800000012,4
1043499,0.39994151304899067,2609129,0.7062996885167425,0,0,3866826,0.7062996885167425,700412.3199999984,686071.5299999993,43869190928.06999,43869176587.27999,837181.5199999996,822840.7299999986,1
