left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
305712,0.02060649052684623,14835714,0.4445006826095461,0,0,5519755,0.4445006826095461,2760434.28,2384267.05,55835147133.58,55834770966.350006,2278802.1399999997,1902634.9099999997,5
2215105,0.14930895809935404,14835714,0.9024340183424944,0,0,81197873,0.9024340183424944,14832894.59,14211898.010000002,821345976501.02,821345355504.45,6470287.63,5849291.050000001,5
2249468,0.1516251930982223,14835714,0.6565039606452375,0,0,59986296,0.6565039606452375,14545654.090000002,14056143.88,606782651360.91,606782161850.7001,5084818.93,4595308.72,5
2456936,0.1656095554282052,14835714,0.4509228204318309,0,0,45001909,0.4509228204318309,15345285.17,14965684.5,455210618072.89,455210238472.22003,3750604.5600000005,3371003.8899999997,5
2219732,0.14962084062822997,14835714,0.4882728259657742,0,0,44024859,0.4882728259657742,14033127.8,13633557.6,445328149611.71,445327750041.51,3777433.4100000006,3377863.21,5
374565,0.025247520948435645,14835714,0.6096199347062097,0,0,9275156,0.6096199347062097,3369022.02,2904575.64,93822327472.9,93821863026.53,2966864.08,2502417.7100000004,5
736327,0.04963205680562459,14835714,0.8125580609062698,0,0,24303007,0.8125580609062698,5790633.9,5217690.46,245834164694.46997,245833591751.03,4627106.69,4054163.2499999995,5
839053,0.05655629381909088,14835714,0.4201802488238854,0,0,14320557,0.4201802488238854,5842228.3,5479064.390000001,144858285041.27,144857921877.35,2526572.75,2163408.84,5
541378,0.03649153657181582,14835714,0.8210922642482863,0,0,18056245,0.8210922642482863,4633474.48,4055968.380000001,182645841167.47,182645263661.37,4493821.870000001,3916315.7700000005,5
2467928,0.16635047022340818,14835714,0.2276493736668151,0,0,22820955,0.2276493736668151,14940847.75,14680616.8,230843481687.36,230843221456.41,2608160.92,2347929.9699999997,5
887634,0.05983089186000755,14835714,0.011633413801317551,0,0,419446,0.011633413801317551,5382119.64,5254999.57,4243989902.92,4243862782.85,720854.1,593734.0300000001,5
2070601,0.13956867866285372,14835714,0.9616710729257789,0,0,80883111,0.9616710729257789,14076346.590000002,13423682.74,818162071472.0299,818161418808.19,6668701.4,6016037.5600000005,5
332753,0.02242918675838588,14835714,0.6591878220353938,0,0,8909760,0.6591878220353938,3182939.42,2691992.65,90126291236.91,90125800290.13,3568078.3099999996,3077131.5399999996,1
532166,0.03587060252037751,14835714,0.8324272090982612,0,0,17994023,0.8324272090982612,4593118.109999999,4009549.7099999995,182016517879.34998,182015934310.94998,4539173.039999999,3955604.64,5
441171,0.029737092532250216,14835714,0.7674434139132097,0,0,13752707,0.7674434139132097,3964101.8500000006,3415275.69,139114302334.04,139113753507.88,4153819.7800000003,3604993.62,1
1419225,0.09566273655585433,14835714,0.7299801007218123,0,0,42082075,0.7299801007218123,9745300.31,9216505.82,425675643188.26996,425675114393.77997,4803561.8,4274767.3100000005,5
2327284,0.15687037374810542,14835714,0.9649067783323405,0,0,91215704,0.9649067783323405,15636890.55,14982496.71,922678880336.9299,922678225943.1,6941862.42,6287468.59,5
1098388,0.07403674673156951,14835714,0.7319529076928822,0,0,32656813,0.7319529076928822,7836221.609999999,7306371.54,330335230471.1,330334700621.02997,4542306.44,4012456.3600000003,5
473999,0.03194986099084951,14835714,0.10515031497641435,0,0,2024524,0.10515031497641435,3306352.66,3111611.24,20479531102.0,20479336360.58,1059126.77,864385.3600000001,5
1170721,0.07891234624771008,14835714,0.45985437573142757,0,0,21867977,0.45985437573142757,7839546.460000001,7455168.04,221202652058.85,221202267680.43,2917967.81,2533589.39,5
1133242,0.0763860775423414,14835714,0.20964060105229854,0,0,9650125,0.20964060105229854,7230686.5200000005,6980082.600000001,97615261684.52,97615011080.6,1807792.9600000004,1557189.04,5
1563168,0.10536520183659512,14835714,0.05577338576357026,0,0,3541339,0.05577338576357026,9437589.370000001,9204208.990000002,35822967170.0,35822733789.62,1341861.97,1108481.5999999999,5
410808,0.027690477182291326,14835714,0.8752266995710486,0,0,14604757,0.8752266995710486,3918878.49,3312430.7199999997,147732964186.2,147732357738.43002,4629167.47,4022719.7,1
