left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
305712,0.02060649052684623,14835714,0.4445006826095461,0,0,5519755,0.4445006826095461,2761032.2799999993,2384865.0500000007,55835147133.58001,55834770966.350006,2280895.1400000006,1904727.9100000001,5
2215105,0.14930895809935404,14835714,0.9024340183424944,0,0,81197873,0.9024340183424944,14837222.579999998,14216226.009999998,821345976501.02,821345355504.4401,6485435.619999999,5864439.050000001,5
2249468,0.1516251930982223,14835714,0.6565039606452375,0,0,59986296,0.6565039606452375,14550048.09,14060537.879999999,606782651360.9,606782161850.7001,5100197.93,4610687.720000001,5
2456936,0.1656095554282052,14835714,0.4509228204318309,0,0,45001909,0.4509228204318309,15350085.17,14970484.500000002,455210618072.89,455210238472.22003,3767404.5599999987,3387803.8899999987,5
2219732,0.14962084062822997,14835714,0.4882728259657742,0,0,44024859,0.4882728259657742,14037463.799999997,13637893.599999998,445328149611.69995,445327750041.5,3792609.4099999983,3393039.209999999,5
374565,0.025247520948435645,14835714,0.6096199347062097,0,0,9275156,0.6096199347062097,3369752.009999998,2905305.6399999987,93822327472.9,93821863026.53,2969419.079999998,2504972.709999999,5
736327,0.04963205680562459,14835714,0.8125580609062698,0,0,24303007,0.8125580609062698,5792071.910000002,5219128.4700000025,245834164694.48,245833591751.03,4632139.690000001,4059196.250000002,5
839053,0.05655629381909088,14835714,0.4201802488238854,0,0,14320557,0.4201802488238854,5843866.300000001,5480702.390000001,144858285041.26,144857921877.35,2532305.74,2169141.83,5
541378,0.03649153657181582,14835714,0.8210922642482863,0,0,18056245,0.8210922642482863,4634532.479999999,4057026.379999999,182645841167.46,182645263661.36002,4497524.869999999,3920018.7699999996,5
2467928,0.16635047022340818,14835714,0.2276493736668151,0,0,22820955,0.2276493736668151,14945667.750000002,14685436.799999999,230843481687.36,230843221456.41,2625030.919999998,2364799.969999999,5
887634,0.05983089186000755,14835714,0.011633413801317551,0,0,419446,0.011633413801317551,5383853.640000001,5256733.57,4243989902.92,4243862782.84,726923.0899999999,599803.0199999996,5
2070601,0.13956867866285372,14835714,0.9616710729257789,0,0,80883111,0.9616710729257789,14080392.58,13427728.74,818162071472.0299,818161418808.1799,6682862.4,6030198.5600000005,5
332753,0.02242918675838588,14835714,0.6591878220353938,0,0,8909760,0.6591878220353938,3183589.42,2692642.6400000006,90126291236.9,90125800290.13,3570353.3100000005,3079406.539999999,3
532166,0.03587060252037751,14835714,0.8324272090982612,0,0,17994023,0.8324272090982612,4594156.1,4010587.709999999,182016517879.34,182015934310.94998,4542806.039999999,3959237.6399999987,5
441171,0.029737092532250216,14835714,0.7674434139132097,0,0,13752707,0.7674434139132097,3964963.8599999994,3416137.6899999995,139114302334.05,139113753507.87997,4156836.789999999,3608010.629999999,3
1419225,0.09566273655585433,14835714,0.7299801007218123,0,0,42082075,0.7299801007218123,9748072.31,9219277.820000002,425675643188.26,425675114393.78,4813263.800000001,4284469.3100000005,5
2327284,0.15687037374810542,14835714,0.9649067783323405,0,0,91215704,0.9649067783323405,15641434.54,14987040.71,922678880336.9299,922678225943.1,6957766.42,6303372.59,5
1098388,0.07403674673156951,14835714,0.7319529076928822,0,0,32656813,0.7319529076928822,7838365.610000001,7308515.540000001,330335230471.1,330334700621.01996,4549810.430000002,4019960.3600000013,5
473999,0.03194986099084951,14835714,0.10515031497641435,0,0,2024524,0.10515031497641435,3307278.6599999983,3112537.249999998,20479531102.0,20479336360.59,1062367.7799999993,867626.3699999992,5
1170721,0.07891234624771008,14835714,0.45985437573142757,0,0,21867977,0.45985437573142757,7841834.460000001,7457456.040000001,221202652058.85,221202267680.43,2925975.8100000005,2541597.3900000006,5
1133242,0.0763860775423414,14835714,0.20964060105229854,0,0,9650125,0.20964060105229854,7232900.51,6982296.6,97615261684.51,97615011080.6,1815541.9499999993,1564938.039999999,5
1563168,0.10536520183659512,14835714,0.05577338576357026,0,0,3541339,0.05577338576357026,9440641.36,9207260.989999998,35822967169.99,35822733789.619995,1352543.9700000007,1119163.5899999999,5
410808,0.027690477182291326,14835714,0.8752266995710486,0,0,14604757,0.8752266995710486,3919680.4800000004,3313232.7200000007,147732964186.19,147732357738.43002,4631974.459999999,4025526.6999999993,3
320291,0.0215891867422087,14835714,0.5117076266096798,0,0,6657352,0.5117076266096798,2928713.3499999996,2516613.3499999996,67342352449.23,67341940349.23,2550722.66,2138622.66,5
1009793,0.06806500853278784,14835714,0.30500931738101716,0,0,12510663,0.30500931738101716,6666735.650000002,6365144.030000001,126550408669.28,126550107077.66,2153371.000000002,1851779.3800000008,5
1120134,0.07550253395286537,14835714,0.8729061506577978,0,0,39716632,0.8729061506577978,8186752.83,7581544.869999999,401748010660.63,401747405452.66,5284714.09,4679506.129999999,5
1669456,0.11252953514741522,14835714,0.21168047591103467,0,0,14354585,0.21168047591103467,10319961.27,10068265.870000001,145202319308.85,145202067613.44998,2112334.290000001,1860638.8900000025,5
771690,0.052015696716720204,14835714,0.9280840814267517,0,0,29091430,0.9280840814267517,6167000.6899999995,5532294.33,294270992320.17,294270357613.81,5227548.119999999,4592841.76,5
570811,0.03847546535340328,14835714,0.7915776753312985,0,0,18353578,0.7915776753312985,4771878.949999999,4210153.26,185653392266.37003,185652830540.69,4383925.93,3822200.25,5
20738,0.0013978430697706898,14835714,0.004719557144334274,0,0,3976,0.004719557144334274,295670.6099999994,327264.22000000067,40392247.96,40423841.57,189318.81000000052,220912.41999999993,4
354362,0.023885739506706586,14835714,0.33268954901664993,0,0,4788739,0.33268954901664993,2906705.8499999996,2590315.7299999986,48440652627.090004,48440336236.97,1875109.9399999995,1558719.8099999987,5
47884,0.003227616817094209,14835714,0.2167358443280856,0,0,421557,0.2167358443280856,999589.3600000013,745190.370000001,4264798536.96,4264544137.9700003,1268825.4900000002,1014426.5,3
86108,0.005804102182072262,14835714,0.02914898467306663,0,0,101953,0.02914898467306663,1007202.9499999993,748557.4399999995,1031877985.2,1031619339.7,585294.6899999995,326649.1899999995,5
1755748,0.11834603983333732,14835714,0.8041419509704757,0,0,57349519,0.8041419509704757,11888566.719999999,11320122.3,580111146547.21,580110578102.78,5505903.58,4937459.16,5
1458091,0.09828249587448235,14835714,0.8775951059719809,0,0,51977298,0.8775951059719809,10229107.33,9621393.590000002,525768553977.19995,525767946263.47,5627059.950000001,5019346.210000001,5
2083020,0.14040578026780512,14835714,0.6854019968300817,0,0,57992747,0.6854019968300817,13618841.440000001,13113879.530000001,586617679476.72,586617174514.8,5128415.779999999,4623453.870000001,5
2071493,0.1396288038445605,14835714,0.975180230624559,0,0,82054657,0.975180230624559,14111975.880000003,13452089.900000002,830011882530.58,830011222644.6,6760505.920000002,6100619.940000001,5
1259509,0.08489709359455164,14835714,0.8732695305396154,0,0,44677047,0.8732695305396154,9026348.110000001,8420947.12,451924975414.66,451924370013.67,5417464.300000001,4812063.3100000005,5
783309,0.05279887439188973,14835714,0.670112540589553,0,0,21321401,0.670112540589553,5872188.82,5375402.68,215674012830.2,215673516044.06003,3980867.460000001,3484081.33,5
1554409,0.10477480221039581,14835714,0.7801904916743475,0,0,49260728,0.7801904916743475,10640778.97,10085139.38,498290434356.83,498289878717.25,5196788.98,4641149.390000001,5
2106512,0.1419892564658499,14835714,0.9136010575561109,0,0,78172753,0.9136010575561109,14204011.32,13577047.010000002,790745294874.77,790744667910.4601,6444663.619999999,5817699.3100000005,5
1223908,0.0824974113143459,14835714,0.41502390784831794,0,0,20632733,0.41502390784831794,8081630.01,7721219.890000001,208708418669.52002,208708058259.39,2764315.51,2403905.3900000006,5
502480,0.033869620295996536,14835714,0.30186966397437964,0,0,6161311,0.30186966397437964,3725753.8900000006,3425839.59,62324650270.159996,62324350355.86,1841935.7599999998,1542021.460000001,5
341846,0.02304209962526913,14835714,0.7152546887868019,0,0,9931757,0.7152546887868019,3306814.120000001,2785890.3200000003,100463866046.08,100463345122.28,3834096.1400000006,3313172.34,3
2094386,0.1411719045001811,14835714,0.7718561438970851,0,0,65664095,0.7718561438970851,13854767.14,13303582.110000003,664215666102.1901,664215114917.16,5627650.799999999,5076465.77,5
1259690,0.08490929388366478,14835714,0.7148383286439736,0,0,36576857,0.7148383286439736,8772609.959999999,8251910.93,369988293330.16,369987772631.13,4599155.539999999,4078456.51,5
2409921,0.16244051347983657,14835714,0.9004440231188064,0,0,88144334,0.9004440231188064,16008180.16,15388248.379999999,891611402672.89,891610782741.11,6661081.020000001,6041149.24,5
1810689,0.1220493331160199,14835714,0.3159171847071196,0,0,23235498,0.3159171847071196,11323209.87,11015788.01,235036890099.43,235036582677.57,2680861.4300000016,2373439.570000002,5
233139,0.01571471383177109,14835714,0.4964888781220776,0,0,4701748,0.4964888781220776,2398727.5199999996,1994765.9500000011,47560544559.52,47560140597.95,2439306.92,2035345.3499999996,3
1697699,0.11443325208345213,14835714,0.486956071005413,0,0,33580360,0.486956071005413,10974137.32,10575269.75,339678273648.15,339677874780.58,3416719.959999999,3017852.379999999,5
1132932,0.07636518201955093,14835714,0.07669654456806056,0,0,3529511,0.07669654456806056,7025545.3999999985,6812021.359999999,35703432063.96,35703218539.92,1251372.2199999988,1037848.1799999997,5
852942,0.057492480645016476,14835714,0.47961028367087694,0,0,16616627,0.47961028367087694,6010691.4,5615754.16,168083570965.92,168083176028.67,2790989.01,2396051.7699999996,5
1517544,0.10228992012113472,14835714,0.7080162100725317,0,0,43643479,0.7080162100725317,10296597.460000003,9779543.65,441469449289.12,441468932235.31,4780470.539999999,4263416.719999999,5
24778,0.0016701589151691654,14835714,0.44397741827592524,0,0,446850,0.44397741827592524,1118170.5499999989,742284.0800000001,4520788322.349999,4520412435.879999,2100232.459999999,1724345.9900000002,3
538113,0.03627145953339354,14835714,0.8703374168577259,0,0,19023745,0.8703374168577259,4679720.700000001,4075886.9299999997,192432428638.81,192431824805.04,4727677.77,4123844.01,3
2492787,0.16802608893646778,14835714,0.9139854677705435,0,0,92546359,0.9139854677705435,16536507.260000002,15909335.71,936138262920.69,936137635749.14,6821032.130000001,6193860.59,5
340923,0.022979884891283293,14835714,0.12597580406308723,0,0,1744529,0.12597580406308723,2573409.869999999,2367536.8900000006,17647113019.82,17646907146.84,1079228.17,873355.1899999995,5
1038360,0.06999056466038642,14835714,0.9820717088506828,0,0,41421519,0.9820717088506828,7860264.9,7196692.959999999,418993870860.61,418993207288.67,5759072.27,5095500.33,5
2420867,0.16317832764907708,14835714,0.8787972725815556,0,0,86416069,0.8787972725815556,16029167.92,15420809.790000001,874129521349.3601,874128912991.2301,6544188.15,5935830.02,5
861092,0.058041830679669344,14835714,0.6678960648607812,0,0,23361101,0.6678960648607812,6330816.590000002,5835215.010000002,236306664630.41,236306169028.82,4033219.6900000013,3537618.1100000013,5
108484,0.007312354498071343,14835714,0.9244665271924223,0,0,4073725,0.9244665271924223,2155639.7200000007,1522865.92,41208099837.4,41207467063.600006,4589727.08,3956953.2700000014,3
838372,0.056510391073864054,14835714,0.6967579720126715,0,0,23727588,0.6967579720126715,6237424.630000001,5726390.210000001,240013818727.17,240013307692.75,4156015.6799999997,3644981.2699999996,5
