left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
435830,0.31581083088472395,1380035,0.7779628777531005,0,0,1005834,0.7779628777531005,187780.5,176216.23000000045,10217742550.95,10217730986.68,359208.5800000001,347644.30999999866,3
152316,0.11037111377609989,1380035,0.9151557750346911,0,0,413515,0.9151557750346911,119864.27999999933,101822.72000000067,4200648255.14,4200630213.58,280051.9900000002,262010.41999999993,3
304138,0.22038426561645175,1380035,0.7395073313357995,0,0,667212,0.7395073313357995,147081.08000000007,137334.52999999933,6777810597.57,6777800851.02,294153.9299999997,284407.37999999896,3
610582,0.44243950334592963,1380035,0.9115739818193017,0,0,1651149,0.9115739818193017,250626.88999999873,232751.83000000007,16772770378.43,16772752503.37,499832.8699999992,481957.8100000005,3
374565,0.27141702927824296,1380035,0.675001720970845,0,0,750037,0.675001720970845,160771.44999999925,154070.7599999979,7619019675.799999,7619012975.099999,307667.09999999776,300966.4099999983,3
310745,0.22517182535225555,1380035,0.46237015727861974,0,0,426230,0.46237015727861974,123282.70999999903,126624.19999999925,4329728299.39,4329731640.88,228683.40000000037,232024.8900000006,2
604475,0.43801425326169263,1380035,0.11432173821678436,0,0,205002,0.11432173821678436,168134.61999999918,187914.68999999948,2082736499.79,2082756279.86,265026.6400000006,284806.70999999903,2
674344,0.48864267935233524,1380035,0.6064549087523142,0,0,1213194,0.6064549087523142,237333.4299999997,233867.18999999948,12324297853.640001,12324294387.400002,418183.5,414717.25,3
255654,0.18525182332332152,1380035,0.7319763629183318,0,0,555137,0.7319763629183318,132777.83999999985,123385.16999999993,5639328451.42,5639319058.750001,271621.97000000067,262229.30000000075,3
332753,0.24111924697562018,1380035,0.5587119167267497,0,0,551519,0.5587119167267497,138268.65000000037,137058.4299999997,5602467463.66,5602466253.43,261534.51999999955,260324.2899999991,3
532166,0.38561775607140397,1380035,0.6886825334140076,0,0,1087218,0.6886825334140076,206100.83999999985,198752.73999999836,11044123800.490002,11044116452.390001,378024.8599999994,370676.7599999998,3
597424,0.43290496255529753,1380035,0.3310633425963834,0,0,586738,0.3310633425963834,188193.37000000104,197735.0,5960626555.440001,5960636097.070001,315092.25,324633.87000000104,2
370649,0.2685794200871717,1380035,0.6804783936639288,0,0,748217,0.6804783936639288,160198.68999999948,153237.73000000045,7600659254.85,7600652293.89,307393.7400000002,300432.77999999933,3
230132,0.16675808946874535,1380035,0.5952870760524189,0,0,406400,0.5952870760524189,113285.02999999933,110349.49999999814,4128311738.42,4128308802.8900003,227403.1099999994,224467.56999999844,3
473999,0.34346882506603094,1380035,0.20178183886640555,0,0,283733,0.20178183886640555,142419.56999999844,158069.41999999806,2882393408.7599998,2882409058.62,232723.13999999873,248372.98999999836,2
183562,0.13301256852181284,1380035,0.14854405866517878,0,0,80889,0.14854405866517878,60738.54999999888,78900.12999999896,821803594.63,821821756.2099999,103237.19999999925,121398.77999999933,2
381568,0.27649153825808764,1380035,0.17681580539623995,0,0,200144,0.17681580539623995,115566.62000000104,132393.41999999993,2033453520.9,2033470347.7,189307.79000000097,206134.58999999985,2
514592,0.37288329643813384,1380035,0.019313278286420273,0,0,29483,0.019313278286420273,91601.44000000134,109467.5700000003,205732295.12,205750161.25,205974.27000000142,223840.40000000037,2
649892,0.47092428815211207,1380035,0.6527754730858275,0,0,1258506,0.6527754730858275,235312.1700000018,229660.26000000164,12784575283.619999,12784569631.71,419653.1500000004,414001.23000000045,3
273868,0.19845003931059718,1380035,0.07303220570492777,0,0,59334,0.07303220570492777,77615.26999999955,99343.50999999978,602733770.9,602755499.14,122202.7100000009,143930.94999999925,2
410808,0.2976794066817146,1380035,0.6837043988014797,0,0,833216,0.6837043988014797,171715.06000000052,164603.18999999948,8463928310.46,8463921198.59,325029.16000000015,317917.2899999991,3
320291,0.23208904121996907,1380035,0.24560246660410787,0,0,233361,0.24560246660410787,105759.16999999993,119338.73000000045,2370518171.3299994,2370531750.8899994,180715.70000000112,194295.25999999978,2
