left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
1484406,0.3281231141949588,4523930,0.004716695439584609,0,0,323917,0.004716695439584609,2247543.31,2292643.92,475114610.61999995,475159711.21999997,592894.3699999999,637994.9699999997,4
963396,0.2129555497100972,4523930,0.5066988215998037,0,0,22583870,0.5066988215998037,1888293.19,1891639.1600000001,43908831049.630005,43908834395.600006,1119829.04,1123175.01,4
2219732,0.49066453282875727,4523930,0.49959504236360863,0,0,51305308,0.49959504236360863,4173825.8200000008,4178263.190000001,99750387733.43,99750392170.8,2049969.98,2054407.35,4
736327,0.16276268642529837,4523930,0.9160159418912317,0,0,31204512,0.9160159418912317,1716955.08,1657573.9099999997,60669725550.03,60669666168.86,1502778.98,1443397.8199999998,5
839053,0.18546993432701214,4523930,0.9302593099362723,0,0,36110796,0.9302593099362723,1933175.2599999998,1871614.4699999997,70208265262.25,70208203701.45999,1629275.4499999997,1567714.65,5
541378,0.11966984458203377,4523930,0.4001523012071363,0,0,10022350,0.4001523012071363,1063751.55,1083425.67,19486379569.53,19486399243.649998,675924.3899999999,695598.51,4
2082991,0.46043837990419834,4523930,0.32538876596233807,0,0,31356933,0.32538876596233807,3712404.25,3743537.3099999996,60966158953.29,60966190086.35,1525419.5000000002,1556552.5600000003,4
606746,0.134119228193186,4523930,0.8034940858943441,0,0,22554502,0.8034940858943441,1395580.4500000002,1353443.5,43851646673.15,43851604536.200005,1226402.5,1184265.5500000003,5
2070601,0.45769961073668247,4523930,0.31257932815052397,0,0,29943345,0.31257932815052397,3675287.0,3708384.17,58217700690.48,58217733787.65,1489641.53,1522738.7,4
332753,0.07355396745749823,4523930,0.3465382974537625,0,0,5334784,0.3465382974537625,671122.7499999999,699012.4299999998,10372209288.66,10372237178.34,452893.70999999985,480783.39,4
532166,0.11763356196934965,4523930,0.43929724818907456,0,0,10815566,0.43929724818907456,1066957.26,1080635.32,21028212658.940002,21028226337.0,716425.5800000001,730103.6499999999,4
441171,0.09751941343035812,4523930,0.22583594352697764,0,0,4609392,0.22583594352697764,805814.54,852204.0800000001,8961980450.04,8962026839.58,395977.92000000004,442367.4600000002,4
1419225,0.3137150663250758,4523930,0.0928520114148539,0,0,6096579,0.0928520114148539,2344005.6500000004,2410775.37,11854574632.55,11854641402.27,710244.32,777014.0300000001,4
1098388,0.24279509187807946,4523930,0.8752947105724448,0,0,44478867,0.8752947105724448,2415766.14,2362628.8200000003,86477966732.91,86477913595.59001,1811561.6700000004,1758424.3600000003,5
1133242,0.2504994551197742,4523930,0.26264995258547325,0,0,13770307,0.26264995258547325,2008573.2300000004,2049320.2400000002,26773055462.94,26773096209.949997,834972.9199999998,875719.9399999998,4
1563168,0.345533197905361,4523930,0.23557216844646137,0,0,17036221,0.23557216844646137,2718811.6800000006,2763708.41,33123068476.91,33123113373.64,1035420.05,1080316.78,4
410808,0.09080777111935862,4523930,0.5804364789021934,0,0,11031568,0.5804364789021934,911756.81,903806.06,21448303144.99,21448295194.24,789027.24,781076.49,5
1943681,0.4296443578923635,4523930,0.9281421242150077,0,0,83460909,0.9281421242150077,4164743.3299999996,4103506.15,162269818783.18,162269757546.0,2780871.76,2719634.58,5
1120134,0.24760197438952417,4523930,0.571253312938087,0,0,29603451,0.571253312938087,2224411.59,2217867.85,57556667416.74,57556660873.0,1341387.31,1334843.58,5
1669456,0.3690278143118925,4523930,0.2700247351307381,0,0,20855575,0.2700247351307381,2934966.93,2974585.1,40548785093.21,40548824711.38,1160744.6799999997,1200362.8499999996,4
771690,0.17057956246007344,4523930,0.7573289153457282,0,0,27037781,0.7573289153457282,1691284.2400000002,1656223.1300000004,52568839690.549995,52568804629.439995,1320062.49,1285001.38,5
570811,0.126175913420411,4523930,0.30511701109433614,0,0,8057539,0.30511701109433614,1066825.27,1101063.22,15665912446.11,15665946684.060001,556761.0800000001,590999.04,4
1570114,0.34706858859443007,4523930,0.9949634499207547,0,0,72273976,0.9949634499207547,3475114.69,3403637.3400000003,140519361047.29,140519289569.94,2519348.81,2447871.47,5
47884,0.010584602325853848,4523930,0.28620690417402567,0,0,634036,0.28620690417402567,155269.0299999999,192407.06999999995,1232806316.83,1232843454.87,224143.90999999992,261281.94999999995,0
86108,0.0190338930973733,4523930,0.30606839628376215,0,0,1219286,0.30606839628376215,227021.32999999996,261112.95999999996,2370644944.91,2370679036.54,254243.21999999997,288334.85999999987,0
1755748,0.3881023800103008,4523930,0.3474834933343354,0,0,28225393,0.3474834933343354,3165718.5700000003,3193466.42,54877479647.27,54877507395.12,1363743.23,1391491.08,4
1458091,0.322306269106728,4523930,0.5897622200166669,0,0,39783704,0.5897622200166669,2868956.17,2859574.1100000003,77349848891.98,77349839509.92,1644987.3500000003,1635605.2900000003,5
2071493,0.457896784433004,4523930,0.9107859759103257,0,0,87285769,0.9107859759103257,4402064.51,4343485.399999999,169705100985.21,169705042406.1,2875138.54,2816559.4299999997,5
1259509,0.2784103644397681,4523930,0.5726916641062085,0,0,33370735,0.5726916641062085,2484340.88,2477576.2799999993,64881502536.57,64881495771.96,1454882.97,1448118.36,5
1554409,0.34359704946805103,4523930,0.2729341523852049,0,0,19627583,0.2729341523852049,2740271.8999999994,2779440.7299999995,38160824731.35999,38160863900.189995,1098485.22,1137654.05,4
2106512,0.4656376203875834,4523930,0.70728437442666,0,0,68928946,0.70728437442666,4222561.16,4195170.02,134015514565.93,134015487174.79,2441999.9599999995,2414608.8099999996,5
1223908,0.2705408792797413,4523930,0.9151200394347393,0,0,51816786,0.9151200394347393,2699091.54,2639851.3,100745017737.39,100744958497.15,2005629.0699999996,1946388.8299999998,5
502480,0.11107156830454937,4523930,0.5565629883751517,0,0,12938286,0.5565629883751517,1070707.65,1066413.93,25155637285.870003,25155632992.15,833789.7999999998,829496.0799999998,5
341846,0.07556394550755648,4523930,0.048486161368544604,0,0,766817,0.048486161368544604,564221.5100000001,622415.9400000001,1491215442.5199997,1491273636.9499998,173675.69999999995,231870.1299999999,4
