left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
117953,0.046652865627343464,2528312,0.8779996297925257,0,1,103567,0.43899961713585983,198177.0299999863,164545.31999999285,233126.84999999404,7763250694.13,124096.53999999166,556615.0699999928,4
152316,0.06024414708311316,2528312,0.6220818474935056,0,1,94757,0.3110407259863498,142231.8900000006,138323.04000000656,248590.20000000298,7102910084.3,97300.44000001252,419556.6600000113,4
122580,0.048482940396596626,2528312,0.02958100107898076,0,1,3626,0.01479050053949038,10068.740000009537,58633.48000000417,235209.0000000149,271916616.64,19791.790000006557,78446.7800000161,2
448243,0.17728943263331423,2528312,0.3449416053082056,0,1,154624,0.1724708026541028,87883.54000000656,116912.32000000775,381757.35000000894,11590647625.37,105521.55000001192,311285.54000000656,2
735832,0.29103686570328346,2528312,0.8511928116466638,0,1,626359,0.4255962080629289,207124.3299999982,183303.43999999762,511172.39999999106,46950727775.76,241792.9199999869,664225.4999999851,3
310745,0.12290611285316053,2528312,0.7120335623135119,0,1,221269,0.35601697891715894,166007.29000000656,153289.12999999523,319883.25,16585976160.810001,131570.3599999994,492819.049999997,4
604475,0.23908243919263128,2528312,0.6709136372409734,0,1,405566,0.3354570163808897,163964.00999999046,158565.18999999762,452061.75,30400440368.239998,170583.19999998808,514894.4699999988,3
949735,0.37563995266406996,2528312,0.7871018292046235,0,1,747567,0.39355111236271473,198062.29000000656,183407.5,607428.75,56035942904.74,274901.4200000018,670123.2900000066,3
745049,0.29468238097196864,2528312,0.025394413347719743,0,1,18921,0.012697008913456884,24116.590000003576,72993.87999999523,515320.049999997,1418680653.36,136239.5,192830.81999999285,2
606746,0.23998066694300388,2528312,0.6506068080205291,0,1,394768,0.3253032062498616,159513.49000000954,156370.80000001192,453083.700000003,29591107503.050003,168318.0,503924.2800000012,3
924426,0.3656297165856113,2528312,0.18238453165590324,0,1,168608,0.09119206806754862,63301.82000000775,111888.42000000179,596039.700000003,12638705471.24,190319.45000000298,305507.99000000954,2
430836,0.1704046019636817,2528312,0.867182135749069,0,1,373628,0.43359126563493744,203318.31000000238,174388.4699999988,373924.200000003,28006397080.72,169181.57000000775,597786.049999997,4
919376,0.36363233651543003,2528312,0.7905361363629172,0,1,726828,0.3952680681814586,198094.62000000477,182760.8599999994,593767.200000003,54482138062.560005,269451.75,666087.1499999911,3
556210,0.2199926274921766,2528312,0.824858245343138,0,1,458812,0.412429320431972,196952.94999998808,174087.58999998868,430342.4999999851,34391919295.28,182946.6699999869,593520.0299999863,3
1098388,0.43443530703489125,2528312,0.08260768449463515,0,1,90739,0.041303842247317576,45360.04999999702,103140.54000000656,674322.6000000089,6802240399.17,209874.04999999702,295720.62000000477,2
473999,0.1874764665120444,2528312,0.7166433573071678,0,1,339701,0.3583216786535839,170962.85000000894,159283.40000000596,393347.549999997,25463521188.95,156605.76000000536,520250.6700000018,4
1232138,0.48733621483424516,2528312,0.5363839589417762,0,1,660925,0.2681919794708881,149250.9699999988,161985.26999999583,734510.099999994,49542109800.259995,296320.67999999225,584723.0900000036,2
477429,0.18883310287654373,2528312,0.5516368233034531,0,1,263378,0.27581841165172655,134442.70000000298,140577.68999999762,394891.049999997,19742547994.3,136128.09000000358,429130.3900000006,2
1038365,0.41069496169776515,2528312,0.8367816155601049,0,1,868918,0.4183906100196495,211220.3599999994,192218.23999999464,647312.25,65132218410.159996,298775.4099999964,715716.7300000042,3
1009793,0.39939414122940525,2528312,0.8720363626008183,0,1,880610,0.43601818130040915,218353.6099999994,195304.49000000954,634454.8500000089,66008928790.729996,297860.950000003,730020.7600000054,3
1120134,0.44303630248165576,2528312,0.24084843959131627,0,1,269793,0.12042421979565814,80991.03999999166,124017.8599999845,684108.2999999821,20224200505.43,235129.68999998271,398196.9099999815,2
1094021,0.432708067675192,2528312,0.34098837485247074,0,1,373063,0.17049398966583237,102577.39999999106,134973.44999998808,672357.4499999881,27964203783.36,243528.9999999851,448672.17999999225,2
1043499,0.4127255655156484,2528312,0.6975420755033398,0,1,727913,0.3487710377516699,180457.57000000775,176231.35000000894,649622.549999997,54563653829.619995,281272.3400000036,638126.1800000072,3
1161760,0.4595002515512326,2528312,0.7759698961204156,0,1,901526,0.3879849480602078,200705.0300000012,189385.40999999642,702840.0,67576642746.01,314817.5300000012,705760.9699999988,3
20738,0.008202310474340193,2528312,0.13880090748293722,0,1,2879,0.06940045374146861,31844.779999997467,82820.87999999896,109796.09999999776,163814018.15,19172.409999996424,121289.51999999955,4
684008,0.27053939545435846,2528312,0.3786921867237904,0,1,259039,0.1893460933618952,101056.78000000119,127471.23999999464,487851.59999999404,19417538615.54,144960.03999999166,365417.5600000024,2
1128740,0.4464401545378893,2528312,0.859025310167416,0,1,969654,0.429512655083708,218336.73000000417,197970.45999999344,687981.0,72683321321.78,319469.01000000536,746278.400000006,3
1039443,0.4111213331266078,2528312,0.9808235692430365,0,1,1019550,0.49041178462151824,243203.05000001192,208974.24000000954,647797.3500000089,76423478054.29999,318125.6600000113,797693.0,3
