left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
117953,0.046652865627343464,2528312,0.8779996297925257,0,1,103567,0.43899961713585983,197715.02999999997,164083.3299999999,233126.84999999992,7763250694.139999,123288.03999999998,555806.5699999998,4
152316,0.06024414708311316,2528312,0.6220818474935056,0,1,94757,0.3110407259863498,141635.89,137727.04000000004,248590.20000000007,7102910084.3,96257.44000000006,418513.66000000003,4
122580,0.048482940396596626,2528312,0.02958100107898076,0,1,3626,0.01479050053949038,9590.73999999999,58155.47999999998,235209.0,271916616.64,18955.29999999999,77610.29000000004,0
448243,0.17728943263331423,2528312,0.3449416053082056,0,1,154624,0.1724708026541028,86131.53999999998,115160.32,381757.35000000003,11590647625.369999,102455.54999999999,308219.54,0
735832,0.29103686570328346,2528312,0.8511928116466638,0,1,626359,0.4255962080629289,204250.32999999996,180429.43999999994,511172.3999999999,46950727775.76,209095.91999999993,631528.5000000001,1
310745,0.12290611285316053,2528312,0.7120335623135119,0,1,221269,0.35601697891715894,164793.28999999998,152075.12999999995,319883.24999999994,16585976160.81,129445.85999999993,490694.55,4
604475,0.23908243919263128,2528312,0.6709136372409734,0,1,405566,0.3354570163808897,161602.01,156203.19999999995,452061.75,30400440368.25,166449.69999999995,510760.98,1
949735,0.37563995266406996,2528312,0.7871018292046235,0,1,747567,0.39355111236271473,194352.2900000001,179697.51000000007,607428.7500000002,56035942904.75,261916.4200000001,657138.29,1
745049,0.29468238097196864,2528312,0.025394413347719743,0,1,18921,0.012697008913456884,21206.590000000026,70083.88000000006,515320.05,1418680653.36,103133.00000000006,159724.33000000002,0
606746,0.23998066694300388,2528312,0.6506068080205291,0,1,394768,0.3253032062498616,157143.47999999992,154000.78999999998,453083.7,29591107503.040005,164170.48999999993,499776.76999999996,1
924426,0.3656297165856113,2528312,0.18238453165590324,0,1,168608,0.09119206806754862,59689.80999999994,108276.40999999992,596039.7000000001,12638705471.23,177677.43999999994,292865.98,0
430836,0.1704046019636817,2528312,0.867182135749069,0,1,373628,0.43359126563493744,201634.31,172704.47000000003,373924.2,28006397080.719997,166234.57,594839.05,4
919376,0.36363233651543003,2528312,0.7905361363629172,0,1,726828,0.3952680681814586,194502.62,179168.86,593767.2,54482138062.56,256879.75,653515.1499999999,1
556210,0.2199926274921766,2528312,0.824858245343138,0,1,458812,0.412429320431972,194780.94000000006,171915.58000000007,430342.5000000001,34391919295.270004,179145.66000000003,589719.0200000001,1
1098388,0.43443530703489125,2528312,0.08260768449463515,0,1,90739,0.041303842247317576,41068.04999999999,98848.53999999998,674322.5999999999,6802240399.17,194852.05,280698.62000000005,0
473999,0.1874764665120444,2528312,0.7166433573071678,0,1,339701,0.3583216786535839,169112.85000000003,157433.39999999997,393347.55,25463521188.95,153368.26000000007,517013.17,4
1232138,0.48733621483424516,2528312,0.5363839589417762,0,1,660925,0.2681919794708881,144438.96000000002,157173.25999999995,734510.1000000001,49542109800.26,279478.67,567881.0800000001,0
477429,0.18883310287654373,2528312,0.5516368233034531,0,1,263378,0.27581841165172655,132578.70000000007,138713.69000000006,394891.05000000005,19742547994.3,132866.09000000008,425868.39,0
1038365,0.41069496169776515,2528312,0.8367816155601049,0,1,868918,0.4183906100196495,207164.36,188162.25,647312.25,65132218410.16999,284579.4099999999,701520.73,1
1009793,0.39939414122940525,2528312,0.8720363626008183,0,1,880610,0.43601818130040915,214409.61000000004,191360.49000000005,634454.8499999999,66008928790.729996,284056.95,716216.7699999998,1
1120134,0.44303630248165576,2528312,0.24084843959131627,0,1,269793,0.12042421979565814,76615.02999999997,119641.84999999992,684108.3,20224200505.42,219813.68,382880.89999999997,0
1094021,0.432708067675192,2528312,0.34098837485247074,0,1,373063,0.17049398966583237,98303.3999999999,130699.44999999995,672357.4500000001,27964203783.370003,228570.0,433713.17999999993,0
1043499,0.4127255655156484,2528312,0.6975420755033398,0,1,727913,0.3487710377516699,176381.57,172155.35000000003,649622.55,54563653829.619995,267006.34,623860.19,1
1161760,0.4595002515512326,2528312,0.7759698961204156,0,1,901526,0.3879849480602078,196167.03000000003,184847.41000000003,702840.0,67576642746.01,298934.54000000004,689877.97,1
20738,0.008202310474340193,2528312,0.13880090748293722,0,1,2879,0.06940045374146861,31764.77999999997,82740.88,109796.09999999998,163814018.16000003,19172.419999999984,121289.52999999997,4
684008,0.27053939545435846,2528312,0.3786921867237904,0,1,259039,0.1893460933618952,98384.78999999998,124799.24999999994,487851.5999999999,19417538615.55,140284.05,360741.56,0
1128740,0.4464401545378893,2528312,0.859025310167416,0,1,969654,0.429512655083708,213926.73999999993,193560.4699999999,687981.0,72683321321.79,304034.01999999996,730843.4000000001,1
1039443,0.4111213331266078,2528312,0.9808235692430365,0,1,1019550,0.49041178462151824,239143.05,204914.24000000005,647797.3499999999,76423478054.3,303915.66,783483.0,1
849793,0.3361108122731688,2528312,0.9653591012501621,0,1,820387,0.4826793528646781,231881.37000000005,197005.63000000006,562454.8499999999,61494439116.96,241084.51000000007,713431.6399999999,1
536661,0.21226059125614244,2528312,0.30667061660111566,0,1,164585,0.15333550606096083,79426.02000000002,113099.9900000001,421545.45000000007,12337039220.560001,110025.45000000007,300083.45000000007,0
397637,0.1572737067260686,2528312,0.1774986631396758,0,1,70583,0.0887493315698379,47963.07000000001,95544.29999999999,358984.6500000001,5290859636.070001,74202.48000000004,187885.43,0
1259509,0.4981620148146273,2528312,0.18200601824458373,0,1,229247,0.09100300912229187,66372.74999999994,115989.40999999997,746827.05,17184204981.78,236539.03999999998,351623.5599999999,0
783309,0.3098150070086287,2528312,0.7028301886792453,0,1,550555,0.35141509433962265,172296.9599999999,165063.9499999999,532537.0499999998,41268401216.600006,196843.52999999997,555314.03,1
9360,0.0037020747439398304,2528312,0.3847994234888732,0,1,3602,0.19239951398403363,86110.22999999998,108501.95000000001,61996.0,204958771.87,48386.95000000001,269691.91,4
1223908,0.48408107860105876,2528312,0.8496558177946393,0,1,1039941,0.42482810665772264,213770.15999999997,195423.06,730806.6000000001,77951905605.06,320204.24999999994,743190.3400000001,1
1194776,0.472558766481352,2528312,0.2145411642234028,0,1,256339,0.10727077987210439,72286.15999999992,118317.80999999994,717697.2,19214940472.02,229478.40999999992,381600.32999999996,0
101262,0.040051227854790074,2528312,0.8021620749337898,0,1,81232,0.4010810374668949,180551.31000000006,155467.75,225615.90000000002,6089031663.840001,111658.75,511271.30000000005,4
108102,0.04275659016766918,2528312,0.8637616718189843,0,1,93378,0.43188103366989516,194361.15999999997,162256.1999999999,228693.89999999997,6999557025.59,120196.01999999996,546510.8499999999,4
312769,0.12370664696445692,2528312,0.4995700688839036,0,1,156256,0.2497848366815488,117695.32999999996,128625.47999999998,320794.05000000005,11712655216.27,103037.10999999999,373509.01,4
826566,0.3269240505127532,2528312,0.29127378266606335,0,1,240766,0.14563708909343467,81867.27000000002,118418.34000000008,552002.7000000001,18047695837.94,149433.31000000006,333610.89,0
1234802,0.4883898822613665,2528312,0.2847085328076598,0,1,351572,0.1423542664038299,88659.81999999989,127539.79999999999,735708.8999999999,26353806388.21,246021.1999999999,427440.41,0
1139505,0.4506979360142261,2528312,0.9086600071510161,0,1,1035463,0.45433000357550807,225153.99000000005,199707.02999999997,692825.2499999998,77615906691.31999,312649.25000000006,761040.1799999999,1
852942,0.33735630729118876,2528312,0.5517614123573357,0,1,470639,0.27588050841826484,140189.85000000003,148806.4100000001,563871.8999999999,35278072060.48,187370.91999999998,481361.71,0
24778,0.00980021453048516,2528312,0.9145631551802151,0,1,22662,0.45728137982970457,203944.77999999997,165033.95,120946.09999999998,1289186720.9,114735.63,562844.6799999999,4
