left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
117953,0.046652865627343464,2528312,0.8779996297925257,0,1,103567,0.43899961713585983,197945.0299999998,164313.33000000054,233126.8500000001,7763250694.139999,123690.5400000005,556209.0699999998,4
152316,0.06024414708311316,2528312,0.6220818474935056,0,1,94757,0.3110407259863498,141933.88999999966,138025.04000000004,248590.2000000002,7102910084.3,96778.93999999948,419035.16000000015,4
122580,0.048482940396596626,2528312,0.02958100107898076,0,1,3626,0.01479050053949038,9830.739999999758,58395.48000000045,235209.0,271916616.64,19375.299999999814,78030.29000000004,2
448243,0.17728943263331423,2528312,0.3449416053082056,0,1,154624,0.1724708026541028,87007.5399999991,116036.31999999937,381757.3499999996,11590647625.369999,103988.54999999981,309752.5399999991,2
735832,0.29103686570328346,2528312,0.8511928116466638,0,1,626359,0.4255962080629289,205686.33000000007,181865.4400000004,511172.4000000004,46950727775.76,211608.92000000086,634041.5,3
310745,0.12290611285316053,2528312,0.7120335623135119,0,1,221269,0.35601697891715894,165399.2899999991,152681.1299999999,319883.24999999907,16585976160.810001,130506.3599999994,491755.0499999998,4
604475,0.23908243919263128,2528312,0.6709136372409734,0,1,405566,0.3354570163808897,162784.00999999978,157385.2000000002,452061.75,30400440368.25,168518.2000000002,512829.4799999995,3
949735,0.37563995266406996,2528312,0.7871018292046235,0,1,747567,0.39355111236271473,196206.28999999957,181551.5099999993,607428.7499999995,56035942904.75,268405.41999999946,663627.2899999996,3
745049,0.29468238097196864,2528312,0.025394413347719743,0,1,18921,0.012697008913456884,22660.590000000317,71537.87999999989,515320.0499999998,1418680653.36,105677.5,162268.83000000007,2
606746,0.23998066694300388,2528312,0.6506068080205291,0,1,394768,0.3253032062498616,158329.48000000045,155186.79000000004,453083.7000000002,29591107503.040005,166245.99000000022,501852.2700000005,3
924426,0.3656297165856113,2528312,0.18238453165590324,0,1,168608,0.09119206806754862,61495.81000000052,110082.41000000015,596039.7000000002,12638705471.23,183998.4400000004,299186.98000000045,2
430836,0.1704046019636817,2528312,0.867182135749069,0,1,373628,0.43359126563493744,202476.31999999983,173546.4700000002,373924.1999999997,28006397080.72,167708.06999999983,596312.5500000003,4
919376,0.36363233651543003,2528312,0.7905361363629172,0,1,726828,0.3952680681814586,196298.6200000001,180964.86000000034,593767.2000000002,54482138062.560005,263165.75,659801.1500000004,3
556210,0.2199926274921766,2528312,0.824858245343138,0,1,458812,0.412429320431972,195866.93999999948,173001.58000000007,430342.5,34391919295.270004,181046.16000000015,591619.5199999996,3
1098388,0.43443530703489125,2528312,0.08260768449463515,0,1,90739,0.041303842247317576,43214.05000000028,100994.5400000005,674322.6000000001,6802240399.169999,202363.05000000028,288209.6200000006,2
473999,0.1874764665120444,2528312,0.7166433573071678,0,1,339701,0.3583216786535839,170036.84999999963,158357.39999999944,393347.5499999998,25463521188.95,154985.25999999978,518630.1699999999,4
1232138,0.48733621483424516,2528312,0.5363839589417762,0,1,660925,0.2681919794708881,146844.96000000043,159579.26000000024,734510.1000000001,49542109800.259995,287899.6700000004,576302.0800000005,2
477429,0.18883310287654373,2528312,0.5516368233034531,0,1,263378,0.27581841165172655,133510.7000000002,139645.68999999948,394891.0499999998,19742547994.3,134497.08999999985,427499.38999999966,2
1038365,0.41069496169776515,2528312,0.8367816155601049,0,1,868918,0.4183906100196495,209192.36000000034,190190.25,647312.25,65132218410.17,291677.41000000015,708618.7300000004,3
1009793,0.39939414122940525,2528312,0.8720363626008183,0,1,880610,0.43601818130040915,216381.60999999987,193332.48999999976,634454.8500000001,66008928790.73,290958.9499999997,723118.77,3
1120134,0.44303630248165576,2528312,0.24084843959131627,0,1,269793,0.12042421979565814,78803.0299999998,121829.8500000001,684108.3000000003,20224200505.420002,227471.68000000017,390538.8999999999,2
1094021,0.432708067675192,2528312,0.34098837485247074,0,1,373063,0.17049398966583237,100439.3999999999,132835.44999999972,672357.4499999997,27964203783.370003,236045.99999999953,441189.18000000017,2
1043499,0.4127255655156484,2528312,0.6975420755033398,0,1,727913,0.3487710377516699,178419.56999999937,174193.34999999963,649622.5499999998,54563653829.619995,274139.33999999985,630993.1899999995,3
1161760,0.4595002515512326,2528312,0.7759698961204156,0,1,901526,0.3879849480602078,198437.02999999933,187117.40999999922,702840.0,67576642746.01001,306879.54000000004,697822.9699999997,3
20738,0.008202310474340193,2528312,0.13880090748293722,0,1,2879,0.06940045374146861,31804.78000000026,82780.87999999989,109796.1000000001,163814018.15,19172.419999999925,121289.52000000002,4
684008,0.27053939545435846,2528312,0.3786921867237904,0,1,259039,0.1893460933618952,99720.78999999957,126135.25000000047,487851.6000000001,19417538615.55,142622.05000000028,363079.56000000006,2
1128740,0.4464401545378893,2528312,0.859025310167416,0,1,969654,0.429512655083708,216130.7400000007,195764.4700000002,687981.0000000005,72683321321.79001,311748.02,738557.3999999999,3
1039443,0.4111213331266078,2528312,0.9808235692430365,0,1,1019550,0.49041178462151824,241173.0499999998,206944.2399999993,647797.3499999996,76423478054.3,311020.6599999992,790587.9999999991,3
849793,0.3361108122731688,2528312,0.9653591012501621,0,1,820387,0.4826793528646781,233541.36999999965,198665.62999999942,562454.8500000001,61494439116.96,273036.01000000024,745383.1400000001,3
536661,0.21226059125614244,2528312,0.30667061660111566,0,1,164585,0.15333550606096083,80474.03000000026,114147.99000000022,421545.4500000002,12337039220.56,111859.45000000019,301917.4500000002,2
397637,0.1572737067260686,2528312,0.1774986631396758,0,1,70583,0.0887493315698379,48741.06999999983,96322.29999999935,358984.6499999999,5290859636.07,75563.97999999998,189246.92999999924,2
1259509,0.4981620148146273,2528312,0.18200601824458373,0,1,229247,0.09100300912229187,68832.75000000047,118449.41000000061,746827.0500000003,17184204981.78,245149.0400000005,360233.56000000006,2
783309,0.3098150070086287,2528312,0.7028301886792453,0,1,550555,0.35141509433962265,173826.96000000043,166593.95000000065,532537.0500000003,41268401216.6,199521.03000000073,557991.5300000007,3
9360,0.0037020747439398304,2528312,0.3847994234888732,0,1,3602,0.19239951398403363,86128.22999999998,108519.95999999996,61996.0,204958771.87000003,48386.94999999972,269691.9199999999,4
1223908,0.48408107860105876,2528312,0.8496558177946393,0,1,1039941,0.42482810665772264,216160.15999999968,197813.06000000006,730806.6000000001,77951905605.05998,328569.25000000047,751555.3400000003,3
1194776,0.472558766481352,2528312,0.2145411642234028,0,1,256339,0.10727077987210439,74620.16000000015,120651.81000000052,717697.2000000002,19214940472.019997,237647.41000000015,389769.3300000001,2
101262,0.040051227854790074,2528312,0.8021620749337898,0,1,81232,0.4010810374668949,180749.3099999996,155665.75,225615.89999999944,6089031663.84,112005.25,511617.7999999998,4
108102,0.04275659016766918,2528312,0.8637616718189843,0,1,93378,0.43188103366989516,194571.15999999968,162466.19999999972,228693.8999999999,6999557025.589999,120563.52000000002,546878.3500000001,4
312769,0.12370664696445692,2528312,0.4995700688839036,0,1,156256,0.2497848366815488,118307.32999999961,129237.47999999998,320794.0500000003,11712655216.270002,104108.10999999987,374580.01000000024,4
826566,0.3269240505127532,2528312,0.29127378266606335,0,1,240766,0.14563708909343467,83481.26999999909,120032.33999999939,552002.6999999997,18047695837.94,180509.80999999912,364687.3899999992,2
1234802,0.4883898822613665,2528312,0.2847085328076598,0,1,351572,0.1423542664038299,91071.81999999983,129951.80000000028,735708.8999999999,26353806388.21,254463.19999999972,435882.4099999997,2
1139505,0.4506979360142261,2528312,0.9086600071510161,0,1,1035463,0.45433000357550807,227377.9900000007,201931.03000000073,692825.2500000005,77615906691.31999,320433.25000000047,768824.1800000002,3
852942,0.33735630729118876,2528312,0.5517614123573357,0,1,470639,0.27588050841826484,141855.84999999963,150472.41000000015,563871.9000000004,35278072060.48,219441.41999999993,513432.21999999974,2
24778,0.00980021453048516,2528312,0.9145631551802151,0,1,22662,0.45728137982970457,203992.7799999998,165081.93999999994,120946.09999999963,1289186720.9,114735.62999999989,562844.6799999997,4
538113,0.2128348874664203,2528312,0.22590526802071897,0,1,121567,0.11295283177076247,62591.83999999985,105218.75999999978,422198.85000000056,9112681743.08,101745.70000000019,258506.65000000037,2
395635,0.15648187407250372,2528312,0.48006891554523334,0,1,189939,0.24003445777261667,115816.35999999987,129442.73999999976,358083.74999999953,14237573736.18,113535.54999999935,375958.2199999993,4
340923,0.13484213973591866,2528312,0.8387426077161363,0,1,285958,0.41937150161847114,194177.05000000028,167459.41000000061,333463.3500000001,21434940021.72,150836.55000000028,566884.8800000004,4
1038360,0.4106929840937353,2528312,0.8810210132293799,0,1,914852,0.44051050661468993,219008.84999999963,195325.69999999925,647310.0,68575901166.82001,297556.1799999997,733688.9899999993,3
323715,0.12803601770667544,2528312,0.2796387471166533,0,1,90527,0.13981937355832666,69763.37000000011,105594.55000000075,325719.75,6785851177.36,78023.31000000052,256352.15000000037,2
481379,0.19039541006015082,2528312,0.688844968500723,0,1,331608,0.3444226820107645,164034.51999999955,155518.83999999985,396668.5499999998,24856666307.989998,152539.74000000022,504241.9399999995,4
1145567,0.4530955831400555,2528312,0.6615148763285544,0,1,757839,0.3307574381642772,172686.77000000002,173188.3500000001,695553.1499999999,56806150329.54,288488.4700000002,630120.6800000002,2
383571,0.1517103110692035,2528312,0.9566718822676948,0,1,366966,0.4783357433734444,221282.7900000005,181777.75000000047,352654.9499999997,27507282965.81,172005.33000000054,639409.1999999997,4
1085650,0.4293971630083629,2528312,0.671172307848082,0,1,728686,0.335585956163638,173502.68000000017,172448.43999999994,668590.4999999995,54621289213.75,278534.73,624163.56,3
940815,0.3721119070747598,2528312,0.6971441815725274,0,1,655909,0.3485720907862637,176053.90000000037,170911.31000000052,603414.75,49166094866.72,254867.0,611292.5500000007,3
1113147,0.4402727986102981,2528312,0.6788216802356671,0,1,755658,0.33941064235743057,175807.01999999955,174199.39999999944,680964.1499999994,56642662734.32,284712.1299999999,633692.0999999996,3
416523,0.16474351266774037,2528312,0.8217621084739541,0,1,342296,0.41088125199738007,192084.8500000001,168082.14000000013,367483.3500000001,25657916667.85,159830.6700000004,568711.8300000005,4
900140,0.35602409829166654,2528312,0.3630374732232414,0,1,326797,0.1815187366116207,101032.87000000058,130190.56999999983,585111.0000000005,24496551865.559998,203345.8500000001,417795.68999999994,2
244483,0.09669811320754718,2528312,0.03746491730450989,0,1,9160,0.018732656412657932,14279.649999999907,64114.419999999925,290065.3499999996,686769458.9100001,36691.12999999989,99320.40000000037,2
332983,0.13170170453646543,2528312,0.14142558355139714,0,1,47094,0.07071279177569857,39306.139999999665,90768.90000000037,329890.3499999996,3530194427.75,61937.25,165595.66000000015,2
351015,0.1388337357098333,2528312,0.4153771369989147,0,1,145809,0.20768876625986032,100476.20999999996,121125.61000000034,338004.75,10929640075.86,98970.47000000067,333989.98000000045,4
374315,0.1480493704890852,2528312,0.026102791111223614,0,1,9771,0.013051395555611807,14613.520000000484,63069.610000000335,348489.75,732563658.36,53140.41000000015,110075.16999999993,2
378041,0.14952308101215356,2528312,0.8513609079892038,0,1,321862,0.4256804539946019,197797.85999999987,170060.8299999996,350166.4499999997,24126116563.129997,157887.3299999996,579494.8500000001,4
1213187,0.4798407000401849,2528312,0.8595944646072162,0,1,1042889,0.4297974300640111,218128.49999999953,198629.03999999957,725982.1499999999,78172802520.99998,327868.27,755135.1099999999,3
532575,0.21064449324292256,2528312,0.19192132932960806,0,1,102216,0.09596046690440103,54928.26999999955,101302.45000000019,419706.75,7661988341.89,96603.29999999981,214486.93999999948,2
1178894,0.4662771050408336,2528312,0.33787443954701796,0,1,398334,0.16893721977350898,101629.41999999993,134736.00999999978,710550.2999999998,29858837610.62,251292.6900000004,455121.1500000004,2
438880,0.17358617132695647,2528312,0.5797753600030376,0,1,254462,0.2898874822411158,138893.97000000067,141631.2600000007,377544.0,19074144973.91,132436.06000000052,437335.4199999999,4
181659,0.07184991409288094,2528312,0.5838634630536105,0,1,106068,0.29193153376640224,134104.28000000026,134591.9400000004,261794.5499999998,7950710769.41,96117.70999999996,402113.9500000002,4
482285,0.1907537519103655,2528312,0.5766764544882119,0,1,278133,0.28833822724410596,139168.28000000026,142550.7999999998,397076.25,20848417441.670002,138390.41000000015,442074.5999999996,4
933125,0.36907035207680067,2528312,0.37437507712655715,0,1,349352,0.1871873408028756,104281.85999999987,132382.13000000035,599954.2500000005,26187341287.899998,210886.51000000024,430159.33000000054,2
1118958,0.4425711700138274,2528312,0.9068477308180319,0,1,1014764,0.45342386540901597,226523.83999999985,201030.02999999933,683579.0999999996,76064499549.44,316289.2299999995,763840.1299999999,3
854906,0.33813311015412656,2528312,0.047059065495081306,0,1,40233,0.023529532747540653,29934.399999999907,82075.14000000013,564755.6999999997,3015908989.31,153667.68999999994,221169.94999999972,2
627532,0.24820196241603093,2528312,0.9631418116118581,0,1,604426,0.481571103566332,228126.05000000075,190820.63000000082,462437.4000000004,45306531756.020004,209590.2000000002,680416.3000000007,3
1222161,0.48339010375301783,2528312,0.5860870810248102,0,1,716321,0.2930437382728081,157651.95999999996,165154.6299999999,730020.4500000002,53694694334.770004,292732.2999999998,602283.46,2
988062,0.3907990785947304,2528312,0.6325485145820611,0,1,625021,0.31627425729103054,162771.1799999997,164935.18999999948,624675.8999999994,46850217002.270004,255153.76999999955,583976.0099999998,2
639002,0.25273858606058114,2528312,0.0288959590430295,0,1,18465,0.01444797952151475,21122.470000000205,70321.6000000001,467598.8999999999,1384686649.8500001,90930.90999999968,149242.19999999972,2
672701,0.26606724170118246,2528312,0.02564082280984309,0,1,17249,0.012820411404921545,21118.94999999972,69925.94000000041,482763.4500000002,1293265398.96,95311.95000000019,152019.97000000067,2
13430,0.005311844424264094,2528312,0.17159788823531272,0,1,2305,0.08579874635725337,38921.75999999978,86072.24999999953,82107.49999999953,131166995.65,22583.009999999776,133649.46999999974,4
