left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
117953,0.046652865627343464,2528312,0.8779996297925257,0,1,103567,0.43899961713585983,197945.02000000002,164313.32,233126.85000000003,7763250694.129999,123690.53000000003,556209.0700000001,4
152316,0.06024414708311316,2528312,0.6220818474935056,0,1,94757,0.3110407259863498,141933.88999999998,138025.04,248590.19999999998,7102910084.3,96778.94000000003,419035.16000000015,4
122580,0.048482940396596626,2528312,0.02958100107898076,0,1,3626,0.01479050053949038,9830.73999999999,58395.48000000004,235209.00000000006,271916616.65,19375.300000000017,78030.29000000004,0
448243,0.17728943263331423,2528312,0.3449416053082056,0,1,154624,0.1724708026541028,87007.54000000001,116036.33000000005,381757.35,11590647625.38,103988.55000000002,309752.54000000004,0
735832,0.29103686570328346,2528312,0.8511928116466638,0,1,626359,0.4255962080629289,205686.33000000002,181865.44,511172.4,46950727775.759995,211608.91999999998,634041.5,1
310745,0.12290611285316053,2528312,0.7120335623135119,0,1,221269,0.35601697891715894,165399.28999999995,152681.11999999997,319883.25,16585976160.800001,130506.35999999996,491755.0399999999,4
604475,0.23908243919263128,2528312,0.6709136372409734,0,1,405566,0.3354570163808897,162784.02,157385.19999999998,452061.75,30400440368.25,168518.19999999998,512829.48,1
949735,0.37563995266406996,2528312,0.7871018292046235,0,1,747567,0.39355111236271473,196206.28999999998,181551.51,607428.75,56035942904.75001,268405.42,663627.29,1
745049,0.29468238097196864,2528312,0.025394413347719743,0,1,18921,0.012697008913456884,22660.579999999987,71537.87000000002,515320.04999999993,1418680653.35,105677.49000000002,162268.81999999998,0
606746,0.23998066694300388,2528312,0.6506068080205291,0,1,394768,0.3253032062498616,158329.48,155186.80000000002,453083.69999999995,29591107503.050003,166245.99000000002,501852.2699999999,1
924426,0.3656297165856113,2528312,0.18238453165590324,0,1,168608,0.09119206806754862,61495.81,110082.40999999997,596039.7,12638705471.24,183998.44,299186.98,0
430836,0.1704046019636817,2528312,0.867182135749069,0,1,373628,0.43359126563493744,202476.32,173546.48000000004,373924.20000000007,28006397080.73,167708.07,596312.56,4
919376,0.36363233651543003,2528312,0.7905361363629172,0,1,726828,0.3952680681814586,196298.62999999998,180964.85999999996,593767.2,54482138062.56,263165.75,659801.16,1
556210,0.2199926274921766,2528312,0.824858245343138,0,1,458812,0.412429320431972,195866.94999999995,173001.57999999996,430342.50000000006,34391919295.270004,181046.16999999998,591619.52,1
1098388,0.43443530703489125,2528312,0.08260768449463515,0,1,90739,0.041303842247317576,43214.04999999999,100994.53999999998,674322.6,6802240399.179999,202363.05,288209.62,0
473999,0.1874764665120444,2528312,0.7166433573071678,0,1,339701,0.3583216786535839,170036.85,158357.41,393347.54999999993,25463521188.95,154985.26000000004,518630.1699999999,4
1232138,0.48733621483424516,2528312,0.5363839589417762,0,1,660925,0.2681919794708881,146844.96999999997,159579.26999999996,734510.1,49542109800.26,287899.67999999993,576302.08,0
477429,0.18883310287654373,2528312,0.5516368233034531,0,1,263378,0.27581841165172655,133510.69,139645.68,394891.05000000005,19742547994.3,134497.08000000002,427499.39,0
1038365,0.41069496169776515,2528312,0.8367816155601049,0,1,868918,0.4183906100196495,209192.36000000002,190190.24000000002,647312.25,65132218410.159996,291677.41000000003,708618.73,1
1009793,0.39939414122940525,2528312,0.8720363626008183,0,1,880610,0.43601818130040915,216381.6,193332.49000000002,634454.85,66008928790.72,290958.93999999994,723118.76,1
1120134,0.44303630248165576,2528312,0.24084843959131627,0,1,269793,0.12042421979565814,78803.03000000003,121829.85999999999,684108.2999999999,20224200505.42,227471.69,390538.8999999999,0
1094021,0.432708067675192,2528312,0.34098837485247074,0,1,373063,0.17049398966583237,100439.38999999998,132835.44000000003,672357.45,27964203783.360004,236045.99000000002,441189.1699999999,0
1043499,0.4127255655156484,2528312,0.6975420755033398,0,1,727913,0.3487710377516699,178419.58,174193.35,649622.5499999999,54563653829.63,274139.33999999997,630993.19,1
1161760,0.4595002515512326,2528312,0.7759698961204156,0,1,901526,0.3879849480602078,198437.02999999997,187117.40999999997,702840.0,67576642746.01,306879.5400000001,697822.97,1
20738,0.008202310474340193,2528312,0.13880090748293722,0,1,2879,0.06940045374146861,31804.77999999997,82780.87999999998,109796.09999999998,163814018.16000003,19172.419999999984,121289.52999999997,4
684008,0.27053939545435846,2528312,0.3786921867237904,0,1,259039,0.1893460933618952,99720.79000000004,126135.25,487851.5999999999,19417538615.55,142622.05000000005,363079.57,0
1128740,0.4464401545378893,2528312,0.859025310167416,0,1,969654,0.429512655083708,216130.74,195764.46999999997,687980.9999999999,72683321321.79,311748.0199999999,738557.3999999999,1
1039443,0.4111213331266078,2528312,0.9808235692430365,0,1,1019550,0.49041178462151824,241173.06000000003,206944.24000000002,647797.35,76423478054.31001,311020.66000000003,790588.0,1
849793,0.3361108122731688,2528312,0.9653591012501621,0,1,820387,0.4826793528646781,233541.36000000002,198665.62000000002,562454.85,61494439116.95,273036.01,745383.13,1
536661,0.21226059125614244,2528312,0.30667061660111566,0,1,164585,0.15333550606096083,80474.02000000002,114147.98999999999,421545.45,12337039220.55,111859.44,301917.44,0
397637,0.1572737067260686,2528312,0.1774986631396758,0,1,70583,0.0887493315698379,48741.07000000001,96322.28999999998,358984.65,5290859636.059999,75563.97999999998,189246.91999999998,0
1259509,0.4981620148146273,2528312,0.18200601824458373,0,1,229247,0.09100300912229187,68832.75,118449.40000000002,746827.05,17184204981.77,245149.03000000003,360233.55,0
