left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
117953,0.046652865627343464,2528312,0.8779996297925257,0,1,103567,0.43899961713585983,198177.03000000003,164545.32000000007,233126.84999999986,7763250694.129999,124096.54000000004,556615.0700000001,4
152316,0.06024414708311316,2528312,0.6220818474935056,0,1,94757,0.3110407259863498,142231.8899999999,138323.0399999998,248590.19999999995,7102910084.3,97300.43999999994,419556.6599999999,4
122580,0.048482940396596626,2528312,0.02958100107898076,0,1,3626,0.01479050053949038,10068.73999999999,58633.47999999998,235209.0,271916616.64,19791.789999999804,78446.7799999998,2
448243,0.17728943263331423,2528312,0.3449416053082056,0,1,154624,0.1724708026541028,87883.54000000004,116912.32000000007,381757.3500000003,11590647625.369999,105521.55000000005,311285.54000000027,2
735832,0.29103686570328346,2528312,0.8511928116466638,0,1,626359,0.4255962080629289,207124.33000000007,183303.43999999994,511172.3999999999,46950727775.76,241792.91999999993,664225.5,3
310745,0.12290611285316053,2528312,0.7120335623135119,0,1,221269,0.35601697891715894,166007.29000000027,153289.13000000012,319883.25000000023,16585976160.810001,131570.3600000001,492819.05000000005,4
604475,0.23908243919263128,2528312,0.6709136372409734,0,1,405566,0.3354570163808897,163964.01,158565.19000000018,452061.75000000023,30400440368.239998,170583.19999999995,514894.47,3
949735,0.37563995266406996,2528312,0.7871018292046235,0,1,747567,0.39355111236271473,198062.2899999998,183407.49999999977,607428.7499999998,56035942904.740005,274901.4199999997,670123.2899999998,3
745049,0.29468238097196864,2528312,0.025394413347719743,0,1,18921,0.012697008913456884,24116.590000000084,72993.88000000012,515320.0500000003,1418680653.36,136239.5,192830.8200000003,2
606746,0.23998066694300388,2528312,0.6506068080205291,0,1,394768,0.3253032062498616,159513.49,156370.80000000005,453083.69999999995,29591107503.050003,168318.00000000023,503924.28,3
924426,0.3656297165856113,2528312,0.18238453165590324,0,1,168608,0.09119206806754862,63301.81999999983,111888.41999999993,596039.7,12638705471.24,190319.44999999995,305507.99,2
430836,0.1704046019636817,2528312,0.867182135749069,0,1,373628,0.43359126563493744,203318.30999999982,174388.46999999997,373924.19999999995,28006397080.72,169181.57000000007,597786.05,4
919376,0.36363233651543003,2528312,0.7905361363629172,0,1,726828,0.3952680681814586,198094.61999999988,182760.8600000001,593767.2,54482138062.560005,269451.74999999977,666087.1500000001,3
556210,0.2199926274921766,2528312,0.824858245343138,0,1,458812,0.412429320431972,196952.94999999995,174087.58999999962,430342.49999999977,34391919295.28001,182946.6699999997,593520.0299999996,3
1098388,0.43443530703489125,2528312,0.08260768449463515,0,1,90739,0.041303842247317576,45360.05000000005,103140.54000000004,674322.6000000001,6802240399.169999,209874.05000000028,295720.6200000001,2
473999,0.1874764665120444,2528312,0.7166433573071678,0,1,339701,0.3583216786535839,170962.84999999986,159283.40000000014,393347.55000000005,25463521188.95,156605.76,520250.67000000016,4
1232138,0.48733621483424516,2528312,0.5363839589417762,0,1,660925,0.2681919794708881,149250.9700000002,161985.27000000025,734510.1000000003,49542109800.26,296320.6800000004,584723.0900000005,2
477429,0.18883310287654373,2528312,0.5516368233034531,0,1,263378,0.27581841165172655,134442.69999999972,140577.6899999997,394891.0499999998,19742547994.3,136128.08999999985,429130.38999999966,2
1038365,0.41069496169776515,2528312,0.8367816155601049,0,1,868918,0.4183906100196495,211220.36000000034,192218.24000000022,647312.25,65132218410.159996,298775.41000000015,715716.7300000004,3
1009793,0.39939414122940525,2528312,0.8720363626008183,0,1,880610,0.43601818130040915,218353.6100000001,195304.49,634454.8500000003,66008928790.73,297860.94999999995,730020.76,3
1120134,0.44303630248165576,2528312,0.24084843959131627,0,1,269793,0.12042421979565814,80991.04000000027,124017.8600000001,684108.2999999998,20224200505.43,235129.68999999994,398196.91000000015,2
1094021,0.432708067675192,2528312,0.34098837485247074,0,1,373063,0.17049398966583237,102577.3999999999,134973.4500000002,672357.4500000002,27964203783.360004,243529.0,448672.18000000017,2
1043499,0.4127255655156484,2528312,0.6975420755033398,0,1,727913,0.3487710377516699,180457.57000000007,176231.34999999986,649622.55,54563653829.619995,281272.3400000001,638126.1900000002,3
1161760,0.4595002515512326,2528312,0.7759698961204156,0,1,901526,0.3879849480602078,200705.03000000003,189385.40999999992,702839.9999999998,67576642746.01001,314817.5399999998,705760.97,3
20738,0.008202310474340193,2528312,0.13880090748293722,0,1,2879,0.06940045374146861,31844.779999999795,82820.87999999989,109796.09999999986,163814018.16,19172.419999999925,121289.5299999998,4
684008,0.27053939545435846,2528312,0.3786921867237904,0,1,259039,0.1893460933618952,101056.78000000003,127471.23999999999,487851.59999999986,19417538615.54,144960.04000000004,365417.5599999998,2
1128740,0.4464401545378893,2528312,0.859025310167416,0,1,969654,0.429512655083708,218336.73000000045,197970.46000000043,687981.0000000005,72683321321.78,319469.01000000024,746278.4000000004,3
1039443,0.4111213331266078,2528312,0.9808235692430365,0,1,1019550,0.49041178462151824,243203.05000000005,208974.24,647797.3500000003,76423478054.3,318125.6600000004,797693.0000000002,3
849793,0.3361108122731688,2528312,0.9653591012501621,0,1,820387,0.4826793528646781,235201.3600000001,200325.61999999988,562454.8500000003,61494439116.95,278846.01,751193.1399999999,3
536661,0.21226059125614244,2528312,0.30667061660111566,0,1,164585,0.15333550606096083,81522.02000000002,115195.98999999999,421545.44999999995,12337039220.56,113693.45000000019,303751.44999999995,2
397637,0.1572737067260686,2528312,0.1774986631396758,0,1,70583,0.0887493315698379,49517.070000000065,97098.30000000005,358984.6499999997,5290859636.07,76921.98000000021,190604.92999999993,2
1259509,0.4981620148146273,2528312,0.18200601824458373,0,1,229247,0.09100300912229187,71292.75,120909.40999999992,746827.0499999996,17184204981.78,253759.0399999998,368843.5599999998,2
