left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
117953,0.046652865627343464,2528312,0.8779996297925257,0,1,103567,0.43899961713585983,198637.02000000048,165005.3200000003,233126.85000000056,7763250694.13,124901.53000000026,557420.0700000003,4
152316,0.06024414708311316,2528312,0.6220818474935056,0,1,94757,0.3110407259863498,142825.88999999966,138917.02999999933,248590.19999999925,7102910084.290001,98339.93999999948,420596.14999999944,4
122580,0.048482940396596626,2528312,0.02958100107898076,0,1,3626,0.01479050053949038,10548.729999999516,59113.479999999516,235209.0,271916616.64,20631.790000000037,79286.78000000026,2
448243,0.17728943263331423,2528312,0.3449416053082056,0,1,154624,0.1724708026541028,89633.54000000004,118662.33000000007,381757.3499999996,11590647625.38,108584.05999999959,314348.04000000004,2
735832,0.29103686570328346,2528312,0.8511928116466638,0,1,626359,0.4255962080629289,209998.3200000003,186177.4299999997,511172.4000000004,46950727775.75,251851.91999999993,674284.5,3
310745,0.12290611285316053,2528312,0.7120335623135119,0,1,221269,0.35601697891715894,167221.29000000004,154503.1299999999,319883.25,16585976160.81,133694.86000000034,494943.5499999998,4
604475,0.23908243919263128,2528312,0.6709136372409734,0,1,405566,0.3354570163808897,166324.02000000048,160925.2000000002,452061.75,30400440368.25,174713.20999999996,519024.48000000045,3
949735,0.37563995266406996,2528312,0.7871018292046235,0,1,747567,0.39355111236271473,201772.2999999998,187117.50999999978,607428.7499999991,56035942904.75,287886.4199999999,683108.2999999998,3
745049,0.29468238097196864,2528312,0.025394413347719743,0,1,18921,0.012697008913456884,27026.579999999143,75903.86999999918,515320.0499999989,1418680653.3600001,146424.49999999907,203015.81999999937,2
606746,0.23998066694300388,2528312,0.6506068080205291,0,1,394768,0.3253032062498616,161883.48000000045,158740.80000000075,453083.7000000002,29591107503.050003,199425.99000000022,535032.2800000003,3
924426,0.3656297165856113,2528312,0.18238453165590324,0,1,168608,0.09119206806754862,66911.8200000003,115498.42000000086,596039.7000000002,12638705471.24,202954.4500000002,318142.98000000045,2
430836,0.1704046019636817,2528312,0.867182135749069,0,1,373628,0.43359126563493744,205000.31000000052,176070.46999999974,373924.2000000002,28006397080.719997,172125.0700000003,600729.5499999998,4
919376,0.36363233651543003,2528312,0.7905361363629172,0,1,726828,0.3952680681814586,201684.62000000104,186350.86000000034,593767.2000000011,54482138062.560005,282016.75000000093,678652.1500000004,3
556210,0.2199926274921766,2528312,0.824858245343138,0,1,458812,0.412429320431972,199126.9500000002,176261.58000000007,430342.5,34391919295.270004,186751.16999999993,597324.5300000003,3
1098388,0.43443530703489125,2528312,0.08260768449463515,0,1,90739,0.041303842247317576,49650.04000000004,107430.54000000004,674322.6000000006,6802240399.17,224889.0499999998,310735.61000000034,2
473999,0.1874764665120444,2528312,0.7166433573071678,0,1,339701,0.3583216786535839,172814.8599999994,161135.40999999922,393347.5499999989,25463521188.95,159846.75999999885,523491.669999999,4
1232138,0.48733621483424516,2528312,0.5363839589417762,0,1,660925,0.2681919794708881,154064.96999999974,166799.27000000048,734510.1000000006,49542109800.259995,313169.6799999997,601572.0800000001,2
477429,0.18883310287654373,2528312,0.5516368233034531,0,1,263378,0.27581841165172655,136308.6900000004,142443.6900000004,394891.05000000075,19742547994.299995,139393.58000000007,432395.8900000006,2
1038365,0.41069496169776515,2528312,0.8367816155601049,0,1,868918,0.4183906100196495,215276.3599999994,196274.24000000022,647312.25,65132218410.159996,312971.41000000015,729912.7299999995,3
1009793,0.39939414122940525,2528312,0.8720363626008183,0,1,880610,0.43601818130040915,222297.61000000034,199248.49000000022,634454.8499999996,66008928790.72,311664.9399999995,743824.7599999998,3
1120134,0.44303630248165576,2528312,0.24084843959131627,0,1,269793,0.12042421979565814,85367.03000000026,128393.86000000034,684108.2999999998,20224200505.43,250445.6900000004,413512.91000000015,2
1094021,0.432708067675192,2528312,0.34098837485247074,0,1,373063,0.17049398966583237,106849.38999999966,139245.4500000002,672357.4500000002,27964203783.36,258480.99000000022,463624.1799999997,2
1043499,0.4127255655156484,2528312,0.6975420755033398,0,1,727913,0.3487710377516699,184533.57999999914,180307.3499999987,649622.5499999989,54563653829.62999,295538.3399999989,652392.1899999995,3
1161760,0.4595002515512326,2528312,0.7759698961204156,0,1,901526,0.3879849480602078,205243.02000000048,193923.41000000015,702840.0,67576642746.01,330700.53000000026,721643.96,3
20738,0.008202310474340193,2528312,0.13880090748293722,0,1,2879,0.06940045374146861,31926.780000000028,82902.87999999989,109796.09999999986,163814018.15,19172.419999999925,121289.52000000002,4
684008,0.27053939545435846,2528312,0.3786921867237904,0,1,259039,0.1893460933618952,103728.78000000026,130143.24000000022,487851.5999999996,19417538615.54,180030.04000000004,400487.5600000005,2
1128740,0.4464401545378893,2528312,0.859025310167416,0,1,969654,0.429512655083708,222744.73000000045,202378.45999999996,687981.0,72683321321.78,334897.0100000007,761706.3900000006,3
1039443,0.4111213331266078,2528312,0.9808235692430365,0,1,1019550,0.49041178462151824,247265.0599999996,213036.24000000022,647797.3499999996,76423478054.31,332342.66000000015,811910.0099999998,3
849793,0.3361108122731688,2528312,0.9653591012501621,0,1,820387,0.4826793528646781,238521.36000000034,203645.6200000001,562454.8499999996,61494439116.95,290466.0099999998,762813.1299999999,3
536661,0.21226059125614244,2528312,0.30667061660111566,0,1,164585,0.15333550606096083,83620.02000000048,117293.99000000022,421545.4500000002,12337039220.560001,117364.94000000041,307422.9400000004,2
397637,0.1572737067260686,2528312,0.1774986631396758,0,1,70583,0.0887493315698379,51071.06999999937,98652.29000000004,358984.64999999944,5290859636.06,79641.47999999952,193324.41999999993,2
1259509,0.4981620148146273,2528312,0.18200601824458373,0,1,229247,0.09100300912229187,76212.75000000093,125829.40000000037,746827.0500000007,17184204981.77,270979.03000000026,386063.55000000075,2
783309,0.3098150070086287,2528312,0.7028301886792453,0,1,550555,0.35141509433962265,178416.9600000009,171183.9400000004,532537.0500000007,41268401216.6,242361.03000000026,600831.5200000005,3
9360,0.0037020747439398304,2528312,0.3847994234888732,0,1,3602,0.19239951398403363,86182.23000000021,108573.9600000002,61996.00000000023,204958771.87000003,48386.950000000186,269691.92000000016,4
1223908,0.48408107860105876,2528312,0.8496558177946393,0,1,1039941,0.42482810665772264,223330.15000000037,204983.06000000052,730806.5999999996,77951905605.06,353664.2400000002,776650.3300000001,3
1194776,0.472558766481352,2528312,0.2145411642234028,0,1,256339,0.10727077987210439,81622.16000000108,127653.81000000052,717697.2000000011,19214940472.02,262154.4000000004,414276.330000001,2
101262,0.040051227854790074,2528312,0.8021620749337898,0,1,81232,0.4010810374668949,181343.31000000052,156259.75999999978,225615.90000000037,6089031663.849999,113044.75999999978,512657.3100000005,4
108102,0.04275659016766918,2528312,0.8637616718189843,0,1,93378,0.43188103366989516,195205.16000000015,163100.2000000002,228693.89999999944,6999557025.59,121673.01999999955,547987.8499999996,4
312769,0.12370664696445692,2528312,0.4995700688839036,0,1,156256,0.2497848366815488,120139.33000000007,131069.47999999952,320794.0499999998,11712655216.26,107314.09999999963,377786.0099999998,4
826566,0.3269240505127532,2528312,0.29127378266606335,0,1,240766,0.14563708909343467,88325.27999999933,124876.34999999963,552002.6999999993,18047695837.94,197463.8099999996,381641.38999999966,2
1234802,0.4883898822613665,2528312,0.2847085328076598,0,1,351572,0.1423542664038299,98307.81999999937,137187.7999999998,735708.8999999994,26353806388.219997,279789.20999999996,461208.41000000015,2
1139505,0.4506979360142261,2528312,0.9086600071510161,0,1,1035463,0.45433000357550807,234055.99000000022,208609.03000000026,692825.25,77615906691.31,343806.25,792197.1800000006,3
852942,0.33735630729118876,2528312,0.5517614123573357,0,1,470639,0.27588050841826484,146853.85000000056,155470.41000000015,563871.9000000004,35278072060.490005,236934.41999999993,530925.2200000007,2
24778,0.00980021453048516,2528312,0.9145631551802151,0,1,22662,0.45728137982970457,204138.78000000003,165227.94999999995,120946.09999999986,1289186720.9,114735.6399999999,562844.6799999999,4
538113,0.2128348874664203,2528312,0.22590526802071897,0,1,121567,0.11295283177076247,65743.830000001,108370.76000000071,422198.85000000056,9112681743.08,107261.70000000112,264022.6400000006,2
395635,0.15648187407250372,2528312,0.48006891554523334,0,1,189939,0.24003445777261667,118134.3599999994,131760.74999999907,358083.74999999907,14237573736.189999,117592.05999999959,380014.7299999995,4
340923,0.13484213973591866,2528312,0.8387426077161363,0,1,285958,0.41937150161847114,196175.0499999998,169457.41000000015,333463.3499999996,21434940021.72,154333.0599999996,570381.3799999999,4
1038360,0.4106929840937353,2528312,0.8810210132293799,0,1,914852,0.44051050661468993,225092.85000000056,201409.6900000004,647310.0,68575901166.810005,318850.1799999997,754982.9800000004,3
323715,0.12803601770667544,2528312,0.2796387471166533,0,1,90527,0.13981937355832666,71659.37000000104,107490.56000000052,325719.75000000093,6785851177.36,81341.31000000052,259670.15000000037,2
481379,0.19039541006015082,2528312,0.688844968500723,0,1,331608,0.3444226820107645,166856.53000000026,158340.83999999985,396668.5499999998,24856666307.989998,157478.24000000022,509180.4500000002,4
1145567,0.4530955831400555,2528312,0.6615148763285544,0,1,757839,0.3307574381642772,179398.76999999955,179900.34999999963,695553.1499999994,56806150329.55,311980.46999999974,653612.6899999995,2
383571,0.1517103110692035,2528312,0.9566718822676948,0,1,366966,0.4783357433734444,223530.7999999998,184025.75999999978,352654.9500000002,27507282965.820004,175939.33999999985,643343.2000000002,4
1085650,0.4293971630083629,2528312,0.671172307848082,0,1,728686,0.335585956163638,179862.6799999997,178808.44999999925,668590.5,54621289213.76,300794.7399999993,646423.5699999994,3
940815,0.3721119070747598,2528312,0.6971441815725274,0,1,655909,0.3485720907862637,181565.91000000108,176423.3200000003,603414.7500000009,49166094866.72,274159.0100000007,630584.5500000007,3
1113147,0.4402727986102981,2528312,0.6788216802356671,0,1,755658,0.33941064235743057,182329.01999999955,180721.41000000015,680964.1500000004,56642662734.33,307539.13999999966,656519.1100000003,3
416523,0.16474351266774037,2528312,0.8217621084739541,0,1,342296,0.41088125199738007,194524.84999999963,170522.13999999966,367483.3499999996,25657916667.85,164100.6799999997,572981.8300000001,4
900140,0.35602409829166654,2528312,0.3630374732232414,0,1,326797,0.1815187366116207,106306.86000000034,135464.5700000003,585111.0,24496551865.55,221804.84000000078,436254.6900000004,2
244483,0.09669811320754718,2528312,0.03746491730450989,0,1,9160,0.018732656412657932,15711.649999999441,65546.419999999,290065.3499999996,686769458.92,39197.12999999989,101826.40999999922,2
332983,0.13170170453646543,2528312,0.14142558355139714,0,1,47094,0.07071279177569857,41258.14999999944,92720.90999999922,329890.3499999996,3530194427.76,65353.25999999978,169011.65999999922,2
351015,0.1388337357098333,2528312,0.4153771369989147,0,1,145809,0.20768876625986032,102534.22000000067,123183.61000000034,338004.75000000093,10929640075.86,102571.98000000045,337591.48000000045,2
374315,0.1480493704890852,2528312,0.026102791111223614,0,1,9771,0.013051395555611807,16807.520000000484,65263.610000000335,348489.75000000093,732563658.36,56979.91000000108,113914.68000000063,2
378041,0.14952308101215356,2528312,0.8513609079892038,0,1,321862,0.4256804539946019,200013.84999999963,172276.8200000003,350166.4500000002,24126116563.13,161765.3200000003,583372.8399999999,4
1213187,0.4798407000401849,2528312,0.8595944646072162,0,1,1042889,0.4297974300640111,225236.5,205737.04000000004,725982.1499999994,78172802521.0,352746.27999999933,780013.1099999994,3
532575,0.21064449324292256,2528312,0.19192132932960806,0,1,102216,0.09596046690440103,58050.270000000484,104424.45999999996,419706.75,7661988341.9,102066.79999999981,219950.4500000002,2
1178894,0.4662771050408336,2528312,0.33787443954701796,0,1,398334,0.16893721977350898,108537.41999999993,141644.02000000048,710550.3000000007,29858837610.629997,275470.7000000002,479299.1500000004,2
438880,0.17358617132695647,2528312,0.5797753600030376,0,1,254462,0.2898874822411158,141465.95999999996,144203.25,377544.0,19074144973.9,136937.0499999998,441836.4199999999,4
181659,0.07184991409288094,2528312,0.5838634630536105,0,1,106068,0.29193153376640224,135168.28000000026,135655.9400000004,261794.55000000075,7950710769.419999,97979.72000000067,403975.9500000002,4
482285,0.1907537519103655,2528312,0.5766764544882119,0,1,278133,0.28833822724410596,141994.26999999955,145376.7999999998,397076.25,20848417441.67,143335.90999999922,447020.08999999985,2
933125,0.36907035207680067,2528312,0.37437507712655715,0,1,349352,0.1871873408028756,109749.86000000034,137850.1299999999,599954.25,26187341287.89,230024.5,449297.3200000003,2
1118958,0.4425711700138274,2528312,0.9068477308180319,0,1,1014764,0.45342386540901597,233079.83999999985,207586.03000000026,683579.0999999996,76064499549.43999,339235.2400000002,786786.1399999997,3
854906,0.33813311015412656,2528312,0.047059065495081306,0,1,40233,0.023529532747540653,34944.41000000015,87085.14999999944,564755.7000000002,3015908989.32,171202.68999999948,238704.95999999996,2
627532,0.24820196241603093,2528312,0.9631418116118581,0,1,604426,0.481571103566332,231802.0499999998,194496.6299999999,462437.4000000004,45306531756.020004,243907.6900000004,714733.79,3
1222161,0.48339010375301783,2528312,0.5860870810248102,0,1,716321,0.2930437382728081,164811.9500000002,172314.63000000082,730020.4500000002,53694694334.77,317792.29000000097,627343.4500000002,2
988062,0.3907990785947304,2528312,0.6325485145820611,0,1,625021,0.31627425729103054,168559.1900000004,170723.2000000002,624675.9000000004,46850217002.28001,275411.7700000005,604234.0200000005,2
639002,0.25273858606058114,2528312,0.0288959590430295,0,1,18465,0.01444797952151475,24866.479999999516,74065.59999999963,467598.89999999944,1384686649.8600001,125878.41999999993,184189.70999999996,2
672701,0.26606724170118246,2528312,0.02564082280984309,0,1,17249,0.012820411404921545,25060.94000000041,73867.94000000041,482763.4500000002,1293265398.96,132103.9500000002,188811.95999999996,2
13430,0.005311844424264094,2528312,0.17159788823531272,0,1,2305,0.08579874635725337,38999.76000000001,86150.25,82107.5,131166995.65,22583.019999999786,133649.46999999997,4
276052,0.1091843095314186,2528312,0.9506192273738368,0,1,262431,0.4753096136869184,219176.29000000004,179071.51999999955,304271.39999999944,19671243752.69,158212.71999999974,622702.9100000001,4
115617,0.04572892902458241,2528312,0.2611279778761482,0,1,30192,0.1305637911776711,61723.59999999963,98867.8200000003,232075.64999999944,2263294570.5199995,48278.79000000004,218452.66999999993,4
