left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
117953,0.046652865627343464,2528312,0.8779996297925257,0,1,103567,0.43899961713585983,198867.01999999955,165235.3200000003,233126.84999999776,7763250694.129999,125304.03000000119,557822.5700000003,4
152316,0.06024414708311316,2528312,0.6220818474935056,0,1,94757,0.3110407259863498,143123.8999999985,139215.0399999991,248590.19999999925,7102910084.3,98861.44999999925,421117.66000000015,4
122580,0.048482940396596626,2528312,0.02958100107898076,0,1,3626,0.01479050053949038,10786.73999999836,59351.47999999672,235209.0099999979,271916616.65,21048.29999999702,79703.2899999991,0
448243,0.17728943263331423,2528312,0.3449416053082056,0,1,154624,0.1724708026541028,90509.5399999991,119538.32999999821,381757.3500000015,11590647625.38,110117.05000000075,315881.0399999991,0
735832,0.29103686570328346,2528312,0.8511928116466638,0,1,626359,0.4255962080629289,211436.3299999982,187615.44000000134,511172.3999999985,46950727775.76,256884.9299999997,679317.5,1
310745,0.12290611285316053,2528312,0.7120335623135119,0,1,221269,0.35601697891715894,167827.29000000283,155109.12000000477,319883.2500000037,16585976160.800001,134755.36000000313,496004.04000000283,4
604475,0.23908243919263128,2528312,0.6709136372409734,0,1,405566,0.3354570163808897,167506.01999999955,162107.20000000298,452061.75,30400440368.25,205709.20000000298,550020.4800000004,1
949735,0.37563995266406996,2528312,0.7871018292046235,0,1,747567,0.39355111236271473,203626.30000000075,188971.5099999979,607428.75,56035942904.75,294375.41999999806,689597.3000000007,1
745049,0.29468238097196864,2528312,0.025394413347719743,0,1,18921,0.012697008913456884,28482.579999998212,77359.87000000104,515320.05000000075,1418680653.35,151520.5,208111.8200000003,0
606746,0.23998066694300388,2528312,0.6506068080205291,0,1,394768,0.3253032062498616,163069.48000000045,159926.80000000075,453083.69999999925,29591107503.05,203576.98999999836,539183.2800000012,1
924426,0.3656297165856113,2528312,0.18238453165590324,0,1,168608,0.09119206806754862,68717.80999999866,117304.41000000015,596039.6999999993,12638705471.24,209275.44999999925,324463.98000000045,0
430836,0.1704046019636817,2528312,0.867182135749069,0,1,373628,0.43359126563493744,205842.3200000003,176912.48000000045,373924.19999999925,28006397080.73,173598.58000000194,602203.0599999987,4
919376,0.36363233651543003,2528312,0.7905361363629172,0,1,726828,0.3952680681814586,203480.63000000268,188146.86000000313,593767.200000003,54482138062.560005,288302.76000000164,684938.1600000001,1
556210,0.2199926274921766,2528312,0.824858245343138,0,1,458812,0.412429320431972,200212.95000000298,177347.58000000194,430342.5000000037,34391919295.270004,188651.6700000018,599225.0300000012,1
