left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
117953,0.046652865627343464,2528312,0.8779996297925257,0,1,103567,0.43899961713585983,196793.0299999999,163161.32999999996,233126.84999999998,7170076312.37,121674.53999999992,554193.07,4
152316,0.06024414708311316,2528312,0.6220818474935056,0,1,94757,0.3110407259863498,140445.89,136537.04000000004,248590.20000000007,6560458049.39,94174.94000000006,416431.1599999999,4
122580,0.048482940396596626,2528312,0.02958100107898076,0,1,3626,0.01479050053949038,8632.740000000107,57197.4800000001,235209.00000000012,251139544.38000003,17278.800000000047,75933.79000000004,0
448243,0.17728943263331423,2528312,0.3449416053082056,0,1,154624,0.1724708026541028,82629.54000000004,111658.32000000007,381757.35,10704869524.339998,96327.05000000005,302091.0399999999,0
735832,0.29103686570328346,2528312,0.8511928116466638,0,1,626359,0.4255962080629289,198500.33000000007,174679.44000000006,511172.40000000026,43362810175.18,199033.42000000004,621466.0000000001,1
310745,0.12290611285316053,2528312,0.7120335623135119,0,1,221269,0.35601697891715894,162365.29000000004,149647.13,319883.2500000001,15319703346.52,125196.85999999999,486445.55000000016,4
604475,0.23908243919263128,2528312,0.6709136372409734,0,1,405566,0.3354570163808897,156880.01,151481.20000000007,452061.75,28078034802.74,158186.20000000007,502497.48,1
949735,0.37563995266406996,2528312,0.7871018292046235,0,1,747567,0.39355111236271473,186932.29000000004,172277.51000000013,607428.7500000001,51755072363.79001,219713.42000000004,614935.2900000002,1
745049,0.29468238097196864,2528312,0.025394413347719743,0,1,18921,0.012697008913456884,15384.589999999967,64261.880000000005,515320.04999999993,1309941399.7,92944.5,149535.83000000007,0
606746,0.23998066694300388,2528312,0.6506068080205291,0,1,394768,0.3253032062498616,152403.47999999998,149260.78999999992,453083.70000000007,27330333162.760002,155875.49,491481.77000000014,1
924426,0.3656297165856113,2528312,0.18238453165590324,0,1,168608,0.09119206806754862,52467.810000000056,101054.41000000003,596039.7000000001,11672780724.539999,136601.44000000006,251789.97999999998,0
430836,0.1704046019636817,2528312,0.867182135749069,0,1,373628,0.43359126563493744,198268.31000000006,169338.4700000001,373924.20000000007,25866842196.989998,160344.07000000007,588948.5500000002,4
919376,0.36363233651543003,2528312,0.7905361363629172,0,1,726828,0.3952680681814586,187320.62,171986.86,593767.2,50319799039.04,216027.75,612663.1500000001,1
556210,0.2199926274921766,2528312,0.824858245343138,0,1,458812,0.412429320431972,190434.94000000006,167569.58000000007,430342.5,31763721078.350002,171540.16000000003,582113.52,1
1098388,0.43443530703489125,2528312,0.08260768449463515,0,1,90739,0.041303842247317576,32488.050000000047,90268.54000000004,674322.6000000001,6282025784.139999,146048.05000000005,231894.62,0
473999,0.1874764665120444,2528312,0.7166433573071678,0,1,339701,0.3583216786535839,165408.84999999998,153729.40000000002,393347.55000000005,23518455816.98,146886.26,510531.1699999999,4
1232138,0.48733621483424516,2528312,0.5363839589417762,0,1,660925,0.2681919794708881,134812.95999999996,147547.26,734510.1,45756557696.62,224728.17000000004,513130.57999999996,0
477429,0.18883310287654373,2528312,0.5516368233034531,0,1,263378,0.27581841165172655,128848.70000000007,134983.69000000006,394891.04999999993,18234711726.66,126338.59000000008,419340.89,4
1038365,0.41069496169776515,2528312,0.8367816155601049,0,1,868918,0.4183906100196495,199052.35999999987,180050.24999999988,647312.2499999999,60156751649.59,238438.90999999992,655380.2299999999,1
1009793,0.39939414122940525,2528312,0.8720363626008183,0,1,880610,0.43601818130040915,206519.61,183470.49,634454.8499999999,60965179487.899994,239183.45000000007,671343.27,1
1120134,0.44303630248165576,2528312,0.24084843959131627,0,1,269793,0.12042421979565814,67865.03000000003,110891.84999999998,684108.3000000002,18678076682.43,170043.67999999993,333110.9,0
1094021,0.432708067675192,2528312,0.34098837485247074,0,1,373063,0.17049398966583237,89755.3999999999,122151.44999999995,672357.45,25827137296.530003,179954.99999999988,385098.17999999993,0
1043499,0.4127255655156484,2528312,0.6975420755033398,0,1,727913,0.3487710377516699,168229.57000000007,164003.34999999998,649622.55,50394555786.59,220638.33999999997,577492.19,1
1161760,0.4595002515512326,2528312,0.7759698961204156,0,1,901526,0.3879849480602078,187091.03000000003,175771.41000000003,702840.0000000001,62412999373.48,247313.04000000004,638256.4700000001,1
20738,0.008202310474340193,2528312,0.13880090748293722,0,1,2879,0.06940045374146861,31602.780000000028,82578.88,109796.10000000003,163814018.15,19172.410000000033,121289.51999999996,4
684008,0.27053939545435846,2528312,0.3786921867237904,0,1,259039,0.1893460933618952,93040.78999999992,119455.25,487851.6000000001,17933305720.96,130932.04999999993,351389.56000000006,0
1128740,0.4464401545378893,2528312,0.859025310167416,0,1,969654,0.429512655083708,205108.74,184742.46999999997,687980.9999999999,67130053196.88,253879.02000000002,680688.4,1
1039443,0.4111213331266078,2528312,0.9808235692430365,0,1,1019550,0.49041178462151824,231023.05000000005,196794.24,647797.35,70584555812.83,257729.66000000003,737296.9999999999,1
849793,0.3361108122731688,2528312,0.9653591012501621,0,1,820387,0.4826793528646781,225243.37,190367.63,562454.8499999999,56796654731.42999,229468.01,701815.1399999999,1
536661,0.21226059125614244,2528312,0.30667061660111566,0,1,164585,0.15333550606096083,75234.02000000002,108907.98999999999,421545.45000000007,11394636617.800001,102689.44999999995,292747.45000000007,0
397637,0.1572737067260686,2528312,0.1774986631396758,0,1,70583,0.0887493315698379,44857.070000000065,92438.30000000005,358984.65,4886664820.0,68766.9800000001,182449.93000000005,0
1259509,0.4981620148146273,2528312,0.18200601824458373,0,1,229247,0.09100300912229187,56532.74999999988,106149.40999999992,746827.05,15870761148.609999,180574.03999999992,295658.56000000006,0
