left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
117953,0.046652865627343464,2528312,0.8779996297925257,0,1,103567,0.43899961713585983,197025.03000000026,163393.33000000007,233126.85000000056,7427579608.37,122080.54000000004,554599.0700000003,4
152316,0.06024414708311316,2528312,0.6220818474935056,0,1,94757,0.3110407259863498,140743.88999999966,136835.0399999991,248590.19999999925,6794807633.39,94696.43999999948,416952.6599999992,4
122580,0.048482940396596626,2528312,0.02958100107898076,0,1,3626,0.01479050053949038,8872.740000001155,57437.48000000045,235209.00000000093,260114224.38,17698.800000000745,76353.79000000097,0
448243,0.17728943263331423,2528312,0.3449416053082056,0,1,154624,0.1724708026541028,83505.54000000004,112534.3200000003,381757.3499999996,11086857646.339998,97860.04999999981,303624.04000000004,0
735832,0.29103686570328346,2528312,0.8511928116466638,0,1,626359,0.4255962080629289,199938.33000000007,176117.4400000004,511172.4000000004,44910155695.18,201549.91999999993,623982.5,1
310745,0.12290611285316053,2528312,0.7120335623135119,0,1,221269,0.35601697891715894,162971.29000000004,150253.1299999999,319883.25,15865176672.52,126257.36000000034,487506.0499999998,4
604475,0.23908243919263128,2528312,0.6709136372409734,0,1,405566,0.3354570163808897,158060.00999999978,152661.2000000002,452061.75,29078838822.74,160251.2000000002,504562.48000000045,1
949735,0.37563995266406996,2528312,0.7871018292046235,0,1,747567,0.39355111236271473,188786.29000000004,174131.50999999978,607428.75,53599837589.79,222957.91999999993,618179.79,1
745049,0.29468238097196864,2528312,0.025394413347719743,0,1,18921,0.012697008913456884,16840.58999999892,65717.87999999896,515320.0499999989,1356681911.6999998,95492.49999999907,152083.82999999914,0
606746,0.23998066694300388,2528312,0.6506068080205291,0,1,394768,0.3253032062498616,153589.47999999952,150446.79000000004,453083.69999999925,28305780210.760002,157950.9899999993,493557.26999999955,1
924426,0.3656297165856113,2528312,0.18238453165590324,0,1,168608,0.09119206806754862,54273.81000000052,102860.41000000108,596039.7000000011,12089175696.54,139761.9400000004,254950.48000000045,0
430836,0.1704046019636817,2528312,0.867182135749069,0,1,373628,0.43359126563493744,199110.31000000052,170180.46999999974,373924.2000000002,26789887222.989998,161817.5700000003,590422.0499999998,4
919376,0.36363233651543003,2528312,0.7905361363629172,0,1,726828,0.3952680681814586,189114.62000000104,173780.86000000034,593767.2000000011,52112651776.04,219167.25000000093,615802.6500000004,1
556210,0.2199926274921766,2528312,0.824858245343138,0,1,458812,0.412429320431972,191522.9400000004,168657.58000000007,430342.5,32898231990.350002,173444.16000000015,584017.5200000005,1
1098388,0.43443530703489125,2528312,0.08260768449463515,0,1,90739,0.041303842247317576,34632.049999999814,92412.54000000004,674322.6000000006,6505920488.139999,149800.0499999998,235646.6200000001,0
473999,0.1874764665120444,2528312,0.7166433573071678,0,1,339701,0.3583216786535839,166334.84999999963,154655.39999999944,393347.5499999989,24357364127.98,148506.75999999885,512151.669999999,4
1232138,0.48733621483424516,2528312,0.5363839589417762,0,1,660925,0.2681919794708881,137218.95999999996,149953.2600000007,734510.1000000006,47388000131.62,228938.66999999993,517341.0800000001,0
477429,0.18883310287654373,2528312,0.5516368233034531,0,1,263378,0.27581841165172655,129780.70000000019,135915.6900000004,394891.0499999998,18884646120.66,127969.58999999985,420971.8900000006,4
1038365,0.41069496169776515,2528312,0.8367816155601049,0,1,868918,0.4183906100196495,201080.3599999994,182078.25,647312.25,62302014665.59,241987.91000000015,658929.2299999995,1
1009793,0.39939414122940525,2528312,0.8720363626008183,0,1,880610,0.43601818130040915,208491.6099999994,185442.49000000022,634454.8499999996,63139091581.899994,242634.4500000002,674794.2699999996,1
1120134,0.44303630248165576,2528312,0.24084843959131627,0,1,269793,0.12042421979565814,70053.03000000026,113079.85000000056,684108.2999999998,19344255948.43,173872.6799999997,336939.9000000004,0
1094021,0.432708067675192,2528312,0.34098837485247074,0,1,373063,0.17049398966583237,91893.40000000037,124289.45000000019,672357.4500000002,26748747852.530003,183696.5,388839.6799999997,0
1043499,0.4127255655156484,2528312,0.6975420755033398,0,1,727913,0.3487710377516699,170267.56999999937,166041.34999999963,649622.5499999989,52191667243.59,224204.83999999892,581058.6899999995,1
1161760,0.4595002515512326,2528312,0.7759698961204156,0,1,901526,0.3879849480602078,189361.03000000026,178041.41000000015,702840.0,64639747928.48,251285.54000000004,642228.9699999997,1
20738,0.008202310474340193,2528312,0.13880090748293722,0,1,2879,0.06940045374146861,31642.78000000026,82618.88000000035,109796.1000000001,163814018.16,19172.42000000039,121289.53000000026,4
684008,0.27053939545435846,2528312,0.3786921867237904,0,1,259039,0.1893460933618952,94376.79000000004,120791.25,487851.5999999996,18572882988.96,133270.0499999998,353727.5599999996,0
1128740,0.4464401545378893,2528312,0.859025310167416,0,1,969654,0.429512655083708,207312.74000000022,186946.47000000067,687981.0,69523468262.88,257736.02000000048,684545.4000000004,1
1039443,0.4111213331266078,2528312,0.9808235692430365,0,1,1019550,0.49041178462151824,233053.0499999998,198824.24000000022,647797.3499999996,73101580217.83,261282.16000000015,740849.5,1
849793,0.3361108122731688,2528312,0.9653591012501621,0,1,820387,0.4826793528646781,226903.3700000001,192027.6299999999,562454.8499999996,58822458971.42999,232373.00999999978,704720.1399999997,1
536661,0.21226059125614244,2528312,0.30667061660111566,0,1,164585,0.15333550606096083,76282.02000000048,109955.99000000022,421545.4500000002,11800924209.800001,104523.45000000019,294581.4500000002,0
397637,0.1572737067260686,2528312,0.1774986631396758,0,1,70583,0.0887493315698379,45633.06999999937,93214.29999999981,358984.64999999944,5060787968.0,70124.97999999952,183807.9299999997,0
1259509,0.4981620148146273,2528312,0.18200601824458373,0,1,229247,0.09100300912229187,58992.75,108609.41000000015,746827.0500000007,16436766558.609999,184879.04000000004,299963.5600000005,0
783309,0.3098150070086287,2528312,0.7028301886792453,0,1,550555,0.35141509433962265,167706.9600000009,160473.9500000002,532537.0500000007,39474559693.32,188811.03000000026,547281.5300000003,1
9360,0.0037020747439398304,2528312,0.3847994234888732,0,1,3602,0.19239951398403363,86054.22999999998,108445.95999999996,61996.0,204958771.87,48386.950000000186,269691.91000000015,4
1223908,0.48408107860105876,2528312,0.8496558177946393,0,1,1039941,0.42482810665772264,206598.16000000015,188251.0599999996,730806.5999999996,74563746264.95,270000.25,692986.3399999999,1
1194776,0.472558766481352,2528312,0.2145411642234028,0,1,256339,0.10727077987210439,65286.16000000108,111317.81000000052,717697.2000000011,18379352208.34,180474.91000000108,332596.830000001,0
101262,0.040051227854790074,2528312,0.8021620749337898,0,1,81232,0.4010810374668949,179959.3099999996,154875.74999999907,225615.89999999944,5825616250.870001,110622.74999999907,510235.2999999989,4
108102,0.04275659016766918,2528312,0.8637616718189843,0,1,93378,0.43188103366989516,193727.16000000015,161622.2000000002,228693.89999999944,6696421817.06,119086.51999999955,545401.3499999996,4
312769,0.12370664696445692,2528312,0.4995700688839036,0,1,156256,0.2497848366815488,115863.33000000007,126793.47999999952,320794.0499999998,11203866747.36,99831.11000000034,370303.0099999998,4
826566,0.3269240505127532,2528312,0.29127378266606335,0,1,240766,0.14563708909343467,77025.26999999955,113576.33999999985,552002.6999999993,17263274837.8,140959.8099999996,325137.38999999966,0
1234802,0.4883898822613665,2528312,0.2847085328076598,0,1,351572,0.1423542664038299,81425.8200000003,120305.79999999981,735708.8999999994,25207877216.089996,195376.2000000002,376795.41000000015,0
1139505,0.4506979360142261,2528312,0.9086600071510161,0,1,1035463,0.45433000357550807,218475.99000000022,193029.03000000026,692825.25,74241736454.43,265906.75,714297.6800000006,1
852942,0.33735630729118876,2528312,0.5517614123573357,0,1,470639,0.27588050841826484,135191.85000000056,143808.41000000015,563871.9000000004,33744585827.13,178624.42000000086,472615.2100000009,0
24778,0.00980021453048516,2528312,0.9145631551802151,0,1,22662,0.45728137982970457,203800.7799999998,164889.93999999994,120946.1000000001,1289186720.9,114735.62999999989,562844.6800000002,4
538113,0.2128348874664203,2528312,0.22590526802071897,0,1,121567,0.11295283177076247,58387.84000000078,101014.76000000071,422198.85000000056,8716826417.31,94388.70000000019,251149.65000000037,0
395635,0.15648187407250372,2528312,0.48006891554523334,0,1,189939,0.24003445777261667,112726.3599999994,126352.73999999929,358083.75,13619449243.47,108128.04999999981,370550.71999999974,4
340923,0.13484213973591866,2528312,0.8387426077161363,0,1,285958,0.41937150161847114,191513.0499999998,164795.41000000015,333463.35000000056,20503679559.25,146174.5499999998,562222.8799999999,4
1038360,0.4106929840937353,2528312,0.8810210132293799,0,1,914852,0.44051050661468993,210896.84999999963,187213.7000000002,647310.0,65595576088.68,247866.6799999997,683999.4900000002,1
323715,0.12803601770667544,2528312,0.2796387471166533,0,1,90527,0.13981937355832666,67233.37000000011,103064.54999999981,325719.75,6490866356.25,73595.80999999959,251924.64999999944,0
481379,0.19039541006015082,2528312,0.688844968500723,0,1,331608,0.3444226820107645,160274.52000000048,151758.84000000078,396668.55000000075,23776635839.3,145959.74000000022,497661.9400000004,4
1145567,0.4530955831400555,2528312,0.6615148763285544,0,1,757839,0.3307574381642772,163736.76999999955,164238.34999999963,695553.1500000004,54337179911.87,233667.96999999974,575300.1799999997,0
383571,0.1517103110692035,2528312,0.9566718822676948,0,1,366966,0.4783357433734444,218286.79000000004,178781.75,352654.9500000002,26312227706.800003,166762.33000000007,634166.2000000002,4
1085650,0.4293971630083629,2528312,0.671172307848082,0,1,728686,0.335585956163638,165020.6799999997,163966.43999999948,668590.5,52247132634.8,226580.72999999952,572209.5599999996,1
940815,0.3721119070747598,2528312,0.6971441815725274,0,1,655909,0.3485720907862637,168703.89999999944,163561.3099999996,603414.75,47028524793.35,209846.5,566272.0499999998,1
1113147,0.4402727986102981,2528312,0.6788216802356671,0,1,755658,0.33941064235743057,167111.01999999955,165503.39999999944,680964.1499999994,54180741899.649994,231445.62999999896,580425.5999999996,1
416523,0.16474351266774037,2528312,0.8217621084739541,0,1,342296,0.41088125199738007,188830.85000000056,164828.1400000006,367483.35000000056,24543105457.94,154136.16999999993,563017.3300000001,4
900140,0.35602409829166654,2528312,0.3630374732232414,0,1,326797,0.1815187366116207,94000.87000000011,123158.5700000003,585111.0,23431627420.08,160271.35000000056,374721.1900000004,0
244483,0.09669811320754718,2528312,0.03746491730450989,0,1,9160,0.018732656412657932,12369.639999999665,62204.419999999925,290065.3499999996,656860453.0500001,33348.62999999989,95977.89999999944,0
332983,0.13170170453646543,2528312,0.14142558355139714,0,1,47094,0.07071279177569857,36706.139999999665,88168.89999999944,329890.3499999996,3376976524.08,57387.25,161045.65999999922,0
351015,0.1388337357098333,2528312,0.4153771369989147,0,1,145809,0.20768876625986032,97734.20999999996,118383.6099999994,338004.75,10454662239.54,94171.96999999974,329191.4799999995,4
374315,0.1480493704890852,2528312,0.026102791111223614,0,1,9771,0.013051395555611807,11689.519999999553,60145.609999999404,348489.75,700680973.1700001,48023.41000000015,104958.16999999993,0
378041,0.14952308101215356,2528312,0.8513609079892038,0,1,321862,0.4256804539946019,194845.8599999994,167108.83000000007,350166.4500000002,23079064116.050003,152721.33000000007,574328.8499999996,4
1213187,0.4798407000401849,2528312,0.8595944646072162,0,1,1042889,0.4297974300640111,208650.5,189151.04000000004,725982.1499999994,74774763799.83,269813.76999999955,697080.6099999994,1
532575,0.21064449324292256,2528312,0.19192132932960806,0,1,102216,0.09596046690440103,50768.270000000484,97142.45000000019,419706.75,7329048473.61,89323.29000000004,207206.9400000004,0
1178894,0.4662771050408336,2528312,0.33787443954701796,0,1,398334,0.16893721977350898,92419.42000000086,125526.01000000071,710550.3000000007,28560354257.71,194879.6900000004,398708.1500000004,0
438880,0.17358617132695647,2528312,0.5797753600030376,0,1,254462,0.2898874822411158,135465.9600000009,138203.2600000007,377544.00000000093,18245239759.280003,126437.06000000052,431336.42000000086,4
181659,0.07184991409288094,2528312,0.5838634630536105,0,1,106068,0.29193153376640224,132684.28000000026,133171.9400000004,261794.55000000075,7605873897.98,93632.7100000009,399628.9500000002,4
482285,0.1907537519103655,2528312,0.5766764544882119,0,1,278133,0.28833822724410596,135400.27999999933,138782.7999999998,397076.25,19941973569.25,131796.40999999922,435480.5999999996,4
933125,0.36907035207680067,2528312,0.37437507712655715,0,1,349352,0.1871873408028756,96991.86000000034,125092.12999999989,599954.25,25048557224.239998,166233.50999999978,385506.3300000001,0
1118958,0.4425711700138274,2528312,0.9068477308180319,0,1,1014764,0.45342386540901597,217781.83999999985,192288.03000000026,683579.1000000006,72758554355.76,262742.73000000045,710293.6299999999,1
854906,0.33813311015412656,2528312,0.047059065495081306,0,1,40233,0.023529532747540653,23256.400000000373,75397.13999999966,564755.7000000002,2884769947.91,112759.69000000041,180261.9500000002,0
627532,0.24820196241603093,2528312,0.9631418116118581,0,1,604426,0.481571103566332,223222.0499999998,185916.6299999999,462437.4000000004,43336651063.17,201008.2000000002,671834.2999999998,1
1222161,0.48339010375301783,2528312,0.5860870810248102,0,1,716321,0.2930437382728081,148103.9600000009,155606.63000000082,730020.4500000002,51360539903.42,234247.30000000075,543798.4600000009,0
988062,0.3907990785947304,2528312,0.6325485145820611,0,1,625021,0.31627425729103054,155051.1799999997,157215.18999999948,624675.8999999994,44814108524.65,207868.76999999955,536691.0099999998,0
639002,0.25273858606058114,2528312,0.0288959590430295,0,1,18465,0.01444797952151475,16130.46999999974,65329.59999999963,467598.89999999944,1324054357.2600002,82194.91000000015,140506.2000000002,0
672701,0.26606724170118246,2528312,0.02564082280984309,0,1,17249,0.012820411404921545,15862.950000000186,64669.94000000041,482763.4500000002,1236830766.3000002,86113.95000000019,142821.96999999974,0
