left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
10800,0.36,30000,0.9089,0,1,9816,0.4544666666666667,3056.6500000000233,2799.5,5701.0,4418208.17,2197.320000000065,3906.9000000000233,4
3265,0.10883333333333334,30000,0.6718,0,1,2193,0.3359,1188.479999999865,1172.0999999998603,3383.979999999865,987978.5299999998,1207.1799999999348,2656.4699999998556,3
4860,0.162,30000,0.5625333333333333,0,1,2734,0.28126666666666666,1002.3200000000652,1142.5100000000093,3874.45000000007,1231188.59,1170.0400000000373,2504.530000000028,2
7892,0.26306666666666667,30000,0.6924666666666667,0,1,5465,0.34623333333333334,1237.2299999999814,1229.920000000042,4806.790000000037,2460164.06,1613.7399999999907,3084.590000000084,3
5875,0.19583333333333333,30000,0.30806666666666666,0,1,1810,0.15403333333333333,557.9699999999721,1041.6499999999069,4186.5599999999395,815360.35,865.3899999998976,1956.2399999999907,2
14936,0.4978666666666667,30000,0.5294333333333333,0,1,7908,0.2647333333333333,969.9900000001071,1219.6300000000047,6972.820000000065,3559353.03,1961.2600000000093,3262.980000000098,2
6745,0.22483333333333333,30000,0.4856333333333333,0,1,3276,0.2428,871.0599999999395,1126.1699999999255,4454.089999999967,1474941.0,1203.1199999999953,2461.789999999921,2
14651,0.48836666666666667,30000,0.33823333333333333,0,1,4955,0.16913333333333333,635.1599999999162,1117.329999999958,6885.189999999944,2230866.83,1631.7899999999208,2748.5200000000186,2
2600,0.08666666666666667,30000,0.43033333333333335,0,1,1119,0.21516666666666667,765.4099999999162,1068.3199999999488,3179.5,504408.2799999999,801.1499999999069,2003.719999999972,2
2223,0.0741,30000,0.6557333333333333,0,1,1458,0.32786666666666664,1159.280000000028,1154.8199999999488,3063.569999999949,656898.02,1106.0,2536.6300000000047,4
2898,0.0966,30000,0.1949,0,1,565,0.09746666666666666,354.3100000000559,975.6100000001024,3271.140000000014,255069.71000000008,475.0200000000186,1467.8500000000931,2
538,0.017933333333333332,30000,0.12406666666666667,0,1,67,0.062033333333333336,224.35999999998603,935.2099999999627,1913.4299999999348,30931.839999999967,213.4899999999907,1153.1199999999371,4
6217,0.20723333333333332,30000,0.08433333333333333,0,1,524,0.042166666666666665,171.5100000000093,946.1800000000512,4291.730000000098,236827.4800000001,557.9500000000698,1469.7200000000885,2
6037,0.20123333333333332,30000,0.7692666666666667,0,1,4644,0.3846333333333333,1365.4700000000885,1243.5500000000466,4236.369999999995,2090771.9799999995,1574.5800000000745,3129.6100000001024,3
5073,0.1691,30000,0.9278666666666666,0,1,4707,0.4639333333333333,2812.680000000051,2474.0400000000373,3939.95000000007,2119136.01,1731.6500000000233,3464.770000000135,4
7878,0.2626,30000,0.8382666666666667,0,1,6604,0.41913333333333336,1491.4099999999162,1295.9299999999348,4802.479999999981,2972688.0300000003,1834.5299999999115,3465.109999999986,3
1872,0.0624,30000,0.38563333333333333,0,1,722,0.1928,685.2800000000279,1044.859999999986,2955.640000000014,325772.45,683.0,1842.969999999972,4
2497,0.08323333333333334,30000,0.7466666666666667,0,1,1864,0.37333333333333335,1315.8500000000931,1194.0100000000093,3147.8300000000745,839934.0,1257.3200000000652,2788.570000000065,3
8292,0.2764,30000,0.4937666666666667,0,1,4094,0.24686666666666668,890.4500000000698,1143.2000000000698,4929.790000000037,1843363.9700000002,1342.6500000000233,2608.310000000056,2
756,0.0252,30000,0.6599666666666667,0,1,499,0.33,1161.2399999999907,1141.3099999999977,2308.469999999972,225456.16000000003,1006.1900000000023,2442.8800000000047,4
660,0.022,30000,0.9734,0,1,642,0.4867,2711.0800000000163,2263.920000000042,2146.9500000000116,290058.8100000001,1453.960000000021,3238.5200000000186,4
8616,0.2872,30000,0.8926666666666667,0,1,7691,0.44633333333333336,2898.310000000056,2641.969999999972,5029.420000000042,3462000.15,1979.0600000000559,3672.5899999999674,4
3338,0.11126666666666667,30000,0.2053,0,1,685,0.10266666666666667,373.8200000000652,982.3500000000931,3406.430000000051,309282.52,522.3600000001024,1523.3400000000838,2
4736,0.15786666666666666,30000,0.36233333333333334,0,1,1716,0.18116666666666667,651.8200000000652,1056.7900000000373,3836.320000000065,773117.9700000001,860.640000000014,1999.030000000028,2
6688,0.22293333333333334,30000,0.7087666666666667,0,1,4740,0.3544,1261.7299999999814,1224.2600000000093,4436.5599999999395,2134043.31,1537.3199999999488,3026.469999999972,3
2293,0.07643333333333334,30000,0.4300333333333333,0,1,986,0.215,764.3400000000838,1065.7200000000885,3085.100000000093,444648.15,778.6200000001118,1980.640000000014,2
10916,0.36386666666666667,30000,0.17573333333333332,0,1,1918,0.08786666666666666,340.10000000009313,1012.0100000001257,5736.670000000042,864136.46,1064.630000000121,2044.1800000000512,2
11123,0.3707666666666667,30000,0.6092,0,1,6776,0.3046,1100.7600000000093,1223.920000000042,5800.319999999949,3050190.9099999997,1759.7099999999627,3142.0100000000093,2
6173,0.20576666666666665,30000,0.4136,0,1,2553,0.2068,743.7399999999907,1089.780000000028,4278.199999999953,1149835.78,1048.4899999999907,2236.7600000000093,2
10369,0.34563333333333335,30000,0.15403333333333333,0,1,1597,0.077,300.13000000000466,998.609999999986,5568.469999999972,719624.7800000001,986.1300000000047,1949.8099999999395,2
10149,0.3383,30000,0.10823333333333333,0,1,1098,0.05413333333333333,223.3399999999674,975.6300000000047,5500.819999999949,495201.1599999999,901.3199999999488,1828.7099999999627,2
6022,0.20073333333333335,30000,0.21313333333333334,0,1,1283,0.10656666666666667,391.9100000000326,1001.3300000000745,4231.760000000126,578472.0000000001,733.1700000000419,1743.1500000000233,2
3561,0.1187,30000,0.3331,0,1,1186,0.16653333333333334,595.4299999999348,1036.1300000000047,3475.0100000000093,534687.08,725.8800000000047,1839.5699999999488,2
12562,0.41873333333333335,30000,0.15556666666666666,0,1,1954,0.0778,312.2700000000186,1010.9799999999814,6242.8099999999395,880300.47,1170.2399999999907,2131.359999999986,2
1642,0.054733333333333335,30000,0.5774333333333334,0,1,948,0.28873333333333334,1019.289999999979,1118.1799999999348,2884.9199999999255,427594.8,947.1299999999464,2297.569999999949,4
13755,0.4585,30000,0.07696666666666667,0,1,1059,0.03846666666666667,176.6600000000326,977.0300000000279,6609.660000000033,477296.19999999984,1142.329999999958,2051.4000000000233,2
4985,0.16616666666666666,30000,0.504,0,1,2512,0.252,899.9700000000885,1118.8100000000559,3912.8800000000047,1131521.8000000003,1091.890000000014,2367.45000000007,2
13634,0.4544666666666667,30000,0.30873333333333336,0,1,4209,0.15436666666666668,578.9399999999441,1095.0,6572.459999999963,1895080.7799999998,1497.0999999999767,2589.109999999986,2
