left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
43568,0.21784,200000,0.003265,0,1,142,0.00163,155.36999999987893,5598.95999999973,33077.919999999925,432176.1899999997,7334.869999999879,12760.179999999702,0
45892,0.22946,200000,0.129525,0,1,5944,0.06476,1568.030000000028,5981.350000000093,34100.47999999998,17837974.66,8954.320000000065,15220.290000000037,0
95940,0.4797,200000,0.23547,0,1,22591,0.117735,8851.079999999842,12574.35999999987,56121.59999999986,129563879.13000001,18999.36999999988,28533.530000000028,0
41994,0.20997,200000,0.50881,0,1,21367,0.254405,10615.520000000251,11905.180000000168,32385.360000000102,122562229.83,11891.000000000233,26615.110000000102,0
86294,0.43147,200000,0.385475,0,1,33264,0.19274,10846.79000000027,13369.930000000168,51877.3600000001,190838327.69,18738.730000000214,31168.06000000029,0
80472,0.40236,200000,0.06884,0,1,5540,0.03442,981.6999999999534,5955.270000000019,49315.679999999935,16624537.859999998,14524.979999999981,20333.52000000002,0
39513,0.197565,200000,0.75615,0,1,29878,0.378075,14591.040000000037,13829.330000000075,31293.719999999972,171351952.93,13799.689999999944,33420.20999999996,4
80187,0.400935,200000,0.735665,0,1,58991,0.36783,16344.90000000014,16095.770000000019,49190.28000000003,338314345.89,21098.580000000075,40408.62000000011,1
32231,0.161155,200000,0.91432,0,1,29469,0.45716,16841.949999999953,14703.359999999986,28089.640000000014,169023957.92,13976.530000000028,36780.92000000004,4
89689,0.448445,200000,0.24627,0,1,22088,0.123135,8709.469999999972,12326.89000000013,53371.16000000015,126719065.23,17965.930000000168,27705.680000000168,0
82458,0.41229,200000,0.4914,0,1,40520,0.2457,12406.270000000019,14084.919999999925,50189.52000000002,232388807.3,19090.77000000002,33576.97999999998,0
38805,0.194025,200000,0.307065,0,1,11916,0.15353,7102.6699999999255,10034.340000000084,30982.199999999953,68348751.51,9399.570000000065,20243.22999999998,0
70609,0.353045,200000,0.65902,0,1,46533,0.32951,14581.89000000013,14857.660000000149,44975.960000000196,266912012.04999998,18563.570000000065,36319.75000000023,0
7878,0.03939,200000,0.153435,0,1,1209,0.07672,1733.7099999999627,5851.219999999972,17374.31999999995,3631785.5100000002,1967.4899999999907,8427.76000000001,0
1872,0.00936,200000,0.57756,0,1,1081,0.28878,9691.700000000012,10139.73000000004,8703.68000000011,4870772.72,5401.580000000016,21368.70000000001,4
2497,0.012485,200000,0.63263,0,1,1580,0.316315,10635.76000000001,10614.740000000107,10306.680000000051,7113948.029999999,5951.140000000014,23005.320000000065,4
24676,0.12338,200000,0.10391,0,1,2564,0.051955,1228.6599999999162,5803.949999999953,24765.439999999944,7697727.44,5015.79999999993,11080.029999999912,0
31922,0.15961,200000,0.454975,0,1,14524,0.22749,9203.060000000056,10878.380000000121,27953.68000000005,83319679.34,9582.300000000047,23236.290000000037,0
49812,0.24906,200000,0.337705,0,1,16822,0.16885,8179.40000000014,10907.280000000028,35825.28000000003,96497167.23,11654.40000000014,23103.360000000102,0
80783,0.403915,200000,0.00085,0,1,69,0.000425,227.57000000029802,5731.750000000233,49452.52000000025,211423.0700000003,13908.450000000186,19327.78000000026,0
81858,0.40929,200000,0.38767,0,1,31734,0.193835,10655.320000000065,13139.48999999999,49925.52000000002,182058630.42,17948.189999999944,30420.840000000084,0
84666,0.42333,200000,0.082135,0,1,6954,0.04107,1143.4799999997485,6018.379999999888,51161.039999999804,20867592.799999997,15417.529999999795,21318.909999999916,0
41505,0.207525,200000,0.400975,0,1,16642,0.20049,8798.219999999972,10972.5,32170.199999999953,95464013.61,10771.909999999916,23409.199999999953,0
84213,0.421065,200000,0.74975,0,1,63139,0.374875,16786.97999999998,16461.560000000056,50961.71999999997,362142754.13,21990.23999999999,41593.89000000013,1
96767,0.483835,200000,0.3832,0,1,37081,0.1916,11348.629999999888,13939.679999999935,56485.47999999975,212660776.79999998,20644.749999999767,33025.05999999982,0
43891,0.219455,200000,0.94141,0,1,41319,0.470705,17892.090000000084,15651.300000000047,33220.04000000004,236983500.63,16369.060000000056,39754.52000000002,1
58147,0.290735,200000,0.253035,0,1,14713,0.12652,7199.260000000009,10647.76000000001,39492.679999999935,84382954.95,12326.0,22191.189999999944,0
92289,0.461445,200000,0.454095,0,1,41908,0.22705,12295.25,14318.40000000014,54515.16000000015,240352511.41000003,20533.340000000084,34313.950000000186,0
89142,0.44571,200000,0.046985,0,1,4188,0.02349,761.3299999998417,5919.629999999888,53130.47999999998,12570460.110000001,15869.629999999888,21529.35999999987,0
20007,0.100035,200000,0.64061,0,1,12817,0.320305,11668.599999999977,11712.719999999972,22711.079999999958,57680305.150000006,7510.389999999898,24725.469999999972,4
90869,0.454345,200000,0.324105,0,1,29451,0.16205,10063.580000000075,13083.530000000028,53890.3600000001,168959682.79,18963.939999999944,30196.310000000056,0
96592,0.48296,200000,0.68973,0,1,66622,0.344865,16428.350000000093,16668.76000000001,56408.47999999998,382045483.34000003,23708.649999999907,42137.79000000004,0
46523,0.232615,200000,0.771775,0,1,35905,0.38589,15213.189999999944,14382.939999999944,34378.12000000011,205931729.86,15228.030000000028,35179.320000000065,1
86905,0.434525,200000,0.430335,0,1,37398,0.21517,11623.560000000056,13799.709999999963,52146.19999999995,214487615.69,19301.580000000075,32610.37999999989,0
28648,0.14324,200000,0.89535,0,1,25650,0.447675,16344.720000000088,14326.310000000056,26513.119999999995,147114786.07999998,13151.390000000014,35559.05000000005,4
92218,0.46109,200000,0.03738,0,1,3447,0.01869,663.7700000000186,5899.739999999991,54483.919999999925,10346771.21,16329.149999999907,21926.59999999986,0
12135,0.060675,200000,0.59702,0,1,7245,0.29851,10540.39000000013,10896.500000000116,19247.40000000014,32607074.3,6410.790000000154,22763.850000000093,4
47884,0.23942,200000,0.04124,0,1,1975,0.02062,589.5500000002794,5728.410000000149,34976.960000000196,5929655.100000001,8457.870000000112,14080.260000000242,0
63361,0.316805,200000,0.56724,0,1,35941,0.28362,12683.179999999935,13639.10999999987,41786.83999999985,206164662.54000002,16328.550000000047,32252.719999999972,0
9782,0.04891,200000,0.08545,0,1,836,0.042725,984.7999999999302,5684.670000000042,18212.079999999958,2513084.42,1493.8399999999674,7418.569999999949,0
27258,0.13629,200000,0.24463,0,1,6668,0.122315,5468.75,8876.469999999972,25901.52000000002,38245523.940000005,6780.0599999999395,16433.31999999995,0
12373,0.061865,200000,0.259785,0,1,3214,0.12989,4959.609999999986,8182.010000000009,19352.119999999995,14469741.399999999,3314.6199999999953,13178.880000000005,4
82992,0.41496,200000,0.32001,0,1,26558,0.160005,9592.330000000075,12608.820000000065,50424.47999999998,152381387.76,17484.22999999998,28637.01000000001,0
79861,0.399305,200000,0.687965,0,1,54942,0.34398,15537.84999999986,15658.810000000056,49046.83999999985,315128890.58,20564.77000000002,38920.69999999995,0
9397,0.046985,200000,0.306615,0,1,2881,0.15331,5579.780000000028,8394.580000000075,18042.68000000005,12971007.23,3499.780000000028,14241.46000000008,4
9360,0.0468,200000,0.97974,0,1,9170,0.48987,16749.43000000005,13818.150000000023,18026.400000000023,41271981.2,9705.280000000028,33762.080000000075,4
44260,0.2213,200000,0.41536,0,1,18384,0.20768,9177.76000000001,11248.209999999963,33382.39999999991,105436494.48,11400.979999999981,24319.969999999972,0
15128,0.07564,200000,0.22414,0,1,3391,0.11207,4505.969999999972,8042.989999999991,20564.31999999995,15263829.36,3211.789999999921,12418.880000000005,4
37238,0.18619,200000,0.491105,0,1,18288,0.24555,10074.800000000047,11482.290000000037,30292.719999999972,104879609.52999999,10870.10999999987,25236.330000000075,0
8753,0.043765,200000,0.599465,0,1,5247,0.29973,10410.189999999944,10717.959999999963,17759.31999999995,23617365.63,6149.649999999907,22548.639999999898,4
80042,0.40021,200000,0.457085,0,1,36586,0.22854,11712.039999999804,13644.729999999981,49126.47999999998,209816147.26,18305.139999999898,32118.409999999916,0
89184,0.44592,200000,0.74589,0,1,66521,0.372945,16975.87000000011,16726.37000000011,53148.960000000196,381505520.21999997,22881.04000000027,42421.28000000026,1
93791,0.468955,200000,0.798225,0,1,74866,0.39911,18080.969999999972,17467.929999999935,55176.04000000004,429350541.03000003,24270.73999999999,44874.54000000004,1
62757,0.313785,200000,0.068185,0,1,4279,0.03409,929.2700000000186,5874.590000000084,41521.080000000075,12842718.229999999,11351.179999999935,17153.73999999999,0
90929,0.454645,200000,0.374465,0,1,34050,0.18723,10900.899999999907,13531.649999999907,53916.76000000001,195266093.18999997,19479.540000000037,31689.5,0
84356,0.42178,200000,0.588625,0,1,49654,0.29431,14119.59999999986,15050.439999999944,51024.6399999999,284781031.81,20411.32999999984,36806.34999999986,0
48683,0.243415,200000,0.497535,0,1,24221,0.24877,10772.420000000158,12194.600000000093,35328.52000000025,138927726.98000002,12986.930000000168,27506.440000000177,0
86385,0.431925,200000,0.665425,0,1,57483,0.33271,15498.730000000214,15848.340000000084,51917.40000000014,329674674.59000003,21555.79000000027,39478.92000000016,0
13825,0.069125,200000,0.87464,0,1,12092,0.43732,15235.54999999993,13245.369999999995,19991.0,54418828.75,9130.839999999967,31046.579999999958,4
12844,0.06422,200000,0.329545,0,1,4233,0.16477,6139.410000000033,8772.359999999986,19559.359999999986,19052339.470000003,3997.680000000051,15171.040000000037,4
36224,0.18112,200000,0.60389,0,1,21875,0.301945,11894.850000000093,12364.310000000056,29846.560000000056,125473710.02,11758.350000000093,28337.689999999944,4
6522,0.03261,200000,0.69043,0,1,4503,0.345215,11804.120000000112,11317.560000000056,16777.68000000005,20268790.849999998,6800.980000000098,25004.510000000126,4
74660,0.3733,200000,0.059165,0,1,4417,0.02958,860.3899999998976,5898.060000000056,46758.39999999991,13257232.280000001,13387.050000000047,19126.659999999916,0
14255,0.071275,200000,0.51203,0,1,7299,0.256015,9244.01000000001,10332.520000000019,20180.199999999953,32850727.869999997,5810.339999999967,20491.52000000002,4
89237,0.446185,200000,0.73918,0,1,65962,0.36959,16869.75,16670.209999999963,53172.28000000003,378329626.57,22825.12000000011,42229.659999999916,1
23311,0.116555,200000,0.81294,0,1,18950,0.40647,14699.25,13321.270000000019,24164.839999999967,108677518.49,11418.300000000047,32142.530000000028,4
64571,0.322855,200000,0.83938,0,1,54200,0.41969,17264.189999999944,16054.590000000084,42319.23999999999,310859679.62999994,19213.060000000056,40575.080000000075,1
56357,0.281785,200000,0.59483,0,1,33523,0.297415,12779.340000000084,13465.64000000013,38705.080000000075,192267065.35000002,15315.969999999972,31765.40000000014,0
36951,0.184755,200000,0.225035,0,1,8315,0.11252,5643.619999999879,9248.300000000047,30166.439999999944,47713159.37,8290.309999999823,17609.719999999972,0
78697,0.393485,200000,0.42783,0,1,33669,0.213915,11156.980000000214,13311.380000000121,48534.68000000017,193087942.45000002,17767.560000000056,31012.280000000028,0
78929,0.394645,200000,0.50403,0,1,39783,0.252015,12433.790000000037,13991.889999999898,48636.76000000001,228196520.62999997,18563.709999999963,33288.60999999987,0
70839,0.354195,200000,0.59839,0,1,42389,0.299195,13584.709999999963,14345.51000000001,45077.159999999916,243137215.82,18007.939999999944,34565.070000000065,0
88871,0.444355,200000,0.171445,0,1,15236,0.08572,7425.369999999879,11618.229999999981,53011.23999999999,45714977.5,17067.850000000093,23676.98999999999,0
92649,0.463245,200000,0.463655,0,1,42957,0.23183,12469.550000000047,14422.139999999898,54673.560000000056,246356106.11,20692.159999999916,34663.060000000056,0
90750,0.45375,200000,0.602235,0,1,54653,0.30112,14672.050000000047,15544.429999999935,53838.0,313429455.87,21732.72999999998,38413.52000000002,0
81412,0.40706,200000,0.1734,0,1,14117,0.0867,7075.520000000019,11231.959999999963,49729.28000000003,42356035.099999994,15735.600000000093,22361.17000000016,0
18729,0.093645,200000,0.95763,0,1,17935,0.478815,16867.359999999986,14223.660000000033,22148.76000000001,80714773.92,10351.040000000037,33955.929999999935,4
68628,0.34314,200000,0.93131,0,1,63914,0.465655,18999.429999999935,17096.77000000002,44104.320000000065,366543235.69,20872.0,44109.1399999999,1
3913,0.019565,200000,0.115,0,1,450,0.0575,1296.6899999999441,5732.679999999935,13305.719999999972,1355468.5,1313.9799999999814,7464.829999999958,0
72131,0.360655,200000,0.0914,0,1,6593,0.0457,1213.1599999999162,5990.9199999999255,45645.6399999999,19783791.9,13254.969999999972,19225.389999999898,0
59716,0.29858,200000,0.890275,0,1,53164,0.44514,17856.820000000065,16193.26000000001,40183.04000000004,304905316.84000003,18803.959999999963,41186.64999999991,1
53007,0.265035,200000,0.959135,0,1,50841,0.47957,18656.37000000011,16367.020000000251,37231.080000000075,291565873.40000004,18228.330000000075,41995.810000000056,1
15621,0.078105,200000,0.138485,0,1,2163,0.06924,1589.339999999851,5852.4199999999255,20781.239999999874,6495317.800000001,2459.189999999944,8795.999999999884,0
92300,0.4615,200000,0.646055,0,1,59631,0.32303,15479.040000000037,16025.570000000065,54520.0,341992478.53,22461.450000000186,40015.71999999997,0
69070,0.34535,200000,0.72726,0,1,50232,0.36363,15632.290000000037,15357.48999999999,44298.80000000005,288081564.2300001,18948.399999999907,38064.02000000002,1
91758,0.45879,200000,0.655205,0,1,60120,0.3276,15607.520000000019,16075.310000000056,54281.52000000002,344796990.78,22457.14000000013,40187.76000000001,0
42513,0.212565,200000,0.48109,0,1,20453,0.240545,10181.560000000056,11700.679999999935,32613.719999999972,117310512.05999999,11718.189999999944,25901.76000000001,0
70558,0.35279,200000,0.2434,0,1,17174,0.1217,7680.040000000037,11248.840000000084,44953.52000000002,98518627.3,14467.270000000019,24149.340000000084,0
99439,0.497195,200000,0.5362,0,1,53319,0.2681,14024.639999999898,15462.579999999842,57661.159999999916,305840282.50000006,22683.790000000037,38088.03000000003,0
17341,0.086705,200000,0.423125,0,1,7337,0.21156,7924.6900000000605,9784.21000000008,21538.040000000037,33023600.4,5251.960000000079,18205.71000000008,4
52087,0.260435,200000,0.990085,0,1,51571,0.49504,19121.65000000014,16572.240000000224,36826.28000000003,295769189.22,18353.560000000056,42753.91000000015,1
