left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
43568,0.21784,200000,0.003265,0,1,142,0.00163,155.38000000081956,5598.960000000894,33077.919999999925,432176.1899999995,7485.370000001043,12910.689999999478,2
45892,0.22946,200000,0.129525,0,1,5944,0.06476,1568.039999999106,5981.3499999996275,34100.479999998584,17837974.66,9111.830000000075,15377.789999999106,2
95940,0.4797,200000,0.23547,0,1,22591,0.117735,9037.080000000075,12760.359999999404,56121.59999999963,129563879.14,19324.86999999918,28859.039999999106,2
41994,0.20997,200000,0.50881,0,1,21367,0.254405,10697.509999997914,11987.169999998063,32385.359999999404,122562229.82,12034.48999999836,26758.599999997765,2
86294,0.43147,200000,0.385475,0,1,33264,0.19274,11016.789999999106,13539.92999999784,51877.359999999404,190838327.68,19036.229999998584,31465.55999999866,2
80472,0.40236,200000,0.06884,0,1,5540,0.03442,981.7000000011176,5955.269999999553,49315.6799999997,16624537.86,14801.480000000447,20610.019999999553,2
39513,0.197565,200000,0.75615,0,1,29878,0.378075,14669.050000000745,13907.330000000075,31293.72000000067,171351952.93,13936.190000001341,33556.72000000067,3
80187,0.400935,200000,0.735665,0,1,58991,0.36783,16500.900000000373,16251.770000001416,49190.28000000119,338314345.9,21371.58999999985,40681.63000000082,3
32231,0.161155,200000,0.91432,0,1,29469,0.45716,16905.950000001118,14767.359999999404,28089.640000000596,169023957.92,14088.530000001192,36892.91000000015,4
89689,0.448445,200000,0.24627,0,1,22088,0.123135,8885.48000000231,12502.890000000596,53371.16000000201,126719065.23,18273.930000001565,28013.69000000134,2
82458,0.41229,200000,0.4914,0,1,40520,0.2457,12566.269999999553,14244.909999998286,50189.51999999955,232388807.3,19370.769999999553,33856.96999999881,2
38805,0.194025,200000,0.307065,0,1,11916,0.15353,7178.679999999702,10110.349999999627,30982.199999999255,68348751.51,9532.580000000075,20376.230000000447,2
70609,0.353045,200000,0.65902,0,1,46533,0.32951,14719.890000000596,14995.669999999925,44975.960000000894,266912012.05,18805.070000000298,36561.25,2
7878,0.03939,200000,0.153435,0,1,1209,0.07672,1733.7099999999627,5851.219999999739,17374.320000000298,3631785.51,1967.4900000002235,8427.770000000484,2
1872,0.00936,200000,0.57756,0,1,1081,0.28878,9695.689999999478,10143.729999999516,8703.67999999877,4870772.720000001,5401.579999999143,21368.699999999255,4
2497,0.012485,200000,0.63263,0,1,1580,0.316315,10641.749999999069,10620.739999999292,10306.67999999877,7113948.0200000005,5951.129999998957,23005.30999999959,4
24676,0.12338,200000,0.10391,0,1,2564,0.051955,1228.660000000149,5803.950000001118,24765.44000000134,7697727.4399999995,5099.800000000745,11164.030000001192,2
31922,0.15961,200000,0.454975,0,1,14524,0.22749,9265.060000000522,10940.38000000082,27953.680000001565,83319679.33000001,9690.790000000969,23344.780000001192,2
49812,0.24906,200000,0.337705,0,1,16822,0.16885,8275.410000000149,11003.27999999933,35825.27999999933,96497167.23,11822.410000000149,23271.359999999404,2
80783,0.403915,200000,0.00085,0,1,69,0.000425,227.57000000029802,5731.75,49452.51999999955,211423.0700000003,14184.950000001118,19604.280000001192,2
81858,0.40929,200000,0.38767,0,1,31734,0.193835,10815.309999998659,13299.479999998584,49925.51999999955,182058630.41,18228.179999999702,30700.829999998212,2
84666,0.42333,200000,0.082135,0,1,6954,0.04107,1143.469999998808,6018.36999999918,51161.039999999106,20867592.79,15704.52999999933,21605.89999999851,2
41505,0.207525,200000,0.400975,0,1,16642,0.20049,8878.22000000067,11052.509999999776,32170.199999999255,95464013.62,10911.910000000149,23549.199999999255,2
84213,0.421065,200000,0.74975,0,1,63139,0.374875,16952.980000000447,16627.570000000298,50961.72000000067,362142754.13,22280.740000000224,41884.40000000037,3
96767,0.483835,200000,0.3832,0,1,37081,0.1916,11536.629999998957,14127.689999999478,56485.48000000045,212660776.79999998,20973.75,33354.06000000052,2
43891,0.219455,200000,0.94141,0,1,41319,0.470705,17978.08999999799,15737.309999998659,33220.039999999106,236983500.63,16519.55999999866,39905.02999999933,3
58147,0.290735,200000,0.253035,0,1,14713,0.12652,7313.270000001416,10761.770000001416,39492.680000001565,84382954.95,12525.51000000164,22390.69000000134,2
92289,0.461445,200000,0.454095,0,1,41908,0.22705,12475.250000001863,14498.410000002012,54515.16000000201,240352511.42000002,20848.340000001714,34628.95000000112,2
89142,0.44571,200000,0.046985,0,1,4188,0.02349,761.320000000298,5919.620000001043,53130.48000000045,12570460.100000001,16174.120000001043,21833.849999999627,2
20007,0.100035,200000,0.64061,0,1,12817,0.320305,11706.599999999627,11750.719999998808,22711.080000000075,57680305.14,7510.389999998733,24725.469999998808,4
90869,0.454345,200000,0.324105,0,1,29451,0.16205,10241.589999997988,13261.539999999106,53890.359999999404,168959682.79,19275.43999999948,30507.80999999866,2
96592,0.48296,200000,0.68973,0,1,66622,0.344865,16616.359999999404,16856.769999999553,56408.479999998584,382045483.35,24037.64999999851,42466.79999999888,2
46523,0.232615,200000,0.771775,0,1,35905,0.38589,15305.189999999478,14474.949999999255,34378.11999999918,205931729.86,15389.02999999933,35340.330000000075,3
86905,0.434525,200000,0.430335,0,1,37398,0.21517,11793.560000000522,13969.72000000067,52146.199999999255,214487615.7,19599.08999999985,32907.890000000596,2
28648,0.14324,200000,0.89535,0,1,25650,0.447675,16400.719999998808,14382.309999998659,26513.11999999918,147114786.07999998,13249.389999998733,35657.04999999888,4
92218,0.46109,200000,0.03738,0,1,3447,0.01869,663.7700000014156,5899.730000000447,54483.92000000179,10346771.210000003,16644.140000000596,22241.590000001714,2
12135,0.060675,200000,0.59702,0,1,7245,0.29851,10564.399999999441,10920.509999999776,19247.39999999944,32607074.299999997,6410.799999999814,22763.859999999404,4
47884,0.23942,200000,0.04124,0,1,1975,0.02062,589.5600000005215,5728.4199999999255,34976.960000000894,5929655.1,8618.88000000082,14241.26000000164,2
63361,0.316805,200000,0.56724,0,1,35941,0.28362,12807.189999997616,13763.11999999918,41786.83999999799,206164662.54,16545.549999998882,32469.719999998808,2
9782,0.04891,200000,0.08545,0,1,836,0.042725,984.8000000007451,5684.670000000857,18212.080000001006,2513084.4300000006,1493.8400000007823,7418.570000000298,2
27258,0.13629,200000,0.24463,0,1,6668,0.122315,5522.749999998137,8930.469999998808,25901.519999999553,38245523.93,6874.559999998659,16527.80999999866,2
12373,0.061865,200000,0.259785,0,1,3214,0.12989,4983.5999999996275,8206.0,19352.11999999918,14469741.389999997,3314.609999999404,13178.86999999918,4
82992,0.41496,200000,0.32001,0,1,26558,0.160005,9754.339999999851,12770.830000000075,50424.479999998584,152381387.76999998,17767.729999998584,28920.509999999776,2
79861,0.399305,200000,0.687965,0,1,54942,0.34398,15693.849999997765,15814.819999998435,49046.83999999799,315128890.58,20837.76999999769,39193.70999999903,2
9397,0.046985,200000,0.306615,0,1,2881,0.15331,5597.769999999553,8412.580000000075,18042.679999999702,12971007.229999997,3499.7799999993294,14241.459999999963,4
9360,0.0468,200000,0.97974,0,1,9170,0.48987,16767.429999999702,13836.149999999441,18026.39999999944,41271981.199999996,9705.28000000026,33762.080000000075,4
44260,0.2213,200000,0.41536,0,1,18384,0.20768,9263.759999999776,11334.22000000067,33382.40000000037,105436494.48,11551.480000000447,24470.480000000447,2
15128,0.07564,200000,0.22414,0,1,3391,0.11207,4535.980000000447,8072.990000001155,20564.32000000123,15263829.360000003,3211.7900000009686,12418.890000000596,4
37238,0.18619,200000,0.491105,0,1,18288,0.24555,10146.800000000745,11554.27999999933,30292.72000000067,104879609.52,10996.109999999404,25362.330000000075,2
8753,0.043765,200000,0.599465,0,1,5247,0.29973,10428.179999999702,10735.950000000186,17759.320000000298,23617365.62,6149.640000000596,22548.62999999989,4
80042,0.40021,200000,0.457085,0,1,36586,0.22854,11868.040000000969,13800.730000000447,49126.48000000045,209816147.25,18578.140000000596,32391.41000000015,2
89184,0.44592,200000,0.74589,0,1,66521,0.372945,17149.870000001043,16900.38000000082,53148.960000000894,381505520.23,23185.54000000097,42725.78000000119,3
93791,0.468955,200000,0.798225,0,1,74866,0.39911,18264.969999998808,17651.93999999948,55176.039999999106,429350541.04,24592.73999999836,45196.54999999888,3
62757,0.313785,200000,0.068185,0,1,4279,0.03409,929.269999999553,5874.5999999996275,41521.080000000075,12842718.229999999,11564.679999999702,17367.25,2
90929,0.454645,200000,0.374465,0,1,34050,0.18723,11078.89999999851,13709.64999999851,53916.75999999978,195266093.18999997,19791.049999998882,32001.009999999776,2
84356,0.42178,200000,0.588625,0,1,49654,0.29431,14283.610000001267,15214.440000001341,51024.64000000246,284781031.81,20698.340000001714,37093.35000000149,2
48683,0.243415,200000,0.497535,0,1,24221,0.24877,10868.419999999925,12290.610000001267,35328.51999999955,138927726.98000002,13154.929999999702,27674.43999999948,2
86385,0.431925,200000,0.665425,0,1,57483,0.33271,15666.730000000447,16016.340000001714,51917.40000000037,329674674.59000003,21849.800000000745,39772.92000000179,2
13825,0.069125,200000,0.87464,0,1,12092,0.43732,15263.549999999814,13273.359999999404,19991.0,54418828.75,9130.839999999851,31046.580000000075,4
12844,0.06422,200000,0.329545,0,1,4233,0.16477,6165.410000000149,8798.359999999404,19559.359999999404,19052339.47,3997.679999999702,15171.040000000037,4
36224,0.18112,200000,0.60389,0,1,21875,0.301945,11964.849999999627,12434.320000000298,29846.56000000052,125473710.03000003,11880.849999999627,28460.19000000134,4
6522,0.03261,200000,0.69043,0,1,4503,0.345215,11816.11999999918,11329.55999999959,16777.679999999702,20268790.849999998,6800.979999999516,25004.509999999776,4
74660,0.3733,200000,0.059165,0,1,4417,0.02958,860.390000000596,5898.0600000005215,46758.40000000037,13257232.28,13642.550000000745,19382.169999999925,2
14255,0.071275,200000,0.51203,0,1,7299,0.256015,9270.020000000484,10358.520000000484,20180.200000000186,32850727.88,5810.339999999851,20491.53000000026,4
89237,0.446185,200000,0.73918,0,1,65962,0.36959,17043.75,16844.20999999903,53172.27999999933,378329626.57,23129.61999999918,42534.16000000015,3
23311,0.116555,200000,0.81294,0,1,18950,0.40647,14743.25,13365.269999999553,24164.83999999985,108677518.49,11495.299999998882,32219.52999999933,4
64571,0.322855,200000,0.83938,0,1,54200,0.41969,17390.199999999255,16180.589999999851,42319.24000000022,310859679.62999994,19433.56000000052,40795.580000000075,3
56357,0.281785,200000,0.59483,0,1,33523,0.297415,12889.339999999851,13575.650000000373,38705.080000000075,192267065.35000002,15508.480000000447,31957.91000000015,2
36951,0.184755,200000,0.225035,0,1,8315,0.11252,5715.63000000082,9320.300000000745,30166.44000000134,47713159.37,8416.310000000522,17735.72000000067,2
78697,0.393485,200000,0.42783,0,1,33669,0.213915,11310.980000000447,13465.379999998957,48534.6799999997,193087942.45000002,18037.070000000298,31281.789999999106,2
78929,0.394645,200000,0.50403,0,1,39783,0.252015,12589.789999999106,14147.889999998733,48636.75999999978,228196520.62999997,18836.70999999903,33561.61999999918,2
70839,0.354195,200000,0.59839,0,1,42389,0.299195,13722.710000000894,14483.509999999776,45077.16000000015,243137215.82,18249.44000000134,34806.5700000003,2
88871,0.444355,200000,0.171445,0,1,15236,0.08572,7599.38000000082,11792.240000000224,53011.24000000022,45714977.510000005,17372.349999999627,23981.5,2
92649,0.463245,200000,0.463655,0,1,42957,0.23183,12651.560000000522,14604.150000000373,54673.56000000052,246356106.12,21010.66000000015,34981.56000000052,2
90750,0.45375,200000,0.602235,0,1,54653,0.30112,14850.050000000745,15722.429999999702,53838.0,313429455.86,22044.22000000067,38725.020000001416,2
81412,0.40706,200000,0.1734,0,1,14117,0.0867,7235.529999999329,11391.97000000067,49729.27999999933,42356035.1,16015.599999999627,22641.169999999925,2
18729,0.093645,200000,0.95763,0,1,17935,0.478815,16903.359999999404,14259.660000000149,22148.759999999776,80714773.92,10351.040000000037,33955.9299999997,4
68628,0.34314,200000,0.93131,0,1,63914,0.465655,19133.42999999784,17230.769999999553,44104.319999998435,366543235.7,21106.499999998137,44343.63999999873,3
3913,0.019565,200000,0.115,0,1,450,0.0575,1296.6900000004098,5732.670000000857,13305.72000000067,1355468.500000001,1313.9700000006706,7464.830000001006,2
72131,0.360655,200000,0.0914,0,1,6593,0.0457,1213.160000000149,5990.9199999999255,45645.640000000596,19783791.9,13499.97000000067,19470.390000000596,2
59716,0.29858,200000,0.890275,0,1,53164,0.44514,17974.830000000075,16311.259999999776,40183.04000000097,304905316.84000003,19010.460000000894,41393.15000000037,3
53007,0.265035,200000,0.959135,0,1,50841,0.47957,18758.36999999918,16469.019999999553,37231.080000000075,291565873.40000004,18406.83999999985,42174.3200000003,3
15621,0.078105,200000,0.138485,0,1,2163,0.06924,1589.339999999851,5852.429999999702,20781.25,6495317.800000001,2459.2000000001863,8796.009999999776,2
92300,0.4615,200000,0.646055,0,1,59631,0.32303,15659.039999999106,16205.570000000298,54520.0,341992478.53,22776.449999999255,40330.71999999881,2
69070,0.34535,200000,0.72726,0,1,50232,0.36363,15766.289999999106,15491.479999998584,44298.79999999888,288081564.23,19182.889999998733,38298.50999999978,3
91758,0.45879,200000,0.655205,0,1,60120,0.3276,15785.509999999776,16253.299999998882,54281.51999999955,344796990.77,22768.629999998957,40499.24999999814,2
42513,0.212565,200000,0.48109,0,1,20453,0.240545,10265.560000000522,11784.679999999702,32613.72000000067,117310512.05999999,11865.200000001118,26048.759999999776,2
70558,0.35279,200000,0.2434,0,1,17174,0.1217,7818.029999999329,11386.829999998212,44953.51999999955,98518627.30000001,14708.769999999553,24390.83999999985,2
99439,0.497195,200000,0.5362,0,1,53319,0.2681,14218.650000000373,15656.589999999851,57661.16000000015,305840282.50000006,23023.300000000745,38427.54000000097,2
17341,0.086705,200000,0.423125,0,1,7337,0.21156,7958.6899999994785,9818.209999999031,21538.039999999106,33023600.4,5251.959999999031,18205.71999999974,4
52087,0.260435,200000,0.990085,0,1,51571,0.49504,19223.66000000015,16674.25,36826.28000000119,295769189.23,18532.070000000298,42932.419999999925,3
13908,0.06954,200000,0.93246,0,1,12969,0.46623,16227.689999999478,13746.989999999292,20027.519999999553,58364228.480000004,9674.609999999404,32766.019999999553,4
10089,0.050445,200000,0.821085,0,1,8284,0.41054,14177.410000000149,12605.379999999888,18347.16000000015,37282994.650000006,8306.980000000447,29137.81000000052,4
