left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
10800,0.36,30000,0.9089,0,1,5141556.72,5141299.57,5144179.07,9556686.24,5140675.39,5142384.98,4
3265,0.108833333,30000,0.6718,0,1,4880570.55,4880554.17,4882766.06,5867360.61,4880589.25,4882038.54,3
4860,0.162,30000,0.562533333,0,1,4966516.25,4966656.44,4969388.37,6196702.51,4966683.97,4968018.46,2
7892,0.263066667,30000,0.692466667,0,1,5071752.8,5071745.5,5075322.37,7530679.63,5072129.31,5073600.17,3
5875,0.195833333,30000,0.308066667,0,1,5007146.74,5007630.43,5010775.34,5821949.13,5007454.16,5008545.02,2
14936,0.497866667,30000,0.529433333,0,1,5209717.69,5209967.34,5215720.53,8768100.74,5210708.97,5212010.69,2
6745,0.224833333,30000,0.485633333,0,1,5037369.05,5037624.15,5040952.07,6511438.98,5037701.1,5038959.77,2
14651,0.488366667,30000,0.338233333,0,1,5205206.52,5205688.7,5211456.55,7435438.19,5206203.16,5207319.88,2
2600,0.086666667,30000,0.430333333,0,1,4830838.25,4831141.15,4833252.34,5334481.11,4830873.99,4832076.56,2
2223,0.0741,30000,0.655733333,0,1,4797317.19,4797312.73,4799221.48,5453055.93,4797263.91,4798694.54,4
2898,0.0966,30000,0.1949,0,1,4853919.82,4854541.12,4856836.65,5108635.23,4854040.53,4855033.37,2
538,0.017933333,30000,0.124066667,0,1,4489266.51,4489977.36,4490955.58,4519973.99,4489255.64,4490195.27,4
6217,0.207233333,30000,0.084333333,0,1,5019014.56,5019789.24,5023134.78,5255670.53,5019401,5020312.77,2
6037,0.201233333,30000,0.769266667,0,1,5013845.36,5013723.44,5016716.26,7103251.87,5014054.47,5015609.5,3
5073,0.1691,30000,0.927866667,0,1,4977625.44,4977286.8,4978742.7,7093938.76,4976534.41,4978267.52,4
7878,0.2626,30000,0.838266667,0,1,5071622.37,5071426.9,5074933.45,8042818.99,5071965.49,5073596.07,3
1872,0.0624,30000,0.385633333,0,1,4759639.69,4759999.27,4761910.06,5084726.86,4759637.42,4760797.38,4
2497,0.083233333,30000,0.746666667,0,1,4822637.47,4822515.63,4824469.46,5661255.63,4822578.95,4824110.19,3
8292,0.2764,30000,0.493766667,0,1,5082116.25,5082369.01,5086155.6,6924589.78,5082568.46,5083834.12,2
756,0.0252,30000,0.659966667,0,1,4563838.1,4563818.17,4564985.33,4788133.01,4563683.04,4565119.74,4
660,0.022,30000,0.9734,0,1,4535992.64,4535545.48,4535428.51,4823340.36,4534735.51,4536520.08,4
8616,0.2872,30000,0.892666667,0,1,5092443.57,5092187.23,5094558.68,8551529.41,5091508.32,5093201.84,4
3338,0.111266667,30000,0.2053,0,1,4884543.51,4885152.05,4887576.13,5193452.22,4884692.05,4885693.04,2
4736,0.157866667,30000,0.362333333,0,1,4960568.89,4960973.87,4963753.39,5733035.05,4960777.72,4961916.11,2
6688,0.222933333,30000,0.708766667,0,1,5035921.58,5035884.11,5039096.4,7168703.16,5036197.16,5037686.32,3
2293,0.076433333,30000,0.430033333,0,1,4803634.25,4803935.63,4805955.01,5247518.06,4803648.53,4804850.55,2
10916,0.363866667,30000,0.175733333,0,1,5141133.14,5141805.05,5146529.7,6004929.49,5141857.67,5142837.22,2
11123,0.370766667,30000,0.6092,0,1,5145964.41,5146087.57,5150663.97,8195054.56,5146623.36,5148005.66,2
6173,0.205766667,30000,0.4136,0,1,5018048.51,5018394.56,5021582.98,6167140.56,5018353.27,5019541.54,2
10369,0.345633333,30000,0.154033333,0,1,5129953.8,5130652.28,5135222.13,5849278.45,5130639.8,5131603.47,2
10149,0.3383,30000,0.108233333,0,1,5125230.37,5125982.65,5130507.85,5620208.19,5125908.35,5126835.74,2
6022,0.200733333,30000,0.213133333,0,1,5012333.01,5012942.43,5016172.86,5590413.09,5012674.26,5013684.24,2
3561,0.1187,30000,0.3331,0,1,4898767.34,4899208.04,4901646.92,5432858.99,4898897.79,4900011.48,2
12562,0.418733333,30000,0.155566667,0,1,5171540.91,5172239.62,5177471.45,6051529.11,5172398.88,5173360,2
1642,0.054733333,30000,0.577433333,0,1,4731594.66,4731693.54,4733460.28,5158170.17,4731522.5,4732872.94,4
13755,0.4585,30000,0.076966667,0,1,5191069.05,5191869.42,5197502.05,5668188.58,5192034.71,5192943.78,2
4985,0.166166667,30000,0.504,0,1,4971913.24,4972132.08,4974926.16,6102535.07,4972105.16,4973380.72,2
13634,0.454466667,30000,0.308733333,0,1,5189556.18,5190072.23,5195549.7,7084058.02,5190474.34,5191566.35,2
12202,0.406733333,30000,0.045066667,0,1,5165043.04,5165881.32,5171059.27,5413273.1,5165892.2,5166784.94,2
14628,0.4876,30000,0.1106,0,1,5204469.03,5205229.31,5211108.91,5933160.65,5205498.77,5206428.75,2
11384,0.379466667,30000,0.5955,0,1,5150967.75,5151109.43,5155770.21,8201447.7,5151650.91,5153018.35,2
8623,0.287433333,30000,0.496133333,0,1,5090599.64,5090852.36,5094736.77,7015799.38,5091077.74,5092346.76,2
4188,0.1396,30000,0.212166667,0,1,4933675.2,4934279.13,4936956.78,5334040.18,4933882.34,4934890.72,2
2660,0.088666667,30000,0.099233333,0,1,4835198.82,4835948.07,4838210.19,4954687.98,4835329.32,4836252.15,2
2957,0.098566667,30000,0.673933333,0,1,4859119.69,4859098.85,4861218.38,5755635.04,4859114.93,4860567.3,3
12373,0.412433333,30000,0.0914,0,1,5168140.21,5168921.17,5174127.88,5677737.53,5168994.54,5169913.7,2
4421,0.147366667,30000,0.3788,0,1,4945690.76,4946074.32,4948752.4,5699531.02,4945872.06,4947027.8,2
7109,0.236966667,30000,0.564566667,0,1,5048893.44,5049046.89,5052448.4,6854887.72,5049235.91,5050573.21,2
12928,0.430933333,30000,0.418133333,0,1,5178224.43,5178598.23,5183808.25,7610902.73,5179066.62,5180257.09,2
5252,0.175066667,30000,0.5225,0,1,4983242.57,4983441.32,4986307.24,6218113.94,4983450.28,4984747.11,2
7013,0.233766667,30000,0.011833333,0,1,5044980.82,5045855.04,5049473.97,5083168.58,5045442.74,5046324.16,2
14313,0.4771,30000,0.686766667,0,1,5200753.88,5200807.44,5206293.17,9623810.52,5201668.1,5203135.03,2
9360,0.312,30000,0.869366667,0,1,5109023.95,5108801.14,5112730.86,8770196.26,5109484.14,5111147.77,3
11492,0.383066667,30000,0.3977,0,1,5152667.15,5153059.7,5157849.56,7209517.38,5153395.88,5154567.5,2
10960,0.365333333,30000,0.217233333,0,1,5142080.27,5142697.07,5147414.9,6213961.79,5142800.35,5143810.16,2
4470,0.149,30000,0.9014,0,1,4950117.06,4949806.85,4951154.3,6761519.48,4949042.56,4950745.33,4
8753,0.291766667,30000,0.5278,0,1,5093898.12,5094109.78,5098018.38,7172797.45,5094379.9,5095679.58,2
14506,0.483533333,30000,0.6734,0,1,5203635.75,5203705.93,5209255.92,9599105.01,5204568.54,5206019.89,2
1473,0.0491,30000,0.8068,0,1,4708481.25,4708268.93,4709895.92,5242796.86,4708332.1,4709929.16,3
7366,0.245533333,30000,0.211733333,0,1,5055968.9,5056583.33,5060219.76,5758309.07,5056411.61,5057419.27,2
8449,0.281633333,30000,0.058166667,0,1,5085416.94,5086233.53,5090267.19,5307332.06,5085975.53,5086876.03,2
3763,0.125433333,30000,0.2538,0,1,4910578.25,4911123.5,4913655.78,5340795.93,4910744.07,4911785.47,2
10147,0.338233333,30000,0.000366667,0,1,5124999.58,5125888.55,5126647.09,5127524.61,5125698.83,5126576.57,2
2436,0.0812,30000,0.153566667,0,1,4816245.96,4816923.53,4819096.14,4985204.37,4816346.45,4817309.38,2
974,0.032466667,30000,0.9455,0,1,4620174.42,4619767.05,4620153.13,5032891.19,4618958.64,4620709.73,4
10216,0.340533333,30000,0.305033333,0,1,5126997.35,5127502.57,5131954.13,6529640.83,5127641.57,5128729.14,2
8394,0.2798,30000,0.628066667,0,1,5084997.9,5085080.04,5088835.47,7457203.64,5085429.22,5086834.24,2
13825,0.460833333,30000,0.099733333,0,1,5192208.99,5192981.68,5198623.84,5813352.13,5193176.51,5194100.08,2
12844,0.428133333,30000,0.919366667,0,1,5179256.51,5179007.08,5182369.6,10490750.49,5178435.81,5180157.09,4
3456,0.1152,30000,0.558566667,0,1,4892680.61,4892819.26,4895134.26,5761302.31,4892743.67,4894076.74,2
5820,0.194,30000,0.248266667,0,1,5005004.73,5005567.1,5008721.38,5655666.75,5005322.47,5006361.47,2
6522,0.2174,30000,0.0399,0,1,5029309.42,5030144.12,5033601.62,5147207.6,5029728.74,5030617.7,2
7743,0.2581,30000,0.245766667,0,1,5066841.56,5067412.99,5071147.73,5923628.28,5067305.4,5068341.16,2
14460,0.482,30000,0.695866667,0,1,5202986.36,5203028.63,5208553.29,9730669.43,5203911.74,5205387.12,2
6739,0.224633333,30000,0.660666667,0,1,5037482.8,5037508.77,5040757.47,7040745.48,5037773.67,5039211.71,2
2788,0.092933333,30000,0.524833333,0,1,4846119.49,4846295.43,4848424.84,5504568.8,4846142.83,4847438,2
4306,0.143533333,30000,0.209966667,0,1,4939689.27,4940295.63,4943009.8,5347059.86,4939905.46,4940911.18,2
5532,0.1844,30000,0.366833333,0,1,4994220.6,4994625.24,4997641.73,5907669.05,4994487.89,4995632.29,2
7205,0.240166667,30000,0.222966667,0,1,5051200.68,5051800.5,5055383.35,5774604.21,5051628.62,5052646,2
4183,0.139433333,30000,0.2231,0,1,4933436.36,4934024.98,4936696.57,5353885.32,4933640.31,4934656.91,2
13161,0.4387,30000,0.486533333,0,1,5182213.02,5182506.14,5187751.31,8063716.13,5183062.82,5184323.15,2
308,0.010266667,30000,0.112133333,0,1,4368517.63,4369244.17,4369693.33,4384750.71,4368497.8,4369429.12,4
14369,0.478966667,30000,0.553566667,0,1,5201368.59,5201585.38,5207156.84,8780675.63,5202308.41,5203635.13,2
1153,0.038433333,30000,0.823233333,0,1,4655490.05,4655250.35,4656776.37,5082124.18,4655313.94,4656927.1,3
8468,0.282266667,30000,0.222166667,0,1,5086191.2,5086795.61,5090759.64,5933266.69,5086715.91,5087731.96,2
13867,0.462233333,30000,0.8235,0,1,5194131.98,5194011.15,5199294.25,10332361.43,5194986.06,5196599.74,3
1209,0.0403,30000,0.543866667,0,1,4665266.07,4665409.19,4667059.89,4961125.58,4665174.26,4666491.86,4
10729,0.357633333,30000,0.9169,0,1,5140146.54,5139877.31,5142728.04,9564842.69,5139253.58,5140970.99,4
14623,0.487433333,30000,0.468333333,0,1,5205019.87,5205341.63,5211033.26,8286875.07,5205994.19,5207234.08,2
8830,0.294333333,30000,0.5469,0,1,5095826.95,5096016.77,5099939.5,7268878.44,5096310.87,5097632.14,2
8287,0.276233333,30000,0.9743,0,1,5084217.06,5083852.32,5086023.4,8715365.06,5083170.53,5084956.89,4
5996,0.199866667,30000,0.616966667,0,1,5012102.29,5012180.83,5015227.76,6676635.73,5012344.67,5013737.66,2
13641,0.4547,30000,0.3757,0,1,5189785.72,5190217.79,5195663.1,7496218.34,5190693.5,5191845.7,2
12896,0.429866667,30000,0.896933333,0,1,5180073.14,5179852.14,5183261.28,10382952.55,5179280.81,5180976.75,4
1435,0.047833333,30000,0.869566667,0,1,4702935.8,4702635.08,4704226.4,5263879.03,4702766.06,4704430.08,3
5369,0.178966667,30000,0.780166667,0,1,4988466.22,4988324.27,4991114.65,6872949.87,4988619.43,4990186.63,3
10564,0.352133333,30000,0.174766667,0,1,5134028.98,5134700.28,5139319.1,5965395.55,5134726.13,5135704.12,2
7998,0.2666,30000,0.215566667,0,1,5073811,5074419.78,5078245.1,5850153.87,5074301.06,5075309.09,2
8033,0.267766667,30000,0.325366667,0,1,5074947.81,5075415.88,5079201.75,6251413.7,5075416.42,5076520.52,2
8132,0.271066667,30000,0.4793,0,1,5077870,5078140.2,5081885.58,6831877.36,5078312.65,5079563.67,2
10380,0.346,30000,0.838466667,0,1,5131381.56,5131209.78,5135455.25,9047310.09,5131934.12,5133565.09,3
10839,0.3613,30000,0.2833,0,1,5139786.85,5140322.73,5144972.13,6521976.3,5140484.74,5141553.66,2
2938,0.097933333,30000,0.8822,0,1,4858089.44,4857787.22,4859816.89,6023842.24,4858026.91,4859705.81,3
4940,0.164666667,30000,0.125933333,0,1,4969288.14,4970007.51,4972948.59,5249894.79,4969571.39,4970512.91,2
3225,0.1075,30000,0.675166667,0,1,4877906.54,4877886.18,4880084.82,5857485.4,4877921.35,4879375.08,3
10390,0.346333333,30000,0.8326,0,1,5131577.95,5131415.74,5135666.97,9023861.79,5132132.52,5133759,3
26,0.000866667,30000,0.962166667,0,1,3834696.5,3834258.07,3833467.25,3845478.77,3834660.83,3836433.04,0
957,0.0319,30000,0.6773,0,1,4614900.52,4614860.21,4616320.43,4906326.19,4614753.47,4616210.27,4
2935,0.097833333,30000,0.9362,0,1,4859044.84,4858671.83,4859594.78,6093754.63,4857883.47,4859625.11,4
9662,0.322066667,30000,0.552333333,0,1,5115349.4,5115535.37,5119703.71,7516770.17,5115899.55,5117223.96,2
2722,0.090733333,30000,0.5364,0,1,4840952.82,4841112.58,4843217.64,5497963.21,4840968.26,4842274.94,2
929,0.030966667,30000,0.6637,0,1,4608449.41,4608426.9,4609852.02,4885677.92,4608304.48,4609746.3,4
5628,0.1876,30000,0.480366667,0,1,4998147.01,4998400.91,5001397.23,6214785.27,4998393.89,4999645.87,2
6266,0.208866667,30000,0.087066667,0,1,5020718.48,5021490.99,5024850.18,5266937.79,5021107.88,5022022.65,2
470,0.015666667,30000,0.818433333,0,1,4461229.83,4460992.24,4461562.25,4633839.75,4461010.13,4462619.9,3
8718,0.2906,30000,0.649066667,0,1,5093241.17,5093297.52,5097139.63,7639366.96,5093694.33,5095120.26,2
1721,0.057366667,30000,0.391733333,0,1,4741441.22,4741793.95,4743657.07,5045041.12,4741427.03,4742594.93,4
592,0.019733333,30000,0.824233333,0,1,4511194.26,4510947.8,4511763.65,4730269.19,4510980.54,4512594.65,3
2323,0.077433333,30000,0.7938,0,1,4807081.8,4806894.82,4808778.32,5636428.36,4806997.5,4808580.22,3
11703,0.3901,30000,0.469566667,0,1,5156735.09,5157039.4,5161857.15,7629702.11,5157467.78,5158709.92,2
4263,0.1421,30000,0.446933333,0,1,4937930.19,4938221.11,4940823.34,5795426.55,4938082.29,4939302.06,2
3422,0.114066667,30000,0.5184,0,1,4890470.72,4890661.86,4892983.15,5688759.93,4890541.95,4891833.17,2
5250,0.175,30000,0.044466667,0,1,4982325.86,4983154.46,4986224.14,5088171.6,4982651.71,4983544.66,2
11053,0.368433333,30000,0.663233333,0,1,5144687.85,5144745.11,5149274.44,8443254.5,5145330.77,5146772.7,2
8217,0.2739,30000,0.173566667,0,1,5079587.6,5080253.69,5084164.26,5721945.33,5080103.59,5081080.63,2
11219,0.373966667,30000,0.042,0,1,5146834.39,5147674.38,5152555.69,5359654.1,5147607.83,5148498.52,2
7940,0.264666667,30000,0.829866667,0,1,5073305.1,5073121.96,5076650.64,8037890.93,5073655.2,5075277.33,3
1741,0.058033333,30000,0.9239,0,1,4745885.48,4745516.19,4746164.47,5468033.86,4744710.25,4746437.51,4
12580,0.419333333,30000,0.2499,0,1,5172012.17,5172597.28,5177787.3,6587127.6,5172855.15,5173895.92,2
13311,0.4437,30000,0.8051,0,1,5185227.4,5185125.58,5190253.71,10007235.71,5186036.48,5187631.23,3
3782,0.126066667,30000,0.498733333,0,1,4912094.27,4912315.26,4914752.15,5760926.85,4912197.23,4913470.05,2
2604,0.0868,30000,0.907466667,0,1,4833042.5,4832703.35,4833586.39,5894729.16,4831909.81,4833617.56,4
13929,0.4643,30000,0.214533333,0,1,5194036.04,5194665.67,5200280.27,6539224.85,5194993.36,5196000.67,2
1163,0.038766667,30000,0.7881,0,1,4657297.79,4657106.23,4658648.78,5069308.4,4657132.51,4658707.14,3
12268,0.408933333,30000,0.5331,0,1,5167064.49,5167293.53,5172248.62,8110054.05,5167832.26,5169138.8,2
624,0.0208,30000,0.466733333,0,1,4521964.62,4522206.91,4523220.52,4653120.36,4521857.97,4523095.92,4
13852,0.461733333,30000,0.701233333,0,1,5193681.31,5193713.59,5199055.04,9564422.01,5194553.84,5196036.52,2
1242,0.0414,30000,0.3188,0,1,4670701.99,4671151.69,4672899.44,4849224.75,4670677.09,4671777.68,4
9014,0.300466667,30000,0.636533333,0,1,5100454.12,5100528.18,5104464.1,7682216.19,5100934.08,5102346.17,2
1199,0.039966667,30000,0.8532,0,1,4664008.52,4663730.88,4665258.89,5123804.25,4663826.95,4665475.81,3
2998,0.099933333,30000,0.005166667,0,1,4860933.27,4861809.79,4864212.36,4868767.2,4861112.12,4861991.15,2
10788,0.3596,30000,0.811266667,0,1,5139689.93,5139555.38,5143934.49,9077559.18,5140282.33,5141882.11,3
11658,0.3886,30000,0.426933333,0,1,5155824.73,5156183.19,5161008.44,7395696.58,5156561.55,5157762.96,2
12586,0.419533333,30000,0.929266667,0,1,5174871.96,5174606.93,5177892.49,10435685.61,5174031.11,5175763,4
3887,0.129566667,30000,0.184933333,0,1,4917477.68,4918115.86,4920714,5241514.75,4917670.37,4918655.88,2
6067,0.202233333,30000,0.702566667,0,1,5014805,5014768.31,5017799.08,6932604.55,5015032.47,5016512.71,3
9988,0.332933333,30000,0.4929,0,1,5122435.44,5122699.85,5126993.64,7337853.63,5123024.03,5124289.08,2
11659,0.388633333,30000,0.393066667,0,1,5155786.84,5156185.14,5161027.33,7218221.59,5156529.96,5157696.26,2
12718,0.423933333,30000,0.0604,0,1,5174049.49,5174867.48,5180194.24,5520469.22,5174936.27,5175834.87,2
1448,0.048266667,30000,0.4472,0,1,4704147.96,4704423,4706182.65,4995672.45,4704099.74,4705319.99,4
10582,0.352733333,30000,0.827266667,0,1,5135538.16,5135383,5139693.52,9074368.74,5136110.02,5137729.07,3
11309,0.376966667,30000,0.0154,0,1,5148520.1,5149393.19,5154314.78,5227715.79,5149305.47,5150185.7,2
10147,0.338233333,30000,0.6319,0,1,5126101.96,5126189.46,5130464.53,8011247.9,5126675.83,5128082.12,2
6178,0.205933333,30000,0.826366667,0,1,5018946.37,5018750.24,5021759.87,7315810.08,5019153.18,5020770.46,3
14569,0.485633333,30000,0.5006,0,1,5204274.79,5204556.01,5210214.69,8486236.89,5205239.63,5206510.9,2
6181,0.206033333,30000,0.837866667,0,1,5019071.87,5018860.45,5021865.94,7349018.36,5019276.19,5020905.99,3
1484,0.049466667,30000,0.3941,0,1,4709373.43,4709718.75,4711509.88,4972769.09,4709342.74,4710509.89,4
8390,0.279666667,30000,0.512433333,0,1,5084695.56,5084923.68,5088730.99,7019387.54,5085151.54,5086434.71,2
14262,0.4754,30000,0.970166667,0,1,5202170.05,5201873.84,5205503.74,11426129.59,5201341.32,5203121.44,4
13759,0.458633333,30000,0.2747,0,1,5191479.04,5192033.82,5197566.3,6892680.79,5192412.91,5193471.03,2
10430,0.347666667,30000,0.995433333,0,1,5134218.2,5133848.86,5136511.84,9804108.07,5133222.28,5135031.84,4
10450,0.348333333,30000,0.790866667,0,1,5132755.2,5132644.12,5136933.08,8851335.52,5133323.01,5134901.02,3
14628,0.4876,30000,0.134366667,0,1,5204510.42,5205241.7,5211108.91,6089608.9,5205536.51,5206483.15,2
3420,0.114,30000,0.5437,0,1,4890387.9,4890545.61,4892855.95,5727105.38,4890452.25,4891769.54,2
6005,0.200166667,30000,0.448233333,0,1,5012133.29,5012432.36,5015555.37,6223486.97,5012416.88,5013638.01,2
12465,0.4155,30000,0.9049,0,1,5172706.08,5172469.55,5175761.65,10246312.86,5171888.99,5173592.67,4
4420,0.147333333,30000,0.674866667,0,1,4946159.23,4946149.44,4948703.11,6288210.37,4946264.72,4947718.88,3
8701,0.290033333,30000,0.185866667,0,1,5092008.4,5092660.49,5096711.55,5820307.57,5092558.82,5093545.86,2
3187,0.106233333,30000,0.495333333,0,1,4875026.27,4875246.3,4877506.81,5585452.26,4875086.48,4876354.02,2
5150,0.171666667,30000,0.256566667,0,1,4978532.76,4979079.78,4982028.67,5573563.54,4978798.74,4979842.84,2
3362,0.112066667,30000,0.3946,0,1,4886426.12,4886780.72,4889134.68,5483626.8,4886525.92,4887693.97,2
5394,0.1798,30000,0.722033333,0,1,4989370.02,4989305.68,4992128.39,6741621.4,4989539.52,4991044.21,3
14677,0.489233333,30000,0.309933333,0,1,5205543.47,5206058.47,5211848.89,7252866.15,5206546.58,5207635.69,2
2563,0.085433333,30000,0.300333333,0,1,4827508.06,4827985.68,4830137.87,5174267.72,4827576.86,4828658.26,2
13670,0.455666667,30000,0.246733333,0,1,5190021.04,5190612.32,5196132.33,6708233.41,5190952.25,5191988.65,2
4653,0.1551,30000,0.1505,0,1,4956368.31,4957055.24,4959899.15,5272110.07,4956624.67,4957584.73,2
11006,0.366866667,30000,0.560866667,0,1,5143588.22,5143771.59,5148336.6,7921304.66,5144246.66,5145579.03,2
11888,0.396266667,30000,0.5455,0,1,5160265.81,5160477.36,5165312.93,8078411.08,5160999.9,5162319.55,2
11606,0.386866667,30000,0.246,0,1,5154540,5155125.17,5160023.69,6439763.49,5155305.87,5156342.02,2
11816,0.393866667,30000,0.985866667,0,1,5161304.46,5160963.38,5163974.3,10400971.06,5160366.52,5162165.92,4
11679,0.3893,30000,0.0563,0,1,5155567.23,5156391.1,5161404.9,5452211.3,5156373.67,5157272.59,2
6855,0.2285,30000,0.056466667,0,1,5040122.9,5040938.55,5044489.71,5215077.58,5040562.88,5041462.03,2
4371,0.1457,30000,0.967733333,0,1,4945444.71,4945043.58,4946274.07,6846991.65,4944285.38,4946061.66,4
