left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
560,0.28,2000,0.6575,0,1,368,0.329,90.20000000001164,80.21999999997206,330.5999999999767,11107.289999999979,107.61999999999534,164.7399999999907,1
193,0.0965,2000,0.173,0,1,33,0.0165,27.37000000005355,62.04000000003725,221.4200000000419,1060.5400000000373,32.820000000006985,82.94000000006054,0
764,0.382,2000,0.582,0,1,445,0.291,80.21000000002095,79.86999999999534,391.28999999997905,13400.349999999977,111.4199999999837,167.96000000002095,1
360,0.18,2000,0.134,0,1,48,0.067,25.259999999951106,63.17999999993481,271.0999999999767,1505.8699999999371,39.199999999953434,87.70999999996275,0
724,0.362,2000,0.483,0,1,350,0.2415,66.1600000000326,76.29000000003725,379.39000000001397,10551.180000000051,96.11000000004424,152.23000000003958,0
755,0.3775,2000,0.861,0,1,650,0.4305,113.92000000004191,88.86000000004424,388.61000000004424,19563.96000000002,141.0800000000163,205.53000000002794,1
600,0.3,2000,0.0855,0,1,51,0.043,16.979999999981374,62.90000000002328,342.5,1597.429999999993,44.90000000002328,96.40000000002328,0
473,0.2365,2000,0.4525,0,1,214,0.226,62.65999999997439,73.21999999997206,304.71000000002095,6481.229999999981,77.89000000001397,132.47999999998137,0
397,0.1985,2000,0.6995,0,1,278,0.35,94.28999999997905,79.76000000000931,282.10999999998603,8392.539999999979,101.15999999997439,160.0,1
706,0.353,2000,0.8425,0,1,595,0.421,111.68000000005122,87.6600000000326,374.04000000003725,17906.360000000044,135.86000000004424,199.62000000005355,1
552,0.276,2000,0.2445,0,1,135,0.122,36.39000000001397,67.53000000002794,328.22000000003027,4108.140000000014,59.300000000046566,111.53000000002794,0
175,0.0875,2000,0.956,0,1,167,0.0835,111.77000000001863,69.02999999996973,216.05999999999767,5081.77999999997,114.5800000000163,180.8399999999674,1
850,0.425,2000,0.1875,0,1,159,0.094,31.760000000009313,67.45999999996275,416.86999999999534,4840.179999999993,72.96999999997206,123.09999999997672,0
538,0.269,2000,0.149,0,1,80,0.0745,26.62999999994645,64.53999999997905,324.04999999998836,2463.5999999999767,50.12999999994645,99.61999999993714,0
73,0.0365,2000,0.577,0,1,42,0.021,69.12999999994645,63.65999999997439,185.71999999997206,1324.5199999999604,69.39999999996508,125.5099999999511,1
917,0.4585,2000,0.611,0,1,560,0.3055,83.34999999997672,82.31999999994878,436.80999999993946,16869.669999999984,124.01999999996042,182.0799999999581,1
977,0.4885,2000,0.942,0,1,920,0.471,126.37000000005355,94.42000000004191,454.6600000000326,27672.73000000004,167.57000000000698,232.5100000000093,1
710,0.355,2000,0.622,0,1,442,0.311,83.46000000002095,80.63000000000466,375.21999999997206,13309.710000000021,110.75,169.7600000000093,1
432,0.216,2000,0.064,0,1,28,0.032,15.260000000009313,61.5,292.53000000002794,887.7600000000093,34.19000000000233,84.46999999997206,0
851,0.4255,2000,0.7755,0,1,660,0.388,106.03999999997905,87.17999999999302,417.1699999999837,19860.390000000014,140.55999999999767,200.22000000003027,1
985,0.4925,2000,0.95,0,1,936,0.475,126.86000000004424,94.79999999998836,457.04000000003725,28135.25,168.54000000003725,234.23000000003958,1
756,0.378,2000,0.399,0,1,302,0.1995,59.199999999953434,73.82999999995809,388.9099999999744,9109.319999999949,92.19000000000233,143.39999999996508,0
660,0.33,2000,0.601,0,1,397,0.3005,81.07000000000698,79.47000000003027,360.3500000000349,11960.809999999998,105.5,163.67999999999302,1
911,0.4555,2000,0.414,0,1,377,0.207,60.51000000000931,75.53000000002794,435.0200000000186,11374.690000000002,102.94000000000233,155.38000000000466,0
289,0.1445,2000,0.788,0,1,228,0.394,106.30999999993946,81.05999999993946,249.97999999998137,6893.899999999965,105.32999999995809,165.11999999999534,1
266,0.133,2000,0.007,0,1,2,0.0035,9.389999999955762,59.18999999994412,64.4199999999837,113.88999999995576,20.619999999995343,70.39999999996508,0
640,0.32,2000,0.651,0,1,417,0.3255,90.02000000001863,80.84000000002561,354.4000000000233,12560.450000000012,112.52000000001863,169.07000000000698,1
544,0.272,2000,0.7275,0,1,396,0.364,97.34999999997672,82.19000000000233,325.8399999999674,11934.440000000002,112.76999999996042,173.10999999998603,1
245,0.1225,2000,0.6425,0,1,157,0.321,88.46999999997206,76.54999999998836,236.88999999995576,4783.589999999967,87.49999999994179,143.29999999998836,1
676,0.338,2000,0.924,0,1,625,0.462,123.48999999999069,89.89000000001397,365.10999999998603,18801.340000000026,144.64000000001397,208.9199999999837,1
460,0.23,2000,0.7445,0,1,342,0.372,98.1600000000326,81.76000000000931,300.8500000000349,10335.830000000016,108.13000000000466,169.97999999998137,1
184,0.092,2000,0.5585,0,1,103,0.0515,69.34000000002561,65.52000000001863,218.7399999999907,3143.710000000021,73.48999999999069,129.0,1
803,0.4015,2000,0.9855,0,1,791,0.493,129.5100000000093,93.54999999998836,402.88999999995576,23803.619999999995,158.35999999998603,226.38000000000466,1
129,0.0645,2000,0.9355,0,1,121,0.0605,108.84999999997672,67.82999999995809,202.37999999994645,3683.0599999999395,110.06999999994878,175.4099999999744,1
54,0.027,2000,0.0215,0,1,1,0.0005,9.709999999962747,58.84999999997672,43.96999999997206,92.93999999994412,10.979999999981374,61.21999999997206,0
551,0.2755,2000,0.037,0,1,20,0.0185,12.950000000011642,61.19000000000233,327.929999999993,669.7999999999884,38.79999999998836,88.70999999996275,0
757,0.3785,2000,0.2435,0,1,184,0.122,36.86999999999534,68.7599999999511,389.20999999996275,5589.099999999977,71.8399999999674,124.0,0
336,0.168,2000,0.863,0,1,290,0.4315,112.94000000000233,83.7400000000489,263.96000000002095,8761.360000000044,113.48000000003958,178.11000000004424,1
618,0.309,2000,0.8055,0,1,498,0.403,108.23000000003958,85.43000000005122,347.8500000000349,14996.000000000058,127.22000000003027,188.5900000000256,1
443,0.2215,2000,0.4665,0,1,207,0.233,64.42999999999302,73.39999999996508,295.79999999998836,6260.119999999995,77.70000000001164,132.45000000001164,0
889,0.4445,2000,0.728,0,1,647,0.364,98.28999999997905,86.0,428.4799999999814,19477.399999999965,135.85999999998603,196.22999999998137,1
322,0.161,2000,0.871,0,1,280,0.4355,113.38000000000466,83.77999999996973,259.79999999998836,8476.209999999963,112.94000000000233,178.30999999999767,1
58,0.029,2000,0.019,0,1,1,0.0005,9.570000000006985,58.86999999999534,42.09000000002561,91.15000000002328,11.03000000002794,61.179999999993015,0
871,0.4355,2000,0.854,0,1,744,0.427,113.80000000004657,90.06000000005588,423.12000000005355,22377.290000000037,148.77000000001863,212.57000000000698,1
780,0.39,2000,0.428,0,1,334,0.214,62.01000000000931,74.97000000003027,396.04999999998836,10075.340000000026,96.10999999998603,148.69000000000233,0
