left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
42614,0.2840933333333333,150000,0.7058933333333334,0,1,30081,0.3529466666666667,16160.819999999367,16427.16000000015,34974.16000000015,173455841.35,16938.30999999959,34751.29000000004,2
45892,0.30594666666666664,150000,0.21131333333333333,0,1,9698,0.10565333333333334,8164.819999999367,12150.290000000037,36416.479999999516,55922933.11,13482.729999999516,22448.259999999776,2
41994,0.27996,150000,0.35685333333333336,0,1,14986,0.17842666666666668,10223.509999999776,13105.439999999478,34701.360000000335,86425943.3,13729.019999999553,25249.240000000224,2
55027,0.36684666666666665,150000,0.18002666666666667,0,1,9906,0.09001333333333333,8554.009999999776,12799.959999999963,40435.87999999989,57126912.13,15611.0,24034.12999999989,2
48601,0.32400666666666667,150000,0.24722,0,1,12015,0.12361333333333334,9044.500000000931,12770.94000000041,37608.44000000041,69322542.95,14513.520000000484,24109.860000000335,2
17090,0.11393333333333333,150000,0.6461533333333334,0,1,11043,0.32308,12595.990000000224,13117.049999999814,23743.599999999627,63680450.36,9687.77999999933,26343.64999999944,4
6922,0.04614666666666667,150000,0.27257333333333333,0,1,1887,0.13628666666666667,5287.179999999935,8666.899999999907,18901.679999999935,6373237.85,2761.149999999907,12704.649999999907,4
70609,0.4707266666666667,150000,0.5439466666666667,0,1,38408,0.27197333333333334,16244.540000000037,17907.759999999776,47291.95999999996,221497680.89999998,23013.08999999985,37945.12999999989,2
1872,0.01248,150000,0.9458066666666667,0,1,1771,0.47290666666666664,16113.479999999981,14151.119999999879,8439.679999999935,5981104.799999999,7982.6699999999255,30136.22999999998,4
2497,0.016646666666666667,150000,0.5085666666666666,0,1,1270,0.25428,8815.540000000037,10312.630000000121,10194.680000000168,4291374.039999999,4392.229999999981,18508.89000000013,4
31922,0.21281333333333333,150000,0.27338666666666667,0,1,8727,0.13669333333333333,7811.469999999739,11278.580000000075,30269.679999999702,50350444.16,10367.099999999627,20402.30999999959,2
49812,0.33208,150000,0.11861333333333333,0,1,5908,0.05930666666666667,1299.9599999999627,5985.279999999329,38141.27999999933,13299388.040000001,13701.30999999959,19572.009999999776,2
52490,0.3499333333333333,150000,0.18269333333333335,0,1,9590,0.09134666666666667,8345.339999999851,12564.290000000037,39319.59999999963,55333194.910000004,14965.519999999553,23436.990000000224,2
41505,0.2767,150000,0.4309133333333333,0,1,17885,0.21545333333333333,11421.490000000224,13743.450000000186,34486.200000000186,103127133.86,14246.689999999478,27075.479999999516,2
11724,0.07816,150000,0.6642333333333333,0,1,7787,0.33212,12361.269999999553,12702.28000000026,21382.55999999959,44914841.19,8450.509999999776,25426.740000000224,4
58147,0.38764666666666664,150000,0.00868,0,1,505,0.00434,243.11999999918044,5756.379999999888,41808.6799999997,1141131.17,14914.839999999851,20428.239999999292,2
59301,0.39534,150000,0.27231333333333335,0,1,16148,0.13616,10536.510000000708,14119.44000000041,42316.44000000041,93149996.32000001,17559.670000000857,27600.110000000335,2
71558,0.47705333333333333,150000,0.40154,0,1,28733,0.20077333333333333,13943.209999999963,16639.55999999959,47709.51999999955,165695712.04999998,21986.68999999948,34340.169999999925,2
61714,0.41142666666666666,150000,0.10128,0,1,6250,0.05064,1158.2000000001863,6000.8300000000745,43378.16000000015,14068941.299999997,16674.71999999974,22478.55999999959,2
45445,0.30296666666666666,150000,0.3523733333333333,0,1,16014,0.17618666666666666,10492.409999999218,13424.259999999776,36219.799999999814,92342617.94,14598.009999999776,26047.33999999985,2
20738,0.13825333333333334,150000,0.68634,0,1,14233,0.34317333333333333,13638.400000000373,13875.980000000447,25348.72000000067,82071535.94999999,10980.890000000596,28379.03000000026,4
12135,0.0809,150000,0.38194666666666666,0,1,4635,0.19097333333333333,7654.049999999814,10197.009999999776,21563.400000000373,26731541.53,6182.969999999739,18067.799999999814,4
63361,0.42240666666666665,150000,0.6770666666666667,0,1,42900,0.33853333333333335,17756.56000000052,18403.10000000056,44102.83999999985,247392459.29999998,22252.890000000596,39590.669999999925,2
19341,0.12894,150000,0.9326266666666667,0,1,18038,0.46631333333333336,17644.019999999553,15966.579999999143,24734.039999999106,104010353.54000002,12707.919999998994,34659.64999999944,4
16299,0.10866,150000,0.8167666666666666,0,1,13312,0.4083866666666667,15388.669999999925,14578.679999999702,23395.55999999959,76769631.06,10925.669999999925,30717.36999999918,4
4421,0.029473333333333334,150000,0.91434,0,1,4042,0.4571733333333333,15838.570000000065,14150.380000000121,14609.240000000224,13648225.63,7923.670000000158,29488.16000000015,4
62080,0.41386666666666666,150000,0.25433333333333336,0,1,15789,0.12716666666666668,10515.900000000373,14238.570000000298,43539.200000000186,91092492.38000001,18139.87000000011,27861.16000000015,2
9397,0.06264666666666667,150000,0.0785,0,1,738,0.039253333333333335,799.3500000000931,5706.800000000047,20358.680000000168,1665291.5600000003,1331.410000000149,7046.540000000037,2
9360,0.0624,150000,0.9730733333333333,0,1,9108,0.4865333333333333,17320.830000000075,15225.690000000177,20342.40000000014,30744810.0,8833.930000000168,31495.550000000047,4
44260,0.29506666666666664,150000,0.22192666666666666,0,1,9822,0.11096,8181.289999999106,12083.30999999959,35698.39999999944,56673227.33,13148.21999999974,22302.639999999665,2
37238,0.24825333333333333,150000,0.025686666666666667,0,1,957,0.01284,354.7700000004843,5714.370000001043,32608.72000000067,2157696.840000001,9607.950000000186,15155.200000000186,2
8753,0.05835333333333333,150000,0.46422,0,1,4063,0.23210666666666666,8700.399999999907,10582.860000000102,20075.320000000065,13719126.57,4516.619999999879,17839.280000000028,4
71332,0.4755466666666667,150000,0.2759466666666667,0,1,19684,0.13797333333333334,11808.450000000186,15408.740000000224,47610.080000000075,113557604.63999999,20794.950000000186,30897.770000000484,2
40134,0.26756,150000,0.6595066666666667,0,1,26469,0.32975333333333334,15132.570000000298,15726.770000000484,33882.960000000894,152630951.57,15874.070000000298,32830.50000000093,2
