left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
117953,0.07863533333333333,1500000,0.24936,0,0,505907,0.24936,1022622.7699999999,1050965.64,1394293552.0300002,1394321894.9,152460.58000000002,180803.45,4
95940,0.06396,1500000,0.13959266666666667,0,0,230355,0.13959266666666667,821225.2499999999,857219.5099999999,634925347.1100001,634961341.3700001,77075.31,113069.58,4
86294,0.057529333333333335,1500000,0.6319006666666667,0,0,937917,0.6319006666666667,815963.9800000001,817649.16,2584876609.35,2584878294.5299997,294113.24,295798.42,4
48601,0.03240066666666667,1500000,0.9388213333333333,0,0,784807,0.9388213333333333,542712.65,523005.16,2162933986.55,2162914279.0600004,407638.97,387931.48,5
52621,0.03508066666666667,1500000,0.44662466666666667,0,0,404238,0.44662466666666667,504367.9099999999,518962.58999999997,1114127514.33,1114142109.0,200589.88999999998,215184.56999999998,4
17090,0.011393333333333333,1500000,0.5481906666666667,0,0,161142,0.5481906666666667,219844.53000000003,227361.1,444145963.25,444153479.82,226660.86000000002,234177.43000000002,0
108632,0.07242133333333334,1500000,0.491432,0,0,918240,0.491432,982524.35,993998.83,2530642435.43,2530653909.91,271963.67000000004,283438.16000000003,4
82458,0.054972,1500000,0.8508906666666667,0,0,1206817,0.8508906666666667,816958.69,803379.39,3326009226.46,3325995647.1600003,386723.34,373144.03,5
137994,0.091996,1500000,0.4814506666666667,0,0,1142739,0.4814506666666667,1228109.9500000002,1240279.4500000002,3149422748.1,3149434917.6,288991.63,301161.12,4
70609,0.047072666666666665,1500000,0.507006,0,0,615755,0.507006,664748.96,675137.63,1697028174.33,1697038562.99,233771.77,244160.44000000003,4
7878,0.005252,1500000,0.5774193333333333,0,0,78242,0.5774193333333333,146276.53,151757.85,215678515.93,215683997.25,234354.1,239835.42,0
132944,0.08862933333333334,1500000,0.4172633333333333,0,0,954144,0.4172633333333333,1175260.08,1191902.49,2629586527.5299997,2629603169.94,257193.84999999998,273836.26,4
133569,0.089046,1500000,0.37466866666666665,0,0,860772,0.37466866666666665,1173649.35,1193258.87,2372352543.1,2372372152.62,239034.36,258643.88,4
108505,0.07233666666666666,1500000,0.9264813333333334,0,0,1729105,0.9264813333333334,1049721.0899999999,1030874.53,4765372193.0199995,4765353346.46,461796.88,442950.31,5
131870,0.08791333333333333,1500000,0.90778,0,0,2059025,0.90778,1245170.0700000003,1227626.4200000002,5674571239.320001,5674553695.67,473120.64999999997,455577.0,5
122145,0.08143,1500000,0.11771066666666667,0,0,247301,0.11771066666666667,1036774.97,1074293.6400000001,681637601.8000001,681675120.47,110729.76000000001,148248.43000000002,4
