left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
117953,0.07863533333333333,1500000,0.24936,0,0,505907,0.24936,1022854.7699999999,1051197.6400000001,1394293552.0300002,1394321894.9,153272.56999999995,181615.43999999994,4
95940,0.06396,1500000,0.13959266666666667,0,0,230355,0.13959266666666667,821411.24,857405.51,634925347.1000001,634961341.3700001,77400.80999999994,113395.06999999995,4
86294,0.057529333333333335,1500000,0.6319006666666667,0,0,937917,0.6319006666666667,816131.9900000002,817817.1700000002,2584876609.3599997,2584878294.54,294407.2400000001,296092.42000000004,4
48601,0.03240066666666667,1500000,0.9388213333333333,0,0,784807,0.9388213333333333,542806.6499999999,523099.1599999999,2162933986.55,2162914279.06,407803.45999999996,388095.97,5
52621,0.03508066666666667,1500000,0.44662466666666667,0,0,404238,0.44662466666666667,504471.9099999999,519066.5800000001,1114127514.32,1114142109.0,200771.8899999999,215366.55999999994,4
17090,0.011393333333333333,1500000,0.5481906666666667,0,0,161142,0.5481906666666667,219876.5299999999,227393.09999999986,444145963.25,444153479.82,226716.85999999987,234233.42999999993,0
108632,0.07242133333333334,1500000,0.491432,0,0,918240,0.491432,982736.3400000001,994210.8300000001,2530642435.42,2530653909.9100003,272705.6699999999,284180.1499999999,4
82458,0.054972,1500000,0.8508906666666667,0,0,1206817,0.8508906666666667,817120.7000000001,803541.39,3326009226.4700003,3325995647.1600003,387006.85,373427.54000000004,5
137994,0.091996,1500000,0.4814506666666667,0,0,1142739,0.4814506666666667,1228377.9600000002,1240547.4500000002,3149422748.1099997,3149434917.6,289929.64,302099.13,4
70609,0.047072666666666665,1500000,0.507006,0,0,615755,0.507006,664886.9600000002,675275.6200000001,1697028174.32,1697038562.99,234013.26,244401.92999999993,4
7878,0.005252,1500000,0.5774193333333333,0,0,78242,0.5774193333333333,146292.53999999992,151773.84999999998,215678515.94,215683997.25,234382.10999999987,239863.42999999993,0
132944,0.08862933333333334,1500000,0.4172633333333333,0,0,954144,0.4172633333333333,1175520.0700000003,1192162.48,2629586527.5199995,2629603169.93,258103.84000000008,274746.25,4
133569,0.089046,1500000,0.37466866666666665,0,0,860772,0.37466866666666665,1173909.35,1193518.87,2372352543.0899997,2372372152.6099997,239944.36,259553.88,4
108505,0.07233666666666666,1500000,0.9264813333333334,0,0,1729105,0.9264813333333334,1049933.0899999999,1031086.52,4765372193.0199995,4765353346.45,462538.87,443692.31000000006,5
131870,0.08791333333333333,1500000,0.90778,0,0,2059025,0.90778,1245428.08,1227884.4300000002,5674571239.33,5674553695.68,474023.6599999999,456480.0,5
122145,0.08143,1500000,0.11771066666666667,0,0,247301,0.11771066666666667,1037014.9700000001,1074533.6300000004,681637601.8,681675120.4599999,111569.75,149088.42000000004,4
84666,0.056444,1500000,0.4445746666666667,0,0,647424,0.4445746666666667,773758.07,788498.5599999999,1784278012.0500002,1784292752.5400002,213529.2400000001,228269.7300000001,4
41505,0.02767,1500000,0.06198466666666667,0,0,44251,0.06198466666666667,354974.31000000006,393970.88,121973435.74000001,122012432.30000001,32460.310000000056,71456.87,4
49867,0.033244666666666665,1500000,0.7377906666666667,0,0,632822,0.7377906666666667,524047.95999999985,518352.5299999999,1744067242.5800002,1744061547.15,322687.89,316992.4600000001,5
123032,0.08202133333333333,1500000,0.569074,0,0,1204264,0.569074,1116379.47,1122440.85,3318973332.92,3318979394.3,317263.73,323325.11,4
11724,0.007816,1500000,0.36566866666666664,0,0,73739,0.36566866666666664,149037.45999999996,169273.22999999998,203257069.06,203277304.83,149204.44999999995,169440.21999999997,0
148664,0.09910933333333333,1500000,0.5762833333333334,0,0,1473590,0.5762833333333334,1333745.23,1339307.37,4061152563.92,4061158126.06,339863.87,345426.0,4
108673,0.07244866666666666,1500000,0.947216,0,0,1770539,0.947216,1054611.4100000001,1034321.5599999999,4879526392.19,4879506102.339999,471793.76,451503.92000000004,5
