left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
435830,0.29055333333333333,1500000,0.24936,0,1,108679,0.12468,85723.7799999998,114066.6499999999,323768.23,5151818761.099999,232236.06999999983,318806.83999999985,0
152316,0.101544,1500000,0.6325673333333334,0,1,96350,0.316284,105949.6400000006,107587.3200000003,194060.5700000003,4567359881.860001,120652.42000000039,329515.10000000056,0
610582,0.4070546666666667,1500000,0.6319006666666667,0,1,385827,0.31595066666666666,161486.91000000015,163172.08999999985,403717.27,18289277838.86,349916.0299999998,559743.8799999999,0
735832,0.4905546666666667,1500000,0.9388213333333333,0,1,690815,0.46941066666666664,221383.8999999999,201676.41999999993,461019.14000000013,32746398111.940002,437966.5800000001,731091.1400000001,1
310745,0.20716333333333334,1500000,0.17754466666666666,0,1,55171,0.088772,60863.939999999944,94213.95999999996,266541.83999999985,2615510926.27,164583.49000000022,238740.9700000002,0
604475,0.40298333333333336,1500000,0.44662466666666667,0,1,269973,0.223312,134016.05000000028,148610.72999999998,400923.3200000003,12798025348.97,332111.95999999996,492582.3500000001,0
674344,0.44956266666666667,1500000,0.21054066666666665,0,1,141977,0.10527066666666667,108134.31000000006,139184.18999999994,432888.3799999999,6730110904.28,348305.1699999999,428131.89000000013,0
255654,0.170436,1500000,0.8508906666666667,0,1,217534,0.42544533333333334,149237.5499999998,135658.23999999976,241337.70999999996,10311863235.0,188531.38999999966,456555.3499999996,1
332753,0.22183533333333333,1500000,0.899438,0,1,299291,0.44971866666666666,165640.86999999965,148677.18999999994,276610.5,14187424136.21,230902.5,512305.25,1
532166,0.35477733333333333,1500000,0.5774193333333333,0,1,307283,0.2887093333333333,144147.75000000047,149629.0700000003,367841.9500000002,14566461054.53,306119.6900000004,501175.3500000001,0
597424,0.3982826666666667,1500000,0.4172633333333333,0,1,249283,0.208632,128936.44000000041,145578.8500000001,397697.48,11816750493.93,326240.31000000006,478937.8200000003,0
441171,0.294114,1500000,0.320084,0,1,141212,0.160042,96439.71999999974,119854.08999999985,326211.73999999976,6693885982.51,240399.8700000001,367221.68999999994,0
370649,0.24709933333333334,1500000,0.3168393333333333,0,1,117436,0.15842,87639.49000000022,111279.03000000026,293947.9199999999,5567152271.510001,205012.68000000017,330817.0,0
230132,0.15342133333333333,1500000,0.90778,0,1,208909,0.45389,154078.60999999987,136534.95999999996,229661.39000000013,9902870730.77,180088.25,463499.48,1
49812,0.033208,1500000,0.320346,0,1,15957,0.16017333333333333,50186.35999999987,73582.84999999963,142856.98999999976,756481251.71,37533.31999999983,163448.76999999955,4
473999,0.31599933333333335,1500000,0.17963533333333334,0,1,85147,0.08981733333333333,80240.99000000022,113443.12999999989,341230.5499999998,4036524715.84,245801.08000000007,320313.7200000002,0
183562,0.12237466666666667,1500000,0.10616066666666667,0,1,19487,0.05308,36000.889999999665,74325.73999999976,208355.61999999965,923843000.73,96488.66999999946,158622.8299999996,0
381568,0.25437866666666664,1500000,0.8103553333333333,0,1,309206,0.40517733333333333,159038.3500000001,148285.1000000001,298943.35999999987,14657218442.99,248574.3500000001,505922.6499999999,1
514592,0.34306133333333333,1500000,0.42443733333333333,0,1,218412,0.21221866666666667,120085.93999999994,136230.04000000004,359801.83999999985,10353556024.92,285264.56999999983,439650.91000000015,0
477429,0.318286,1500000,0.684108,0,1,326613,0.342054,152788.77000000002,150835.50999999978,342799.77,15482321199.87,286965.2599999998,510479.23,1
649892,0.43326133333333333,1500000,0.32170933333333335,0,1,209076,0.16085466666666667,121364.19999999972,144663.8999999999,421701.58999999985,9911198884.730001,344953.48,472304.91000000015,0
273868,0.18257866666666667,1500000,0.43731733333333334,0,1,119767,0.21865866666666667,93177.37999999989,108424.37000000011,249670.60999999987,5677506283.46,166137.50999999978,323324.16000000015,0
410808,0.273872,1500000,0.5762833333333334,0,1,236742,0.28814133333333336,129317.12000000011,134879.26000000024,312320.66000000015,11222244078.06,245128.33999999985,439573.8300000001,0
714661,0.4764406666666667,1500000,0.947216,0,1,676938,0.473608,219965.49999999953,199675.65999999968,451333.4099999997,32088585458.02,427869.2899999996,723230.2699999996,1
71558,0.047705333333333336,1500000,0.677982,0,1,48515,0.33899066666666666,102457.10999999987,100929.66000000015,157113.79000000004,2299821851.44,70354.83999999985,291209.52,4
658921,0.43928066666666665,1500000,0.449706,0,1,296321,0.22485333333333332,140967.35999999987,155350.1499999999,425832.35999999987,14046520055.98,359726.2999999998,521145.18999999994,0
45445,0.030296666666666666,1500000,0.7200573333333333,0,1,32723,0.36002866666666666,105109.6499999999,100650.7200000002,135931.08999999985,1551235792.26,65812.18999999994,297930.35999999987,4
570811,0.3805406666666667,1500000,0.8707266666666666,0,1,497020,0.4353633333333333,191039.8700000001,176080.8700000001,385522.04000000004,23560472802.08,348771.58999999985,622970.8399999999,1
521538,0.347692,1500000,0.9962326666666667,0,1,519573,0.498116,202946.40000000037,179238.86000000034,362979.64000000013,24629282537.3,333718.1500000004,641966.94,1
80164,0.053442666666666666,1500000,0.24159533333333333,0,1,19367,0.12079733333333334,42827.500000000466,71712.19000000041,161051.03000000026,918156508.7600001,40493.90000000037,125006.40000000037,4
47884,0.03192266666666667,1500000,0.42924066666666666,0,1,20554,0.21462,65065.35999999987,80873.35999999987,139850.9299999997,974386899.51,45027.9299999997,199516.25999999978,4
86108,0.057405333333333336,1500000,0.476556,0,1,41035,0.238278,76210.70000000019,88720.68000000017,163770.41000000015,1945271150.1599998,59683.20999999996,226779.31000000006,4
707172,0.471448,1500000,0.5077326666666667,0,1,359054,0.2538666666666667,155169.83000000007,165508.41999999993,447907.18999999994,17020252720.41,388682.5800000001,565604.2600000002,0
412557,0.275038,1500000,0.6905546666666666,0,1,284893,0.3452773333333333,145800.3999999999,143395.91999999993,313120.8300000001,13504887182.94,254868.4500000002,479955.77,1
536661,0.357774,1500000,0.057540666666666664,0,1,30880,0.028770666666666667,70027.0299999998,108669.64999999944,369898.4099999997,1463874299.83,267406.83999999985,318572.8299999996,0
586368,0.390912,1500000,0.9344193333333334,0,1,547914,0.4672093333333333,202147.31000000006,182746.3799999999,392639.35999999987,25972888494.149998,361702.2799999998,653258.3599999999,1
138085,0.09205666666666666,1500000,0.788888,0,1,108934,0.394444,126051.53999999957,116792.80999999959,187549.88999999966,5163872584.63,125322.96999999974,376254.9799999995,1
266063,0.17737533333333333,1500000,0.041816,0,1,11126,0.020908,36521.14999999991,73897.84000000032,246099.83000000007,527606135.78000003,132171.64000000013,178507.02000000002,0
175332,0.116888,1500000,0.9380673333333334,0,1,164473,0.46903333333333336,151516.68000000017,131860.97999999998,204590.39000000013,7796627585.73,155014.01000000024,446536.6299999999,1
146200,0.09746666666666666,1500000,0.6680946666666666,0,1,97675,0.3340473333333333,110170.6799999997,109333.76999999955,191262.5,4630221239.35,120293.20999999996,338679.9299999997,1
101262,0.067508,1500000,0.9162866666666667,0,1,92785,0.45814333333333335,139261.90999999968,121125.9599999995,170703.36999999965,4398308439.98,96882.47999999952,382287.64999999944,4
341846,0.22789733333333334,1500000,0.33559466666666665,0,1,114722,0.16779733333333333,86890.33000000007,109223.54000000004,280770.5499999998,5438433978.959999,192133.4700000002,322760.3300000001,0
108102,0.072068,1500000,0.429794,0,1,46462,0.21489733333333333,72331.15999999968,88098.63999999966,173832.66999999993,2202448842.96,62678.799999999814,217456.2999999998,4
464548,0.3096986666666667,1500000,0.09115133333333333,0,1,42344,0.045576,66492.72999999998,105860.58000000007,336906.70999999996,2007313845.75,234187.81000000006,293847.75,0
