left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
43568,0.21784,200000,0.003115,0,1,136,0.00156,207.85000000009313,6436.489999999758,38449.60000000009,413408.48,12104.200000000186,18363.319999999832,0
45892,0.22946,200000,0.13129,0,1,6025,0.065645,7998.5,13356.569999999832,39495.39999999991,41624803.68,14153.189999999944,23365.44999999972,0
95940,0.4797,200000,0.237935,0,1,22827,0.11897,16079.070000000298,20384.880000000354,62017.000000000466,157713430.66,29813.590000000317,41309.43000000017,0
41994,0.20997,200000,0.50966,0,1,21403,0.25483,15335.89000000013,16963.659999999683,37741.299999999814,147824954.95000002,17118.759999999776,34554.1799999997,0
86294,0.43147,200000,0.386195,0,1,33326,0.1931,18062.44999999972,20908.350000000093,57676.299999999814,230203433.09,28660.72999999998,43444.98999999976,0
80472,0.40236,200000,0.069355,0,1,5581,0.03468,1222.130000000354,7190.959999999963,55056.39999999991,16750101.35,23420.939999999944,30378.77000000002,0
39513,0.197565,200000,0.754825,0,1,29825,0.37741,20081.790000000037,19291.47999999998,36624.85000000009,206007075.09,19040.360000000335,42033.65000000037,4
80187,0.400935,200000,0.73494,0,1,58933,0.36747,24651.089999999385,24057.379999999423,54928.14999999944,407021805.81,30767.109999999404,53405.32999999961,1
32231,0.161155,200000,0.91213,0,1,29399,0.456065,22416.060000000056,20073.179999999702,33347.94999999972,203074986.16,18610.069999999832,45219.08999999985,4
89689,0.448445,200000,0.25005,0,1,22427,0.125025,15597.320000000298,19785.730000000447,59204.05000000028,154913141.37,28122.94000000041,39884.16000000015,0
82458,0.41229,200000,0.491125,0,1,40497,0.24556,19810.35999999987,21620.0,55950.10000000009,279735363.31,28711.439999999944,45834.00999999978,0
38805,0.194025,200000,0.310075,0,1,12032,0.15504,10849.709999999963,14447.020000000019,36306.25,83135856.16000001,14053.270000000019,27081.14000000013,0
70609,0.353045,200000,0.657795,0,1,46446,0.3289,21870.430000000168,22035.72999999998,50618.05000000028,320810860.36,27086.30000000028,47938.05000000028,0
7878,0.03939,200000,0.155855,0,1,1228,0.07793,4069.3699999999953,9187.459999999963,21937.099999999977,5531796.83,2181.359999999986,11835.469999999972,4
1872,0.00936,200000,0.57701,0,1,1080,0.288505,11874.300000000047,12838.340000000084,9162.40000000014,4867373.52,6106.360000000102,24951.090000000084,4
2497,0.012485,200000,0.631135,0,1,1576,0.31557,13043.350000000093,13472.96000000008,11011.650000000023,7098383.459999999,6715.109999999986,26786.290000000037,4
24676,0.12338,200000,0.1047,0,1,2584,0.05235,1418.0,7040.130000000005,29948.199999999953,7757443.949999999,7848.660000000033,15026.0,0
31922,0.15961,200000,0.45534,0,1,14535,0.22767,13011.520000000019,15175.410000000149,33208.89999999991,100402216.11,13636.370000000112,29835.799999999814,0
49812,0.24906,200000,0.3403,0,1,16951,0.17015,12775.519999999553,16073.049999999814,41259.39999999991,117109860.95,17543.069999999832,31253.62999999989,0
80783,0.403915,200000,0.00081,0,1,65,0.000405,319.87000000011176,6523.479999999981,55196.35000000009,202520.95999999996,22743.259999999776,28953.21999999974,0
81858,0.40929,200000,0.38833,0,1,31788,0.194165,17578.25,20403.669999999925,55680.10000000009,219549191.59,27385.37000000011,42217.04000000004,0
84666,0.42333,200000,0.08233,0,1,6971,0.041165,1411.6100000003353,7253.030000000261,56943.700000000186,20918356.51,24777.980000000447,31813.78000000026,0
41505,0.207525,200000,0.401885,0,1,16680,0.20094,13059.169999999925,15749.149999999907,37521.25,115210421.72,15817.419999999925,30855.62000000011,0
84213,0.421065,200000,0.74842,0,1,63027,0.37421,25430.010000000242,24701.12000000011,56739.85000000009,435325926.59000003,32111.80000000028,55068.16000000015,1
96767,0.483835,200000,0.383975,0,1,37156,0.19199,19261.71000000043,22128.380000000354,62389.15000000037,256625678.47,31708.600000000093,46440.67000000039,0
43891,0.219455,200000,0.94018,0,1,41265,0.47009,24443.740000000224,21821.69000000041,38594.950000000186,285015094.23,22322.600000000093,49608.44000000041,1
58147,0.290735,200000,0.25691,0,1,14939,0.128455,12031.319999999832,16151.71999999974,45010.14999999991,103202013.77000001,19039.27000000002,30950.959999999963,0
92289,0.461445,200000,0.45446,0,1,41942,0.22723,20218.680000000168,22389.650000000373,60374.05000000028,289737128.0500001,31191.14000000013,47518.37000000011,0
89142,0.44571,200000,0.04734,0,1,4220,0.02367,968.9400000004098,7154.8300000000745,58957.90000000037,12666630.51,25685.360000000335,32520.230000000447,0
20007,0.100035,200000,0.63937,0,1,12792,0.319685,15338.580000000075,15685.369999999995,27847.150000000023,88360092.45,12189.180000000051,32495.170000000042,4
90869,0.454345,200000,0.32683,0,1,29699,0.163415,17358.149999999907,20786.819999999832,59735.049999999814,205142682.22,29336.319999999832,42789.37999999989,0
96592,0.48296,200000,0.689005,0,1,66552,0.3445,25690.189999999944,25548.25,62310.39999999991,459689781.38,35112.049999999814,56740.939999999944,1
46523,0.232615,200000,0.770255,0,1,35835,0.38513,21260.759999999776,20316.450000000186,39779.35000000009,247498472.23,21252.259999999776,44614.720000000205,1
86905,0.434525,200000,0.432445,0,1,37582,0.21622,19110.799999999814,21498.819999999832,57951.25,259621224.4,29360.85999999987,45188.529999999795,0
28648,0.14324,200000,0.893515,0,1,25597,0.44676,21589.91000000015,19429.180000000168,31735.600000000093,176809527.90999997,17370.02000000002,43535.51000000024,4
92218,0.46109,200000,0.0369,0,1,3403,0.01845,842.6700000003912,7132.100000000559,60342.10000000056,10215211.05,26457.790000000503,33239.81000000052,0
12135,0.060675,200000,0.59641,0,1,7237,0.298205,13509.750000000116,14280.90000000014,24304.750000000116,49993814.25,9509.270000000135,28821.830000000075,4
47884,0.23942,200000,0.041,0,1,1963,0.0205,711.6099999998696,6961.6899999994785,40391.799999999814,5896412.5,13742.789999999572,20546.429999999702,0
63361,0.316805,200000,0.56646,0,1,35891,0.28323,19087.68999999948,20152.659999999683,47356.44999999972,247899252.41000003,23951.929999999702,42714.71999999974,0
9782,0.04891,200000,0.08551,0,1,836,0.042755,1109.5200000000186,6918.819999999949,23245.900000000023,2516079.21,3506.569999999949,10561.05999999994,0
27258,0.13629,200000,0.24811,0,1,6763,0.124055,8218.930000000168,12426.120000000112,31110.100000000093,46735991.2,10101.930000000168,21766.52000000002,0
12373,0.061865,200000,0.263355,0,1,3258,0.13168,6778.530000000028,10833.359999999986,24411.849999999977,22514082.92,6083.829999999958,18033.43000000005,4
