left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
43568,0.21784,200000,0.003115,0,1,136,0.00156,207.85000000149012,6436.490000002086,38449.60000000149,413408.48000000045,12251.210000000894,18510.330000001937,0
45892,0.22946,200000,0.13129,0,1,6025,0.065645,8088.509999997914,13446.570000000298,39495.39999999851,41624803.69,14310.699999999255,23522.949999999255,0
95940,0.4797,200000,0.237935,0,1,22827,0.11897,16267.080000001937,20572.879999998957,62017.0,157713430.67,30142.58999999985,41638.4299999997,0
41994,0.20997,200000,0.50966,0,1,21403,0.25483,15417.880000002682,17045.650000002235,37741.300000000745,147824954.95,17262.25,34697.6799999997,0
86294,0.43147,200000,0.386195,0,1,33326,0.1931,18230.45000000298,21076.35000000149,57676.300000000745,230203433.07999998,28954.730000000447,43738.98000000045,0
80472,0.40236,200000,0.069355,0,1,5581,0.03468,1222.129999998957,7190.969999998808,55056.39999999851,16750101.36,23693.949999999255,30651.769999999553,0
39513,0.197565,200000,0.754825,0,1,29825,0.37741,20159.800000000745,19369.48999999836,36624.85000000149,206007075.09,19176.859999999404,42170.14999999851,4
80187,0.400935,200000,0.73494,0,1,58933,0.36747,24807.08999999985,24213.380000002682,54928.150000002235,407021805.81,31040.11000000313,53678.33000000194,1
32231,0.161155,200000,0.91213,0,1,29399,0.456065,22478.050000000745,20135.179999999702,33347.949999999255,203074986.14999998,18718.570000000298,45327.58999999985,4
89689,0.448445,200000,0.25005,0,1,22427,0.125025,15773.329999998212,19961.730000000447,59204.04999999702,154913141.38,28430.939999997616,40192.16000000015,0
82458,0.41229,200000,0.491125,0,1,40497,0.24556,19972.35000000149,21782.0,55950.10000000149,279735363.30999994,28994.94000000134,46117.51000000164,0
38805,0.194025,200000,0.310075,0,1,12032,0.15504,10923.710000000894,14521.030000001192,36306.25,83135856.17000002,14182.780000001192,27210.640000000596,0
70609,0.353045,200000,0.657795,0,1,46446,0.3289,22008.44000000134,22173.730000000447,50618.050000000745,320810860.37,27327.800000000745,48179.550000000745,0
7878,0.03939,200000,0.155855,0,1,1228,0.07793,4085.3700000001118,9203.459999999963,21937.10000000056,5531796.819999998,2181.3600000003353,11835.459999999963,4
1872,0.00936,200000,0.57701,0,1,1080,0.288505,11878.299999999814,12842.339999999851,9162.399999999441,4867373.5200000005,6106.359999999404,24951.08999999985,4
2497,0.012485,200000,0.631135,0,1,1576,0.31557,13049.359999999404,13478.96999999974,11011.649999999441,7098383.46,6715.109999999404,26786.289999999106,4
24676,0.12338,200000,0.1047,0,1,2584,0.05235,1418.0,7040.130000002682,29948.20000000298,7757443.9499999955,7932.660000000149,15110.0,0
31922,0.15961,200000,0.45534,0,1,14535,0.22767,13075.509999997914,15239.39999999851,33208.89999999851,100402216.11,13748.359999999404,29947.79999999702,0
49812,0.24906,200000,0.3403,0,1,16951,0.17015,12873.530000001192,16171.060000002384,41259.400000002235,117109860.94999999,17714.570000004023,31425.14000000432,0
80783,0.403915,200000,0.00081,0,1,65,0.000405,319.86000000312924,6523.480000000447,55196.35000000149,202520.9600000009,23019.75,29229.710000000894,0
81858,0.40929,200000,0.38833,0,1,31788,0.194165,17738.23999999836,20563.670000001788,55680.10000000149,219549191.57999998,27665.359999999404,42497.03000000119,0
84666,0.42333,200000,0.08233,0,1,6971,0.041165,1411.6000000014901,7253.030000001192,56943.699999999255,20918356.500000004,25068.469999998808,32104.280000001192,0
41505,0.207525,200000,0.401885,0,1,16680,0.20094,13139.179999999702,15829.160000000149,37521.25,115210421.72000003,15957.429999999702,30995.629999998957,0
84213,0.421065,200000,0.74842,0,1,63027,0.37421,25594.009999997914,24865.120000001043,56739.85000000149,435325926.59000003,32398.800000000745,55355.16000000015,1
96767,0.483835,200000,0.383975,0,1,37156,0.19199,19449.699999999255,22316.370000001043,62389.150000002235,256625678.46000004,32037.60000000149,46769.67000000179,0
43891,0.219455,200000,0.94018,0,1,41265,0.47009,24529.73999999836,21907.689999997616,38594.949999999255,285015094.23,22473.099999997765,49758.9299999997,1
58147,0.290735,200000,0.25691,0,1,14939,0.128455,12145.320000000298,16265.710000000894,45010.14999999851,103202013.75999999,19238.769999999553,31150.449999999255,0
92289,0.461445,200000,0.45446,0,1,41942,0.22723,20398.689999997616,22569.66000000015,60374.04999999702,289737128.05,31506.140000000596,47833.37999999896,0
89142,0.44571,200000,0.04734,0,1,4220,0.02367,968.9400000013411,7154.829999998212,58957.89999999851,12666630.509999998,25989.859999999404,32824.73000000045,0
20007,0.100035,200000,0.63937,0,1,12792,0.319685,15378.579999998212,15725.369999997318,27847.14999999851,88360092.45,12259.169999998063,32565.169999998063,4
90869,0.454345,200000,0.32683,0,1,29699,0.163415,17534.150000002235,20962.830000001937,59735.050000000745,205142682.23000002,29644.320000000298,43097.38000000268,0
96592,0.48296,200000,0.689005,0,1,66552,0.3445,25880.189999997616,25738.25,62310.39999999851,459689781.38000005,35444.54999999702,57073.449999999255,1
46523,0.232615,200000,0.770255,0,1,35835,0.38513,21352.759999997914,20408.449999999255,39779.349999997765,247498472.22,21413.25,44775.71999999881,1
86905,0.434525,200000,0.432445,0,1,37582,0.21622,19280.80999999866,21668.829999998212,57951.25,259621224.4,29658.370000001043,45486.03000000119,0
28648,0.14324,200000,0.893515,0,1,25597,0.44676,21645.91000000015,19485.19000000134,31735.60000000149,176809527.92,17468.019999999553,43633.51999999955,4
92218,0.46109,200000,0.0369,0,1,3403,0.01845,842.6600000038743,7132.090000003576,60342.10000000149,10215211.050000004,26772.780000001192,33554.810000002384,0
12135,0.060675,200000,0.59641,0,1,7237,0.298205,13533.75,14304.89999999851,24304.75,49993814.249999985,9551.269999999553,28863.829999998212,4
47884,0.23942,200000,0.041,0,1,1963,0.0205,711.6200000010431,6961.70000000298,40391.800000000745,5896412.500000004,13907.290000002831,20710.930000003427,0
63361,0.316805,200000,0.56646,0,1,35891,0.28323,19211.70000000298,20276.670000001788,47356.45000000298,247899252.40999997,24168.929999999702,42931.72000000253,0
