left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
43568,0.21784,200000,0.003115,0,1,136,0.00156,207.85000000000582,6436.5,38449.600000000006,413408.49,12699.209999999992,18958.330000000016,2
45892,0.22946,200000,0.13129,0,1,6025,0.065645,8356.51000000001,13714.570000000007,39495.399999999994,41624803.69,14779.699999999983,23991.949999999983,2
95940,0.4797,200000,0.237935,0,1,22827,0.11897,16829.080000000016,21134.880000000005,62017.00000000003,157713430.67,31126.089999999997,42621.94000000003,2
41994,0.20997,200000,0.50966,0,1,21403,0.25483,15663.880000000005,17291.649999999994,37741.29999999999,147824954.95,17692.75,35128.17999999999,2
86294,0.43147,200000,0.386195,0,1,33326,0.1931,18736.45000000001,21582.350000000006,57676.29999999999,230203433.07999998,29840.23000000001,44624.48999999999,2
80472,0.40236,200000,0.069355,0,1,5581,0.03468,1222.1300000000047,7190.970000000001,55056.40000000002,16750101.359999998,24519.95000000001,31477.78,2
39513,0.197565,200000,0.754825,0,1,29825,0.37741,20389.79999999999,19599.48999999999,36624.850000000006,206007075.09,19579.359999999986,42572.649999999994,4
80187,0.400935,200000,0.73494,0,1,58933,0.36747,25277.089999999997,24683.380000000005,54928.149999999994,407021805.81,31862.610000000015,54500.82999999999,3
32231,0.161155,200000,0.91213,0,1,29399,0.456065,22668.059999999998,20325.179999999993,33347.94999999998,203074986.15,19051.069999999978,45660.08999999997,4
89689,0.448445,200000,0.25005,0,1,22427,0.125025,16297.330000000016,20485.73000000001,59204.04999999996,154913141.38,29347.95000000001,41109.159999999945,2
82458,0.41229,200000,0.491125,0,1,40497,0.24556,20456.350000000006,22266.0,55950.100000000006,279735363.31,29841.940000000002,46964.51000000004,2
38805,0.194025,200000,0.310075,0,1,12032,0.15504,11151.709999999992,14749.029999999999,36306.25,83135856.17000002,14581.779999999999,27609.639999999985,2
70609,0.353045,200000,0.657795,0,1,46446,0.3289,22422.44000000003,22587.74000000002,50618.05000000002,320810860.37,28052.300000000017,48904.06000000003,2
7878,0.03939,200000,0.155855,0,1,1228,0.07793,4131.37000000001,9249.460000000006,21937.100000000006,5531796.82,2181.360000000015,11835.460000000006,4
1872,0.00936,200000,0.57701,0,1,1080,0.288505,11888.300000000003,12852.339999999997,9162.399999999994,4867373.52,6106.369999999995,24951.089999999997,4
2497,0.012485,200000,0.631135,0,1,1576,0.31557,13063.36,13492.959999999992,11011.649999999994,7098383.459999999,6715.110000000001,26786.289999999994,4
24676,0.12338,200000,0.1047,0,1,2584,0.05235,1418.0,7040.130000000005,29948.20000000001,7757443.95,8184.6600000000035,15362.0,2
31922,0.15961,200000,0.45534,0,1,14535,0.22767,13261.51000000001,15425.399999999994,33208.899999999994,100402216.11,14073.860000000015,30273.29999999999,2
49812,0.24906,200000,0.3403,0,1,16951,0.17015,13165.529999999999,16463.060000000027,41259.399999999994,117109860.95,18225.580000000016,31936.140000000014,2
80783,0.403915,200000,0.00081,0,1,65,0.000405,319.86999999999534,6523.4800000000105,55196.350000000064,202520.96000000005,23849.25,30059.21000000002,2
81858,0.40929,200000,0.38833,0,1,31788,0.194165,18218.23999999999,21043.670000000013,55680.100000000006,219549191.57999998,28505.360000000015,43337.04000000001,2
84666,0.42333,200000,0.08233,0,1,6971,0.041165,1411.5999999999767,7253.02999999997,56943.69999999998,20918356.5,25936.47999999998,32972.27999999997,2
41505,0.207525,200000,0.401885,0,1,16680,0.20094,13383.179999999993,16073.159999999974,37521.25,115210421.72000001,16384.429999999993,31422.629999999976,2
84213,0.421065,200000,0.74842,0,1,63027,0.37421,26088.00999999998,25359.119999999995,56739.850000000006,435325926.59000003,33263.29999999999,56219.66,3
96767,0.483835,200000,0.383975,0,1,37156,0.19199,20017.709999999992,22884.369999999995,62389.149999999936,256625678.46,33031.600000000006,47763.669999999955,2
43891,0.219455,200000,0.94018,0,1,41265,0.47009,24785.73999999999,22163.689999999973,38594.94999999998,285015094.22999996,22921.099999999977,50206.929999999964,3
