left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
43568,0.21784,200000,0.003115,0,1,136,0.00156,207.85000000009313,6436.4900000002235,38449.60000000009,413408.48,12846.200000000186,19105.319999999832,0
45892,0.22946,200000,0.13129,0,1,6025,0.065645,8446.5,13804.569999999832,39495.39999999991,41624803.68,14937.189999999944,24149.450000000186,0
95940,0.4797,200000,0.237935,0,1,22827,0.11897,17015.070000000298,21320.880000000354,62017.000000000466,157713430.65999997,31451.590000000317,42947.43000000017,0
41994,0.20997,200000,0.50966,0,1,21403,0.25483,15745.89000000013,17373.66000000015,37741.299999999814,147824954.95,17836.259999999776,35271.68000000017,0
86294,0.43147,200000,0.386195,0,1,33326,0.1931,18904.44999999972,21750.350000000093,57676.299999999814,230203433.09,30134.22999999998,44918.48999999976,0
80472,0.40236,200000,0.069355,0,1,5581,0.03468,1222.130000000354,7190.959999999963,55056.40000000037,16750101.350000001,24796.439999999944,31754.27000000002,0
39513,0.197565,200000,0.754825,0,1,29825,0.37741,20467.790000000037,19677.480000000447,36624.85000000009,206007075.09000003,19715.860000000335,42709.15000000037,1
80187,0.400935,200000,0.73494,0,1,58933,0.36747,25435.08999999985,24841.379999999423,54928.14999999944,407021805.80999994,32139.109999999404,54777.32999999961,1
32231,0.161155,200000,0.91213,0,1,29399,0.456065,22730.060000000056,20387.179999999702,33347.94999999972,203074986.16,19159.569999999832,45768.58999999985,4
89689,0.448445,200000,0.25005,0,1,22427,0.125025,16473.320000000298,20661.730000000447,59204.05000000028,154913141.37,29655.94000000041,41417.16000000015,0
82458,0.41229,200000,0.491125,0,1,40497,0.24556,20616.35999999987,22426.0,55950.10000000009,279735363.31,30121.939999999944,47244.50999999978,0
38805,0.194025,200000,0.310075,0,1,12032,0.15504,11227.709999999963,14825.020000000019,36306.25,83135856.16000001,14714.770000000019,27742.64000000013,0
70609,0.353045,200000,0.657795,0,1,46446,0.3289,22560.429999999702,22725.729999999516,50618.049999999814,320810860.35999995,28293.799999999814,49145.549999999814,0
7878,0.03939,200000,0.155855,0,1,1228,0.07793,4145.379999999888,9263.459999999963,21937.09999999986,5531796.83,2181.3599999998696,11835.469999999856,4
