left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
305712,0.38214,800000,0.00318875,0,1,3920,0.001595,41860.78999999957,63746.249999999534,218046.95999999996,11720097.96,148702.93999999994,170732.73999999976,0
117953,0.14744125,800000,0.1324375,0,1,62817,0.06621875,40849.9299999997,63042.639999999665,132616.60999999987,443796480.12,39748.369999999646,78919.45999999996,4
152316,0.190395,800000,0.1164225,0,1,71308,0.05821125,48113.450000000186,70951.36000000034,148251.78000000026,503899763.96000004,78875.49000000022,116554.77000000048,0
359784,0.44973,800000,0.52053,0,1,753086,0.260265,139893.03999999957,146433.72999999952,253443.23999999976,5319924328.3,207493.76999999955,313723.89999999944,0
122580,0.153225,800000,0.79286375,0,1,390819,0.3964325,100184.14000000013,95743.3500000001,142076.7000000002,2760820628.42,72332.68000000017,223248.4500000002,4
374565,0.46820625,800000,0.56676625,0,1,853666,0.2833825,148399.39000000013,153077.80000000028,260612.02000000048,6030598214.71,218165.49000000022,331669.64000000013,0
170585,0.21323125,800000,0.75954375,0,1,521015,0.3797725,110599.12999999942,107504.78999999957,166799.26999999955,3680660577.2100005,119513.43999999948,265063.26999999955,1
80187,0.10023375,800000,0.7380525,0,1,237984,0.36902625,83601.31999999937,81372.84999999963,120244.30999999959,1681199989.9199998,56182.01999999955,197780.2099999995,4
150056,0.18757,800000,0.91658875,0,1,553076,0.458295,118891.62999999989,109464.77000000002,160728.52000000002,3907047199.81,116454.24000000022,287394.9500000002,1
220761,0.27595125,800000,0.45780375,0,1,406405,0.2289025,96790.9599999995,105861.76999999955,186017.0799999996,2870946891.4500003,131287.94999999972,201408.19999999972,0
255654,0.3195675,800000,0.49425875,0,1,508117,0.24713,109476.1499999999,117077.61999999965,202940.18999999994,3589437533.19,151419.18999999994,253531.13999999966,0
