left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
305712,0.38214,800000,0.00318875,0,1,3920,0.001595,41860.80000000447,63746.250000003725,218046.96000000462,11720097.959999997,150788.95000000298,172818.75000000373,0
117953,0.14744125,800000,0.1324375,0,1,62817,0.06621875,41079.94000000134,63272.640000000596,132616.62000000104,443796480.13,40150.88000000268,79321.97000000253,4
152316,0.190395,800000,0.1164225,0,1,71308,0.05821125,48411.449999999255,71249.3599999994,148251.7800000012,503899763.97,79918.5,117597.78000000119,0
359784,0.44973,800000,0.52053,0,1,753086,0.260265,140595.04000000283,147135.73000000045,253443.2400000021,5319924328.3,209950.7800000012,316180.90000000224,0
122580,0.153225,800000,0.79286375,0,1,390819,0.3964325,100424.13999999687,95983.34999999776,142076.69999999925,2760820628.4300003,72752.6799999997,223668.45999999717,4
374565,0.46820625,800000,0.56676625,0,1,853666,0.2833825,149131.38999999687,153809.80999999866,260612.02999999747,6030598214.71,220727.48999999836,334231.63999999687,0
170585,0.21323125,800000,0.75954375,0,1,521015,0.3797725,110933.13000000268,107838.80000000075,166799.2800000012,3680660577.2200003,120682.45000000298,266232.2800000012,1
80187,0.10023375,800000,0.7380525,0,1,237984,0.36902625,83757.31000000238,81528.83999999985,120244.30000000075,1681199989.91,56455.01000000164,198053.20000000298,4
150056,0.18757,800000,0.91658875,0,1,553076,0.458295,119185.62999999896,109758.77999999747,160728.51999999583,3907047199.82,117483.23999999836,288423.95999999717,1
220761,0.27595125,800000,0.45780375,0,1,406405,0.2289025,97222.9600000009,106293.78000000119,186017.08999999985,2870946891.4600005,132799.9600000009,202920.20000000298,0
255654,0.3195675,800000,0.49425875,0,1,508117,0.24713,109976.1400000006,117577.6099999994,202940.19000000134,3589437533.18,153169.1799999997,255281.1400000006,0
