left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
43568,0.05446,800000,0.00318875,0,1,559,0.001595,6110.07,27995.520000000004,98771.44,1689157.7999999998,13404.39,35440.57000000001,2
117953,0.14744125,800000,0.1324375,0,1,62817,0.06621875,42693.94000000001,64886.64000000001,132616.62000000002,443796480.13,42975.38000000001,82146.47,2
152316,0.190395,800000,0.1164225,0,1,71308,0.05821125,50493.44999999999,73331.35999999999,148251.78,503899763.97,87205.5,124884.78,2
97640,0.12205,800000,0.52053,0,1,204376,0.260265,71028.82,77569.51000000001,126303.40000000002,1443768772.46,54358.340000000004,161366.24000000002,4
122580,0.153225,800000,0.79286375,0,1,390819,0.3964325,102098.13999999998,97657.35,142076.7,2760820628.43,102915.68,253831.46000000005,3
186099,0.23262375,800000,0.56676625,0,1,424136,0.2833825,100351.59999999999,105030.01,169206.01,2996258863.84,128147.95,242785.64,2
48601,0.06075125,800000,0.43828,0,1,85655,0.21914,50097.11,59956.23999999999,102519.49,605128363.9200001,34242.259999999995,102744.93000000001,4
52621,0.06577625,800000,0.14717125,0,1,31141,0.073585,26409.289999999994,48005.740000000005,102890.56,220039130.50000003,22633.28,63024.64,4
17090,0.0213625,800000,0.59617375,0,1,40971,0.2980875,54482.229999999996,57972.96000000001,63041.59,289449336.0,30736.779999999995,149032.55000000002,4
150056,0.18757,800000,0.1843825,0,1,111258,0.09219125,55948.020000000004,76046.54000000001,147223.48,786109770.8100001,89257.28,133348.02000000002,2
101202,0.1265025,800000,0.45780375,0,1,186305,0.2289025,66570.04000000001,75640.86000000002,128030.97,1316124539.8899999,52652.22000000001,123450.98000000001,4
137994,0.1724925,800000,0.58515375,0,1,324704,0.2925775,88225.25,92163.25999999998,145875.09,2293881584.2299995,101811.03,219385.71,2
67700,0.084625,800000,0.15057125,0,1,40991,0.075285,30757.899999999994,52218.75,109751.50000000001,289638625.64,27604.570000000007,68349.77,4
168692,0.210865,800000,0.6448475,0,1,437430,0.32242375,102396.73000000001,103924.06,165824.38,3090157564.34,122122.99000000002,249237.94999999995,2
83967,0.10495875,800000,0.9615225,0,1,324657,0.48076125,105294.19,94053.30000000002,124710.01000000001,2293442806.13,69893.81000000001,247617.05,4
73136,0.09142,800000,0.33547375,0,1,98661,0.1677375,48135.77999999999,62141.13,112224.87999999998,696991254.1099999,37718.159999999996,96168.53,4
179027,0.22378375,800000,0.3322925,0,1,239219,0.16614625,77148.66,91282.54000000001,160405.28,1689955362.35,112533.97,171030.88,2
108505,0.13563125,800000,0.22123,0,1,96527,0.110615,47925.69999999999,66538.38,128317.78,681955867.26,44061.61999999999,91520.04999999999,4
131870,0.1648375,800000,0.84144125,0,1,446197,0.42072,109133.51000000001,102736.67000000001,146861.05,3152024865.5299997,110553.76000000001,269320.82999999996,3
199828,0.249785,800000,0.753405,0,1,605399,0.3767025,121296.0,118447.61000000002,181859.42,4276719927.89,145479.15000000002,289908.12,3
183562,0.2294525,800000,0.3894875,0,1,287497,0.19474375,83581.96999999999,95407.16000000002,167975.57,2031114315.67,117900.3,182083.41999999998,2
119424,0.14928,800000,0.57462,0,1,275949,0.28731,81973.74,86336.21,136868.64,1949439188.8,64288.75,180112.78999999998,4
49867,0.06233375,800000,0.79507375,0,1,159433,0.3975375,80829.17000000001,76302.44,104629.5,1126319458.44,50473.61,200836.80000000002,4
125604,0.157005,800000,0.3850975,0,1,194505,0.19254875,67029.91999999998,79034.57,139865.94000000003,1374157423.8799999,85328.35,148964.04,2
174963,0.21870375,800000,0.942325,0,1,662985,0.4711625,131035.95,120568.80999999998,174302.83000000002,4683596476.349999,140382.83999999997,315503.57,3
58147,0.07268375,800000,0.2573575,0,1,60176,0.12867875,37313.939999999995,54466.85999999999,105404.87999999998,425157635.34000003,29315.370000000003,80089.98999999999,4
190373,0.23796625,800000,0.457605,0,1,350310,0.2288025,91662.88,100744.47,171278.91,2474736580.1899996,125118.84,196138.34,2
71558,0.0894475,800000,0.5534725,0,1,159262,0.27673625,66452.6,71666.12,113653.62999999998,1125111467.8,47055.35,159084.44,4
134633,0.16829125,800000,0.24498125,0,1,132630,0.12249,57139.69,74794.86,140206.02,937043418.54,83674.09,133453.27,2
96592,0.12074,800000,0.69072,0,1,268287,0.34536,85540.57999999999,85221.73000000001,128692.88,1895322373.3200002,61866.75000000001,196064.48,4
46523,0.05815375,800000,0.77645875,0,1,145259,0.38823,78262.06999999999,74482.93,102907.34000000001,1026163876.03,48504.09999999999,195831.49,4
86905,0.10863125,800000,0.434215,0,1,151742,0.2171075,60500.33999999999,70523.38,121096.93,1071965084.33,46777.159999999996,115112.93,4
159720,0.19965,800000,0.89774875,0,1,576595,0.448875,122451.39000000001,113782.29000000001,165995.4,4073206380.7,129347.1,297231.3,3
92218,0.1152725,800000,0.03810625,0,1,14131,0.0190525,27591.589999999997,50862.37999999999,120907.19,99922345.46000001,30316.78,58201.479999999996,2
12135,0.01516875,800000,0.59628625,0,1,29097,0.2981425,53069.08,56556.229999999996,50738.34,205576642.3,29119.740000000005,147388.31,4
47884,0.059855,800000,0.04224,0,1,8133,0.02112,16204.46,39639.930000000015,100735.22,57480284.41,16478.090000000004,45049.920000000006,2
63361,0.07920125,800000,0.5676275,0,1,144625,0.28381375,65323.10999999999,69966.45999999999,109678.09,1021695021.59,44926.409999999996,159129.66,4
9782,0.0122275,800000,0.0863975,0,1,3398,0.04319875,9800.52,33849.75,43834.81,24040273.93,6569.290000000001,41334.75,4
27258,0.0340725,800000,0.2484575,0,1,27233,0.12422875,28114.29,45627.799999999996,82546.38999999998,192428358.33,18999.67,68839.85999999999,4
12373,0.01546625,800000,0.26392125,0,1,13131,0.13196,25339.31,42229.34,51001.72,92789130.36,14964.039999999997,66244.4,4
111367,0.13920875,800000,0.3225025,0,1,144426,0.16125125,57582.100000000006,72108.04000000001,129619.98000000001,1020375981.01,49741.48000000001,107068.67000000001,4
62080,0.0776,800000,0.58262375,0,1,145444,0.2913125,66241.66,70280.08,109056.79999999999,1027482815.05,45168.31,161740.86,4
9397,0.01174625,800000,0.30888375,0,1,11672,0.1544425,28281.31,43356.899999999994,42707.630000000005,82483121.95,15956.490000000002,71557.05,4
9360,0.0117,800000,0.980695,0,1,36912,0.4903475,84375.67,72362.37,43442.84000000001,260783564.79000002,44631.509999999995,224184.74,0
175332,0.219165,800000,0.41807375,0,1,294762,0.2090375,83866.34,94538.34,163984.02,2082426377.9699998,114710.59999999998,181753.96999999997,2
146200,0.18275,800000,0.22704,0,1,133477,0.11352,58700.58,77077.92,145469.0,942941971.08,89192.7,137293.28000000003,2
37238,0.0465475,800000,0.493995,0,1,73972,0.2469975,51619.18,59232.340000000004,97008.43,522587148.71,32942.94000000001,135293.68,4
8753,0.01094125,800000,0.5986125,0,1,21070,0.29930625,52290.84,55684.42999999999,41053.96000000001,148867813.78,28118.230000000007,146721.19,4
50625,0.06328125,800000,0.46057125,0,1,93760,0.230285,52563.90000000001,61523.97,103501.12999999999,662398621.52,35897.53,106636.42,4
93791,0.11723875,800000,0.8019675,0,1,302465,0.40098375,94396.57999999999,89588.34999999998,127250.35999999999,2136739128.4400003,66031.57999999999,218094.97,4
62757,0.07844625,800000,0.0685275,0,1,17294,0.03426375,22399.46,46875.869999999995,107502.43999999997,122235974.87,22341.32,55344.509999999995,4
90929,0.11366125,800000,0.37620875,0,1,137559,0.188105,56597.670000000006,68957.76000000001,123048.57,971832435.5699999,45454.689999999995,108020.03000000003,4
84356,0.105445,800000,0.5885,0,1,199627,0.29425,73136.62000000001,76937.78,119860.66,1410292326.0000002,52979.490000000005,170697.44,4
179755,0.22469375,800000,0.50015625,0,1,361529,0.2500775,92520.56,99883.47,166129.16999999998,2553965111.94,121258.19,225295.54,2
24778,0.0309725,800000,0.6652325,0,1,66282,0.33261625,62497.19,63206.14,79633.16,468253534.08,36263.11,165585.07,4
13825,0.01728125,800000,0.3739625,0,1,20790,0.18698125,34948.66,47400.19,55158.03,146898867.67999998,20138.24,82093.5,4
143916,0.179895,800000,0.33269,0,1,192533,0.166345,67474.47,81591.78999999998,144429.78,1360218618.86,93015.88,151490.76,2
36224,0.04528,800000,0.60361375,0,1,87925,0.3018075,60607.33,63799.91,96516.64,621174897.9899999,37409.020000000004,157074.02999999997,4
6522,0.0081525,800000,0.69158,0,1,18138,0.34579,59403.69999999999,59048.80999999999,34143.979999999996,81216201.46,29906.249999999993,163196.37,4
74660,0.093325,800000,0.06061875,0,1,18199,0.03031,24885.480000000003,49046.909999999996,112918.29999999999,128622988.03999999,25764.409999999996,57425.060000000005,2
108484,0.135605,800000,0.51536625,0,1,224822,0.2576825,73658.85,80409.83000000002,131562.74,1588277182.91,57789.02000000001,164068.78,4
14255,0.01781875,800000,0.3929375,0,1,22524,0.19646875,36652.96,48341.85999999999,56246.579999999994,159146200.62,21085.53,84905.1,4
37074,0.0463425,800000,0.7418675,0,1,110599,0.37093375,72553.87,70168.99,98041.11,781341701.0699999,43753.54000000001,185429.44,4
31786,0.0397325,800000,0.2278775,0,1,29127,0.11393875,27613.270000000004,45955.880000000005,89954.63,205795621.32999998,19544.309999999998,67438.17,4
80578,0.1007225,800000,0.67512,0,1,218753,0.33756,79533.94,79842.48000000001,120445.67000000001,1545389229.5600002,55641.96000000001,187156.91,4
154379,0.19297375,800000,0.0630625,0,1,39149,0.03153125,46278.34,70538.06,149190.44,276635511.18000007,85746.07,117821.33000000002,2
113708,0.142135,800000,0.8171225,0,1,373624,0.40856125,101607.57999999999,96189.18,137507.62,2639359006.01,73710.04,228493.29,4
98612,0.123265,800000,0.60404125,0,1,239526,0.30202,78579.97,81754.56,126774.82000000002,1692160870.02,58552.42,178886.09000000003,4
79905,0.09988125,800000,0.60273375,0,1,193667,0.3013675,73088.16999999998,76316.07,117701.93,1368146575.0,52116.929999999986,172058.47,4
164993,0.20624125,800000,0.6437275,0,1,427095,0.32186375,101226.51000000001,102801.52000000002,163919.40000000002,3017211271.35,119965.69000000003,246906.37,2
106772,0.133465,800000,0.5547575,0,1,238187,0.27737875,76616.6,81778.13,130732.41999999998,1682658208.0,59045.409999999996,171582.5,4
111988,0.139985,800000,0.4396325,0,1,197979,0.21981625,68015.28,77819.48000000001,133262.18,1398600637.19,55429.16,124467.23,4
