left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
43568,0.05446,800000,0.00318875,0,1,559,0.001595,6110.0599999999395,27995.52000000002,98771.43999999994,1689157.8000000003,13554.880000000005,35591.05999999994,0
117953,0.14744125,800000,0.1324375,0,1,62817,0.06621875,42923.929999999935,65116.6399999999,132616.61,443796480.12,43377.869999999995,82548.95999999996,0
152316,0.190395,800000,0.1164225,0,1,71308,0.05821125,50791.45000000007,73629.35999999999,148251.78000000003,503899763.96,88248.48999999999,125927.77000000002,0
97640,0.12205,800000,0.52053,0,1,204376,0.260265,71220.81999999995,77761.51000000001,126303.40000000002,1443768772.46,54694.32999999996,161702.24,4
122580,0.153225,800000,0.79286375,0,1,390819,0.3964325,102338.14000000001,97897.3500000001,142076.70000000007,2760820628.42,103755.68000000005,254671.45000000007,1
186099,0.23262375,800000,0.56676625,0,1,424136,0.2833825,100715.59999999998,105394.01000000001,169206.02000000002,2996258863.84,129421.95000000007,244059.64,0
48601,0.06075125,800000,0.43828,0,1,85655,0.21914,50191.09999999998,60050.22999999998,102519.47999999998,605128363.9200001,34406.75,102909.42999999993,4
52621,0.06577625,800000,0.14717125,0,1,31141,0.073585,26511.28999999992,48107.729999999865,102890.54999999993,220039130.5,22811.77999999991,63203.1399999999,4
17090,0.0213625,800000,0.59617375,0,1,40971,0.2980875,54516.22999999998,58006.95999999996,63041.58999999997,289449335.99999994,30796.280000000028,149092.04999999993,4
150056,0.18757,800000,0.1843825,0,1,111258,0.09219125,56240.02000000002,76338.53000000003,147223.47999999998,786109770.8,90279.28000000003,134370.02000000002,0
101202,0.1265025,800000,0.45780375,0,1,186305,0.2289025,66768.04999999993,75838.85999999999,128030.96999999997,1316124539.9,52998.71999999997,123797.48999999999,4
137994,0.1724925,800000,0.58515375,0,1,324704,0.2925775,88495.26000000001,92433.26000000001,145875.08999999997,2293881584.24,102756.03000000003,220330.70999999996,0
67700,0.084625,800000,0.15057125,0,1,40991,0.075285,30889.890000000014,52350.73999999999,109751.5,289638625.64,27835.560000000056,68580.77000000002,4
168692,0.210865,800000,0.6448475,0,1,437430,0.32242375,102726.72000000009,104254.06000000006,165824.38,3090157564.33,123277.9900000001,250392.94000000006,0
