left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
9846,0.0123075,800000,0.00318875,0,0,2512,0.00318875,3811.8599999999997,25697.320000000003,376900.02,398785.47000000003,3344.95,25230.410000000003,4
4860,0.006075,800000,0.41010875,0,0,159482,0.41010875,38147.520000000004,49143.030000000006,35892810.339999996,35903805.849999994,74486.12,85481.63,0
9226,0.0115325,800000,0.52053,0,0,384270,0.52053,51774.40000000001,58315.090000000004,136440998.73,136447539.42,129445.3,135985.99,0
4374,0.0054675,800000,0.38736,0,0,135572,0.38736,35772.26,47685.229999999996,30513211.81,30525124.779999997,69985.49,81898.47,0
6745,0.00843125,800000,0.06910375,0,0,37296,0.06910375,9523.880000000001,34270.21,8392613.5,8417359.84,12368.73,37115.07,0
706,0.0008825,800000,0.7380525,0,0,41694,0.7380525,62141.27999999999,59912.799999999996,9408933.580000002,9406705.110000001,174741.6,172513.13,1
2600,0.00325,800000,0.1843825,0,0,38359,0.1843825,17032.65,37131.17,8636517.489999998,8656616.0,32157.58,52256.090000000004,0
2223,0.00277875,800000,0.45780375,0,0,81432,0.45780375,40004.28,49075.09,18337007.21,18346078.02,81780.29,90851.09999999999,0
9894,0.0123675,800000,0.49425875,0,0,391294,0.49425875,49995.47,57596.94,138933726.92,138941328.39,123380.55,130982.01999999999,0
6217,0.00777125,800000,0.58515375,0,0,291090,0.58515375,54697.950000000004,58635.950000000004,65505756.37,65509694.379999995,141743.7,145681.7,0
6037,0.00754625,800000,0.30936875,0,0,149443,0.30936875,30264.46,45321.26,33630288.42,33645345.22,56182.03,71238.83,0
5073,0.00634125,800000,0.65929375,0,0,267621,0.65929375,60050.72,60998.81,60229291.66,60230239.76,159404.7,160352.79,0
7878,0.0098475,800000,0.15681,0,0,98848,0.15681,18002.08,39210.590000000004,35100930.269999996,35122138.78,30298.46,51506.97,0
1872,0.00234,800000,0.57800125,0,0,86579,0.57800125,49872.97,54097.1,19499628.27,19503852.4,136919.43,141143.56,0
2497,0.00312125,800000,0.63205,0,0,126284,0.63205,55075.619999999995,57123.10999999999,28433587.84,28435635.33,150550.58,152598.06999999998,0
8292,0.010365,800000,0.10594375,0,0,70293,0.10594375,13696.439999999999,36957.04,24966107.18,24989367.779999997,21180.780000000002,44441.38,0
756,0.000945,800000,0.45845625,0,0,27733,0.45845625,38780.99,47827.67,6257159.41,6266206.09,81004.62000000001,90051.3,0
660,0.000825,800000,0.34096375,0,0,18006,0.34096375,28867.579999999998,42652.07,4064399.26,4078183.7499999995,59627.94,73412.43000000001,0
8616,0.01077,800000,0.0008325,0,0,574,0.0008325,2060.8999999999996,23856.12,86113.69,107908.91,2718.24,24513.46,0
3338,0.0041725,800000,0.3894875,0,0,104030,0.3894875,35113.88,46939.07,23417649.38,23429474.57,69829.55,81654.74,0
4736,0.00592,800000,0.57462,0,0,217756,0.57462,52344.700000000004,56707.16,49008336.94,49012699.4,138263.62,142626.09,0
6688,0.00836,800000,0.79507375,0,0,425481,0.79507375,73731.47,69204.74,95746159.16,95741632.44,194178.63,189651.9,1
2293,0.00286625,800000,0.753115,0,0,138179,0.753115,65156.82,62321.490000000005,31114421.92,31111586.580000002,179922.46000000002,177087.12,1
1208,0.00151,800000,0.3850975,0,0,37223,0.3850975,33007.009999999995,45011.659999999996,8389084.31,8401088.96,67899.26,79903.90999999999,0
7222,0.0090275,800000,0.7107575,0,0,410729,0.7107575,66842.34,65714.98,92424228.11,92423100.75,173516.57,172389.21,1
3623,0.00452875,800000,0.64023,0,0,185601,0.64023,56916.310000000005,58633.29,41777747.01,41779463.989999995,153482.31000000003,155199.29,0
8949,0.01118625,800000,0.3268775,0,0,234065,0.3268775,34031.67999999999,48384.369999999995,83110050.03999999,83124402.71999998,62537.42,76890.1,0
1642,0.0020525,800000,0.69072,0,0,90751,0.69072,59168.05,58849.19,20442763.75,20442444.9,164106.87,163788.02,1
4985,0.00623125,800000,0.77007125,0,0,307166,0.77007125,69613.3,66091.59,69129506.13,69125984.41,186736.86,183215.15,1
8623,0.01077875,800000,0.89774875,0,0,619427,0.89774875,85183.59999999999,76514.48999999999,219941622.26,219932953.16,223396.97,214727.87,1
2660,0.003325,800000,0.5676275,0,0,120815,0.5676275,49748.94,54392.3,27200875.74,27205519.099999998,134991.61,139634.96999999997,0
2957,0.00369625,800000,0.9522775,0,0,225316,0.9522775,82923.8,72055.33,50724302.11,50713433.64,229563.34999999998,218694.87999999998,1
2252,0.002815,800000,0.86396625,0,0,155683,0.86396625,74529.09000000001,67221.92000000001,35056561.56,35049254.39,207028.93,199721.75999999998,1
7109,0.00888625,800000,0.3225025,0,0,183450,0.3225025,32240.030000000002,46765.969999999994,41281008.88,41295534.81,58987.479999999996,73513.41,0
5252,0.006565,800000,0.58262375,0,0,244844,0.58262375,53539.93,57578.350000000006,55102368.89,55106407.309999995,140594.42,144632.84,0
9397,0.01174625,800000,0.30888375,0,0,232253,0.30888375,32745.919999999995,47821.51,82468046.36000001,82483121.95,59399.67,74475.26,0
9360,0.0117,800000,0.980695,0,0,734491,0.980695,93599.65000000001,81586.36000000002,260795578.08,260783564.79000002,245100.05,233086.75999999998,1
