left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
9846,0.0123075,800000,0.00318875,0,0,2512,0.00318875,3811.8700000000026,25697.320000000007,376900.02,398785.48000000004,3379.9600000000028,25265.410000000003,4
4860,0.006075,800000,0.41010875,0,0,159482,0.41010875,38157.53,49153.04000000001,35892810.35,35903805.85,74486.13,85481.63,0
9226,0.0115325,800000,0.52053,0,0,384270,0.52053,51792.399999999994,58333.09,136440998.73,136447539.42,129476.80000000002,136017.49000000002,0
4374,0.0054675,800000,0.38736,0,0,135572,0.38736,35782.259999999995,47695.229999999996,30513211.8,30525124.78,69985.49,81898.46,0
6745,0.00843125,800000,0.06910375,0,0,37296,0.06910375,9537.879999999997,34284.22,8392613.5,8417359.84,12368.73,37115.06999999999,0
706,0.0008825,800000,0.7380525,0,0,41694,0.7380525,62143.280000000006,59914.810000000005,9408933.590000002,9406705.110000001,174741.61,172513.13999999998,1
2600,0.00325,800000,0.1843825,0,0,38359,0.1843825,17036.649999999998,37135.17,8636517.49,8656616.0,32157.57,52256.09,0
2223,0.00277875,800000,0.45780375,0,0,81432,0.45780375,40008.28,49079.090000000004,18337007.209999997,18346078.02,81780.29,90851.09999999999,0
9894,0.0123675,800000,0.49425875,0,0,391294,0.49425875,50015.47999999999,57616.939999999995,138933726.92000002,138941328.39000002,123415.54999999999,131017.01999999999,0
6217,0.00777125,800000,0.58515375,0,0,291090,0.58515375,54709.96,58647.96000000001,65505756.379999995,65509694.379999995,141743.7,145681.7,0
6037,0.00754625,800000,0.30936875,0,0,149443,0.30936875,30276.47,45333.270000000004,33630288.43,33645345.22,56182.04,71238.83,0
5073,0.00634125,800000,0.65929375,0,0,267621,0.65929375,60060.719999999994,61008.80999999999,60229291.66,60230239.75,159404.69000000003,160352.79,0
7878,0.0098475,800000,0.15681,0,0,98848,0.15681,18018.08,39226.600000000006,35100930.269999996,35122138.78,30326.47,51534.979999999996,0
1872,0.00234,800000,0.57800125,0,0,86579,0.57800125,49874.97,54099.1,19499628.269999996,19503852.4,136919.43,141143.56,0
2497,0.00312125,800000,0.63205,0,0,126284,0.63205,55079.619999999995,57127.1,28433587.84,28435635.33,150550.58,152598.06999999998,0
8292,0.010365,800000,0.10594375,0,0,70293,0.10594375,13712.440000000002,36973.04,24966107.18,24989367.790000003,21208.780000000006,44469.380000000005,0
756,0.000945,800000,0.45845625,0,0,27733,0.45845625,38782.99,47829.67,6257159.41,6266206.09,81004.62,90051.3,0
660,0.000825,800000,0.34096375,0,0,18006,0.34096375,28869.580000000005,42654.07000000001,4064399.26,4078183.75,59627.94000000001,73412.43,0
8616,0.01077,800000,0.0008325,0,0,574,0.0008325,2076.9000000000015,23872.120000000003,86113.69,107908.91,2746.2400000000016,24541.46,0
3338,0.0041725,800000,0.3894875,0,0,104030,0.3894875,35121.869999999995,46947.06,23417649.369999997,23429474.569999997,69829.54000000001,81654.73,0
4736,0.00592,800000,0.57462,0,0,217756,0.57462,52352.69,56715.16,49008336.93,49012699.4,138263.62,142626.09,0
6688,0.00836,800000,0.79507375,0,0,425481,0.79507375,73745.47,69218.75,95746159.17,95741632.44,194178.63,189651.9,1
2293,0.00286625,800000,0.753115,0,0,138179,0.753115,65160.82000000001,62325.479999999996,31114421.91,31111586.58,179922.45,177087.11,1
1208,0.00151,800000,0.3850975,0,0,37223,0.3850975,33009.009999999995,45013.649999999994,8389084.31,8401088.96,67899.26,79903.90999999999,0
7222,0.0090275,800000,0.7107575,0,0,410729,0.7107575,66856.34,65728.98,92424228.11,92423100.75,173516.57,172389.21,1
3623,0.00452875,800000,0.64023,0,0,185601,0.64023,56922.32000000001,58639.29,41777747.01,41779463.989999995,153482.32,155199.29,0
8949,0.01118625,800000,0.3268775,0,0,234065,0.3268775,34047.67999999999,48400.37,83110050.03999999,83124402.72999999,62565.420000000006,76918.11000000002,0
1642,0.0020525,800000,0.69072,0,0,90751,0.69072,59172.05,58853.200000000004,20442763.75,20442444.900000002,164106.87,163788.02000000002,1
4985,0.00623125,800000,0.77007125,0,0,307166,0.77007125,69623.3,66101.59,69129506.12,69125984.41,186736.86,183215.13999999998,1
8623,0.01077875,800000,0.89774875,0,0,619427,0.89774875,85199.59,76530.48,219941622.25,219932953.14999998,223424.97,214755.86000000002,1
2660,0.003325,800000,0.5676275,0,0,120815,0.5676275,49752.94,54396.3,27200875.74,27205519.099999998,134991.61,139634.96999999997,0
2957,0.00369625,800000,0.9522775,0,0,225316,0.9522775,82929.8,72061.33,50724302.12,50713433.65,229563.35,218694.88,1
2252,0.002815,800000,0.86396625,0,0,155683,0.86396625,74533.09000000001,67225.91,35056561.56,35049254.39,207028.93,199721.75,1
7109,0.00888625,800000,0.3225025,0,0,183450,0.3225025,32252.03,46777.97,41281008.88,41295534.81,58987.48000000001,73513.41,0
5252,0.006565,800000,0.58262375,0,0,244844,0.58262375,53551.93,57590.35,55102368.89,55106407.31,140594.43,144632.84999999998,0
9397,0.01174625,800000,0.30888375,0,0,232253,0.30888375,32763.929999999997,47839.509999999995,82468046.37,82483121.95,59431.17,74506.76,0
9360,0.0117,800000,0.980695,0,0,734491,0.980695,93617.65,81604.36000000002,260795578.08,260783564.79,245131.55999999997,233118.26,1
7099,0.00887375,800000,0.41807375,0,0,237480,0.41807375,40734.28999999999,51406.28999999999,53439097.92,53449769.93,76940.90000000001,87612.91,0
2958,0.0036975,800000,0.269855,0,0,63871,0.269855,24580.07,41231.03,14379020.08,14395671.04,47723.27,64374.23999999999,0
8753,0.01094125,800000,0.815785,0,0,571360,0.815785,77969.79,72606.12,202871481.5,202866117.83,202944.87,197581.19,1
5796,0.007245,800000,0.46057125,0,0,213600,0.46057125,43367.920000000006,52327.990000000005,48069000.339999996,48077960.41,84387.06,93347.12,0
7264,0.00908,800000,0.749115,0,0,435413,0.749115,70318.21,67640.88,97978430.17,97975752.83999999,183117.09,180439.75,1
8449,0.01056125,800000,0.8019675,0,0,542174,0.8019675,76378.22,71569.98000000001,192515776.06,192510967.83,199188.94,194380.69999999998,1
3763,0.00470375,800000,0.0685275,0,0,20634,0.0685275,7817.819999999999,32294.229999999996,4644376.65,4669145.0600000005,11832.369999999999,36308.78,0
9009,0.01126125,800000,0.6847975,0,0,493646,0.6847975,66430.44,66349.5,175277194.67,175277113.73,170323.24,170242.3,1
2436,0.003045,800000,0.5885,0,0,114710,0.5885,51316.22,55117.380000000005,25828263.490000002,25832064.640000004,139904.08,143705.23,0
974,0.0012175,800000,0.50015625,0,0,38980,0.50015625,42474.619999999995,49837.52,8788907.73,8796270.63,117485.58,124848.47999999998,0
2419,0.00302375,800000,0.87616,0,0,169588,0.87616,75772.37,67972.48999999999,38185075.41,38177275.529999994,210206.57,202406.69,1
3456,0.00432,800000,0.281245,0,0,77774,0.281245,25918.08,42109.59,17507003.889999997,17523195.4,49998.329999999994,66189.84000000001,0
6522,0.0081525,800000,0.69158,0,0,360911,0.69158,64411.79000000001,64056.90000000001,81216556.35,81216201.46,168304.06,167949.16999999998,1
9124,0.011405,800000,0.06061875,0,0,44256,0.06061875,10106.100000000002,34267.53,15717981.82,15742143.24,13347.679999999997,37509.11,0
