left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
2608,0.2608,10000,0.7267,0,1,1895,0.3634,502.089999999851,469.570000000298,1841.5200000004843,284653.20999999996,580.660000000149,1032.390000000596,1
3265,0.3265,10000,0.0154,0,1,50,0.0077,28.690000000409782,364.6699999999255,2048.480000000447,7892.540000000037,221.79000000003725,563.75,0
1034,0.1034,10000,0.514,0,1,531,0.257,346.73000000044703,423.429999999702,1345.7099999999627,80084.25,348.40000000037253,754.7700000004843,0
4374,0.4374,10000,0.2108,0,1,922,0.1054,168.21999999973923,401.96999999973923,2397.80999999959,138661.14999999944,417.11999999918044,772.519999999553,0
3469,0.3469,10000,0.4125,0,1,1431,0.2062,299.4199999999255,428.87999999988824,2112.7400000002235,215004.6900000004,466.4900000002235,853.9700000006706,0
2600,0.26,10000,0.9294,0,1,2416,0.4647,638.070000000298,500.089999999851,1839.0,362839.2400000002,695.8600000003353,1193.6800000006333,1
2898,0.2898,10000,0.7777,0,1,2254,0.3888,541.0600000005215,480.62000000011176,1932.8700000001118,338435.6299999999,633.5600000005215,1095.1500000003725,1
538,0.0538,10000,0.0106,0,1,6,0.0053,15.570000000298023,353.41000000108033,867.8600000003353,1205.6900000004098,39.59000000078231,381.2500000009313,0
2164,0.2164,10000,0.3783,0,1,819,0.1892,267.15000000037253,413.589999999851,1701.660000000149,123155.63999999966,351.90000000037253,732.6200000001118,0
4852,0.4852,10000,0.4927,0,1,2391,0.2464,364.2700000004843,453.6900000004098,2548.3800000008196,358949.3800000008,618.1100000003353,1022.0400000000373,0
2047,0.2047,10000,0.2122,0,1,434,0.1061,155.03000000026077,388.54000000003725,1664.7999999998137,65511.30999999959,248.93999999947846,605.0099999997765,0
2497,0.2497,10000,0.8128,0,1,2030,0.4064,559.8499999996275,481.26999999955297,1806.5599999995902,304804.5599999996,622.5999999996275,1092.1899999994785,1
2009,0.2009,10000,0.1708,0,1,343,0.0854,128.56000000052154,382.320000000298,1652.839999999851,51824.85000000056,224.20999999996275,573.9400000004098,0
798,0.0798,10000,0.9244,0,1,738,0.4622,611.0300000002608,475.9200000008568,1271.3700000001118,111023.79000000004,558.0500000007451,1054.9700000006706,1
3220,0.322,10000,0.934,0,1,3007,0.467,652.679999999702,508.8899999996647,2034.2999999998137,451495.3499999996,750.9199999999255,1246.4099999992177,1
3338,0.3338,10000,0.1384,0,1,462,0.0692,114.00999999977648,384.43999999947846,2071.4699999997392,69650.33999999985,299.70000000018626,645.7900000000373,0
4736,0.4736,10000,0.7254,0,1,3435,0.3627,525.0800000000745,492.79000000003725,2511.8400000007823,515692.30000000075,747.5800000000745,1198.570000000298,1
715,0.0715,10000,0.1263,0,1,90,0.0632,89.8300000000745,369.37000000011176,1245.230000000447,13898.839999999851,111.99000000022352,459.75,0
152,0.0152,10000,0.7707,0,1,117,0.0117,440.1900000004098,381.97000000067055,623.8799999998882,17941.230000000447,434.9199999999255,893.5300000002608,1
803,0.0803,10000,0.8792,0,1,706,0.4396,583.1700000008568,469.97000000067055,1272.9500000011176,106271.62000000104,535.0000000009313,1019.7400000011548,1
3623,0.3623,10000,0.2778,0,1,1006,0.1389,209.339999999851,408.37999999988824,2161.25,151327.36000000034,400.2700000004843,765.1399999996647,0
757,0.0757,10000,0.6439,0,1,487,0.322,429.23000000044703,438.20000000018626,1258.4599999999627,73480.94000000041,401.98000000044703,834.4000000003725,4
3115,0.3115,10000,0.8358,0,1,2604,0.4179,584.8099999995902,492.20000000018626,2001.2299999995157,390898.4500000002,685.8700000001118,1158.6299999998882,1
4354,0.4354,10000,0.5015,0,1,2184,0.2508,368.95999999996275,450.84999999962747,2391.5099999997765,327892.1799999997,587.410000000149,990.0599999995902,0
4188,0.4188,10000,0.1377,0,1,577,0.0688,117.14000000059605,388.6800000006333,2339.2200000006706,86856.580000001,360.55000000074506,707.3300000010058,0
1590,0.159,10000,0.734,0,1,1167,0.367,499.1800000006333,459.37999999988824,1520.8500000005588,175427.35000000056,512.3100000005215,962.1500000003725,1
2682,0.2682,10000,0.7043,0,1,1889,0.3522,490.5800000010058,466.98000000044703,1864.8300000010058,283707.49000000115,576.230000000447,1020.3600000003353,1
4421,0.4421,10000,0.7748,0,1,3425,0.3874,557.6100000003353,497.6800000006333,2412.6200000001118,514177.9900000002,753.3600000003353,1213.300000000745,1
1072,0.1072,10000,0.2891,0,1,310,0.1446,199.20000000018626,393.25,1357.679999999702,46844.5,225.5800000000745,593.0599999995902,0
1205,0.1205,10000,0.4748,0,1,572,0.2374,323.03000000026077,419.5900000007823,1399.5800000010058,86181.97000000067,338.72000000067055,737.0900000007823,0
1168,0.1168,10000,0.6081,0,1,710,0.304,410.2599999997765,437.5,1387.9199999999255,106904.33000000007,410.4199999999255,835.0499999998137,0
3300,0.33,10000,0.8315,0,1,2744,0.4158,580.6100000003353,493.7600000007078,2059.5,411963.29000000004,694.4400000004098,1169.7400000002235,1
2768,0.2768,10000,0.2901,0,1,803,0.145,210.79000000003725,404.6699999999255,1891.9199999999255,120806.76999999955,343.5,711.4699999997392,0
4470,0.447,10000,0.7042,0,1,3148,0.3521,509.84999999962747,486.26999999955297,2428.0499999998137,472533.70999999996,716.0400000000373,1160.109999999404,1
1606,0.1606,10000,0.1247,0,1,200,0.0624,93.79000000003725,373.6100000003353,1525.8899999996647,30393.349999999627,168.839999999851,515.9000000003725,0
1473,0.1473,10000,0.4204,0,1,619,0.2102,288.1800000006333,414.2600000007078,1483.9900000002235,93247.8900000006,325.5,715.1100000003353,0
3679,0.3679,10000,0.2736,0,1,1007,0.1368,207.29999999981374,408.070000000298,2178.8899999996647,151343.0,402.429999999702,766.2400000002235,0
3763,0.3763,10000,0.1551,0,1,584,0.0776,124.83999999985099,389.339999999851,2205.3499999996275,87900.08000000007,337.5099999997765,688.089999999851,0
2436,0.2436,10000,0.0991,0,1,241,0.0496,79.63999999966472,373.9400000004098,1787.339999999851,36563.62000000011,209.79999999981374,555.8899999996647,0
974,0.0974,10000,0.8365,0,1,815,0.4182,559.0999999986961,466.36999999918044,1326.809999998659,122583.56999999937,525.0099999988452,998.1799999987707,1
2024,0.2024,10000,0.5535,0,1,1120,0.2768,381.18999999947846,437.9799999995157,1657.5599999995902,168406.43999999948,439.51999999955297,854.269999999553,0
2432,0.2432,10000,0.1606,0,1,391,0.0803,121.55999999959022,383.09999999962747,1786.0800000000745,58940.889999999665,245.32000000029802,596.3899999996647,0
4652,0.4652,10000,0.7581,0,1,3527,0.379,546.4900000002235,497.4799999995157,2485.3799999998882,529371.1299999999,759.8899999996647,1218.3499999996275,1
4227,0.4227,10000,0.6544,0,1,2766,0.3272,471.179999999702,475.3099999995902,2351.5,415288.6799999997,665.5999999996275,1100.8499999996275,0
932,0.0932,10000,0.3478,0,1,324,0.1739,237.4199999999255,400.20999999996275,1313.5800000000745,48981.12999999989,249.78000000026077,625.8300000000745,0
2788,0.2788,10000,0.3261,0,1,909,0.163,234.73000000044703,410.31000000052154,1898.2199999997392,136733.16999999993,365.15000000037253,739.179999999702,0
