left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
2608,0.2608,10000,0.7267,0,1,1895,0.3634,502.0899999999965,469.570000000007,1841.520000000004,284653.21,580.6699999999983,1032.3899999999994,3
3265,0.3265,10000,0.0154,0,1,50,0.0077,28.689999999987776,364.66999999999825,2048.479999999996,7892.539999999994,221.7899999999936,563.7499999999854,2
1034,0.1034,10000,0.514,0,1,531,0.257,346.7300000000105,423.43000000000757,1345.7100000000064,80084.25000000001,348.40000000000873,754.7700000000041,2
4374,0.4374,10000,0.2108,0,1,922,0.1054,168.2100000000064,401.97000000000116,2397.8099999999977,138661.14999999997,417.1100000000006,772.5200000000041,2
3469,0.3469,10000,0.4125,0,1,1431,0.2062,299.41999999999825,428.8799999999901,2112.729999999996,215004.69,466.4899999999907,853.9700000000012,2
2600,0.26,10000,0.9294,0,1,2416,0.4647,638.0800000000017,500.09000000001106,1839.0,362839.24,695.8600000000006,1193.6800000000076,3
2898,0.2898,10000,0.7777,0,1,2254,0.3888,541.0599999999977,480.61999999999534,1932.8699999999953,338435.64,633.5599999999977,1095.1499999999942,3
538,0.0538,10000,0.0106,0,1,6,0.0053,15.570000000006985,353.4100000000035,867.8600000000006,1205.6900000000023,39.58999999999651,381.25,2
2164,0.2164,10000,0.3783,0,1,819,0.1892,267.1499999999942,413.5899999999965,1701.659999999989,123155.63999999998,351.8999999999942,732.6100000000006,2
4852,0.4852,10000,0.4927,0,1,2391,0.2464,364.2600000000093,453.6900000000169,2548.3800000000047,358949.37,618.1000000000058,1022.0300000000134,2
2047,0.2047,10000,0.2122,0,1,434,0.1061,155.02999999999884,388.5399999999936,1664.7999999999884,65511.30999999998,248.9499999999971,605.0199999999895,2
2497,0.2497,10000,0.8128,0,1,2030,0.4064,559.8499999999913,481.2699999999895,1806.5599999999977,304804.55999999994,622.5999999999913,1092.1899999999878,3
2009,0.2009,10000,0.1708,0,1,343,0.0854,128.55999999999767,382.3099999999977,1652.8300000000017,51824.850000000006,224.2100000000064,573.929999999993,2
798,0.0798,10000,0.9244,0,1,738,0.4622,611.0399999999936,475.929999999993,1271.3699999999953,111023.79000000001,558.0599999999977,1054.979999999996,3
3220,0.322,10000,0.934,0,1,3007,0.467,652.6900000000169,508.89000000001397,2034.3000000000175,451495.35000000003,750.9200000000128,1246.4200000000128,3
3338,0.3338,10000,0.1384,0,1,462,0.0692,114.01000000000931,384.4400000000023,2071.470000000001,69650.33999999998,299.70000000001164,645.7900000000081,2
4736,0.4736,10000,0.7254,0,1,3435,0.3627,525.0800000000017,492.79000000000815,2511.840000000011,515692.30000000005,747.5800000000017,1198.570000000007,3
715,0.0715,10000,0.1263,0,1,90,0.0632,89.81999999999243,369.35999999998603,1245.2199999999866,13898.829999999987,111.97999999999593,459.7399999999907,2
152,0.0152,10000,0.7707,0,1,117,0.0117,440.1900000000023,381.97000000000116,623.8800000000047,17941.23000000001,434.92000000000553,893.5400000000009,3
803,0.0803,10000,0.8792,0,1,706,0.4396,583.1800000000076,469.97000000000116,1272.949999999997,106271.62,535.0,1019.7400000000052,3
3623,0.3623,10000,0.2778,0,1,1006,0.1389,209.3399999999965,408.38000000000466,2161.25,151327.36000000002,400.2700000000041,765.1399999999994,2
757,0.0757,10000,0.6439,0,1,487,0.322,429.2299999999959,438.1999999999971,1258.4599999999919,73480.93999999999,401.9799999999959,834.3999999999942,4
3115,0.3115,10000,0.8358,0,1,2604,0.4179,584.8099999999977,492.1999999999971,2001.229999999996,390898.44999999995,685.8699999999953,1158.6399999999849,3
4354,0.4354,10000,0.5015,0,1,2184,0.2508,368.95999999999185,450.8500000000058,2391.5099999999948,327892.18999999994,587.4199999999983,990.0599999999977,2
4188,0.4188,10000,0.1377,0,1,577,0.0688,117.14000000001397,388.6900000000169,2339.2200000000157,86856.59,360.5600000000122,707.3400000000111,2
1590,0.159,10000,0.734,0,1,1167,0.367,499.179999999993,459.3799999999901,1520.8499999999913,175427.35,512.3099999999977,962.1499999999942,3
2682,0.2682,10000,0.7043,0,1,1889,0.3522,490.58000000000175,466.9799999999959,1864.8300000000017,283707.49999999994,576.2299999999959,1020.3600000000006,3
4421,0.4421,10000,0.7748,0,1,3425,0.3874,557.6100000000151,497.68000000000757,2412.62000000001,514177.98999999993,753.3500000000058,1213.300000000003,3
