left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,result_size,sel_on_indexed_attr_with_join_predicate,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
2608,0.2608,10000,0.7267,0,1,1895,0.3634,502.0799999999581,469.55999999993946,1841.5199999999022,284653.19999999995,580.6599999999162,1032.3799999998882,1
3265,0.3265,10000,0.0154,0,1,50,0.0077,28.68999999994412,364.6700000000419,2048.4799999999814,7892.540000000037,221.79000000003725,563.75,0
1034,0.1034,10000,0.514,0,1,531,0.257,346.7399999999907,423.4399999999441,1345.7099999999627,80084.25,348.4000000000233,754.7700000000186,0
4374,0.4374,10000,0.2108,0,1,922,0.1054,168.21999999997206,401.96999999997206,2397.810000000056,138661.15000000002,417.11999999999534,772.5200000000186,0
3469,0.3469,10000,0.4125,0,1,1431,0.2062,299.4200000000419,428.88000000000466,2112.7299999999814,215004.69000000006,466.4899999999907,853.9700000000885,0
2600,0.26,10000,0.9294,0,1,2416,0.4647,638.0700000000652,500.0899999999674,1839.0,362839.24,695.859999999986,1193.6800000000512,1
2898,0.2898,10000,0.7777,0,1,2254,0.3888,541.0600000000559,480.61999999999534,1932.8699999999953,338435.63,633.5600000000559,1095.1500000000233,1
538,0.0538,10000,0.0106,0,1,6,0.0053,15.569999999948777,353.39999999990687,867.8499999999767,1205.6799999999348,39.57999999995809,381.2399999999907,0
2164,0.2164,10000,0.3783,0,1,819,0.1892,267.14999999990687,413.5899999999674,1701.6599999999162,123155.6399999999,351.89999999990687,732.6199999998789,0
4852,0.4852,10000,0.4927,0,1,2391,0.2464,364.2700000000186,453.6899999999441,2548.3800000000047,358949.3799999999,618.109999999986,1022.0400000000373,0
2047,0.2047,10000,0.2122,0,1,434,0.1061,155.03000000002794,388.54000000003725,1664.8000000000466,65511.310000000056,248.95000000006985,605.020000000135,0
2497,0.2497,10000,0.8128,0,1,2030,0.4064,559.8499999999767,481.2600000000093,1806.5500000000466,304804.56000000006,622.5899999999674,1092.1900000000605,1
2009,0.2009,10000,0.1708,0,1,343,0.0854,128.55999999993946,382.3199999999488,1652.8399999999674,51824.84999999998,224.20999999996275,573.9399999999441,0
798,0.0798,10000,0.9244,0,1,738,0.4622,611.0300000000279,475.9200000000419,1271.3700000001118,111023.79000000004,558.0500000000466,1054.9700000000885,1
3220,0.322,10000,0.934,0,1,3007,0.467,652.6899999999441,508.89999999990687,2034.2999999999302,451495.3500000001,750.9299999999348,1246.4199999999255,1
3338,0.3338,10000,0.1384,0,1,462,0.0692,114.02000000001863,384.4399999999441,2071.469999999972,69650.33999999997,299.69999999995343,645.7899999999208,0
4736,0.4736,10000,0.7254,0,1,3435,0.3627,525.0800000000745,492.79000000003725,2511.840000000084,515692.30000000005,747.5800000000745,1198.5700000000652,1
715,0.0715,10000,0.1263,0,1,90,0.0632,89.82999999995809,369.36999999999534,1245.2299999999814,13898.829999999958,111.98999999999069,459.75,0
152,0.0152,10000,0.7707,0,1,117,0.0117,440.1899999999441,381.9799999999814,623.8800000000047,17941.22999999998,434.9299999999348,893.5399999999208,1
803,0.0803,10000,0.8792,0,1,706,0.4396,583.1699999999255,469.96999999997206,1272.9399999999441,106271.62,534.9899999999907,1019.7399999999907,1
3623,0.3623,10000,0.2778,0,1,1006,0.1389,209.34000000008382,408.36999999999534,2161.25,151327.36,400.2700000000186,765.140000000014,0
757,0.0757,10000,0.6439,0,1,487,0.322,429.21999999997206,438.19000000006054,1258.4500000000698,73480.94000000006,401.9799999999814,834.4000000000233,4
3115,0.3115,10000,0.8358,0,1,2604,0.4179,584.8100000000559,492.19999999995343,2001.2299999999814,390898.44999999995,685.8699999999953,1158.6300000000047,1
4354,0.4354,10000,0.5015,0,1,2184,0.2508,368.9700000000885,450.86000000010245,2391.5100000001257,327892.19000000006,587.4200000000419,990.0700000000652,0
4188,0.4188,10000,0.1377,0,1,577,0.0688,117.14000000001397,388.69000000006054,2339.219999999972,86856.58000000007,360.5600000000559,707.3400000000838,0
