left_cardinality,left_cardinality_ratio,base_cardinality,selectivity_on_indexed_attr,left_ordered,base_ordered,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,optimal_decision
42614,0.284093333,150000,0.709546667,0,1,5561427.85,5561694.19,5580241.19,179001108.4,5562205.34,5580018.32,2
45892,0.305946667,150000,0.213646667,0,1,5553505.6,5557491.07,5581757.26,61468273.89,5558823.51,5567789.04,2
41994,0.27996,150000,0.3604,0,1,5555476.59,5558358.52,5579954.44,91971196.38,5558982.1,5570502.32,2
55027,0.366846667,150000,0.1828,0,1,5554100.33,5558346.28,5585982.2,62672458.45,5561157.32,5569580.45,2
48601,0.324006667,150000,0.250526667,0,1,5554446.24,5558172.68,5583010.18,74867944.69,5559915.26,5569511.6,2
17090,0.113933333,150000,0.649193333,0,1,5557288.73,5557809.79,5568436.34,69225143.1,5554380.52,5571036.39,4
6922,0.046146667,150000,0.275786667,0,1,1287067.42,1290447.14,1300681.92,7655018.09,1284541.39,1294484.89,4
70609,0.470726667,150000,0.548666667,0,1,5562141.46,5563804.68,5593188.88,227043577.8,5568910.01,5583842.05,2
1872,0.01248,150000,0.94748,0,1,1227032.27,1225069.91,1219358.47,7192023.59,1218901.46,1241055.02,4
2497,0.016646667,150000,0.512426667,0,1,1235333.97,1236831.06,1236713.11,5517892.47,1230910.66,1245027.32,4
31922,0.212813333,150000,0.276633333,0,1,5552837.93,5556305.04,5575296.14,55895470.62,5555393.56,5565428.77,2
49812,0.33208,150000,0.120866667,0,1,5546728.94,5551414.26,5583570.26,18844817.02,5559130.29,5565000.99,2
52490,0.349933333,150000,0.1857,0,1,5553834.58,5558053.53,5584808.84,60878684.15,5560454.76,5568926.23,2
41505,0.2767,150000,0.43556,0,1,5556663.57,5558985.53,5579728.28,108672375.9,5559488.77,5572317.56,2
11724,0.07816,150000,0.667553333,0,1,5556933.27,5557274.28,5565954.56,50459413.19,5553022.51,5569998.74,4
58147,0.387646667,150000,0.008906667,0,1,5545859.64,5551372.9,5587425.2,6686747.69,5560531.36,5566044.76,2
59301,0.39534,150000,0.275513333,0,1,5556179,5559761.93,5587958.93,98695638.81,5563202.16,5573242.6,2
71558,0.477053333,150000,0.40572,0,1,5559861.48,5562557.83,5593627.79,171241630.3,5567904.96,5580258.44,2
61714,0.411426667,150000,0.102446667,0,1,5546854.98,5551697.61,5589074.94,19614638.08,5562371.5,5568175.34,2
45445,0.302966667,150000,0.356053333,0,1,5555823.14,5558754.99,5581550.53,97887948.67,5559928.74,5571378.07,2
20738,0.138253333,150000,0.689846667,0,1,5558413.22,5558650.8,5570123.54,87616310.77,5555755.71,5573153.85,4
12135,0.0809,150000,0.385213333,0,1,5552235.3,5554778.26,5566144.65,32276122.78,5550764.22,5562649.05,4
63361,0.422406667,150000,0.680773333,0,1,5563490.4,5564136.94,5589836.68,252938193.1,5567986.73,5585324.51,2
19341,0.12894,150000,0.934786667,0,1,5562387.41,5560709.97,5569477.43,109555096.9,5557451.31,5579403.04,4
16299,0.10866,150000,0.81828,0,1,5560063.61,5559253.62,5568070.5,82314306,5555600.61,5575392.31,4
4421,0.029473333,150000,0.917513333,0,1,1273306.93,1271618.74,1272077.6,14905693.99,1265392.03,1286956.52,4
62080,0.413866667,150000,0.257553333,0,1,5556220.91,5559943.58,5589244.21,96638197.39,5563844.88,5573566.17,2
9397,0.062646667,150000,0.079433333,0,1,1299173.2,1304080.65,1318732.53,2963665.41,1299705.26,1305420.39,2
9360,0.0624,150000,0.973873333,0,1,1315480.41,1313385.27,1318501.98,32042969.58,1306993.51,1329655.13,4
44260,0.295066667,150000,0.22418,0,1,5553485.35,5557387.37,5581002.46,62218531.39,5558452.28,5567606.7,2
37238,0.248253333,150000,0.025333333,0,1,5545500.84,5550860.44,5577754.79,7702842.91,5554754.02,5560301.27,2
8753,0.058353333,150000,0.468653333,0,1,1303218.91,1305101.37,1314593.83,15013645.08,1299035.13,1312357.79,4
71332,0.475546667,150000,0.27932,0,1,5557721.63,5561321.92,5593523.26,119103517.8,5566708.13,5576810.95,2
40134,0.26756,150000,0.6625,0,1,5560343.8,5560938,5579094.19,158176162.8,5561085.3,5578041.73,2
55154,0.367693333,150000,0.374726667,0,1,5557337.16,5560173.94,5586040.94,123656877.9,5562888.71,5574696.75,2
48683,0.324553333,150000,0.58162,0,1,5560020.3,5561288.01,5583048.1,167774820.6,5562843.67,5578335.2,2
24778,0.165186667,150000,0.5566,0,1,5556642.52,5557946.62,5571992.04,84373372.06,5555754,5570711.03,4
13825,0.092166667,150000,0.164586667,0,1,5548735.2,5553003.9,5566926.28,18450235.33,5549374.48,5557459.94,2
12844,0.085626667,150000,0.11006,0,1,5545703.6,5550380.18,5566472.56,8692054.25,5548659.51,5554489.46,2
36224,0.241493333,150000,0.474806667,0,1,5556674.41,5558671.91,5577285.81,103747379.1,5558316.03,5571833.81,2
6522,0.04348,150000,0.589526667,0,1,1289075.53,1289989.38,1296840.62,14183034.97,1283903.43,1299423.23,4
14255,0.095033333,150000,0.502266667,0,1,5554452.8,5556102.59,5567125.15,46504876.51,5552335.38,5566302.02,4
37074,0.24716,150000,0.653733333,0,1,5559823.03,5560460.08,5577678.94,144706308.8,5560128.15,5576921.56,2
64571,0.430473333,150000,0.788093333,0,1,5565485.11,5565343.79,5590396.3,298546037.1,5569320.48,5588683.38,3
56357,0.375713333,150000,0.462813333,0,1,5558948.87,5561150.67,5586597.33,154538039.3,5564004.59,5577365.35,2
70839,0.47226,150000,0.75366,0,1,5565650.95,5565824.85,5593295.25,312336637.4,5570838.08,5589554.59,2
33539,0.223593333,150000,0.407526667,0,1,5555218.2,5557709.08,5576044,83543663.24,5556970.22,5569290.95,2
18729,0.12486,150000,0.944753333,0,1,5562484.38,5560721.44,5569194.38,107372400.7,5557362.68,5579504.96,4
68628,0.45752,150000,0.90906,0,1,5567978.23,5567015.68,5592272.66,363868791.1,5571576.04,5593148.66,3
50587,0.337246667,150000,0.973913333,0,1,5566904.66,5565255.98,5583928.7,289420531.8,5566872.38,5589663.44,3
59716,0.398106667,150000,0.85498,0,1,5565971.84,5565314.75,5588150.86,298632540.1,5568470.51,5589008.85,3
