query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,305712,0.008434750536525091,36244344,0.25574859349089063,0.5836772766531517,0.1355472180707699,0.14962389717965374,0.031781510516509834,0.10367741791657203,0.02430908944027239,0,0,1,0,881067.0,2,1,175.09,234.366,104491.0,104550.0,340.418,399.663,89.2026,89.2026,28647.6,28647.6,187.711,187.711,0
,1659158,0.04577701833974426,36244344,0.6660156409507646,0.8619469012875498,1.0,0.5754111593246107,0.6660156409507646,0.8619469012875498,0.5754111593246107,0,0,1,0,20855400.0,3,0,374.008,396.434,84604000.0,122379000.0,1145.68,1165.67,169.231,169.231,267.448,267.448,365.378,365.378,0
,839053,0.02314990167845223,36244344,0.7019246920291894,0.3421664908599256,0.1981625050242322,0.24073687193786705,0.12931534917558446,0.11605065882831263,0.07573154034737116,0,0,1,0,2744840.0,3,1,180.013,273.68,465097.0,465190.0,353.939,447.278,120.756,120.756,119824.0,119824.0,220.144,220.144,0
,924426,0.0255053864404333,36244344,0.773345490816443,0.4546171397115092,1.0,0.3523970526270251,0.773345490816443,0.4546171397115092,0.3523970526270251,0,0,1,0,12772400.0,1,0,240.69,319.074,24862600.0,60922100.0,692.738,769.838,125.782,125.782,224.0,224.0,278.365,278.365,0
,2527988,0.06974848268739531,36244344,0.9976673877722825,0.4233294993558167,0.08829625941084766,0.4233294993558167,0.08829625941084766,0.05751600856674355,0.05751600856674355,0,0,1,0,2084630.0,2,1,286.376,368.42,300792.0,300874.0,422.266,504.147,218.155,218.155,78139.6,78139.6,317.905,317.905,0
,1098388,0.0303050870502719,36244344,0.9188744042380792,0.5372093367174752,0.4507848176256135,0.4947834067572033,0.4057626205070783,0.3307881638028819,0.2977485259493178,0,0,1,0,10791700.0,3,1,254.553,321.292,17991200.0,37768100.0,599.104,664.909,136.099,136.099,234.317,234.317,263.916,263.916,0
,1563168,0.04312860511422141,36244344,0.6274827322022989,0.0031746194661434624,1.0,0.001996675674416952,0.6274827322022989,0.0031746194661434624,0.001996675674416952,0,0,1,0,72368.2,3,0,264.444,404.837,128520.0,128714.0,355.57,495.963,262.589,262.589,261.772,261.772,354.002,354.002,0
,320291,0.00883699260772936,36244344,0.2679449792221374,0.6235124575575157,1.0,0.16745757627728067,0.2679449792221374,0.6235124575575157,0.16745757627728067,0,0,1,0,6069390.0,1,0,201.438,255.037,11814700.0,22151700.0,734.763,788.184,90.0565,90.0565,188.275,188.275,206.986,206.986,0
,1924150,0.053088283236689286,36244344,0.7723881000577635,0.5754442679387438,1.0,0.44550399367139876,0.7723881000577635,0.5754442679387438,0.44550399367139876,0,0,1,0,16147000.0,2,0,331.72,393.505,65503800.0,131291000.0,923.103,983.263,184.901,184.901,283.119,283.119,396.794,396.794,0
,1669456,0.046061145430029024,36244344,0.6701486996150351,0.9819545913149925,1.0,0.6595953288601388,0.6701486996150351,0.9819545913149925,0.6595953288601388,0,0,1,0,23906600.0,1,0,403.263,409.201,96981600.0,127004000.0,1257.76,1260.93,169.84,169.84,268.057,268.057,366.599,366.599,0
