query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,305712,0.11717013608756026,2609129,0.12296287381727772,0.15096570541356905,0.22567416176049554,0.018569530291526408,0.16113231657001245,0.07172891796457745,0.05121479236940757,0,0,1,0,133626.0,2,1,91.2654,99.4897,5242.84,5255.34,190.724,198.938,89.2026,89.2026,187.421,187.421,187.711,187.711,0
,448243,0.17179794483139776,2609129,0.18029120062672255,0.7175421376252381,1.0,0.12941100267560554,0.18029120062672255,0.7175421376252381,0.12941100267560554,0,0,1,0,337650.0,1,0,106.638,109.41,1370010.0,2294090.0,261.724,264.486,97.623,97.623,195.842,195.842,222.083,222.083,0
,1219161,0.4672674290922373,2609129,0.49036670858359244,0.792233730106867,0.03682911040427667,0.38862011038932914,0.018066028931493994,0.03278634364188202,0.01608287669946561,0,0,1,0,41962.3,1,2,250.077,252.129,2056.28,2060.13,249.959,252.01,241.579,241.579,241.462,241.462,241.692,241.692,4
,745049,0.2855546812748622,2609129,0.2996720361469287,0.2063305417248438,0.9324606027528727,0.061852825214851394,0.27952814904897383,0.19927531371580323,0.05973755992900313,0,0,1,0,155863.0,2,1,114.281,121.992,243515.0,243526.0,259.298,266.98,111.452,111.452,213.413,213.413,253.617,253.617,0
,430836,0.16512636975787706,2609129,0.1732900136405674,0.4558992675333416,0.14387598313460162,0.07902943855976458,0.024940813581850498,0.09716192645131766,0.016842977100787273,0,0,1,0,43945.5,2,1,101.252,106.537,6483.81,6492.2,201.089,206.372,96.6051,96.6051,194.824,194.824,195.091,195.091,0
,1098388,0.4209788017380513,2609129,0.4417911111332556,0.4517139627822158,1.0,0.19963175450504747,0.4417911111332556,0.4517139627822158,0.19963175450504747,0,0,1,0,520865.0,3,0,137.36,142.722,2113390.0,3006740.0,324.957,330.254,71.7005,71.7005,234.288,234.288,298.952,298.952,0
,477429,0.18298405329901282,2609129,0.19203036722216493,0.028685549852077073,1.0,0.005510382966882818,0.19203036722216493,0.028685549852077073,0.005510382966882818,0,0,1,0,14377.3,3,0,198.727,208.06,25695.5,25708.6,226.348,235.682,197.817,197.817,197.567,197.567,225.528,225.528,0
,1009793,0.38702302569171554,2609129,0.40615469760215,0.2624416040755363,0.6189421833876363,0.1066290704675775,0.2514735760477922,0.20650569596213908,0.08390232909143243,0,0,1,0,218912.0,1,1,129.393,136.566,133904.0,133915.0,256.854,263.998,125.785,125.785,229.075,229.075,250.323,250.323,0
,1094021,0.41930506310726684,2609129,0.4400357360636442,0.16286124603267987,0.6534479514044725,0.07168905791932863,0.2876392849874422,0.13167344351314175,0.05796072175810395,0,0,1,0,151227.0,2,1,132.661,140.78,103274.0,103286.0,263.917,272.017,130.346,130.346,234.058,234.058,259.764,259.764,0
,684008,0.2621595176014678,2609129,0.27512016462198685,0.8638859941382737,0.5674843980500772,0.237754438358548,0.1561800892175128,0.5275438661714311,0.14518753193115402,0,0,1,0,378813.0,2,2,121.752,123.122,210811.0,210812.0,244.166,245.528,111.583,111.583,46169.3,46169.3,211.426,211.426,0
,536661,0.20568588214687736,2609129,0.21585440965165004,0.20598904845256788,1.0,0.04447882799202339,0.21585440965165004,0.20598904845256788,0.04447882799202339,0,0,1,0,116051.0,1,0,102.823,110.495,205683.0,205694.0,238.134,245.776,71.3871,71.3871,201.07,201.07,232.523,232.523,0
,758916,0.29086948173125976,2609129,0.3052493763244362,0.40410420488983106,0.30791003434479475,0.12339481873069519,0.09402179807897577,0.19576916281257079,0.05977895305291536,0,0,1,0,155971.0,1,2,120.766,126.55,46993.9,47003.0,222.67,228.451,116.015,116.015,214.233,214.233,215.205,215.205,0
,1223908,0.46908681019604626,2609129,0.49227922421620396,0.8071390874119294,1.0,0.3974736396705567,0.49227922421620396,0.8071390874119294,0.3974736396705567,0,0,1,0,1037060.0,3,0,149.869,151.892,4207430.0,6415870.0,360.986,362.893,71.7706,71.7706,241.71,241.71,313.813,313.813,0
,108102,0.04143221741814989,2609129,0.4528867679597291,0.076324321258167,0.521886805903426,0.03457809100278292,0.13219277391037393,0.05514752241073553,0.013968684568681732,0,0,1,0,36446.1,2,1,78.4751,87.4077,3372.27,3385.78,177.662,186.594,77.5116,77.5116,175.73,175.73,175.972,175.972,0
,1234802,0.4732621499358598,2609129,0.4966599964969153,0.3492035081439055,0.8177748206393781,0.17349467964213344,0.40629650737851597,0.31584256661897514,0.15691979967261105,0,0,1,0,409424.0,3,2,143.25,149.605,487878.0,487888.0,303.19,309.499,137.967,137.967,242.387,242.387,293.296,293.296,0
,24778,0.009496655780530591,2609129,0.10380590610889688,0.4983003906667704,0.9199660116460321,0.051744087777951954,0.08865525621768797,0.47802542534309345,0.04606633094799069,0,0,1,0,120193.0,1,2,77.8985,82.7814,21536.6,21541.5,197.025,201.901,72.582,72.582,7515.2,7515.2,170.971,170.971,0
,298368,0.11435540366152842,2609129,0.12000901450254088,0.011723260904309446,0.9237795448212794,0.0014073815438025486,0.1108998443541887,0.011269584600838057,0.0013529112588913771,0,0,1,0,3529.92,3,2,188.205,197.757,5594.01,5608.39,202.997,212.55,187.787,187.787,186.987,186.987,202.643,202.643,0
,1062831,0.40735088222928034,2609129,0.4274913199002426,0.7036217833614206,0.7633083684248652,0.30089428311133715,0.32641735996955307,0.6148411979629984,0.2629283565511709,0,0,1,0,686014.0,1,2,138.706,141.698,2267800.0,3634890.0,305.428,308.331,128.657,128.657,232.213,232.213,269.163,269.163,0
,1129154,0.43277047627771564,2609129,0.4541668886436815,0.03657208976635498,0.061495234616609606,0.016615506554102922,0.027938557273327613,0.009070766527833618,0.004121030428162042,0,0,1,0,10752.3,1,2,236.894,246.207,931.062,945.111,237.015,246.328,236.288,236.288,236.137,236.137,236.449,236.449,0
,244483,0.09370291771698525,2609129,0.09833549816816263,0.16554336715432622,0.6703309801853415,0.01628436156280506,0.4371612135697392,0.1355597979249014,0.08840651420454872,0,0,1,0,230664.0,1,2,88.2769,96.3708,26227.6,26239.9,189.071,197.145,85.5801,85.5801,183.799,183.799,184.577,184.577,0
,368916,0.14139431204819694,2609129,0.14838438421404232,0.05131597556119303,1.0,0.007617101339182539,0.14838438421404232,0.05131597556119303,0.007617101339182539,0,0,1,0,19874.0,3,0,91.7379,100.863,35408.4,35421.3,214.09,223.208,71.2934,71.2934,191.151,191.151,212.721,212.721,0
,769614,0.2949697006165659,2609129,0.30955234486297917,0.21518445427573724,0.6131126517699969,0.06663373102671429,0.18985569513810932,0.1685217557276777,0.05218408135435235,0,0,1,0,136155.0,3,2,115.583,123.204,82615.0,82626.7,236.054,243.651,112.782,112.782,214.866,214.866,230.894,230.894,0
,784241,0.30057578601901247,2609129,0.3154355342338382,0.5926805458833196,1.0,0.18701681672312867,0.3154355342338382,0.5926805458833196,0.18701681672312867,0,0,1,0,487951.0,1,0,121.731,125.77,1979800.0,3877600.0,295.245,299.197,71.5252,71.5252,215.711,215.711,261.783,261.783,0
