query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
fa7493fe53839beaa8b3e6a1b58c6b71,305712,0.11717013608756026,2609129,0.49999980836516705,0.15309706802538317,0.23303178953589493,0.07654853401269159,0.11651589476794746,0.03567627357635441,0.017838136788177205,0,0,1,0,57222,2,1,804262.86,831837.16,650054249.92,650081824.22,770899.48,798473.78,-1,-1,-1,-1,-1,-1,4
d10167ef3a262afadd8e9800170e14a1,448243,0.17179794483139776,2609129,0.49999980836516705,0.7204557536250603,1.0,0.36022787681253016,0.49999980836516705,0.7204557536250603,0.36022787681253016,0,0,1,0,1694316,1,0,1001798.37,986141.22,19222452879.77,19222437222.61,1201856.97,1186199.82,-1,-1,-1,-1,-1,-1,1
1aadcd370a91836b5947c701296f4acb,1219161,0.4672674290922373,2609129,0.49999980836516705,0.7946506286197424,0.037957877897183315,0.3973253143098712,0.018978747313758728,0.03016332270271037,0.015081661351355184,0,0,1,0,192936,1,2,1374484.51,1344737.62,2189740720.72,2189710973.83,1227964.15,1198217.26,-1,-1,-1,-1,-1,-1,5
0c3e1832afd827c45ed90709e8a14ab4,745049,0.2855546812748622,2609129,0.49999980836516705,0.20718599961902995,0.9305607350192344,0.1035931914443479,0.46528017587478426,0.19279920617186808,0.09639960308593404,0,0,1,0,753640,2,1,1075416.54,1117873.93,8550529865.75,8550572323.14,1030312.38,1072769.77,-1,-1,-1,-1,-1,-1,4
27dc91777b1c1679cbc5a71bbcb01f57,430836,0.16512636975787706,2609129,0.49999980836516705,0.4590255981977127,0.15447185631680152,0.22951260746402344,0.07723573652356783,0.07090642126165475,0.035453210630827375,0,0,1,0,160277,2,1,910667.59,914970.23,1819265094.19,1819269396.83,870439.57,874742.21,-1,-1,-1,-1,-1,-1,4
c4a4e8b3138759a7a3cef55b574d89b2,1098388,0.4209788017380513,2609129,0.49999980836516705,0.45509785066204084,1.0,0.2275487336961875,0.49999980836516705,0.45509785066204084,0.2275487336961875,0,0,1,0,2622613,3,0,1338251.39,1354401.02,29753993374.8,29754009524.43,1366095.0,1382244.62,-1,-1,-1,-1,-1,-1,0
0821f58fd770900fdf7d71a9649a4ad3,477429,0.18298405329901282,2609129,0.49999980836516705,0.027714612807569115,1.0,0.013857498038617485,0.49999980836516705,0.027714612807569115,0.013857498038617485,0,0,1,0,69421,3,0,887006.72,925808.35,788234329.5,788273131.13,829789.14,868590.76,-1,-1,-1,-1,-1,-1,4
25ed092651538c74da24a6b7c19dcb9f,1009793,0.38702302569171554,2609129,0.49999980836516705,0.2630107595293295,0.6249177407479661,0.13150518812983183,0.31245906200881596,0.16435983042616903,0.08217991521308451,0,0,1,0,870766,1,1,1227508.04,1259231.96,9880033396.8,9880065120.73,1143019.81,1174743.73,-1,-1,-1,-1,-1,-1,4
da28e7939bb9740c8992a36ba7635bc2,1094021,0.41930506310726684,2609129,0.49999980836516705,0.16484734944113533,0.6610079455634428,0.08242367472056766,0.33050416441655434,0.10896548235062352,0.054482549540478833,0,0,1,0,625444,2,1,1259624.47,1305074.07,7097126972.87,7097172422.46,1149928.36,1195377.95,-1,-1,-1,-1,-1,-1,4
4bf2736ac97bed4656a0654e7d12bfd6,684008,0.2621595176014678,2609129,0.49999980836516705,0.8657276048827023,0.5657056435308488,0.43286399407618403,0.2828530134002573,0.4897469615339065,0.24487328913212034,0,0,1,0,1757545,2,2,1148473.54,1121920.81,19939709370.02,19939682817.29,1234741.29,1208188.57,-1,-1,-1,-1,-1,-1,1
bdd00342a2acd58d4c9efe26e3e81196,536661,0.20568588214687736,2609129,0.49999980836516705,0.2068456561557516,1.0,0.10342301971270873,0.49999980836516705,0.2068456561557516,0.10342301971270873,0,0,1,0,582398,1,0,954883.58,987027.74,6608190329.15,6608222473.31,939134.37,971278.53,-1,-1,-1,-1,-1,-1,4
6fef22e1336f32542545d96c89c0bdce,758916,0.29086948173125976,2609129,0.49999980836516705,0.40690667268655556,0.3129553962260969,0.20345333634327778,0.15647750647821554,0.127343646097989,0.0636718230489945,0,0,1,0,507043,1,2,1097135.64,1118399.35,5753151122.34,5753172386.05,1032243.95,1053507.66,-1,-1,-1,-1,-1,-1,4
459986b5445d4384c8669aa35b275b1e,1223908,0.46908681019604626,2609129,0.49999980836516705,0.8089692000663823,1.0,0.40448440839835825,0.49999980836516705,0.8089692000663823,0.40448440839835825,0,0,1,0,5194627,3,0,1498035.49,1476633.96,58932630089.52,58932608687.99,1652489.32,1631087.79,-1,-1,-1,-1,-1,-1,1
224ccdc288669620160fbbd57b81720b,108102,0.04143221741814989,2609129,0.49999980836516705,0.07566739705089323,0.525850964057354,0.037833698525446616,0.2629252903938441,0.03978952363029961,0.019894761815149806,0,0,1,0,22567,2,1,684939.12,721803.16,256745471.15,256782335.19,663223.13,700087.17,-1,-1,-1,-1,-1,-1,4
d992488c42b86f9337b2e476960b2b74,1234802,0.4732621499358598,2609129,0.49999980836516705,0.35098801170812177,0.8281112202577948,0.17549381421922794,0.4140554184940645,0.2906571503363766,0.1453285751681883,0,0,1,0,1883007,3,2,1388988.02,1424652.24,21363314769.32,21363350433.53,1316698.93,1352363.15,-1,-1,-1,-1,-1,-1,4
6d9851c423cb942d81ded83161e47ce1,24778,0.009496655780530591,2609129,0.49999980836516705,0.49978096138596445,0.9160459295036772,0.24989028905814928,0.4580229647518386,0.4578221314469311,0.22891087408863264,0,0,1,0,59516,1,2,365921.9,377328.38,675541048.58,675552455.07,517055.59,528462.07,-1,-1,-1,-1,-1,-1,0
127e1fe85450495bb5c18ea73ea4cd8b,298368,0.11435540366152842,2609129,0.49999980836516705,0.010970710915405102,0.9194049048552217,0.005485355457702551,0.4597024524276109,0.010086507796279908,0.005043062263307027,0,0,1,0,15789,3,2,758016.36,798060.7,118409319.14,118449363.48,743504.68,783549.01,-1,-1,-1,-1,-1,-1,4
f90c08dfe22281eafa36a1bde6136725,1062831,0.40735088222928034,2609129,0.49999980836516705,0.7059087534575714,0.7745584829266778,0.35295456836361866,0.38727943309817187,0.5467675228016706,0.2733839530356682,0,0,1,0,3048881,1,2,1355873.39,1345406.06,34590364295.11,34590353827.78,1423085.84,1412618.51,-1,-1,-1,-1,-1,-1,1
afce2d5b2972b1d2832aa4bd0328fc54,1129154,0.43277047627771564,2609129,0.49999980836516705,0.0360388466802523,0.06022162951697674,0.01801942334012615,0.03011081475848837,0.002170456117731243,0.0010854196936985485,0,0,1,0,12858,1,2,1159021.67,1190276.82,96580818.12,96612073.27,1108718.51,1139973.66,-1,-1,-1,-1,-1,-1,4
d61b041671b09470f058d8eaa1f219a3,244483,0.09370291771698525,2609129,0.49999980836516705,0.16760229179929395,0.6796635965488866,0.08380114589964698,0.3398317982744433,0.1139131104671329,0.05695655523356645,0,0,1,0,146115,1,2,778020.03,824676.2,1658288006.86,1658334663.03,773185.15,819841.32,-1,-1,-1,-1,-1,-1,4
685f15c94e49dd2e820c95d665120ef2,368916,0.14139431204819694,2609129,0.49999980836516705,0.05045553516135078,1.0,0.025227575945842462,0.49999980836516705,0.05045553516135078,0.025227575945842462,0,0,1,0,97658,3,0,830385.54,872705.56,1108738136.06,1108780456.08,792680.31,835000.32,-1,-1,-1,-1,-1,-1,4
79a6b27ff2e61033d51da4e03015b5b6,769614,0.2949697006165659,2609129,0.49999980836516705,0.21573866221256213,0.6195159380774197,0.10786933110628107,0.30975777740387694,0.13365341460694355,0.0668268989383047,0,0,1,0,539668,3,2,1086466.57,1134351.79,6123555809.57,6123603694.79,1022089.02,1069974.24,-1,-1,-1,-1,-1,-1,4
4b0143ba5bd06b1923f9f96882b25c4b,784241,0.30057578601901247,2609129,0.49999980836516705,0.5936444690929426,1.0,0.29682242618130417,0.49999980836516705,0.5936444690929426,0.29682242618130417,0,0,1,0,2442584,1,0,1177017.08,1173161.1,27711410257.28,27711406401.3,1291925.84,1288069.86,-1,-1,-1,-1,-1,-1,1
e7ed2d0f3703b94c978811bc6777f364,181659,0.0696243842293731,2609129,0.49999980836516705,0.010647231317424321,0.9523227866464249,0.005323615658712161,0.47616120168837955,0.010139399010167761,0.005069891139916807,0,0,1,0,9664,3,1,701829.86,739890.52,72708825.53,72746886.19,666954.42,705015.08,-1,-1,-1,-1,-1,-1,4
dad92af631a17a89b12191cb5717e99b,1118958,0.4288626587646682,2609129,0.49999980836516705,0.3056326459902902,0.9828302855090721,0.15281651462997806,0.491415334389369,0.3003849177254172,0.15019265049754152,0,0,1,0,1763460,1,1,1312013.64,1339492.44,20006705292.39,20006732771.2,1256014.33,1283493.13,-1,-1,-1,-1,-1,-1,4
6e3bd008d94649a0c0db1f26dd5b7048,627532,0.24051397995269685,2609129,0.49999980836516705,0.6423109014540868,0.044595725240108866,0.3211554507270434,0.022297862620054433,0.028644425016930937,0.014322020873632543,0,0,1,0,94308,1,1,1026998.65,1008625.45,1070674691.21,1070656318.01,951365.24,932992.04,-1,-1,-1,-1,-1,-1,5
013fe85319e2895b58878cae61971bfc,639002,0.24491008302004233,2609129,0.49999980836516705,0.19644103453681286,0.976551178573386,0.09822051726840643,0.488275589286693,0.1918348996925794,0.0959174498462897,0,0,1,0,643137,1,2,1013500.71,1057098.89,7297317466.41,7297361064.59,980912.45,1024510.63,-1,-1,-1,-1,-1,-1,4
ea5c655821a1d53331c32e88c5cdd902,276052,0.1058023577983304,2609129,0.49999980836516705,0.4468629186215017,1.0,0.22343165094558376,0.49999980836516705,0.4468629186215017,0.22343165094558376,0,0,1,0,647200,2,0,851925.17,865340.21,7343060465.13,7343073880.17,970926.22,984341.26,-1,-1,-1,-1,-1,-1,0
82bb2336a33e08425eec0e75a575740b,1108732,0.4249433431616451,2609129,0.49999980836516705,0.3340528582526966,0.9675711703024266,0.16702662076118122,0.4837855851512133,0.3232197411473331,0.16160987057366655,0,0,1,0,1880174,2,1,1314119.04,1343112.66,21331404147.39,21331433141.01,1266486.45,1295480.07,-1,-1,-1,-1,-1,-1,4
0a465e8c5d2a2a1ec120fbcc37787feb,693401,0.2657595695728345,2609129,0.49999980836516705,0.14211255940200734,0.4980202205410311,0.07105627970100367,0.24901030190534848,0.07077495976626683,0.03538728824830049,0,0,1,0,257477,2,2,1026494.97,1065570.98,2921898416.57,2921937492.58,953833.54,992909.55,-1,-1,-1,-1,-1,-1,4
c8f82aa992eb04cee4b5ff2d1a5d60f2,381095,0.14606215330863287,2609129,0.49999980836516705,0.905805347301724,0.09035850661274318,0.45290286528569496,0.045179061671538664,0.08184723714312324,0.04092361857156162,0,0,1,0,163648,2,2,935206.42,892807.82,1857520219.13,1857477820.53,904204.37,861805.77,-1,-1,-1,-1,-1,-1,5
213cb672a35a2760f0f3a56d1fc19f3d,267248,0.10242805166015172,2609129,0.49999980836516705,0.04427301218145979,0.16822625481530426,0.022136506090729896,0.08411312740765213,0.007448079416540922,0.003723848073437534,0,0,1,0,10443,3,2,746905.73,782295.19,78531141.73,78566531.19,733382.95,768772.41,-1,-1,-1,-1,-1,-1,4
f3de3f19c9228b14c06635afff2a1056,1120469,0.4294417792297736,2609129,0.49999980836516705,0.18075725654040103,1.0,0.09037881990503344,0.49999980836516705,0.18075725654040103,0.09037881990503344,0,0,1,0,1062598,3,0,1285817.47,1331078.37,12056126290.78,12056171551.68,1192817.68,1238078.58,-1,-1,-1,-1,-1,-1,4
4c5040971e65272f91c9c849279f3384,63004,0.02414752202746587,2609129,0.49999980836516705,0.42359155105017804,0.7027417962086198,0.2117955838902561,0.3513708981043099,0.29767520118782936,0.14883740895908174,0,0,1,0,98398,2,1,716197.13,735688.35,1116973433.55,1116992924.77,777444.85,796936.06,-1,-1,-1,-1,-1,-1,0
6790fa0f42e7bbd8e6777dd10e0958c7,82728,0.03170713291677031,2609129,0.49999980836516705,0.7349084694547491,0.6522900937439275,0.3674544263622075,0.3261448552371309,0.4793737680275678,0.2396868840137839,0,0,1,0,208066,2,2,779544.93,767727.31,2361198655.45,2361186837.83,922591.73,910774.11,-1,-1,-1,-1,-1,-1,1
5bc3c45289862b5ed2f479cb8adcfe57,1124100,0.4308334313864895,2609129,0.49999980836516705,0.4526077476429874,0.7711374178892649,0.2263038738214937,0.3855685173097996,0.34902298813128824,0.17451149406564412,0,0,1,0,2058413,2,1,1339011.43,1355425.24,23353540114.09,23353556527.9,1297804.77,1314218.57,-1,-1,-1,-1,-1,-1,4
453ca175fab0f7f9f39c54b4981b74ed,492968,0.18893968063671823,2609129,0.49999980836516705,0.11737940132511654,0.7444449852805285,0.05868970066255827,0.3722223010054313,0.08738241765738682,0.04369120882869341,0,0,1,0,226004,2,2,911963.74,958159.15,2565008126.12,2565054321.53,868290.76,914486.17,-1,-1,-1,-1,-1,-1,4
d7b2ba97effa661337fbbc744751b5d8,1243369,0.4765456211632311,2609129,0.49999980836516705,0.8555127017483612,0.12830833584694357,0.42775654250901357,0.06415397628863885,0.10976919883991937,0.054884599419959684,0,0,1,0,716068,1,2,1417822.75,1390187.26,8124967699.18,8124940063.69,1290953.15,1263317.65,-1,-1,-1,-1,-1,-1,5
4fa9999349091f0ee87734c868c639a7,587702,0.22524834916173175,2609129,0.49999980836516705,0.029684618890058714,0.9788944893104173,0.014842501079862283,0.48944724465520867,0.029058356256053266,0.014528986493193705,0,0,1,0,89599,3,1,949685.65,990539.73,1017515839.87,1017556693.96,879069.65,919923.74,-1,-1,-1,-1,-1,-1,4
2c979eef509f24c85add13f2f6592ef0,331100,0.1269005863642618,2609129,0.49999980836516705,0.031067839114125827,1.0,0.015533919557062913,0.49999980836516705,0.031067839114125827,0.015533919557062913,0,0,1,0,53969,1,0,804808.2,840325.9,613132061.66,613167579.36,767024.01,802541.71,-1,-1,-1,-1,-1,-1,4
c5d1224323db160f97e21f087c530914,566810,0.21724107930270983,2609129,0.49999980836516705,0.21600695097865993,0.525932600496181,0.10800347548932997,0.2629663002480905,0.11360496165578628,0.05680248082789314,0,0,1,0,337838,1,2,966208.79,1007730.34,3833514998.43,3833556519.99,920612.92,962134.47,-1,-1,-1,-1,-1,-1,4
64daf5e346474d2ec1f50153e6c9635f,185618,0.07114174883648912,2609129,0.49999980836516705,0.21617597290130156,1.0,0.1080881780854837,0.49999980836516705,0.21617597290130156,0.1080881780854837,0,0,1,0,210524,2,0,756827.6,793219.48,2389076950.54,2389113342.43,761061.3,797453.18,-1,-1,-1,-1,-1,-1,0
43cb0ddc17056c62fd788c328babc05e,1258358,0.48229045018471683,2609129,0.49999980836516705,0.162131117319228,0.4402151062672639,0.08106536702478107,0.22010755313363195,0.07137247717533322,0.03568623858766661,0,0,1,0,471204,2,1,1347399.31,1383326.86,5346566448.85,5346602376.4,1207692.48,1243620.03,-1,-1,-1,-1,-1,-1,4
3410d977ff0ec4555c44d44827309434,1142423,0.4378560814739325,2609129,0.49999980836516705,0.12370105119371254,0.26301305914732465,0.06185052559685627,0.13150672120849524,0.03253499539501496,0.01626749769750748,0,0,1,0,195007,3,2,1274165.6,1306632.52,2213915438.95,2213947905.86,1137377.97,1169844.89,-1,-1,-1,-1,-1,-1,4
3f7ea76379a509b51df5d2c6ec2c7f79,1136734,0.435675660344889,2609129,0.49999980836516705,0.05796340464576493,0.8407215588037233,0.028981702322882465,0.4203609710366946,0.0487312049346736,0.0243656024673368,0,0,1,0,290629,3,1,1264897.49,1307699.9,3298549476.08,3298592278.49,1133167.58,1175969.99,-1,-1,-1,-1,-1,-1,4
5b3d0c67d6ddda50da5234d914df831f,449130,0.17213790502501025,2609129,0.49999980836516705,0.1765765510252655,0.0648419453388468,0.08828846714746569,0.03242078103459047,0.011449414728056757,0.005724515729195452,0,0,1,0,26979,3,2,849577.75,870938.41,201905422.2,201926782.86,828445.58,849806.24,-1,-1,-1,-1,-1,-1,4
91c583a44e1f3847657c806f39bd1ca8,700553,0.2685007142230223,2609129,0.49999980836516705,0.2983129619118104,0.8466177793432215,0.14915628932107228,0.4233090813064436,0.25255707939316147,0.12627853969658073,0,0,1,0,928270,1,1,1064266.51,1092476.28,10532304556.77,10532332766.53,1042323.12,1070532.89,-1,-1,-1,-1,-1,-1,4
b203807888c4b42b78eccd5e7cdb2c3b,324696,0.12444612742413273,2609129,0.49999980836516705,0.04410782295547671,1.0,0.022054103112571284,0.49999980836516705,0.04410782295547671,0.022054103112571284,0,0,1,0,75139,1,0,803589.67,841297.27,853362443.47,853400151.07,769921.15,807628.75,-1,-1,-1,-1,-1,-1,4
4d86de32b6717635ddca01cef07705ed,448968,0.1720758153391419,2609129,0.49999980836516705,0.05762727714881096,1.0,0.028813446939572555,0.49999980836516705,0.05762727714881096,0.028813446939572555,0,0,1,0,135743,2,0,876666.38,918370.33,1540757825.52,1540799529.47,830652.34,872356.29,-1,-1,-1,-1,-1,-1,4
9a330e8ec0c303325f0e196278a8bd90,665461,0.2550510151088735,2609129,0.49999980836516705,0.9830269028476553,1.0,0.49151345142382763,0.49999980836516705,0.9830269028476553,0.49151345142382763,0,0,1,0,3432113,1,0,1184967.44,1144871.35,38937301506.94,38937261410.85,1462729.33,1422633.25,-1,-1,-1,-1,-1,-1,1
9d64f550def00307cf0196615a5cfc25,709541,0.27194554197971815,2609129,0.49999980836516705,0.318431553211819,0.5265975733664376,0.15921558497107655,0.2632985950483859,0.16768546131678427,0.0838425390235592,0,0,1,0,624233,2,2,1066208.36,1101305.78,7083101974.7,7083137072.13,1018415.65,1053513.07,-1,-1,-1,-1,-1,-1,4
805a35c593abb5ac688a2be595e15400,576837,0.22108412424222795,2609129,0.49999980836516705,0.27840478565835575,1.0,0.13920239282917787,0.49999980836516705,0.27840478565835575,0.13920239282917787,0,0,1,0,842565,3,0,995606.91,1030505.37,9559382892.8,9559417791.26,995799.14,1030697.6,-1,-1,-1,-1,-1,-1,0
bf198b36bd4ca22ef1a01c5aedcde767,629390,0.2412260949918536,2609129,0.49999980836516705,0.5318042917770643,0.038617868261783914,0.26590214588853217,0.019309125765724883,0.020537121775121122,0.010268560887560561,0,0,1,0,67816,2,1,1019971.67,1008798.79,506569437.95,506558265.07,940497.24,929324.36,-1,-1,-1,-1,-1,-1,5
