query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,305712,0.02060649052684623,14835714,0.8239374255934026,0.6517691025858277,0.23636880570763227,0.5710503720953369,0.10525546663948901,0.19677987860914548,0.08762638589554908,0,0,1,0,1300000.0,2,1,136.75,155.765,81750.7,81769.5,314.692,333.544,89.2026,89.2026,22847.6,22847.6,187.711,187.711,0
,1659158,0.11183539936129801,14835714,0.6277850867170937,0.6670612550228455,1.0,0.44531122667907996,0.6277850867170937,0.6670612550228455,0.44531122667907996,0,0,1,0,6606510.0,3,0,243.23,261.605,26801000.0,45312800.0,710.09,727.914,169.231,169.231,267.448,267.448,365.378,365.378,0
,839053,0.05655629381909088,14835714,0.31747713659079707,0.2289893159169825,0.7859682385357388,0.07730601978442021,0.26534145913031215,0.20934415424832267,0.0706740504703717,0,0,1,0,1048500.0,3,2,141.078,187.266,3881040.0,16183600.0,356.767,402.782,120.756,120.756,218.974,218.974,252.778,252.778,0
,2070601,0.13956867866285372,14835714,0.7834675162921043,0.6942368934855444,0.8794655922862897,0.5783840265456721,0.7326981364024677,0.6713717991597843,0.5593320281046129,0,0,1,0,8298090.0,2,1,276.923,293.602,37438700.0,57135500.0,754.175,770.299,193.617,193.617,291.834,291.834,398.621,398.621,0
,1419225,0.09566273655585433,14835714,0.5370001066345711,0.7254251463731372,0.7434424794115065,0.41424093238788506,0.4245316403376339,0.6449989532017131,0.3683159435400278,0,0,1,0,5464230.0,2,2,226.547,241.201,17095900.0,25311900.0,635.375,649.497,155.08,155.08,253.298,253.298,300.693,300.693,0
,1430144,0.09639873079246472,14835714,0.5411320277541074,0.32891103185192166,0.8839412784581854,0.18926423089579644,0.508642860060527,0.31888387710898175,0.1834943704091357,0,0,1,0,2722270.0,1,2,190.863,230.722,12437300.0,36652700.0,491.166,530.761,155.726,155.726,253.944,253.944,328.623,328.623,0
,1943681,0.13101364720295902,14835714,0.7354415163301207,0.8425344408769271,0.6215548506799201,0.6589052606433368,0.4860871542818903,0.5883242289518388,0.46009986442175954,0,0,1,0,6825910.0,1,1,270.631,277.715,16352400.0,21630700.0,649.607,656.204,186.108,186.108,284.325,284.325,325.358,325.358,0
,1094021,0.07374238947987269,14835714,0.4139510912653075,0.7876061779028634,1.0,0.34669379579573995,0.4139510912653075,0.7876061779028634,0.34669379579573995,0,0,1,0,5143450.0,2,0,210.278,221.057,20865700.0,30919900.0,695.006,705.133,135.811,135.811,234.029,234.029,298.435,298.435,0
,20738,0.0013978430697706898,14835714,0.055891748789441476,0.5271488787125446,0.9374001143456931,0.031330544657304664,0.055021820992235355,0.5263076654079474,0.030892210513090237,0,0,1,0,458308.0,2,1,108.238,135.142,116996.0,117023.0,422.398,449.257,72.343,72.343,32123.3,32123.3,170.727,170.727,0
,1810863,0.12206106157074745,14835714,0.6851844137734119,0.15210322873573864,0.6762937058506251,0.11082378643859002,0.4927555222485416,0.12898806218561507,0.09398199506946547,0,0,1,0,1394290.0,3,1,186.288,237.349,3567510.0,22289700.0,391.765,442.719,169.155,169.155,276.468,276.468,324.142,324.142,0
,536661,0.036173587600839434,14835714,0.20305932023224496,0.4443372256973948,1.0,0.09594482611352578,0.20305932023224496,0.4443372256973948,0.09594482611352578,0,0,1,0,1423410.0,1,0,138.324,170.407,5774630.0,13713000.0,448.741,480.786,102.852,102.852,201.07,201.07,232.523,232.523,0
