query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,305712,0.22152481639958407,1380035,0.12300485132623448,0.30190466183828674,0.20913237707739296,0.03713579728050375,0.02572434757089494,0.11490940447162572,0.014134424126924318,0,0,1,0,19506.0,2,1,90.5626,93.301,4471.39,4476.09,189.946,192.684,89.2026,89.2026,187.421,187.421,187.711,187.711,0
,610582,0.44243950334592963,1380035,0.24567130543790555,0.4664432423815338,1.0,0.11459129659755006,0.24567130543790555,0.4664432423815338,0.11459129659755006,0,0,1,0,158140.0,3,0,107.137,109.26,641827.0,1540790.0,261.038,263.125,71.4283,71.4283,205.441,205.441,241.256,241.256,0
,170585,0.12360918382504792,1380035,0.0686358679308858,0.5619857467383074,0.04346454981214244,0.038572355048966146,0.025409717869474328,0.03258344897049713,0.019048574854985564,0,0,1,0,26287.7,1,1,181.997,183.726,315.788,318.94,182.062,183.791,179.468,179.468,179.427,179.427,179.473,179.473,0
,255654,0.18525182332332152,1380035,0.10286405779563562,0.26776494799044953,1.0,0.02754335940755126,0.10286405779563562,0.26776494799044953,0.02754335940755126,0,0,1,0,38010.8,2,0,86.4515,89.3211,67495.7,67500.2,202.899,205.748,71.2302,71.2302,184.453,184.453,199.367,199.367,0
,332753,0.24111924697562018,1380035,0.13388501016278573,0.3338024035622285,1.0,0.044691185368487034,0.13388501016278573,0.3338024035622285,0.044691185368487034,0,0,1,0,61675.4,2,0,91.0463,93.6672,109398.0,109402.0,212.942,215.537,71.2733,71.2733,189.012,189.012,208.456,208.456,0
,556210,0.40304050259594865,1380035,0.22379432405699856,0.2040868528696736,0.727307640748242,0.04567347929581496,0.16276761096638853,0.17404993351617895,0.038951475868365656,0,0,1,0,53754.4,2,2,102.464,105.594,52103.8,52109.1,223.267,226.384,101.229,101.229,202.241,202.241,220.728,220.728,0
,381568,0.27649153825808764,1380035,0.15352581637422238,0.6540457307242208,0.9136652331281453,0.10041339531243773,0.1402718047006054,0.6251754484487713,0.0959808990351694,0,0,1,0,132457.0,1,2,95.55,96.9699,611896.0,1035690.0,238.032,239.404,91.7739,91.7739,191.909,191.909,211.697,211.697,0
,71558,0.05185230809363531,1380035,0.44172430409373675,0.1954624339237773,1.0,0.08634056382627976,0.44172430409373675,0.1954624339237773,0.08634056382627976,0,0,1,0,119153.0,3,0,76.7802,79.9222,13929.9,13934.8,176.828,179.955,75.3477,75.3477,173.566,173.566,173.899,173.899,0
,570811,0.4136206690410026,1380035,0.22966881274750278,0.9849750187495244,0.9263170861608583,0.22621745100667737,0.2127460535421203,0.9193317560786501,0.21114102178567934,0,0,1,0,291382.0,1,1,108.055,108.214,1406880.0,1698220.0,272.93,273.019,102.019,102.019,203.105,203.105,233.559,233.559,0
,80164,0.05808838181640321,1380035,0.49484831906437154,0.2467995376928846,1.0,0.1221280619694428,0.49484831906437154,0.2467995376928846,0.1221280619694428,0,0,1,0,168541.0,3,0,77.7132,80.6622,19630.1,19634.7,178.237,181.167,75.8566,75.8566,174.075,174.075,174.451,174.451,0
,412557,0.2989467658428953,1380035,0.16599434072324254,0.6111250801610104,0.31511519635371565,0.10144380396149373,0.052307441477933536,0.24633940443539476,0.040891064357063404,0,0,1,0,56431.1,2,2,98.3122,99.8527,18528.1,18531.0,199.049,200.588,95.5237,95.5237,193.742,193.742,194.311,194.311,0
,586368,0.42489357153985224,1380035,0.23592879890727408,0.4500748169430486,1.0,0.10618571268120011,0.23592879890727408,0.4500748169430486,0.10618571268120011,0,0,1,0,146540.0,1,0,105.698,107.882,594761.0,1162610.0,257.452,259.602,71.4148,71.4148,204.009,204.009,238.395,238.395,0
,138085,0.10005905647320538,1380035,0.8523914248551667,0.04738720394772596,1.0,0.04039846815479318,0.8523914248551667,0.04738720394772596,0.04039846815479318,0,0,1,0,55743.0,1,0,178.71,182.406,6623.35,6629.03,179.022,182.718,177.573,177.573,177.5,177.5,178.175,178.175,0
,175332,0.12704895165702318,1380035,0.0705458194900854,0.1342422474792306,0.9291431014430793,0.009470267058444169,0.0655473230751394,0.12939889205708552,0.009128536595086357,0,0,1,0,12597.7,3,1,81.3502,84.7484,19773.9,19779.6,182.569,185.957,80.6084,80.6084,179.708,179.708,180.876,180.876,0
,270897,0.19629719536098722,1380035,0.10899723557735855,0.08720431003561503,1.0,0.009505700942367403,0.10899723557735855,0.08720431003561503,0.009505700942367403,0,0,1,0,13117.2,2,0,187.089,190.632,23432.2,23437.7,202.329,205.872,185.496,185.496,185.354,185.354,201.163,201.163,0
,618079,0.44787197426152237,1380035,0.2486878955968508,0.10523863525200448,0.5680218255334104,0.026171510142858696,0.14126018543007968,0.07931537968239936,0.019724789588669852,0,0,1,0,27220.9,1,2,208.173,211.674,16297.9,16303.8,208.702,212.203,206.549,206.549,205.901,205.901,207.478,207.478,0
,606046,0.4391526301869155,1380035,0.24384598941331198,0.38194176234660715,1.0,0.09313531903176368,0.24384598941331198,0.38194176234660715,0.09313531903176368,0,0,1,0,128530.0,3,0,106.356,108.796,227782.0,227786.0,256.9,259.31,71.4258,71.4258,205.173,205.173,240.72,240.72,0
,259979,0.1883858018093744,1380035,0.10460386874245943,0.7057610857695639,0.8172691272322803,0.07382566384185908,0.0854898607644009,0.6380294702670585,0.0667404087577489,0,0,1,0,92104.1,3,2,89.9946,91.1711,111887.0,111888.0,212.873,214.044,86.4969,86.4969,30322.6,30322.6,186.04,186.04,0
,96991,0.07028155083023256,1380035,0.5987210469299692,0.2133170535529896,0.7416406105642248,0.1277170506545124,0.33826388461162216,0.18370548573043438,0.08378845464064318,0,0,1,0,115631.0,3,2,78.3158,81.4115,10134.0,10139.2,178.375,181.457,76.8542,76.8542,175.073,175.073,175.489,175.489,0
