query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,305712,0.06757664243257522,4523930,0.12300499786689892,0.5027619790757152,0.31872730126239796,0.06184224778013807,0.03920507169651166,0.22599598137018034,0.027798617573658303,0,0,1,0,125759.0,2,1,94.2993,98.9401,27782.3,27792.0,198.301,202.939,89.2026,89.2026,187.421,187.421,187.711,187.711,0
,1659158,0.36675147493440435,4523930,0.6675722214976801,0.37377899304365897,1.0,0.24952419688191463,0.6675722214976801,0.37377899304365897,0.24952419688191463,0,0,1,0,1128830.0,3,0,167.182,172.998,1998610.0,1998630.0,381.992,387.751,71.1802,71.1802,267.448,267.448,365.378,365.378,0
,839053,0.18546993432701214,4523930,0.337598061862142,0.32649488387309267,0.4326459516393932,0.11022407508515826,0.14606039439160198,0.21475509125914857,0.07250090076548488,0,0,1,0,327989.0,3,1,125.134,131.412,106945.0,106957.0,229.474,235.72,120.756,120.756,218.974,218.974,220.144,220.144,0
,924426,0.20434135806699041,4523930,0.3719487259970866,0.347629163139129,1.0,0.12929974601729027,0.3719487259970866,0.347629163139129,0.12929974601729027,0,0,1,0,584943.0,1,0,125.818,131.865,1035750.0,1035760.0,292.262,298.256,71.1392,71.1392,224.0,224.0,278.365,278.365,0
,532166,0.11763356196934965,4523930,0.21412002396146712,0.1012838394935377,1.0,0.021686896127924172,0.21412002396146712,0.1012838394935377,0.021686896127924172,0,0,1,0,98110.0,3,0,100.938,109.166,173923.0,173938.0,235.682,243.895,71.1173,71.1173,200.804,200.804,231.992,231.992,0
,556210,0.1229484099002416,4523930,0.22379435579241944,0.2640712831542486,1.0,0.05909773139725858,0.22379435579241944,0.2640712831542486,0.05909773139725858,0,0,1,0,267354.0,2,0,104.286,111.073,473513.0,473525.0,244.716,251.463,71.1186,71.1186,202.226,202.226,234.832,234.832,0
,1563168,0.345533197905361,4523930,0.6289487237866191,0.10361300904302233,0.9462745886872697,0.06516745396148924,0.5951595183833526,0.1007913473462233,0.06339266964785042,0,0,1,0,286784.0,3,2,156.886,165.182,432026.0,432042.0,347.87,356.151,154.96,154.96,261.814,261.814,343.48,343.48,0
,1943681,0.4296443578923635,4523930,0.7820501201389057,0.5746729060794487,0.7907615723497048,0.4494233995663063,0.618415846399038,0.5110269168621089,0.3996480935823499,0,0,1,0,1807980.0,1,1,198.487,202.545,1104050.0,1104060.0,349.594,353.575,186.108,186.108,284.325,284.325,325.358,325.358,0
,1094021,0.24182978074373387,4523930,0.4401858561029901,0.3057695410848532,1.0,0.13459514183464377,0.4401858561029901,0.3057695410848532,0.13459514183464377,0,0,1,0,608899.0,2,0,134.595,141.013,1078180.0,1078190.0,310.926,317.298,71.1486,71.1486,234.029,234.029,298.435,298.435,0
,20738,0.004584067392731541,4523930,0.3004202098617795,0.24401792247006474,0.6937065781300772,0.07330816347733055,0.10181921470933458,0.20324076632485472,0.02983070029819206,0,0,1,0,134952.0,2,2,75.0467,82.0484,4388.33,4402.14,178.281,185.279,72.343,72.343,170.562,170.562,170.621,170.621,0
,1844790,0.4077848242567856,4523930,0.7422617060829854,0.9121029724155767,0.4321220708543236,0.6770197593685137,0.3207476685094597,0.41269427245779666,0.3063265788816361,0,0,1,0,1385800.0,1,2,193.721,194.685,450294.0,450297.0,322.39,323.292,180.257,180.257,278.475,278.475,299.118,299.118,0
,1259509,0.2784103644397681,4523930,0.5067695565581254,0.2741244891057112,1.0,0.13891793197507477,0.5067695565581254,0.2741244891057112,0.13891793197507477,0,0,1,0,628455.0,1,0,143.234,149.932,1112820.0,1112830.0,329.473,336.129,71.1579,71.1579,243.815,243.815,318.029,318.029,0
,1554409,0.34359704946805103,4523930,0.6254252386752226,0.5602142385050166,0.9529877783254825,0.35037235324154,0.5960216006878974,0.5468873302637308,0.3420366804968247,0,0,1,0,1547350.0,3,1,164.743,168.94,2405120.0,2405130.0,369.527,373.641,154.49,154.49,261.296,261.296,345.162,345.162,0
,2094386,0.46295720756068287,4523930,0.8426876631601284,0.6036366610447111,0.6450144011954208,0.5086771899653619,0.5435451034830335,0.4847975101294671,0.40853417272150544,0,0,1,0,1848180.0,2,1,207.662,211.453,943064.0,943072.0,354.059,357.777,195.024,195.024,293.241,293.241,330.164,330.164,0
,233139,0.05153461702546237,4523930,0.09380472288474843,0.6247289414292441,1.0,0.05860258668900713,0.09380472288474843,0.6247289414292441,0.05860258668900713,0,0,1,0,265114.0,1,0,91.8618,95.3706,469502.0,469510.0,219.641,223.14,84.9028,84.9028,183.121,183.121,196.714,196.714,0
,1132932,0.2504309306289001,4523930,0.45584259703399477,0.02479459231243631,1.0,0.01130240742009713,0.45584259703399477,0.02479459231243631,0.01130240742009713,0,0,1,0,51131.3,3,0,237.818,246.719,90859.3,90874.8,304.134,313.035,236.922,236.922,236.33,236.33,303.041,303.041,0
,1308555,0.2892518230830274,4523930,0.5265046099298619,0.596713476998981,0.9489249391568835,0.31417152785299507,0.4996142734304023,0.5812755723452838,0.3060436390483496,0,0,1,0,1384520.0,3,2,151.384,155.252,2110970.0,2110980.0,341.05,344.83,141.303,141.303,246.751,246.751,315.931,315.931,0
,838372,0.1853194014938339,4523930,0.33732396389864566,0.32846662083630823,0.8827634379842305,0.11079990185524533,0.2977764907945083,0.308612202222404,0.10410240653591014,0,0,1,0,470952.0,1,1,121.145,127.42,473987.0,474000.0,260.356,266.584,116.505,116.505,218.934,218.934,248.045,248.045,0
,449573,0.09937664817979058,4523930,0.1808882984484729,0.48239031107908387,1.0,0.0872586445855705,0.1808882984484729,0.48239031107908387,0.0872586445855705,0,0,1,0,394752.0,3,0,104.207,108.996,699011.0,699020.0,240.371,245.152,97.7017,97.7017,195.92,195.92,222.24,222.24,0
,2177057,0.48123136299633285,4523930,0.8759507773108779,0.45368960174008,1.0,0.3974111005254281,0.8759507773108779,0.45368960174008,0.3974111005254281,0,0,1,0,1797860.0,3,0,197.822,202.93,3182970.0,3182980.0,448.437,453.477,71.2091,71.2091,298.074,298.074,426.79,426.79,0
,352894,0.07800606994361098,4523930,0.14198893439995755,0.22243049737728038,0.8883581310939824,0.03158271679712109,0.12613700919333412,0.20964736412809218,0.029767701975936853,0,0,1,0,134667.0,3,1,94.8883,102.088,140546.0,140560.0,199.453,206.649,91.9939,91.9939,190.213,190.213,191.802,191.802,0
,1052489,0.23264926734056451,4523930,0.42347472219950355,0.11760880473393709,1.0,0.049804484154264105,0.42347472219950355,0.11760880473393709,0.049804484154264105,0,0,1,0,225312.0,3,0,129.39,137.474,399170.0,399184.0,298.22,306.286,71.1463,71.1463,231.573,231.573,293.519,293.519,0
,1580862,0.34944439900705804,4523930,0.6360686394351813,0.33016647030347507,1.0,0.21000899660251154,0.6360686394351813,0.33016647030347507,0.21000899660251154,0,0,1,0,950066.0,3,0,162.009,168.21,1682170.0,1682180.0,370.58,376.732,71.1758,71.1758,262.818,262.818,356.099,356.099,0
,1813079,0.4007752109338562,4523930,0.7295028879757203,0.7685154279575502,1.0,0.5606342273200514,0.7295028879757203,0.7685154279575502,0.5606342273200514,0,0,1,0,2536270.0,2,0,183.599,185.92,4490000.0,4490000.0,419.124,421.329,71.1887,71.1887,276.55,276.55,383.624,383.624,0
,937113,0.20714577811769855,4523930,0.3770526953334822,0.16835008499247336,0.05567460150798089,0.06347688845760213,0.020992256732531227,0.02284363374322768,0.008613219037429846,0,0,1,0,38965.6,2,1,227.099,234.789,1920.18,1935.19,227.153,234.842,224.873,224.873,224.776,224.776,224.959,224.959,0
