query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,305712,0.12091545663668092,2528312,0.10703267634690655,0.12362833384487358,0.9484747135638323,0.014741258199146307,0.1032720645236822,0.12143675305895792,0.014479977154718247,0,1,0,1,41372.1,2,1,830.169,850.823,844.872,21683.3,830.774,868.487,825.755,825.755,825.69,14777.0,825.921,825.921,0
,448243,0.17728943263331423,2528312,0.14850105524951035,0.7073256781599739,1.0,0.10933302535446575,0.14850105524951035,0.7073256781599739,0.10933302535446575,0,1,0,1,330081.0,1,0,370.034,376.714,952.808,433045.0,858.18,965.362,351.655,351.655,828.35,118851.0,830.211,830.211,0
,1219161,0.4822035413350884,2528312,0.30487890735004225,0.7842782061707574,0.8119844386294096,0.24588341945139683,0.25183561206053684,0.7127957309066286,0.22347241954315764,0,1,0,1,893926.0,1,2,388.816,393.659,1081.2,1275090.0,891.821,997.949,366.045,366.045,842.74,331661.0,859.689,859.689,0
,745049,0.29468238097196864,2528312,0.22072710962887493,0.1806663892747414,0.6243493682741686,0.04381539936526821,0.14019234967836247,0.14398302108284103,0.034919028980600494,0,1,0,1,117938.0,2,1,362.088,381.379,875.93,50848.1,841.527,881.064,357.195,357.195,833.891,22152.2,834.697,834.697,0
,332753,0.13161073475109084,2528312,0.11527651650587427,0.4377742936789447,0.941905112976563,0.05254256594913919,0.11045630444343894,0.4285230620271549,0.05143233904676322,0,1,0,1,148488.0,2,1,360.675,373.814,894.694,129606.0,844.042,917.869,349.499,349.499,826.195,42110.2,827.022,827.022,0
,1098388,0.43443530703489125,2528312,0.2864911450801958,0.43346707210186086,1.0,0.12937801980135363,0.2864911450801958,0.43346707210186086,0.12937801980135363,0,1,0,1,496294.0,3,0,376.346,389.562,964.528,399937.0,861.646,936.255,363.791,363.791,840.486,110432.0,843.343,843.343,0
,477429,0.18883310287654373,2528312,0.1564110758482339,0.230763845601334,1.0,0.03950560690294552,0.1564110758482339,0.230763845601334,0.03950560690294552,0,1,0,1,120626.0,3,0,837.6,855.646,871.56,62626.3,838.764,889.367,829.029,829.029,828.895,25145.2,829.549,829.549,0
,1120134,0.44303630248165576,2528312,0.28994087754992265,0.3390052335313047,0.5389326950154886,0.10763505453440873,0.1589586253595284,0.2510117422216878,0.07969704688345426,0,1,0,1,308191.0,3,2,373.768,389.344,942.216,200644.0,856.11,907.033,364.196,364.196,840.892,60030.3,843.266,843.266,0
,20738,0.008202310474340193,2528312,0.008133450302019687,0.8580942541901474,0.7915399681684855,0.007107943956283876,0.006549191713680907,0.7395368925986983,0.0061258657950442824,0,1,0,1,15619.3,2,2,847.303,850.352,864.565,36763.9,851.337,959.521,820.415,820.415,820.371,18704.9,820.481,820.481,0
,849793,0.3361108122731688,2528312,0.24227310553444353,0.26979779394315256,1.0,0.0714488559956208,0.24227310553444353,0.26979779394315256,0.0714488559956208,0,1,0,1,250803.0,3,0,366.725,383.847,903.583,134359.0,848.431,903.646,359.15,359.15,835.846,43281.7,837.241,837.241,0
,397637,0.1572737067260686,2528312,0.1343291492505672,0.18031437575742235,1.0,0.026621714408664753,0.1343291492505672,0.18031437575742235,0.026621714408664753,0,1,0,1,78829.7,3,0,834.079,853.331,858.221,38083.7,834.985,879.634,827.503,827.503,827.406,18933.0,827.831,827.831,0
,1186661,0.46934911514085287,2528312,0.30011209059641375,0.384416163827882,0.5961922420967033,0.12316122377301536,0.1820166973063451,0.2993748398140736,0.09591537753251972,0,1,0,1,379558.0,1,2,376.411,390.915,959.603,275260.0,859.81,916.521,365.438,365.438,842.134,78897.2,844.936,844.936,0
,341846,0.13520720543983494,2528312,0.11800798319194783,0.17127791190327776,0.771051990418904,0.022236377472400558,0.09256294318106309,0.15169251263293454,0.019693692867019576,0,1,0,1,57064.8,1,1,832.423,851.935,853.932,30080.9,833.185,874.039,826.449,826.449,826.364,16905.0,826.712,826.712,0
,826566,0.3269240505127532,2528312,0.23765540012466815,0.28325815801214405,1.0,0.07371400365144808,0.23765540012466815,0.28325815801214405,0.07371400365144808,0,1,0,1,256559.0,3,0,366.638,383.439,905.434,143378.0,848.559,905.367,358.717,358.717,835.412,45563.5,836.841,836.841,0
,1132932,0.4480981777565427,2528312,0.29194181730735763,0.3989657921965327,0.3175466477238569,0.1236061846797389,0.1965394302601894,0.20230058632004277,0.06267580899825655,0,1,0,1,243399.0,3,1,375.214,389.275,958.375,187360.0,857.264,899.834,364.435,364.435,841.131,56663.9,843.889,843.889,0
,538113,0.2128348874664203,2528312,0.1722623631893532,0.014022320030122866,0.5155732362145178,0.002416734959925832,0.09034842218840079,0.010155115349687854,0.0017502230737345705,0,1,0,1,5467.51,3,2,830.618,853.899,832.591,997.165,830.637,853.955,830.063,830.063,830.028,830.028,830.08,830.08,0
