query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,305712,0.12091545663668092,2528312,0.06987863839589417,0.12362833384487358,0.9484747135638323,0.0159100221808068,0.06742364075319818,0.12143675305895792,0.015628015846145572,0,1,0,1,69093.6,2,1,64.0297,84.6832,83.0671,16249.5,64.6312,102.344,59.3867,59.3867,59.3028,4731.36,59.6762,59.6762,0
,448243,0.17728943263331423,2528312,0.08209469400928367,0.7073256781599739,1.0,0.0694965652973209,0.08209469400928367,0.7073256781599739,0.0694965652973209,0,1,0,1,380761.0,1,0,49.5328,56.2124,194.36,485992.0,91.9981,199.18,30.9816,30.9816,61.7349,123560.0,63.8642,63.8642,0
,1219161,0.4822035413350884,2528312,0.09427159306288148,0.7842782061707574,0.8119844386294096,0.0839318881530444,0.07787013628064891,0.7127957309066286,0.07628212024465335,0,1,0,1,989267.0,1,2,67.1967,72.0396,330.299,2504580.0,125.274,231.402,44.1365,44.1365,74.8894,1460540.0,92.8546,92.8546,0
,745049,0.29468238097196864,2528312,0.0918869981236493,0.1806663892747414,0.6243493682741686,0.029925934773872846,0.05836107252585915,0.14398302108284103,0.023849627735817416,0,1,0,1,196336.0,2,1,41.2632,60.5548,124.769,64748.2,75.2678,114.805,36.0463,36.0463,66.7994,16992.8,68.148,68.148,0
,332753,0.13161073475109084,2528312,0.07281498485946354,0.4377742936789447,0.941905112976563,0.049474115536373674,0.06977026569505662,0.4285230620271549,0.04842835852537187,0,1,0,1,222724.0,2,1,40.4825,53.6207,140.586,176522.0,78.2947,152.121,29.0109,29.0109,59.7642,45294.9,61.0053,61.0053,0
,1098388,0.43443530703489125,2528312,0.09411892203177456,0.43346707210186086,1.0,0.06349572362904578,0.09411892203177456,0.43346707210186086,0.06349572362904578,0,1,0,1,747889.0,3,0,55.6303,68.8458,237.699,584715.0,96.3843,170.993,42.0756,42.0756,72.8286,148458.0,77.1688,77.1688,0
,477429,0.18883310287654373,2528312,0.08377328430984783,0.230763845601334,1.0,0.03526653356073143,0.08377328430984783,0.230763845601334,0.03526653356073143,0,1,0,1,203101.0,3,0,37.8871,55.9412,118.278,85292.7,72.8532,123.456,31.4797,31.4797,62.2329,22201.3,63.3353,63.3353,0
,1120134,0.44303630248165576,2528312,0.09415610098753635,0.3390052335313047,0.5389326950154886,0.05760127705757834,0.05162060695040802,0.2510117422216878,0.042650195070861506,0,1,0,1,513519.0,3,2,52.8614,68.3607,219.393,314382.0,90.8122,141.736,42.4467,42.4467,73.1997,80103.0,77.2073,77.2073,0
,20738,0.008202310474340193,2528312,0.00784653950936435,0.8580942541901474,0.7915399681684855,0.007286640256424049,0.006318168010910045,0.7395368925986983,0.0062798815968915225,0,1,0,1,16604.8,2,2,81.3763,84.4252,99.5461,26681.3,85.4126,193.597,54.4838,54.4838,54.4401,7484.47,54.5544,54.5544,0
,849793,0.3361108122731688,2528312,0.09304310543951853,0.26979779394315256,1.0,0.04597612952831771,0.09304310543951853,0.26979779394315256,0.04597612952831771,0,1,0,1,425265.0,3,0,46.1129,63.2349,164.64,207513.0,82.8091,138.025,37.8336,37.8336,68.5867,53097.5,70.9789,70.9789,0
,397637,0.1572737067260686,2528312,0.0786034318549293,0.18031437575742235,1.0,0.025640743705681895,0.0786034318549293,0.18031437575742235,0.025640743705681895,0,1,0,1,131301.0,3,0,35.0164,54.2744,100.196,43515.7,68.9198,113.569,30.1181,30.1181,60.8713,11633.5,61.5733,61.5733,0
,1186661,0.46934911514085287,2528312,0.09424192900243325,0.384416163827882,0.5961922420967033,0.06121356857856151,0.05715710719246675,0.2993748398140736,0.047671727223538865,0,1,0,1,606662.0,1,2,55.4744,69.8875,239.024,420862.0,94.5759,151.287,43.5819,43.5819,74.3349,107023.0,78.866,78.866,0
,341846,0.13520720543983494,2528312,0.07372824240046323,0.17127791190327776,0.771051990418904,0.02299336474295894,0.05783067912504469,0.15169251263293454,0.020364100633149706,0,1,0,1,95500.4,1,1,66.3413,85.853,94.5233,30330.2,67.1073,107.961,60.0329,60.0329,59.9193,8295.71,60.4932,60.4932,0
,826566,0.3269240505127532,2528312,0.0928402032660526,0.28325815801214405,1.0,0.047877002521840656,0.0928402032660526,0.28325815801214405,0.047877002521840656,0,1,0,1,431524.0,3,0,46.0644,62.8655,166.609,221017.0,82.98,139.787,37.4373,37.4373,68.1904,56512.8,70.6196,70.6196,0
,1132932,0.4480981777565427,2528312,0.0941754815070292,0.3989657921965327,0.3175466477238569,0.061801708017048526,0.030421957416647945,0.20230058632004277,0.031337113457516316,0,1,0,1,380829.0,3,1,54.0465,68.1072,234.289,274488.0,91.669,134.239,42.6651,42.6651,73.4181,70011.5,77.7777,77.7777,0
,538113,0.2128348874664203,2528312,0.0866154968215948,0.014022320030122866,0.5155732362145178,0.0015082276238059227,0.04542833321204029,0.010155115349687854,0.0010922742129927004,0,1,0,1,6836.29,3,2,63.8715,87.1522,66.1278,265.161,63.896,87.2138,63.3043,63.3043,63.2684,63.2684,63.334,63.334,0
,450111,0.1780282654988783,2528312,0.08220899952221086,0.6670497944873892,1.0,0.0674889016861843,0.08220899952221086,0.6670497944873892,0.0674889016861843,0,1,0,1,370996.0,3,0,48.5607,56.2014,188.778,446635.0,90.4193,192.803,31.0135,31.0135,61.7667,113606.0,63.8387,63.8387,0
,1085650,0.4293971630083629,2528312,0.09409439974180402,0.5585900790725196,0.8177550871886065,0.0714033711029335,0.07827594062758077,0.5094782605944204,0.06512566487047484,0,1,0,1,756085.0,3,2,58.5107,68.756,263.253,761487.0,100.778,183.259,41.8582,41.8582,72.6113,193148.0,77.4502,77.4502,0
,340841,0.13480970702982858,2528312,0.07362896667816314,0.03875213976756033,0.9122529181525065,0.004931036992269941,0.06832898787807834,0.03733131037625103,0.004750244431858093,0,1,0,1,22195.9,3,2,61.4581,84.1459,67.461,1639.46,61.6212,84.4887,59.9489,59.9489,59.9022,59.9022,60.0346,60.0346,0
,374132,0.14797699018159152,2528312,0.07669346188286888,0.8586756697749328,0.7765615952461563,0.07116526757773566,0.060586668101088786,0.7257885893829559,0.06015199073532064,0,1,0,1,293876.0,1,2,51.6023,54.6624,202.732,455422.0,94.1455,200.349,29.717,29.717,60.4703,115837.0,62.4056,62.4056,0
,1178894,0.4662771050408336,2528312,0.09423362306550774,0.5786944016403038,1.0,0.07242262821993488,0.09423362306550774,0.5786944016403038,0.07242262821993488,0,1,0,1,911270.0,1,0,61.1662,70.9153,280.166,950588.0,114.49,206.357,43.4493,43.4493,74.2023,240953.0,89.1875,89.1875,0
,181659,0.07184991409288094,2528312,0.051177228126908385,0.2768210568948769,0.7658746230686719,0.026088631466369656,0.039872452450488705,0.2443420748705065,0.023027695948917695,0,1,0,1,82321.6,3,2,66.7702,83.7519,99.9805,41934.3,68.0491,119.516,57.288,57.288,57.186,11245.9,57.6813,57.6813,0
,237508,0.09393935558586124,2528312,0.06079075683697265,0.045292669575590354,0.5155732362145178,0.004858933549340429,0.03188368365929521,0.03280141058540243,0.003518877417027645,0,1,0,1,13887.3,2,1,59.7584,82.2892,65.7065,1221.06,59.9031,82.5879,58.1826,58.1826,58.139,58.139,58.2528,58.2528,0
,91758,0.03629219811478963,2528312,0.03035440246298716,0.6280751742664671,0.6801296675410313,0.0240735320640807,0.02100168017238379,0.5224276117820902,0.020024229604574117,0,1,0,1,60685.9,1,1,75.7494,84.3117,127.298,69603.8,78.5676,161.231,55.738,55.738,55.652,18291.3,56.0392,56.0392,0
,639002,0.25273858606058114,2528312,0.08985164805609434,0.1694308297393676,0.5961922420967033,0.027693931761586386,0.05449446112663311,0.13194890504020074,0.02156743313325254,0,1,0,1,155597.0,1,2,39.0096,58.5699,114.272,48343.2,72.6038,110.707,34.2367,34.2367,64.9899,12844.5,66.0737,66.0737,0
,115617,0.04572892902458241,2528312,0.03662265574818298,0.5603343258268758,0.8799230474719892,0.027910044329971934,0.032782069617990184,0.5301363122905718,0.02640607646524638,0,1,0,1,83617.8,1,1,74.7747,84.9609,125.405,85341.7,77.6248,163.013,56.1573,56.1573,56.0591,22270.2,56.5282,56.5282,0
,1091872,0.4318580934631485,2528312,0.09410666088678929,0.7497769262654292,0.9153419356471828,0.08148954717613965,0.08762842560570057,0.7235103895405314,0.07863467799860144,0,1,0,1,915551.0,2,2,63.8552,69.5253,302.164,1237150.0,119.786,228.273,41.9644,41.9644,72.7174,313402.0,88.3327,88.3327,0
,381095,0.15073100155360572,2528312,0.077280019238132,0.8988882701185613,0.400844516024921,0.07321920712317151,0.031512764247450475,0.38331107869598374,0.031222728840427923,0,1,0,1,154128.0,2,2,52.1663,54.2504,208.536,250413.0,90.0891,146.418,29.8358,29.8358,60.5891,63961.0,62.605,62.605,0
,843801,0.33374085160375777,2528312,0.0929932698179655,0.01428992940744655,0.9107934463784533,0.0016735632311202099,0.08616104341552783,0.013754987517363364,0.0016109127354535357,0,1,0,1,14719.2,3,2,69.1881,92.4621,72.3314,477.132,69.2277,92.5556,68.525,68.525,68.4845,68.4845,68.5799,68.5799,0
,555041,0.2195302636699901,2528312,0.08727443448435161,0.36373873161223774,0.400844516024921,0.05573520989498132,0.035588091975990305,0.23227315299694026,0.035590860621632144,0,1,0,1,228483.0,1,2,42.5829,57.4895,157.729,150551.0,78.4046,126.074,32.804,32.804,63.5572,38694.3,65.5518,65.5518,0
,63004,0.024919392859741995,2528312,0.02198079192757856,0.4012598128711963,0.8841116128072801,0.014542390337901334,0.01976927689304168,0.3805408509709245,0.013791454535674394,0,1,0,1,39671.3,2,1,68.4045,82.4037,99.8098,29598.0,70.4472,138.31,55.2228,55.2228,55.1613,8153.8,55.3872,55.3872,0
,82728,0.03272064523682204,2528312,0.02782500735668699,0.721382487604378,0.6973743746816058,0.023775111615971446,0.019739731488835236,0.597406490971051,0.019689065273589653,0,1,0,1,58635.5,2,2,78.4295,84.7554,133.839,77156.1,81.6615,172.798,55.5822,55.5822,55.4979,20214.1,55.8737,55.8737,0
,113418,0.04485917877224013,2528312,0.03606924303646069,0.1530752533706283,0.9097611370748547,0.01008593876072257,0.033381481399447535,0.14726149304358008,0.009702876860134352,0,1,0,1,30740.1,3,1,61.3056,81.2532,76.4027,9347.52,62.0683,102.73,56.0753,56.0753,56.0216,2991.85,56.1978,56.1978,0
,207651,0.08213029088182154,2528312,0.05592505988185002,0.5044155942779214,0.3618892763234917,0.04088379915137056,0.020588479586380163,0.2592334332155209,0.02101137043213021,0,1,0,1,78376.2,3,2,39.3671,50.9026,132.575,72092.8,74.4684,122.596,26.8762,26.8762,57.6295,18870.6,58.4485,58.4485,0
,432258,0.17096703254978024,2528312,0.08107622793389424,0.34586040014048897,1.0,0.05052185015140537,0.08107622793389424,0.34586040014048897,0.05052185015140537,0,1,0,1,271827.0,2,0,40.1583,55.4652,140.205,170219.0,77.0688,141.288,30.7089,30.7089,61.4621,43686.3,62.9569,62.9569,0
,428837,0.16961395587253472,2528312,0.08084880347045777,0.3542960678903553,0.940156911014147,0.051126205942937424,0.07732392204759539,0.34648690509715574,0.04999936716671044,0,1,0,1,267561.0,1,2,40.3107,55.4469,141.365,171626.0,77.2397,141.377,30.6505,30.6505,61.4037,44042.2,62.9087,62.9087,0
,607986,0.2404711127424147,2528312,0.08901986780112581,0.096919604858894,0.8285172083192264,0.015676071624071714,0.07502950585212584,0.08897833811649827,0.014391578254582505,0,1,0,1,99426.0,2,1,68.604,89.8974,91.7046,18212.3,69.0217,102.79,64.5745,64.5745,64.4606,5221.43,65.037,65.037,0
,1182211,0.46758904755425756,2528312,0.09423718275276152,0.5951757536253437,0.8852428023123728,0.07322672201848505,0.08486452621353693,0.56480371093441,0.0694898414436193,0,1,0,1,876864.0,2,1,61.5336,70.9037,284.141,940756.0,114.879,204.382,43.5059,43.5059,74.2589,238465.0,89.4582,89.4582,0
,93808,0.03710301576704141,2528312,0.030916318872037947,0.23468938960065056,0.7868253601612459,0.013233730647166963,0.024746154746724296,0.20996815266470278,0.011839717566502869,0,1,0,1,36107.6,2,2,63.5092,81.5009,85.4149,16149.4,64.6145,112.21,55.7473,55.7473,55.6869,4722.73,55.9054,55.9054,0
,78634,0.03110138305715434,2528312,0.02664853071930996,0.7921648910419283,1.0,0.0239221662516335,0.02664853071930996,0.7921648910419283,0.0239221662516335,0,1,0,1,70672.8,2,0,81.6599,86.2876,138.898,101850.0,85.9557,203.251,55.5123,55.5123,55.428,26491.8,55.8032,55.8032,0
,478749,0.18935519034043266,2528312,0.08384408253411763,0.8206898515689519,0.8880430896186863,0.07639800784080446,0.07574381642771937,0.7800382231306896,0.07261366476922151,0,1,0,1,415435.0,2,2,52.976,56.9478,215.462,614979.0,96.7506,211.627,31.5022,31.5022,62.2554,156172.0,64.7177,64.7177,0
,596075,0.2357600644224289,2528312,0.08866548115897088,0.7552153373476058,1.0,0.07704231123374014,0.08866548115897088,0.7552153373476058,0.07704231123374014,0,1,0,1,519520.0,1,0,53.7869,59.3229,224.232,707541.0,97.675,210.564,33.5042,33.5042,64.2574,179561.0,67.2116,67.2116,0
,334453,0.13228312012125085,2528312,0.07298861849328722,0.5287322134293553,0.46892551235765206,0.05434139457472021,0.034817538341786934,0.34390692287977115,0.035345637721926726,0,1,0,1,162787.0,1,1,42.4773,53.4325,153.118,155914.0,79.2529,138.842,29.0399,29.0399,59.7932,40070.7,61.1642,61.1642,0
,772847,0.30567706833650277,2528312,0.09225997424368511,0.01411036296153323,1.0,0.0016239451460104608,0.09225997424368511,0.01411036296153323,0.0016239451460104608,0,1,0,1,13704.9,1,0,67.9625,91.1867,70.8409,444.23,68.0051,91.2849,67.3131,67.3131,67.2737,67.2737,67.3617,67.3617,0
,448968,0.17757618521764718,2528312,0.082139387860359,0.028191101414698817,1.0,0.0037005124367562228,0.082139387860359,0.028191101414698817,0.0037005124367562228,0,1,0,1,20339.7,2,0,62.9507,85.8387,67.8031,1123.7,63.065,86.0815,61.7918,61.7918,61.7472,61.7472,61.8666,61.8666,0
,665461,0.26320367106591275,2528312,0.09046668290938777,0.9690259746423701,1.0,0.08974367087606276,0.09046668290938777,0.9690259746423701,0.08974367087606276,0,1,0,1,660283.0,1,0,60.6767,61.1099,269.667,1153240.0,108.293,246.696,34.6882,34.6882,65.4414,292243.0,69.2463,69.2463,0
,709541,0.2806382281933559,2528312,0.09132456753755075,0.2947721641949253,0.9431984660121061,0.04944563803834337,0.08762565696005872,0.28874086742459,0.04843389581665554,0,1,0,1,380718.0,2,2,44.1518,60.7133,158.929,202997.0,80.9085,138.256,35.4404,35.4404,66.1935,51959.7,68.3695,68.3695,0
,576837,0.2281510351570534,2528312,0.08804728213922965,0.2540224465967808,1.0,0.04129434974797414,0.08804728213922965,0.2540224465967808,0.04129434974797414,0,1,0,1,273513.0,3,0,40.437,57.9357,133.745,126013.0,76.0944,129.445,33.1759,33.1759,63.9291,32497.0,65.4336,65.4336,0
,629390,0.24893684007353523,2528312,0.08960761171880685,0.5148771195959992,0.953675812162423,0.06590404981663656,0.08693310002879391,0.5071367774230395,0.06491327019766548,0,1,0,1,458996.0,2,1,48.3918,59.6844,192.21,426526.0,88.5745,171.768,34.0727,34.0727,64.8259,108493.0,67.4601,67.4601,0
,39336,0.015558206423890723,2528312,0.014351828413581869,0.9243993621040442,0.8688247336562892,0.013797941076892408,0.012684708216391016,0.8425226000588535,0.01257582133850569,0,1,0,1,34478.2,1,2,84.3027,85.7628,124.974,58441.8,88.8939,210.232,54.8158,54.8158,54.7575,15530.8,54.9631,54.9631,0
,447471,0.1769840905711004,2528312,0.08204723151256649,0.06234792225010204,0.9518405956226922,0.009807927186201703,0.07944549565085322,0.06135120981904132,0.009651182290793226,0,1,0,1,53244.3,2,1,64.3333,86.4559,76.7049,6073.44,64.6101,87.0561,61.7929,61.7929,61.7217,61.7217,62.0104,62.0104,0
,748918,0.29621265097029165,2528312,0.091942371036486,0.3181988615329121,1.0,0.05354244254664772,0.091942371036486,0.3181988615329121,0.05354244254664772,0,1,0,1,441132.0,3,0,45.616,61.5825,170.346,253682.0,83.0646,144.007,36.1123,36.1123,66.8654,64774.8,69.3517,69.3517,0
,771069,0.3049738323434766,2528312,0.09223782507855043,0.2950597078208702,0.845255648828151,0.04997484487673989,0.07931180961843316,0.27360547274228814,0.046341195232234,0,1,0,1,392038.0,3,2,45.2677,61.8212,165.48,209205.0,82.0049,137.193,36.4903,36.4903,67.2434,53525.8,69.6208,69.6208,0
,878235,0.3473602150367518,2528312,0.09325826875796975,0.7052689699688962,0.7097383550764305,0.07880198329952949,0.0673326709678236,0.59927334917526,0.06695850828536984,0,1,0,1,633231.0,1,2,57.9873,64.7201,260.618,805190.0,101.013,192.802,38.3189,38.3189,69.072,204211.0,73.3959,73.3959,0
,214798,0.08495707808213543,2528312,0.05714484604748148,0.23337586500400267,1.0,0.024339757118583466,0.05714484604748148,0.23337586500400267,0.024339757118583466,0,1,0,1,92155.2,2,0,66.2262,84.2099,96.026,39623.8,67.4366,118.347,57.8526,57.8526,57.7515,10659.9,58.2408,58.2408,0
,800730,0.3167053749695449,2528312,0.09258232370055594,0.372393517888615,0.8910648685763466,0.05963781368755122,0.08392239565370097,0.3545499922477922,0.05678017586437117,0,1,0,1,496194.0,1,2,48.0649,62.7677,189.78,333665.0,86.4581,151.311,36.9964,36.9964,67.7495,84995.7,70.7136,70.7136,0
