query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,305712,0.12091545663668092,2528312,0.05640719974433535,0.12362833384487358,0.9484747135638323,0.012059468926303399,0.05442524498558722,0.12143675305895792,0.011845729482753711,0,1,0,1,63864.5,2,1,53.5437,74.1972,71.519,14938.1,53.9367,91.6499,48.7052,48.7052,48.5942,4289.88,48.9709,48.9709,0
,448243,0.17728943263331423,2528312,0.06177402156063017,0.7073256781599739,1.0,0.052573021051199376,0.06177402156063017,0.7073256781599739,0.052573021051199376,0,1,0,1,379336.0,1,0,46.208,52.8875,184.731,484030.0,82.937,190.119,27.3582,27.3582,52.3239,122954.0,54.6267,54.6267,0
,1219161,0.4822035413350884,2528312,0.06407278848496546,0.7842782061707574,0.8119844386294096,0.05733034530548445,0.05292543008932442,0.7127957309066286,0.052105119937729205,0,1,0,1,985761.0,1,2,71.4004,76.2432,327.526,6377920.0,134.472,240.6,47.5315,47.5315,72.4971,72.4971,101.594,101.594,0
,745049,0.29468238097196864,2528312,0.06398221422039685,0.1806663892747414,0.6243493682741686,0.020318417980059424,0.04063738968924721,0.14398302108284103,0.016192898661241174,0,1,0,1,187469.0,2,1,40.4694,59.7609,116.345,61716.3,68.6641,108.201,35.125,35.125,60.0907,16116.5,61.4884,61.4884,0
,332753,0.13161073475109084,2528312,0.057894753495612884,0.4377742936789447,0.941905112976563,0.03802113821395461,0.055473770642230864,0.4285230620271549,0.03721771680077459,0,1,0,1,212757.0,2,1,35.9377,49.0759,128.529,168518.0,67.9428,141.769,24.336,24.336,49.3018,43162.0,50.5892,50.5892,0
,1098388,0.43443530703489125,2528312,0.06407239296415948,0.43346707210186086,1.0,0.04184531023069937,0.06407239296415948,0.43346707210186086,0.04184531023069937,0,1,0,1,713222.0,3,0,58.3521,71.5677,228.897,3216900.0,107.795,182.404,44.3712,44.3712,69.3367,69.3367,88.3697,88.3697,0
,477429,0.18883310287654373,2528312,0.062316280585623926,0.230763845601334,1.0,0.0255615604403254,0.062316280585623926,0.230763845601334,0.0255615604403254,0,1,0,1,194721.0,3,0,34.6503,52.7044,107.863,81663.5,63.8156,114.418,28.1219,28.1219,53.0877,21174.0,54.2361,54.2361,0
,1120134,0.44303630248165576,2528312,0.06407239296415948,0.3390052335313047,0.5389326950154886,0.03778556602191502,0.0351274684453501,0.2510117422216878,0.027977797044035708,0,1,0,1,486301.0,3,2,55.6811,71.1804,210.376,1873810.0,101.148,152.072,44.9402,44.9402,69.9058,1651950.0,87.4147,87.4147,0
,20738,0.008202310474340193,2528312,0.007748924974449356,0.8580942541901474,0.7915399681684855,0.007184635440562716,0.0062395384746819224,0.7395368925986983,0.0061919968738035494,0,1,0,1,16555.8,2,2,68.1521,71.2011,85.828,26458.3,72.1263,180.31,41.19,41.19,41.1371,7262.81,41.2603,41.2603,0
,849793,0.3361108122731688,2528312,0.06405222140305468,0.26979779394315256,1.0,0.030549591980736552,0.06405222140305468,0.26979779394315256,0.030549591980736552,0,1,0,1,402968.0,3,0,46.3746,63.4966,155.453,196534.0,77.2238,132.439,37.8659,37.8659,62.8316,50212.5,65.2849,65.2849,0
,397637,0.1572737067260686,2528312,0.060477108837833304,0.18031437575742235,1.0,0.01916413005989767,0.060477108837833304,0.18031437575742235,0.01916413005989767,0,1,0,1,125302.0,3,0,58.6072,77.859,89.4076,41420.7,59.1126,103.762,51.1871,51.1871,50.9997,10993.9,51.7288,51.7288,0
,1186661,0.46934911514085287,2528312,0.06407278848496546,0.384416163827882,0.5961922420967033,0.04004885472995422,0.03885976097886654,0.2993748398140736,0.031189070019839324,0,1,0,1,574314.0,1,2,58.9466,73.3597,229.871,3893530.0,107.196,163.907,46.6811,46.6811,71.6466,3596420.0,91.3343,91.3343,0
,341846,0.13520720543983494,2528312,0.05833417711105275,0.17127791190327776,0.771051990418904,0.01762488173927901,0.045756219960194786,0.15169251263293454,0.01560950547242587,0,1,0,1,90974.2,1,1,56.3416,75.8533,83.354,28787.0,56.7757,97.6295,49.6985,49.6985,49.5398,7795.62,50.1352,50.1352,0
,826566,0.3269240505127532,2528312,0.06404391546612918,0.28325815801214405,1.0,0.03207665826053114,0.06404391546612918,0.28325815801214405,0.03207665826053114,0,1,0,1,411603.0,3,0,46.1316,62.9327,157.601,210709.0,77.2144,134.022,37.2581,37.2581,62.2238,53797.6,64.7323,64.7323,0
,1132932,0.4480981777565427,2528312,0.06407239296415948,0.3989657921965327,0.3175466477238569,0.04045782324333389,0.020697603776749073,0.20230058632004277,0.020514477643581962,0,1,0,1,360647.0,3,1,56.9651,71.0258,224.861,2267080.0,103.206,145.776,45.2751,45.2751,70.2406,2073440.0,89.2202,89.2202,0
,538113,0.2128348874664203,2528312,0.06309743417742747,0.014022320030122866,0.5155732362145178,0.0015981769655010933,0.03309350270061606,0.010155115349687854,0.0011574164897370262,0,1,0,1,9832.52,3,2,55.3679,78.6486,58.2109,332.654,55.3477,78.6655,54.7213,54.7213,54.6756,54.6756,54.7695,54.7695,4
,450111,0.1780282654988783,2528312,0.06181278259961587,0.6670497944873892,1.0,0.051187511667863776,0.06181278259961587,0.6670497944873892,0.051187511667863776,0,1,0,1,370646.0,3,0,45.2504,52.8911,179.373,446067.0,81.3772,183.761,27.407,27.407,52.3728,113352.0,54.6203,54.6203,0
,1085650,0.4293971630083629,2528312,0.06407239296415948,0.5585900790725196,0.8177550871886065,0.047793152110973645,0.053300779334196094,0.5094782605944204,0.04359113906827955,0,1,0,1,734370.0,3,2,61.2102,71.4555,256.066,4514360.0,114.119,196.6,44.0378,44.0378,69.0034,69.0034,90.5219,90.5219,0
,340841,0.13480970702982858,2528312,0.05828711013514155,0.03875213976756033,0.9122529181525065,0.004162935587063622,0.05409142542534307,0.03733131037625103,0.004010304108037299,0,1,0,1,23332.6,3,2,51.1815,73.8693,57.2763,1708.53,51.2653,74.1328,49.5727,49.5727,49.5135,49.5135,49.6633,49.6633,0
,374132,0.14797699018159152,2528312,0.05968052993459668,0.8586756697749328,0.7765615952461563,0.05560745667465091,0.047146475593202106,0.7257885893829559,0.04700171497821471,0,1,0,1,293036.0,1,2,47.5532,50.6133,192.233,453976.0,84.3574,190.561,25.4188,25.4188,50.3846,115362.0,52.4802,52.4802,0
