query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,305712,0.12091545663668092,2528312,0.08020014934865634,0.12362833384487358,0.9484747135638323,0.02012239786861748,0.07738206360607393,0.12143675305895792,0.019765717205787892,0,1,0,1,76567.1,2,1,456.054,476.708,475.974,24065.7,456.401,494.114,451.057,451.057,450.93,11304.2,451.381,451.381,0
,448243,0.17728943263331423,2528312,0.09970723549941621,0.7073256781599739,1.0,0.08635128892320251,0.09970723549941621,0.7073256781599739,0.08635128892320251,0,1,0,1,389783.0,1,0,210.484,217.163,588.968,503636.0,485.384,592.566,191.582,191.582,454.66,132616.0,457.029,457.029,0
,1219161,0.4822035413350884,2528312,0.13416342603286302,0.7842782061707574,0.8119844386294096,0.12257743506339408,0.11082137014735523,0.7127957309066286,0.11140515885697651,0,1,0,1,1016090.0,1,2,235.779,240.621,735.548,6574590.0,537.845,643.972,211.755,211.755,474.833,474.833,504.836,504.836,0
,745049,0.29468238097196864,2528312,0.12196595989735444,0.1806663892747414,0.6243493682741686,0.04337478918741042,0.07746551849613498,0.14398302108284103,0.034567648296570996,0,1,0,1,215890.0,2,1,204.841,224.133,524.482,77262.4,471.344,510.881,199.348,199.348,462.426,24753.0,464.046,464.046,0
,332753,0.13161073475109084,2528312,0.08452675144523303,0.4377742936789447,0.941905112976563,0.061040725986349784,0.08099198200222124,0.4285230620271549,0.05975093263806049,0,1,0,1,236828.0,2,1,200.282,213.421,534.928,193793.0,470.533,544.36,188.559,188.559,451.638,54257.3,453.077,453.077,0
,1098388,0.43443530703489125,2528312,0.1324504254221789,0.43346707210186086,1.0,0.09483758333623382,0.1324504254221789,0.43346707210186086,0.09483758333623382,0,1,0,1,795806.0,3,0,222.991,236.206,644.714,3589770.0,512.716,587.325,208.595,208.595,471.672,471.672,492.938,492.938,0
,477429,0.18883310287654373,2528312,0.10282077528406304,0.230763845601334,1.0,0.04564784725935723,0.10282077528406304,0.230763845601334,0.04564784725935723,0,1,0,1,215189.0,3,0,198.977,217.031,513.54,96468.4,466.364,516.967,192.345,192.345,455.423,29623.2,456.697,456.697,0
,1120134,0.44303630248165576,2528312,0.13280599862675177,0.3390052335313047,0.5389326950154886,0.08639281860783005,0.07281023860979183,0.2510117422216878,0.06396837099218768,0,1,0,1,548181.0,3,2,220.233,235.732,626.282,3321160.0,506.008,556.931,209.164,209.164,472.241,3071070.0,492.007,492.007,0
,20738,0.008202310474340193,2528312,0.007870705830609512,0.8580942541901474,0.7915399681684855,0.007469924597913549,0.006337627634564089,0.7395368925986983,0.006437852606798528,0,1,0,1,16970.3,2,2,470.494,473.543,489.391,33398.4,474.466,582.65,443.526,443.526,443.473,13768.5,443.599,443.599,0
,849793,0.3361108122731688,2528312,0.1262593382462291,0.26979779394315256,1.0,0.06529929850429853,0.1262593382462291,0.26979779394315256,0.06529929850429853,0,1,0,1,447758.0,3,0,210.823,227.945,565.094,224594.0,480.038,535.253,202.089,202.089,465.167,62011.7,467.907,467.907,0
,397637,0.1572737067260686,2528312,0.09365893133442392,0.18031437575742235,1.0,0.03341367679305402,0.09365893133442392,0.18031437575742235,0.03341367679305402,0,1,0,1,144361.0,3,0,195.327,214.585,494.856,53908.9,461.644,506.293,190.257,190.257,453.335,18262.7,454.178,454.178,0
,1186661,0.46934911514085287,2528312,0.13376118137318496,0.384416163827882,0.5961922420967033,0.09266815171545284,0.08112566803464129,0.2993748398140736,0.07216791282088603,0,1,0,1,649192.0,1,2,223.563,237.976,647.838,4438550.0,512.454,569.166,210.904,210.904,473.982,473.982,496.271,496.271,0
,341846,0.13520720543983494,2528312,0.08590909666212082,0.17127791190327776,0.771051990418904,0.029107523122146314,0.06738527523501846,0.15169251263293454,0.025779096883612466,0,1,0,1,104360.0,1,1,458.875,478.386,488.159,39215.1,459.258,500.112,452.053,452.053,451.875,15138.6,452.56,452.56,0
,826566,0.3269240505127532,2528312,0.12541648340869324,0.28325815801214405,1.0,0.06846306943130437,0.12541648340869324,0.28325815801214405,0.06846306943130437,0,1,0,1,458985.0,3,0,210.593,227.394,567.665,241177.0,480.056,536.864,201.482,201.482,464.559,66205.2,467.372,467.372,0
,1132932,0.4480981777565427,2528312,0.13300455007135195,0.3989657921965327,0.3175466477238569,0.09298021763136828,0.042965029632418786,0.20230058632004277,0.047146475593202106,0,1,0,1,406923.0,3,1,221.457,235.518,641.936,3541780.0,508.211,550.781,209.498,209.498,472.576,3323290.0,494.023,494.023,0
,538113,0.2128348874664203,2528312,0.10852418530624384,0.014022320030122866,0.5155732362145178,0.0030975805201256808,0.056918608146462935,0.010155115349687854,0.0022432990865051466,0,1,0,1,11403.1,3,2,457.73,481.011,460.901,774.87,457.701,481.019,457.06,457.06,457.011,457.011,457.116,457.116,4
,450111,0.1780282654988783,2528312,0.09991409288094191,0.6670497944873892,1.0,0.08402918627131462,0.09991409288094191,0.6670497944873892,0.08402918627131462,0,1,0,1,380517.0,3,0,209.523,217.164,583.473,464224.0,483.818,586.201,191.63,191.63,454.709,122648.0,457.019,457.019,0
,1085650,0.4293971630083629,2528312,0.13223091137486195,0.5585900790725196,0.8177550871886065,0.10479917035555739,0.110001455516566,0.5094782605944204,0.09558511765952936,0,1,0,1,792649.0,3,2,225.731,235.976,668.884,4873010.0,518.435,600.915,208.261,208.261,471.339,471.339,494.588,494.588,0
,340841,0.13480970702982858,2528312,0.0857580077142378,0.03875213976756033,0.9122529181525065,0.0059922588667854285,0.07958511449536292,0.03733131037625103,0.005772547059065495,0,1,0,1,23334.5,3,2,453.517,476.205,459.616,2110.99,453.601,476.469,451.908,451.908,451.849,451.849,451.999,451.999,0
,374132,0.14797699018159152,2528312,0.09054183186252329,0.8586756697749328,0.7765615952461563,0.0858924847882698,0.07152637807359219,0.7257885893829559,0.07260021706181832,0,1,0,1,300382.0,1,2,211.815,214.875,596.471,471635.0,486.78,592.983,189.642,189.642,452.72,124532.0,454.871,454.871,0
,1178894,0.4662771050408336,2528312,0.133659137005243,0.5786944016403038,1.0,0.10714658633902778,0.133659137005243,0.5786944016403038,0.10714658633902778,0,1,0,1,954060.0,1,0,229.365,239.114,687.159,4489980.0,525.254,617.12,210.701,210.701,473.779,473.779,499.331,499.331,0
,181659,0.07184991409288094,2528312,0.05555603896987397,0.2768210568948769,0.7658746230686719,0.02975332949414471,0.043284214922841804,0.2443420748705065,0.026262383756435123,0,1,0,1,86697.6,3,2,457.719,474.7,491.34,50268.1,458.679,510.146,447.837,447.837,447.684,17949.5,448.253,448.253,0
,237508,0.09393935558586124,2528312,0.06771197542075504,0.045292669575590354,0.5155732362145178,0.00564333041175298,0.03551361540822493,0.03280141058540243,0.004086956040235541,0,1,0,1,14564.4,2,1,450.854,473.385,456.876,1667.39,450.933,473.618,449.199,449.199,449.145,449.145,449.273,449.273,0
,91758,0.03629219811478963,2528312,0.03155172304683916,0.6280751742664671,0.6801296675410313,0.026028670512183626,0.02183005894842092,0.5224276117820902,0.021650492502507602,0,1,0,1,63161.3,1,1,465.767,474.329,518.157,78555.9,468.339,551.002,445.456,445.456,445.331,25151.2,445.771,445.771,0
,639002,0.25273858606058114,2528312,0.11607032676346907,0.1694308297393676,0.5961922420967033,0.0385894620600622,0.07039597961011142,0.13194890504020074,0.03005262008802711,0,1,0,1,169321.0,1,2,201.558,221.118,511.875,58683.0,467.603,505.706,196.573,196.573,459.651,20055.1,460.939,460.939,0
,115617,0.04572892902458241,2528312,0.03851704220048792,0.5603343258268758,0.8799230474719892,0.030733706915918604,0.03447778596945314,0.5301363122905718,0.029077582197133897,0,1,0,1,87646.9,1,1,465.097,475.283,516.4,95559.5,467.646,553.034,446.102,446.102,445.956,29450.0,446.492,446.492,0
,1091872,0.4318580934631485,2528312,0.13233928407569953,0.7497769262654292,0.9153419356471828,0.11794153569654378,0.12322885783083733,0.7235103895405314,0.11380952983650752,0,1,0,1,943226.0,2,2,231.201,236.871,706.086,5762370.0,529.7,638.187,208.424,208.424,471.502,471.502,497.69,497.69,0
