query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,305712,0.12091545663668092,2528312,0.02679969877135417,0.12362833384487358,0.9484747135638323,0.007760355525742076,0.02585804283648537,0.12143675305895792,0.007622832941504056,0,1,0,1,96645.9,2,1,45.9935,66.647,69.6473,22132.7,46.9261,84.6393,41.5046,41.5046,41.4547,6031.04,41.9213,41.9213,0
,448243,0.17728943263331423,2528312,0.027219741867301188,0.7073256781599739,1.0,0.02412040127958891,0.027219741867301188,0.7073256781599739,0.02412040127958891,0,1,0,1,411426.0,1,0,38.197,44.8766,174.956,524799.0,72.432,179.614,19.9007,19.9007,42.34,133180.0,44.4153,44.4153,0
,1219161,0.4822035413350884,2528312,0.027302484819911467,0.7842782061707574,0.8119844386294096,0.024808330617423796,0.022552359044295166,0.7127957309066286,0.022547177721736877,0,1,0,1,1034750.0,1,2,46.939,51.7818,303.648,1462110.0,85.2519,191.379,24.6893,24.6893,47.1284,370069.0,53.2461,53.2461,0
,745049,0.29468238097196864,2528312,0.02730050721588158,0.1806663892747414,0.6243493682741686,0.010797718003157838,0.01733959258192818,0.14398302108284103,0.008605306623549625,0,1,0,1,256893.0,2,1,26.9602,46.2518,114.17,84198.8,52.9923,92.5295,21.7443,21.7443,44.1836,21721.4,45.7869,45.7869,0
,332753,0.13161073475109084,2528312,0.02694612057372666,0.4377742936789447,0.941905112976563,0.021230488958641183,0.025819321349580274,0.4285230620271549,0.020781849708422062,0,1,0,1,274886.0,2,1,30.6167,43.7549,130.023,217392.0,60.3403,134.167,19.1833,19.1833,41.6226,55436.7,43.0089,43.0089,0
,1098388,0.43443530703489125,2528312,0.02730244526783087,0.43346707210186086,1.0,0.021364886928511986,0.02730244526783087,0.43346707210186086,0.021364886928511986,0,1,0,1,925419.0,3,0,37.3788,50.5944,238.688,723035.0,70.6493,145.258,23.9391,23.9391,46.3783,183229.0,51.2858,51.2858,0
,477429,0.18883310287654373,2528312,0.027245173855125475,0.230763845601334,1.0,0.013380627074506627,0.027245173855125475,0.230763845601334,0.013380627074506627,0,1,0,1,259179.0,3,0,26.484,44.5381,107.298,108345.0,53.3788,103.982,20.082,20.082,42.5213,27840.1,43.7953,43.7953,0
,1120134,0.44303630248165576,2528312,0.027302484819911467,0.3390052335313047,0.5389326950154886,0.019764491091289367,0.014968484902179795,0.2510117422216878,0.014634348925290865,0,1,0,1,655848.0,3,2,34.4165,49.9158,223.124,401017.0,64.9757,115.899,24.0742,24.0742,46.5134,101811.0,51.1975,51.1975,0
,20738,0.008202310474340193,2528312,0.006683352371068127,0.8580942541901474,0.7915399681684855,0.0063331582494565546,0.00538153519027715,0.7395368925986983,0.005458147570394793,0,1,0,1,17010.7,2,2,66.536,69.5849,80.8303,27058.1,70.64,178.824,39.7174,39.7174,39.6846,7392.53,39.7898,39.7898,0
,849793,0.3361108122731688,2528312,0.027301970642863695,0.26979779394315256,1.0,0.015361237062514436,0.027301970642863695,0.26979779394315256,0.015361237062514436,0,1,0,1,526389.0,3,0,30.6094,47.7314,156.722,256392.0,59.4439,114.659,22.3949,22.3949,44.8342,65263.5,47.5289,47.5289,0
,397637,0.1572737067260686,2528312,0.02714585858074478,0.18031437575742235,1.0,0.010752351766712336,0.02714585858074478,0.18031437575742235,0.010752351766712336,0,1,0,1,171828.0,3,0,24.4953,43.7532,87.6788,56424.2,50.2568,94.9062,19.5863,19.5863,42.0257,14708.7,42.8541,42.8541,0
,1186661,0.46934911514085287,2528312,0.027302484819911467,0.384416163827882,0.5961922420967033,0.02071781488993447,0.016558834510930615,0.2993748398140736,0.016134559342359644,0,1,0,1,762845.0,1,2,36.2683,50.6815,243.144,528726.0,68.0142,124.726,24.4874,24.4874,46.9266,134096.0,52.1398,52.1398,0
