query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
a18ea5fb7d694bc08aa65f7402e206be,305712,0.12091545663668092,2528312,0.49998061948050715,0.12667859030056416,0.9676701293194827,0.06333949291068508,0.48383506465974135,0.12258771860434946,0.06129385930217473,0,1,0,1,37478,2,1,813268.16,876168.4,1098799.97,2595524252.44,832280.24,940163.46,-1,-1,-1,-1,-1,-1,0
ca8d1dc277d7a2adea12c2c78e39f5bb,448243,0.17728943263331423,2528312,0.49998061948050715,0.7120335623135119,1.0,0.35601697891715894,0.49998061948050715,0.7120335623135119,0.35601697891715894,0,1,0,1,319176,1,0,949778.8,938366.27,1167467.93,22097870834.43,928650.6,1290243.03,-1,-1,-1,-1,-1,-1,4
739176c9e3f97d46267778cb4cdbc74b,1219161,0.4822035413350884,2528312,0.49998061948050715,0.7871018292046235,0.8390083976977525,0.39355111236271473,0.41950439660927924,0.6604101867174621,0.33020529111913405,0,1,0,1,805178,1,2,1005306.37,994558.46,1553240.85,55743117743.8,1082809.61,1412125.32,-1,-1,-1,-1,-1,-1,1
8baf2f726393656e090f236f45eb63e9,745049,0.29468238097196864,2528312,0.49998061948050715,0.18238453165590324,0.6401104768715253,0.09119206806754862,0.32005543619616567,0.11675101807055459,0.05837570679568028,0,1,0,1,86989,2,1,843939.13,899178.68,1317370.13,6023073707.85,913103.95,1010064.56,-1,-1,-1,-1,-1,-1,0
4ca97595198cf7d6170c7fdaab579328,332753,0.13161073475109084,2528312,0.49998061948050715,0.43835966447178987,0.9616858995250586,0.21917983223589493,0.4808429497625293,0.42158088084065576,0.21079044042032788,0,1,0,1,140288,2,1,886491.88,911495.3,1112252.87,9713166257.91,879755.93,1122491.43,-1,-1,-1,-1,-1,-1,4
2812c1523f10303bed918fcd7d89074f,1098388,0.43443530703489125,2528312,0.49998061948050715,0.43371071291834234,1.0,0.21685535645917117,0.49998061948050715,0.43371071291834234,0.21685535645917117,0,1,0,1,476401,3,0,929204.68,959026.4,1493156.28,32982792532.49,1011738.32,1263493.63,-1,-1,-1,-1,-1,-1,0
bd069951819a86413e55599e6a3f5b91,477429,0.18883310287654373,2528312,0.49998061948050715,0.2325701891222286,1.0,0.1162850945611143,0.49998061948050715,0.2325701891222286,0.1162850945611143,0,1,0,1,111040,3,0,847954.19,899334.61,1184229.18,7688592496.96,875621.7,1044663.68,-1,-1,-1,-1,-1,-1,0
24d536ab5f2ed839e6ca828f0cd7bec3,1120134,0.44303630248165576,2528312,0.49998061948050715,0.34098837485247074,0.5480636883422616,0.17049398966583237,0.2740318441711308,0.18689070019839324,0.09344535009919662,0,1,0,1,209351,3,2,896683.05,944132.25,1509575.59,14494442178.19,1003619.5,1118839.48,-1,-1,-1,-1,-1,-1,0
8e057e33884c1d971158569eccb1f8bb,20738,0.008202310474340193,2528312,0.49998061948050715,0.859025310167416,0.8180631978964621,0.429512655083708,0.40903179670863404,0.7027641367046472,0.3513822661127266,0,1,0,1,14574,2,2,620026.57,590150.47,538821.31,829582253.81,551680.41,892687.5,-1,-1,-1,-1,-1,-1,2
eae2aed7b38d05e56e45e700e30c646d,849793,0.3361108122731688,2528312,0.49998061948050715,0.2711409826002487,1.0,0.13557029353972136,0.49998061948050715,0.2711409826002487,0.13557029353972136,0,1,0,1,230423,3,0,877437.03,925461.26,1369480.27,15953364992.95,944736.04,1129672.94,-1,-1,-1,-1,-1,-1,0
3e5c8ebeb8b2c276578cae9cda94338e,397637,0.1572737067260686,2528312,0.49998061948050715,0.18200601824458373,1.0,0.09100300912229187,0.49998061948050715,0.18200601824458373,0.09100300912229187,0,1,0,1,72375,3,0,831715.0,889133.56,1144532.66,5011550156.06,855194.87,980463.29,-1,-1,-1,-1,-1,-1,0
5e5ddd2f56a10d3ed8b188018128d421,1186661,0.46934911514085287,2528312,0.49998061948050715,0.3847994234888732,0.6098179338625929,0.19239951398403363,0.30490896693129643,0.2346668449147099,0.11733362021775794,0,1,0,1,278481,1,2,906717.68,940959.26,1537072.1,19280444970.33,1017421.25,1168247.46,-1,-1,-1,-1,-1,-1,0
d3d7572ae4ec408ab22b9578509db00f,341846,0.13520720543983494,2528312,0.49998061948050715,0.17331879926211638,0.7971183936159778,0.08665939963105819,0.3985591968079889,0.13816095481886728,0.06908047740943364,0,1,0,1,47232,1,1,821807.24,874803.58,1115922.02,3270965257.45,843290.05,947228.53,-1,-1,-1,-1,-1,-1,0
