query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,2733,0.0911,30000,0.08435266666666666,0.34503333333333336,0.94213,0.029084533333333332,0.079471,0.3349,0.028230433333333332,0,1,0,1,914.662,2,1,121.884,122.086,122.281,128.902,121.887,122.1,121.688,121.688,121.659,121.659,121.69,121.69,0
,4374,0.1458,30000,0.12904033333333334,0.4856333333333333,1.0,0.06260866666666666,0.12904033333333334,0.4856333333333333,0.06260866666666666,0,1,0,1,2122.0,3,0,121.967,122.125,122.681,144.315,121.978,122.154,121.719,121.719,121.689,121.689,121.722,121.722,0
,6745,0.22483333333333333,30000,0.18667566666666668,0.5116333333333334,0.9485833333333333,0.09537133333333334,0.17707733333333334,0.4983066666666667,0.092887,0,1,0,1,3355.49,1,1,122.026,122.176,122.97,159.168,122.035,122.204,121.763,121.763,121.732,121.732,121.767,121.767,0
,2600,0.08666666666666667,30000,0.08054466666666667,0.12406666666666667,0.9719933333333333,0.0100304,0.078289,0.12231700000000001,0.009888933333333334,0,1,0,1,319.359,3,1,121.805,122.075,121.896,122.941,121.792,122.061,121.685,121.685,121.657,121.657,121.686,121.686,4
,6217,0.20723333333333332,30000,0.17450333333333334,0.7987666666666666,1.0,0.1393633333333333,0.17450333333333334,0.7987666666666666,0.1393633333333333,0,1,0,1,4964.19,2,0,122.119,122.181,123.572,207.342,122.145,122.241,121.755,121.755,121.722,121.722,121.761,121.761,0
,4852,0.16173333333333334,30000,0.14129233333333335,0.38563333333333333,1.0,0.054415,0.14129233333333335,0.38563333333333333,0.054415,0,1,0,1,1868.31,2,0,121.941,122.13,122.52,137.674,121.946,122.148,121.728,121.728,121.697,121.697,121.73,121.73,0
,8292,0.2764,30000,0.22031233333333333,0.9748,0.9783866666666666,0.214948,0.21555066666666667,0.96421,0.21261266666666667,0,1,0,1,8004.2,1,1,122.233,122.241,124.339,289.698,122.275,122.326,121.795,121.795,121.76,121.76,121.816,121.816,0
,3220,0.10733333333333334,30000,0.09805266666666666,0.16666666666666666,0.9783633333333334,0.0164673,0.09593099999999999,0.16485366666666665,0.016288166666666666,0,1,0,1,535.257,3,1,121.832,122.088,121.997,124.034,121.819,122.076,121.697,121.697,121.668,121.668,121.698,121.698,4
,4736,0.15786666666666666,30000,0.13834933333333332,0.23093333333333332,0.9913633333333334,0.03195716666666667,0.13715466666666667,0.22993400000000003,0.03181886666666667,0,1,0,1,1089.12,1,2,121.884,122.121,122.196,127.585,121.877,122.114,121.725,121.725,121.695,121.695,121.726,121.726,4
,10916,0.36386666666666667,30000,0.271043,0.4136,1.0,0.11212166666666668,0.271043,0.4136,0.11212166666666668,0,1,0,1,4515.48,3,0,122.074,122.254,123.09,162.562,122.076,122.271,121.84,121.84,121.808,121.808,121.845,121.845,0
