query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
1da247212ce67ba0c6b2fc3ea64eb25f,2733,0.0911,30000,2.5,4.3346,4.949133333333333,2.1673,2.4745666666666666,4.2905,2.1452666666666667,0,1,0,1,2345,2,1,541149.6,539912.84,536946.39,8447348.01,534146.39,554250.83,-1,-1,-1,-1,-1,-1,4
3bcdb2db3fdbbd8a2a47a0c936ebdef8,4374,0.1458,30000,2.5,4.479266666666667,1.0,2.2396333333333334,2.5,4.479266666666667,2.2396333333333334,0,1,0,1,3918,3,0,562227.3,560758.47,561057.59,13777564.29,554971.6,575807.39,-1,-1,-1,-1,-1,-1,4
c137bbb95e521c44cba607ef3a2ba8ee,6745,0.22483333333333333,30000,2.5,4.5055,4.9497333333333335,2.2527333333333335,2.4748666666666668,4.4602,2.2301,0,1,0,1,6017,1,1,580864.67,579333.7,583983.32,20877939.29,573729.77,594379.99,-1,-1,-1,-1,-1,-1,4
fda337bcf6ed01c716e43a170167db08,2600,0.08666666666666667,30000,2.5,4.120666666666667,4.995533333333333,2.0603333333333333,2.4977666666666667,4.117,2.0585,0,1,0,1,2141,3,1,538622.41,537814.82,534448.29,7755886.79,531900.37,551535.13,-1,-1,-1,-1,-1,-1,4
e3a5dcce8e17b8ca90892aa07809c4d2,6217,0.20723333333333332,30000,2.5,4.7954,1.0,2.3977,2.5,4.7954,2.3977,0,1,0,1,5963,2,0,578345.59,576335.55,579614.35,20691436.37,570641.1,592560.98,-1,-1,-1,-1,-1,-1,4
2adac83f5470f8143059a773a1ed8490,4852,0.16173333333333334,30000,2.5,4.377466666666667,1.0,2.1887333333333334,2.5,4.377466666666667,2.1887333333333334,0,1,0,1,4248,2,0,566082.6,564744.64,566476.42,14893524.97,559010.42,579442.18,-1,-1,-1,-1,-1,-1,4
1722847013608b674e8ef4ef61c62beb,8292,0.2764,30000,2.5,4.974766666666667,4.9966333333333335,2.4874,2.4983333333333335,4.971433333333334,2.485733333333333,0,1,0,1,8245,1,1,591591.07,589314.57,594108.95,28405805.33,583683.49,606229.18,-1,-1,-1,-1,-1,-1,4
3091f6cc0c3ab775fa33868b2154a5df,3220,0.10733333333333334,30000,2.5,4.161266666666666,4.9966333333333335,2.080633333333333,2.4983333333333335,4.158433333333333,2.0792,0,1,0,1,2678,3,1,548080.21,547207.23,545266.92,9578185.62,541308.72,561087.26,-1,-1,-1,-1,-1,-1,4
b2be812ae48f8096bf27c3d334054d64,4736,0.15786666666666666,30000,2.5,4.2225,4.998866666666666,2.111266666666667,2.499433333333333,4.221533333333333,2.1107666666666667,0,1,0,1,3999,1,2,564816.02,563789.73,565220.42,14051605.3,557995.92,577931.95,-1,-1,-1,-1,-1,-1,4
61b7a5870c8abffecb7c64e5b98bbc1a,10916,0.36386666666666667,30000,2.5,4.406866666666667,1.0,2.2034333333333334,2.5,4.406866666666667,2.2034333333333334,0,1,0,1,9621,3,0,602147.14,600867.57,607311.47,33063674.35,595269.36,615852.54,-1,-1,-1,-1,-1,-1,4
