query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,685,0.26799687010954615,2556,0.21857433489827857,0.14591392801251957,0.4194053208137715,0.018974687010954616,0.09682316118935837,0.09449608763693271,0.01806392801251956,0,1,0,1,55.3817,2,1,121.666,121.688,121.67,121.711,121.716,121.738,121.613,121.613,121.622,121.622,121.651,121.651,0
,278,0.10876369327073553,2556,0.09966353677621284,0.2871318466353678,1.0,0.023905007824726134,0.09966353677621284,0.2871318466353678,0.023905007824726134,0,1,0,1,66.1854,3,0,121.669,121.687,121.679,121.727,121.714,121.732,121.611,121.611,121.614,121.614,121.644,121.644,0
,601,0.23513302034428796,2556,0.19625743348982785,0.7154225352112675,0.8904538341158059,0.1358517214397496,0.18457902973395932,0.6750978090766823,0.1281952269170579,0,1,0,1,391.255,1,1,121.75,121.756,121.789,122.252,121.734,121.741,121.649,121.649,121.62,121.62,121.65,121.65,4
,88,0.03442879499217527,2556,0.03344694835680751,0.1418262910798122,0.08528951486697965,0.0028792253521126763,0.0030129890453834116,0.03211991392801252,0.0012344835680751173,0,1,0,1,3.23883,3,1,121.662,121.685,121.65,121.628,121.704,121.727,121.61,121.61,121.611,121.581,121.64,121.64,3
,73,0.028560250391236306,2556,0.027877386541471046,0.42367370892018785,1.0,0.010743622848200313,0.027877386541471046,0.42367370892018785,0.010743622848200313,0,1,0,1,28.0822,2,0,121.67,121.685,121.68,121.707,121.714,121.728,121.61,121.61,121.611,121.611,121.64,121.64,0
,756,0.29577464788732394,2556,0.2366431924882629,0.7144209702660407,1.0,0.16543035993740218,0.2366431924882629,0.7144209702660407,0.16543035993740218,0,1,0,1,526.991,2,0,121.753,121.76,121.808,122.433,121.739,121.744,121.652,121.652,121.623,121.623,121.653,121.653,4
,851,0.33294209702660404,2556,0.2597511737089202,0.427914710485133,0.594679186228482,0.09748278560250391,0.16314945226917058,0.3299894366197183,0.08084076682316119,0,1,0,1,262.228,1,1,121.744,121.759,121.748,121.933,121.728,121.743,121.654,121.654,121.625,121.625,121.654,121.654,4
,1172,0.458528951486698,2556,0.32980516431924883,0.1433290297339593,0.49061032863849763,0.029678129890453833,0.17089906103286384,0.10039280125195618,0.020787636932707357,0,1,0,1,72.3528,3,1,121.742,121.763,121.685,121.732,121.725,121.747,121.659,121.659,121.631,121.631,121.66,121.66,2
,640,0.25039123630672927,2556,0.20674921752738654,0.14380320813771516,0.3290297339593114,0.018657042253521126,0.07184976525821596,0.08248708920187793,0.017752777777777777,0,1,0,1,54.115,1,2,121.666,121.688,121.668,121.707,121.715,121.737,121.613,121.613,121.621,121.621,121.65,121.65,0
,676,0.2644757433489828,2556,0.21623317683881063,0.2889780907668232,1.0,0.050982394366197184,0.21623317683881063,0.2889780907668232,0.050982394366197184,0,1,0,1,156.809,3,0,121.737,121.755,121.702,121.795,121.722,121.739,121.65,121.65,121.622,121.622,121.651,121.651,2
,803,0.31416275430359936,2556,0.24822378716744917,0.5720344287949921,1.0,0.1345442097026604,0.24822378716744917,0.5720344287949921,0.1345442097026604,0,1,0,1,432.275,1,0,121.749,121.76,121.779,122.196,121.735,121.744,121.653,121.653,121.624,121.624,121.654,121.654,4
,1078,0.4217527386541471,2556,0.3104753521126761,0.7112676056338029,1.0,0.21604577464788732,0.3104753521126761,0.7112676056338029,0.21604577464788732,0,1,0,1,748.067,2,0,121.759,121.767,121.849,122.745,121.745,121.751,121.658,121.658,121.629,121.629,121.659,121.659,4
,274,0.10719874804381847,2556,0.09834780907668232,0.18630868544600937,0.2934272300469484,0.013005242566510172,0.030479616588419408,0.10092136150234741,0.009438262910798122,0,1,0,1,26.0601,1,2,121.665,121.686,121.663,121.697,121.709,121.731,121.611,121.611,121.614,121.614,121.643,121.643,2
,58,0.02269170579029734,2556,0.022254616588419405,0.07120500782472614,0.7261345852895149,0.0003912363067292645,0.017067996870109545,0.0606764475743349,0.0003912363067292645,0,1,0,1,1.0,3,2,121.692,121.685,121.642,121.615,121.734,121.726,121.61,121.61,121.61,121.581,121.64,121.64,3
,909,0.35563380281690143,2556,0.27329107981220657,0.7149843505477308,1.0,0.19017018779342723,0.27329107981220657,0.7149843505477308,0.19017018779342723,0,1,0,1,630.226,2,0,121.756,121.763,121.829,122.588,121.742,121.747,121.655,121.655,121.626,121.626,121.656,121.656,4
,775,0.30320813771517996,2556,0.24136032863849766,0.714679186228482,1.0,0.1684530516431925,0.24136032863849766,0.714679186228482,0.1684530516431925,0,1,0,1,539.211,1,0,121.753,121.76,121.811,122.453,121.739,121.744,121.652,121.652,121.623,121.623,121.653,121.653,4
,1156,0.4522691705790297,2556,0.3265790297339593,0.8566979655712049,1.0,0.27620070422535214,0.3265790297339593,0.8566979655712049,0.27620070422535214,0,1,0,1,976.361,1,0,121.766,121.77,121.905,123.338,121.752,121.754,121.66,121.66,121.63,121.63,121.661,121.661,4
,1168,0.4569640062597809,2556,0.3290007824726135,0.28875039123630675,0.23317683881064163,0.078391627543036,0.08102660406885759,0.12529890453834117,0.040555946791862287,0,1,0,1,140.678,1,2,121.746,121.764,121.73,121.795,121.729,121.748,121.659,121.659,121.631,121.631,121.66,121.66,4
,910,0.35602503912363065,2556,0.2735211267605634,0.715547730829421,0.8082942097026604,0.18923161189358373,0.23351017214397496,0.6433176838810641,0.18100743348982784,0,1,0,1,599.646,2,1,121.756,121.763,121.829,122.509,121.74,121.747,121.655,121.655,121.626,121.626,121.656,121.656,4
