query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
1ecaa5d8f1092dc008044bcc4f1d346e,685,0.26799687010954615,2556,0.5,0.1486697965571205,0.42018779342723006,0.07433489827856025,0.21009389671361503,0.062206572769953054,0.03129890453834116,0,1,0,1,43,2,1,466196.24,466254.34,466563.56,467883.48,466228.97,466292.08,-1,-1,-1,-1,-1,-1,0
c77c11c9e3dd61aedbc64265e5d1e8d3,278,0.10876369327073553,2556,0.5,0.28364632237871673,1.0,0.14162754303599373,0.5,0.28364632237871673,0.14162754303599373,0,1,0,1,79,3,0,427161.2,427202.44,427381.61,430216.61,427166.69,427243.08,-1,-1,-1,-1,-1,-1,0
5b80cc02a83f3b24dc86d46a395aafd7,601,0.23513302034428796,2556,0.5,0.715962441314554,0.8924100156494522,0.357981220657277,0.4460093896713615,0.6388888888888888,0.3192488262910798,0,1,0,1,384,1,1,460617.31,460602.29,460869.25,475301.36,460633.99,460705.68,-1,-1,-1,-1,-1,-1,1
cf0ef3ef7bc2eefb4e75585ae3982a61,88,0.03442879499217527,2556,0.03442879499217527,0.1412363067292645,0.08685446009389672,0.004694835680751174,0.003129890453834116,0.012128325508607199,0.0003912363067292645,0,1,0,1,1,3,1,377329.7,377393.12,377370.08,377432.9,377332.45,377396.11,-1,-1,-1,-1,-1,-1,0
36eefeff07ac33e3a84d57d162fc29be,73,0.028560250391236306,2556,0.028560250391236306,0.4213615023474178,1.0,0.012128325508607199,0.028560250391236306,0.4213615023474178,0.012128325508607199,0,1,0,1,31,2,0,369274.95,369293.47,369421.96,370470.22,369275.32,369350.77,-1,-1,-1,-1,-1,-1,0
7f134a1d2e2c35877e6e1dc2fd4d5d35,756,0.29577464788732394,2556,0.5,0.7116588419405321,1.0,0.35602503912363065,0.5,0.7116588419405321,0.35602503912363065,0,1,0,1,538,2,0,470559.58,470546.49,470855.89,491147.55,470584.71,470668.43,-1,-1,-1,-1,-1,-1,1
b9bef58d6739cfd9be53e1dc47d99173,851,0.33294209702660404,2556,0.5,0.4291862284820031,0.5966353677621283,0.21439749608763695,0.2981220657276995,0.25586854460093894,0.12793427230046947,0,1,0,1,218,1,1,475636.36,475657.61,476013.16,483994.01,475675.43,475725.77,-1,-1,-1,-1,-1,-1,0
b14768adc115162133cfc79eb82e9a52,1172,0.458528951486698,2556,0.5,0.14397496087636932,0.492566510172144,0.07198748043818466,0.24647887323943662,0.07081377151799687,0.035211267605633804,0,1,0,1,83,3,1,489468.96,489533.75,489985.54,492708.7,489530.51,489600.39,-1,-1,-1,-1,-1,-1,0
81eed0a9542b159719deae08a720f556,640,0.25039123630672927,2556,0.5,0.14475743348982786,0.32981220657276994,0.07237871674491393,0.1651017214397496,0.04773082942097027,0.023865414710485134,0,1,0,1,31,1,2,463251.81,463309.97,463606.21,464477.24,463282.25,463343.91,-1,-1,-1,-1,-1,-1,0
9315c9cb143e7d5183ca0cb084b24968,676,0.2644757433489828,2556,0.5,0.28677621283255084,1.0,0.1431924882629108,0.5,0.28677621283255084,0.1431924882629108,0,1,0,1,194,3,0,465647.39,465690.04,465987.86,473110.86,465675.38,465752.05,-1,-1,-1,-1,-1,-1,0
