query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,2733,0.0004554111189299555,6001171,0.15452900775531975,1,1.0,0.15452900775531975,0.15452900775531975,1.0,0.15452900775531975,0,0,1,0,927355.0,0,0,inf,51.1908,inf,12334.4,inf,121.648,inf,0.413548,inf,3554.75,inf,0.521276,1
,13124,0.002186906522077108,6001171,0.7420551755649023,1,0.2586561856011102,0.7420551755649023,0.19203252165285742,0.2586561856011102,0.19203252165285742,0,0,1,0,1152420.0,0,1,inf,54.358,inf,3804.82,inf,69.2212,inf,0.685056,inf,0.65456,inf,0.689128,1
,14117,0.002352374228296444,6001171,0.7982025508021684,1,1.0,0.7982025508021684,0.7982025508021684,1.0,0.7982025508021684,0,0,1,0,4790150.0,0,0,inf,66.6642,inf,60996.6,inf,126.941,inf,0.674749,inf,15851.9,inf,0.725004,1
,6745,0.0011239473096167397,6001171,0.381375568201606,1,0.36610854781508473,0.381375568201606,0.13969190346350738,0.36610854781508473,0.13969190346350738,0,0,1,0,838315.0,0,2,inf,54.3276,inf,4148.4,inf,76.2585,inf,0.599817,inf,1201.62,inf,0.602868,1
,10328,0.0017209974519972852,6001171,0.5839643629551633,1,1.0,0.5839643629551633,0.5839643629551633,1.0,0.5839643629551633,0,0,1,0,3504470.0,0,0,inf,63.9325,inf,44800.1,inf,125.18,inf,0.622557,inf,11758.9,inf,0.658306,1
,2898,0.00048290575289389355,6001171,0.16385835364464701,1,0.08510772314269999,0.16385835364464701,0.013965841000031494,0.08510772314269999,0.013965841000031494,0,0,1,0,83811.4,0,1,inf,50.0621,inf,148.039,inf,53.1665,inf,0.415812,inf,0.518776,inf,0.548219,1
,6217,0.001035964480932138,6001171,0.35152139474112637,1,1.0,0.35152139474112637,0.35152139474112637,1.0,0.35152139474112637,0,0,1,0,2109540.0,0,0,inf,60.9687,inf,27227.2,inf,123.261,inf,0.565931,inf,7318.2,inf,0.576428,1
,2164,0.00036059629029067824,6001171,0.12235662006631706,1,0.3850598491527737,0.12235662006631706,0.04712680241906121,0.3850598491527737,0.04712680241906121,0,0,1,0,282816.0,0,1,inf,50.3677,inf,1656.83,inf,76.8007,inf,0.406065,inf,580.605,inf,0.539354,1
,1872,0.0003119391198817697,6001171,0.10584650895633535,1,0.17947497246787336,0.10584650895633535,0.019008290215359637,0.17947497246787336,0.019008290215359637,0,0,1,0,114072.0,0,2,inf,50.1027,inf,314.016,inf,56.7721,inf,0.402188,inf,0.505152,inf,0.53472,1
,756,0.000125975413798407,6001171,0.042745657472516616,1,0.16805720083630346,0.042745657472516616,0.00718939686937766,0.16805720083630346,0.00718939686937766,0,0,1,0,43144.8,0,2,inf,49.9878,inf,149.548,inf,56.223,inf,0.387368,inf,0.490333,inf,0.519615,1
,16322,0.002719802518541798,6001171,0.9228765519262824,1,0.29544067316195455,0.9228765519262824,0.27277509672695543,0.29544067316195455,0.27277509672695543,0,0,1,0,1636970.0,0,1,inf,55.6541,inf,6162.6,inf,72.4755,inf,0.728371,inf,0.697024,inf,0.734127,1
,8737,0.001455882526926828,6001171,0.4940069196495151,1,1.0,0.4940069196495151,0.4940069196495151,1.0,0.4940069196495151,0,0,1,0,2964620.0,0,0,inf,62.7855,inf,37999.2,inf,124.436,inf,0.600642,inf,10040.3,inf,0.625304,1
,24728,0.004120529143395514,6001171,0.8242674637999817,1,0.24850316713188142,0.8242674637999817,0.20483335668988603,0.24850316713188142,0.20483335668988603,0,0,1,0,1229240.0,0,2,inf,54.6123,inf,6577.78,inf,68.777,inf,0.840758,inf,0.808642,inf,0.850899,1
,25379,0.004229007971944142,6001171,0.8459665621926121,1,1.0,0.8459665621926121,0.8459665621926121,1.0,0.8459665621926121,0,0,1,0,5076790.0,0,0,inf,67.4397,inf,109133.0,inf,127.52,inf,0.829877,inf,28017.2,inf,0.925197,1
,26533,0.004421303775546472,6001171,0.88443405462034,1,0.3335065772996637,0.88443405462034,0.29496409950657965,0.3335065772996637,0.29496409950657965,0,0,1,0,1770130.0,0,1,inf,56.3289,inf,12852.9,inf,75.4802,inf,0.866318,inf,3386.58,inf,0.89168,1
,3561,0.0005933841911853537,6001171,0.2013457040300968,1,0.5779055454343828,0.2013457040300968,0.116366622447519,0.5779055454343828,0.116366622447519,0,0,1,0,698336.0,0,1,inf,50.9891,inf,5478.71,inf,91.0798,inf,0.424616,inf,1632.86,inf,0.559884,1
,18026,0.0030037471020239216,6001171,0.6008660643064495,1,0.2871106322416075,0.6008660643064495,0.17251466422136613,0.2871106322416075,0.17251466422136613,0,0,1,0,1035290.0,0,2,inf,54.3726,inf,6425.23,inf,71.1237,inf,0.751207,inf,0.719651,inf,0.757694,1
,20738,0.0034556589039039212,6001171,0.6912667544384254,1,0.11173852569773465,0.6912667544384254,0.07724109178025422,0.11173852569773465,0.07724109178025422,0,0,1,0,463537.0,0,1,inf,52.0547,inf,1155.48,inf,54.9008,inf,0.785513,inf,0.755662,inf,0.788364,1
