query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,1654,0.00027561287622032433,6001171,0.6826301066908441,1,0.19239078506511478,0.6826301066908441,0.13133186839701785,0.19239078506511478,0.13133186839701785,0,0,1,0,788145.0,0,1,inf,52.8097,inf,1420.12,inf,57.9623,inf,0.1201,inf,0.119236,inf,0.122264,1
,278,4.6324292375604696e-05,6001171,0.11473477426322296,1,1.0,0.11473477426322296,0.11473477426322296,1.0,0.11473477426322296,0,0,1,0,688543.0,0,0,inf,50.7233,inf,1838.88,inf,121.094,inf,0.091132,inf,900.514,inf,0.0947905,1
,2363,0.0003937564851926399,6001171,0.9752446647495964,1,0.36610854781508473,0.9752446647495964,0.3570453166556994,0.36610854781508473,0.3570453166556994,0,0,1,0,2142690.0,0,2,inf,57.1548,inf,3970.36,inf,78.0933,inf,0.133568,inf,1154.31,inf,0.136494,1
,2223,0.00037042770485960156,6001171,0.9174659412304699,1,0.12458751800273647,0.9174659412304699,0.11430469153436888,0.12458751800273647,0.11430469153436888,0,0,1,0,685962.0,0,1,inf,52.134,inf,1243.69,inf,55.2105,inf,0.130908,inf,0.129746,inf,0.133682,1
,538,8.96491701369616e-05,6001171,0.22203999852695416,1,1.0,0.22203999852695416,0.22203999852695416,1.0,0.22203999852695416,0,0,1,0,1332500.0,0,0,inf,51.7992,inf,2951.18,inf,122.123,inf,0.095935,inf,1181.37,inf,0.0999565,1
,1941,0.0003234368759030529,6001171,0.801080322490394,1,0.3850598491527737,0.801080322490394,0.30846313161214706,0.3850598491527737,0.30846313161214706,0,0,1,0,1851140.0,0,1,inf,56.5858,inf,3478.14,inf,78.959,inf,0.125552,inf,1038.53,inf,0.12802,1
,1872,0.0003119391198817697,6001171,0.7726025470695635,1,0.17947497246787336,0.7726025470695635,0.1386627709825299,0.17947497246787336,0.1386627709825299,0,0,1,0,832139.0,0,2,inf,52.8324,inf,1496.13,inf,57.5364,inf,0.124241,inf,0.123263,inf,0.126636,1
,756,0.000125975413798407,6001171,0.3120124389056736,1,0.16805720083630346,0.3120124389056736,0.05243593292042503,0.16805720083630346,0.05243593292042503,0,0,1,0,314677.0,0,2,inf,51.5172,inf,602.196,inf,56.2511,inf,0.103043,inf,0.102648,inf,0.104301,1
,640,0.00010664585295103239,6001171,0.26413678263792184,1,0.177653661260444,0.26413678263792184,0.046925008469180435,0.177653661260444,0.046925008469180435,0,0,1,0,281605.0,0,2,inf,51.5004,inf,545.059,inf,56.5663,inf,0.10084,inf,0.100505,inf,0.101988,1
,1208,0.00020129404744507364,6001171,0.49855936449736227,1,0.109448139371466,0.49855936449736227,0.05456651710141237,0.109448139371466,0.05456651710141237,0,0,1,0,327463.0,0,2,inf,51.1699,inf,624.335,inf,54.0495,inf,0.111629,inf,0.110997,inf,0.113332,1
,1957,0.0003261030222268287,6001171,0.8076823673246438,1,0.3335065772996637,0.8076823673246438,0.2693674284568795,0.3335065772996637,0.2693674284568795,0,0,1,0,1616520.0,0,1,inf,55.6944,inf,3041.95,inf,74.9537,inf,0.125856,inf,905.266,inf,0.128342,1
,757,0.000126142047943643,6001171,0.3124256915858588,1,1.0,0.3124256915858588,0.3124256915858588,1.0,0.3124256915858588,0,0,1,0,1874920.0,0,0,inf,52.7055,inf,3888.09,inf,122.989,inf,0.0999805,inf,1417.93,inf,0.104321,1
,1642,0.0002736132664774925,6001171,0.6776777398944306,1,0.2871106322416075,0.6776777398944306,0.19456869334334917,0.2871106322416075,0.19456869334334917,0,0,1,0,1167640.0,0,2,inf,54.3266,inf,2075.61,inf,70.9797,inf,0.119872,inf,0.119014,inf,0.122024,1
,258,4.299160947088493e-05,6001171,0.10648038524481306,1,0.11173852569773465,0.10648038524481306,0.011897977911310977,0.11173852569773465,0.011897977911310977,0,0,1,0,71401.8,0,1,inf,50.563,inf,181.933,inf,53.7095,inf,0.0935838,inf,0.0934489,inf,0.0943941,1
,2340,0.0003899238998522122,6001171,0.9657531838369545,1,0.21283512834411816,0.9657531838369545,0.20554655083149606,0.21283512834411816,0.20554655083149606,0,0,1,0,1233520.0,0,2,inf,54.0059,inf,2189.48,inf,59.4796,inf,0.133131,inf,0.131908,inf,0.136032,1
,1921,0.00032010419299833317,6001171,0.7928252669354031,1,0.3549007352065122,0.7928252669354031,0.28137341862113247,0.3549007352065122,0.28137341862113247,0,0,1,0,1688570.0,0,1,inf,56.0042,inf,3179.24,inf,76.5729,inf,0.125172,inf,949.528,inf,0.127619,1
,85,1.4163902345058989e-05,6001171,0.03508082005995163,1,0.41813839332356967,0.03508082005995163,0.01466860384414975,0.41813839332356967,0.01466860384414975,0,0,1,0,88028.8,0,2,inf,50.4698,inf,452.598,inf,78.4586,inf,0.0902533,inf,289.423,inf,0.0909761,1
,640,0.00010664585295103239,6001171,0.26413678263792184,1,1.0,0.26413678263792184,0.26413678263792184,1.0,0.26413678263792184,0,0,1,0,1585130.0,0,0,inf,52.2213,inf,3387.55,inf,122.526,inf,0.0978192,inf,1291.55,inf,0.101988,1
,1205,0.00020079414500936567,6001171,0.4973212727982589,1,0.3976407271180908,0.4973212727982589,0.19775473820026124,0.3976407271180908,0.19775473820026124,0,0,1,0,1186760.0,0,2,inf,55.092,inf,2338.13,inf,78.7774,inf,0.111572,inf,756.321,inf,0.113272,1
,374,6.232117031825955e-05,6001171,0.15435537497598387,1,1.0,0.15435537497598387,0.15435537497598387,1.0,0.15435537497598387,0,0,1,0,926313.0,0,0,inf,51.1206,inf,2249.58,inf,121.474,inf,0.0929054,inf,1004.21,inf,0.0966954,1
,1330,0.00022162341316386418,6001171,0.5489112041633208,1,0.8064392766011833,0.5489112041633208,0.4426636068194024,0.8064392766011833,0.4426636068194024,0,0,1,0,2656500.0,0,1,inf,61.2475,inf,5122.1,inf,110.37,inf,0.113946,inf,1642.65,inf,0.115773,1
,1473,0.0002454520959326105,6001171,0.6079296857230031,1,0.25434702660530756,0.6079296857230031,0.15462532229126616,0.25434702660530756,0.15462532229126616,0,0,1,0,927933.0,0,2,inf,53.5434,inf,1661.55,inf,68.307,inf,0.116662,inf,0.115892,inf,0.118637,1
,1317,0.00021945716927579634,6001171,0.543545584686722,1,1.0,0.543545584686722,0.543545584686722,1.0,0.543545584686722,0,0,1,0,3261910.0,0,0,inf,63.7878,inf,6283.82,inf,125.205,inf,0.113699,inf,2022.85,inf,0.115513,1
,2436,0.000405920777794867,6001171,0.9518792249046061,1,0.3049221560258823,0.9518792249046061,0.2902483531964012,0.3049221560258823,0.2902483531964012,0,0,1,0,1741830.0,0,2,inf,55.8104,inf,3236.43,inf,73.1561,inf,0.134954,inf,0.133681,inf,0.137961,1
,2024,0.00033726750995763995,6001171,0.8353353037265561,1,0.1007441714292094,0.8353353037265561,0.08415507573438584,0.1007441714292094,0.08415507573438584,0,0,1,0,505029.0,0,1,inf,51.5472,inf,931.14,inf,54.022,inf,0.127128,inf,0.12607,inf,0.129686,1
,1537,0.00025611668122771375,6001171,0.6343428640843596,1,0.5595907865314953,0.6343428640843596,0.3549723878889637,0.5595907865314953,0.3549723878889637,0,0,1,0,2130250.0,0,2,inf,58.3854,inf,4064.98,inf,91.7962,inf,0.117878,inf,1265.0,inf,0.119919,1
,2072,0.00034526594892896734,6001171,0.8551447709122103,1,0.2460953037332214,0.8551447709122103,0.21044726104288647,0.2460953037332214,0.21044726104288647,0,0,1,0,1262930.0,0,1,inf,54.2888,inf,2240.25,inf,68.2765,inf,0.12804,inf,0.126957,inf,0.13065,1
,932,0.0001553030233599409,6001171,0.3846499291554932,1,0.36020636639082604,0.3846499291554932,0.13855329234910987,0.36020636639082604,0.13855329234910987,0,0,1,0,831482.0,0,2,inf,54.0041,inf,1701.99,inf,75.5651,inf,0.106386,inf,578.904,inf,0.107814,1
,210,3.49931704995575e-05,6001171,0.08667008488843261,1,0.21423652150555283,0.08667008488843261,0.01856787616950092,0.21423652150555283,0.01856787616950092,0,0,1,0,111429.0,0,2,inf,51.3329,inf,251.066,inf,57.7082,inf,0.092672,inf,0.0925623,inf,0.0934436,1
,87,1.4497170635530965e-05,6001171,0.03590615898130548,1,0.5546050929060345,0.03590615898130548,0.019913780160571996,0.5546050929060345,0.019913780160571996,0,0,1,0,119506.0,0,2,inf,50.752,inf,588.864,inf,88.2156,inf,0.0902902,inf,385.047,inf,0.0910155,1
,2081,0.00034676565623609126,6001171,0.8588590460095205,1,1.0,0.8588590460095205,0.8588590460095205,1.0,0.8588590460095205,0,0,1,0,5154160.0,0,0,inf,68.2505,inf,9552.28,inf,128.227,inf,0.128211,inf,2848.13,inf,0.13083,1
,276,4.599102408513272e-05,6001171,0.11390926870772387,1,0.4136226079876744,0.11390926870772387,0.047115471297185164,0.4136226079876744,0.047115471297185164,0,0,1,0,282748.0,0,2,inf,53.0534,inf,786.224,inf,78.4524,inf,0.0939257,inf,371.637,inf,0.0947508,1
,2493,0.0004154189240733184,6001171,0.9741532110983007,1,0.511685136117601,0.9741532110983007,0.49845938401022066,0.511685136117601,0.49845938401022066,0,0,1,0,2991340.0,0,1,inf,60.1129,inf,5813.68,inf,89.766,inf,0.136037,inf,1685.12,inf,0.139106,1
,1305,0.00021745755953296448,6001171,0.5385932178903085,1,0.469818307127059,0.5385932178903085,0.25304061490665736,0.469818307127059,0.25304061490665736,0,0,1,0,1518540.0,0,2,inf,56.3503,inf,2954.52,inf,84.4227,inf,0.113471,inf,944.336,inf,0.115273,1
,1900,0.0003166048759483774,6001171,0.7841586250416793,1,1.0,0.7841586250416793,0.7841586250416793,1.0,0.7841586250416793,0,0,1,0,4705870.0,0,0,inf,67.1932,inf,8777.94,inf,127.511,inf,0.124773,inf,2652.62,inf,0.127198,1
,2345,0.00039075707057839213,6001171,0.9678161145549761,1,1.0,0.9678161145549761,0.9678161145549761,1.0,0.9678161145549761,0,0,1,0,5808030.0,0,0,inf,69.7926,inf,10681.7,inf,129.272,inf,0.133226,inf,3133.31,inf,0.136132,1
,1435,0.00023911999841364292,6001171,0.5922460799733918,1,1.0,0.5922460799733918,0.5922460799733918,1.0,0.5922460799733918,0,0,1,0,3554170.0,0,0,inf,64.4771,inf,6788.63,inf,125.672,inf,0.115941,inf,2150.32,inf,0.117876,1
,181,3.016078028771385e-05,6001171,0.07470142077271252,1,0.3261146866169953,0.07470142077271252,0.02436124549692052,0.3261146866169953,0.02436124549692052,0,0,1,0,146196.0,0,1,inf,52.1527,inf,412.233,inf,72.0618,inf,0.0921212,inf,0.0920266,inf,0.09287,1
,750,0.0001249756089269911,6001171,0.3095362555074668,1,0.8826294068274342,0.3095362555074668,0.27320667916311664,0.8826294068274342,0.27320667916311664,0,0,1,0,1639560.0,0,2,inf,52.4589,inf,3411.27,inf,114.255,inf,0.0998512,inf,1244.85,inf,0.104181,1
,1646,0.0002742798030584364,6001171,0.6793290842737193,1,1.0,0.6793290842737193,0.6793290842737193,1.0,0.6793290842737193,0,0,1,0,4076770.0,0,0,inf,65.7096,inf,7691.31,inf,126.506,inf,0.119948,inf,2378.24,inf,0.122104,1
,926,0.000154303218488525,6001171,0.38217374575728635,1,0.45203177846456966,0.38217374575728635,0.17275461739050596,0.45203177846456966,0.17275461739050596,0,0,1,0,1036730.0,0,2,inf,55.0926,inf,2111.62,inf,82.3859,inf,0.106272,inf,723.527,inf,0.107694,1
,957,0.0001594688769908406,6001171,0.3949679154285055,1,0.1323248412684791,0.3949679154285055,0.05226413311668673,0.1323248412684791,0.05226413311668673,0,0,1,0,313646.0,0,2,inf,51.2832,inf,600.44,inf,54.8866,inf,0.106861,inf,0.106361,inf,0.108314,1
,1620,0.00026994731528230074,6001171,0.6685978453205216,1,1.0,0.6685978453205216,0.6685978453205216,1.0,0.6685978453205216,0,0,1,0,4012370.0,0,0,inf,65.5577,inf,7580.08,inf,126.403,inf,0.119455,inf,2350.16,inf,0.121583,1
