query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,199341,0.0332170171454871,6001171,0.9967054763145393,1,1.0,0.9967054763145393,0.9967054763145393,1.0,0.9967054763145393,0,0,1,0,5981400.0,0,0,inf,63.7356,inf,852692.0,inf,134.334,inf,4.7183,inf,215949.0,inf,6.52761,1
,176964,0.0294882448775414,6001171,0.8904578789706209,1,0.2586561856011102,0.8904578789706209,0.23032338188663512,0.2586561856011102,0.23032338188663512,0,0,1,0,1382210.0,0,1,inf,56.2457,inf,195724.0,inf,74.9646,inf,4.42018,inf,5.22978,inf,6.1096,1
,112421,0.01873317724157502,6001171,0.5656862635642277,1,1.0,0.5656862635642277,0.5656862635642277,1.0,0.5656862635642277,0,0,1,0,3394780.0,0,0,inf,58.957,inf,481178.0,inf,129.3,inf,3.56029,inf,122057.0,inf,4.91032,1
,170585,0.02842528566508103,6001171,0.8583591435738125,1,0.36610854781508473,0.8583591435738125,0.31425200181764523,0.36610854781508473,0.31425200181764523,0,0,1,0,1885880.0,0,2,inf,56.997,inf,267223.0,inf,83.0457,inf,4.33519,inf,67700.0,inf,5.99062,1
,108632,0.01810180046527586,6001171,0.5466216510077783,1,1.0,0.5466216510077783,0.5466216510077783,1.0,0.5466216510077783,0,0,1,0,3280370.0,0,0,inf,58.7464,inf,464983.0,inf,129.078,inf,3.50981,inf,117964.0,inf,4.84028,1
,101202,0.016863708766172467,6001171,0.5092339478411797,1,0.08510772314269999,0.5092339478411797,0.04333970820028291,0.08510772314269999,0.04333970820028291,0,0,1,0,260089.0,0,1,inf,53.4309,inf,36886.9,inf,57.5653,inf,3.41082,inf,4.22047,inf,4.70308,1
,137994,0.022994512237694942,6001171,0.6943661495398148,1,1.0,0.6943661495398148,0.6943661495398148,1.0,0.6943661495398148,0,0,1,0,4167010.0,0,0,inf,60.3785,inf,590483.0,inf,130.794,inf,3.90099,inf,149681.0,inf,5.3842,1
,168692,0.028109847228149305,6001171,0.8488343358321234,1,0.7469442213861262,0.8488343358321234,0.6340312582327683,0.7469442213861262,0.6340312582327683,0,0,1,0,3804930.0,0,2,inf,60.128,inf,539081.0,inf,112.725,inf,4.30997,inf,136577.0,inf,5.95533,1
,133569,0.022257156145025696,6001171,0.6721004950533821,1,1.0,0.6721004950533821,0.6721004950533821,1.0,0.6721004950533821,0,0,1,0,4033390.0,0,0,inf,60.1326,inf,571569.0,inf,130.535,inf,3.84204,inf,144901.0,inf,5.30207,1
,31922,0.005319295184223212,6001171,0.16062698430023073,1,0.16805720083630346,0.16062698430023073,0.0269943982599396,0.16805720083630346,0.0269943982599396,0,0,1,0,161998.0,0,2,inf,52.263,inf,22994.9,inf,59.3003,inf,2.48783,inf,3.29751,inf,3.43662,1
,183562,0.03058769696780845,6001171,0.9236580660674392,1,1.0,0.9236580660674392,0.9236580660674392,1.0,0.9236580660674392,0,0,1,0,5543030.0,0,0,inf,62.9115,inf,785250.0,inf,133.46,inf,4.50808,inf,198904.0,inf,6.23275,1
,49867,0.008309544920483018,6001171,0.25092436126216033,1,0.6085895569381375,0.25092436126216033,0.15270952952348799,0.6085895569381375,0.15270952952348799,0,0,1,0,916436.0,0,2,inf,53.613,inf,130149.0,inf,96.7703,inf,2.7269,inf,24971.2,inf,3.76172,1
,148664,0.024772498567362935,6001171,0.7480556711348502,1,0.109448139371466,0.7480556711348502,0.08187335438366945,0.109448139371466,0.08187335438366945,0,0,1,0,491336.0,0,2,inf,54.4302,inf,69623.9,inf,59.6625,inf,4.04314,inf,4.85276,inf,5.58245,1
,190373,0.03172264213101077,6001171,0.9579297107181248,1,0.3335065772996637,0.9579297107181248,0.3194759822707935,0.3335065772996637,0.3194759822707935,0,0,1,0,1917230.0,0,1,inf,57.2682,inf,271640.0,inf,81.1634,inf,4.59882,inf,68801.9,inf,6.35997,1
,134633,0.022434454875556786,6001171,0.6774544501398144,1,0.5779055454343828,0.6774544501398144,0.3915052578905017,0.5779055454343828,0.3915052578905017,0,0,1,0,2349490.0,0,1,inf,57.424,inf,332970.0,inf,98.032,inf,3.85621,inf,84411.2,inf,5.32181,1
,46523,0.007752320338813875,6001171,0.23409764527623025,1,0.046520254130402214,0.23409764527623025,0.010890241254581814,0.046520254130402214,0.010890241254581814,0,0,1,0,65354.2,0,1,inf,52.3119,inf,9317.12,inf,54.8955,inf,2.68235,inf,3.49203,inf,3.70093,1
,192426,0.032064742031180246,6001171,0.9682610277227561,1,0.07533946291482112,0.9682610277227561,0.0729482629306847,0.07533946291482112,0.0729482629306847,0,0,1,0,437775.0,0,2,inf,54.9081,inf,62047.6,inf,59.1451,inf,4.62617,inf,5.43576,inf,6.39833,1
,86108,0.014348532977980465,6001171,0.43328377078406866,1,0.36422391563246576,0.43328377078406866,0.15781236695304968,0.36422391563246576,0.15781236695304968,0,0,1,0,947059.0,0,2,inf,54.5391,inf,134337.0,inf,80.1008,inf,3.20973,inf,34115.2,inf,4.42499,1
,150413,0.02506394168738068,6001171,0.7568572866862151,1,0.37766795847010526,0.7568572866862151,0.28584088005490926,0.37766795847010526,0.28584088005490926,0,0,1,0,1715380.0,0,2,inf,56.5001,inf,243095.0,inf,83.2588,inf,4.06644,inf,61607.6,inf,5.61498,1
,135493,0.022577760240459738,6001171,0.681781938891593,1,1.0,0.681781938891593,0.681781938891593,1.0,0.681781938891593,0,0,1,0,4091490.0,0,0,inf,60.2395,inf,579793.0,inf,130.647,inf,3.86767,inf,146979.0,inf,5.33777,1
,82992,0.013829300981425124,6001171,0.41760349771736216,1,1.0,0.41760349771736216,0.41760349771736216,1.0,0.41760349771736216,0,0,1,0,2506110.0,0,0,inf,57.3212,inf,355393.0,inf,127.583,inf,3.16822,inf,90267.3,inf,4.3677,1
,138085,0.023009675944911417,6001171,0.6948243934392138,1,1.0,0.6948243934392138,0.6948243934392138,1.0,0.6948243934392138,0,0,1,0,4169760.0,0,0,inf,60.3836,inf,590872.0,inf,130.799,inf,3.9022,inf,149779.0,inf,5.38589,1
,3919,0.0006530392151798374,6001171,0.019719818015517306,1,0.4946884533035303,0.019719818015517306,0.009755196110892357,0.4946884533035303,0.009755196110892357,0,0,1,0,58542.6,0,2,inf,51.7224,inf,8651.07,inf,86.6713,inf,2.11475,inf,2409.39,inf,2.93118,1
,101262,0.01687370681488663,6001171,0.5095355556440568,1,0.7079534977423573,0.5095355556440568,0.3607279312654147,0.7079534977423573,0.3607279312654147,0,0,1,0,2164790.0,0,1,inf,56.88,inf,306906.0,inf,106.498,inf,3.41162,inf,77882.2,inf,4.70419,1
,108102,0.018013484368300785,6001171,0.5439538383425502,1,1.0,0.5439538383425502,0.5439538383425502,1.0,0.5439538383425502,0,0,1,0,3264360.0,0,0,inf,58.717,inf,462718.0,inf,129.048,inf,3.50275,inf,117391.0,inf,4.83049,1
,40134,0.006687694784901147,6001171,0.20194891963585107,1,1.0,0.20194891963585107,0.20194891963585107,1.0,0.20194891963585107,0,0,1,0,1211930.0,0,0,inf,53.7814,inf,172209.0,inf,125.091,inf,2.59723,inf,43971.6,inf,3.58503,1
,186226,0.03103161033071712,6001171,0.9370637830516744,1,1.0,0.9370637830516744,0.9370637830516744,1.0,0.9370637830516744,0,0,1,0,5623480.0,0,0,inf,63.0596,inf,796636.0,inf,133.616,inf,4.54357,inf,201782.0,inf,6.2825,1
,124835,0.020801773520534576,6001171,0.6281524055888426,1,0.3713941829019703,0.6281524055888426,0.23329113601328808,0.3713941829019703,0.23329113601328808,0,0,1,0,1400020.0,0,1,inf,55.7054,inf,198456.0,inf,81.9229,inf,3.72568,inf,50323.0,inf,5.14012,1
,99939,0.016653249840739414,6001171,0.5028785215418791,1,0.3049221560258823,0.5028785215418791,0.1533387400558991,0.3049221560258823,0.1533387400558991,0,0,1,0,920212.0,0,1,inf,54.6139,inf,130323.0,inf,76.153,inf,3.394,inf,4.20364,inf,4.67978,1
,24778,0.0041288608506573135,6001171,0.12467933341676149,1,0.5726482381521873,0.12467933341676149,0.07139739894097336,0.5726482381521873,0.07139739894097336,0,0,1,0,428468.0,0,2,inf,52.588,inf,61058.5,inf,93.0988,inf,2.39265,inf,15689.2,inf,3.30815,1
,78779,0.013127271327545906,6001171,0.3964043017604398,1,0.2460953037332214,0.3964043017604398,0.09755329418208546,0.2460953037332214,0.09755329418208546,0,0,1,0,585434.0,0,1,inf,53.7847,inf,82934.8,inf,71.209,inf,3.11209,inf,3.92174,inf,4.29031,1
,187967,0.03132172037757298,6001171,0.9458237400667303,1,0.36020636639082604,0.9458237400667303,0.3406918416422395,0.36020636639082604,0.3406918416422395,0,0,1,0,2044550.0,0,2,inf,57.4467,inf,289677.0,inf,83.1656,inf,4.56676,inf,73372.2,inf,6.31502,1
,37074,0.006177794300479023,6001171,0.18655192461604578,1,0.21423652150555283,0.18655192461604578,0.0399660332958351,0.21423652150555283,0.0399660332958351,0,0,1,0,239843.0,0,2,inf,52.4473,inf,34013.9,inf,61.2875,inf,2.55647,inf,3.36614,inf,3.52965,1
,154379,0.025724812707386607,6001171,0.776813391919677,1,1.0,0.776813391919677,0.776813391919677,1.0,0.776813391919677,0,0,1,0,4661790.0,0,0,inf,61.2893,inf,660516.0,inf,131.752,inf,4.11928,inf,167380.0,inf,5.68876,1
,98612,0.01643212633001126,6001171,0.49620149134227304,1,1.0,0.49620149134227304,0.49620149134227304,1.0,0.49620149134227304,0,0,1,0,2977790.0,0,0,inf,58.1895,inf,422156.0,inf,128.494,inf,3.37632,inf,107140.0,inf,4.6553,1
,70839,0.011804196214372162,6001171,0.35645209909865927,1,0.7175232967032601,0.35645209909865927,0.2557634168398134,0.7175232967032601,0.2557634168398134,0,0,1,0,1534880.0,0,2,inf,55.6025,inf,217751.0,inf,105.794,inf,3.00631,inf,55354.6,inf,4.14468,1
,112171,0.018691518705266023,6001171,0.564428175767696,1,1.0,0.564428175767696,0.564428175767696,1.0,0.564428175767696,0,0,1,0,3387230.0,0,0,inf,58.9432,inf,480110.0,inf,129.285,inf,3.55696,inf,121787.0,inf,4.9057,1
,92649,0.015438486921969063,6001171,0.466197347151081,1,0.1602605558148568,0.466197347151081,0.07471291852873381,0.1602605558148568,0.07471291852873381,0,0,1,0,448365.0,0,2,inf,53.6728,inf,63535.2,inf,60.4935,inf,3.29687,inf,4.10652,inf,4.54539,1
,164611,0.02742981328144124,6001171,0.8283000101146926,1,0.3743486062970044,0.8283000101146926,0.31007281745512666,0.3743486062970044,0.31007281745512666,0,0,1,0,1860800.0,0,2,inf,56.8914,inf,263678.0,inf,83.4819,inf,4.2556,inf,66807.8,inf,5.87928,1
,13641,0.0022730563751641136,6001171,0.06863960383731775,1,0.27468639037281223,0.06863960383731775,0.01885432026516158,0.27468639037281223,0.01885432026516158,0,0,1,0,113148.0,0,2,inf,51.9597,inf,16078.3,inf,71.3929,inf,2.24428,inf,3.05397,inf,3.10951,1
,59716,0.009950724616912265,6001171,0.3004830223967956,1,0.3261146866169953,0.3004830223967956,0.09799187525234658,0.3261146866169953,0.09799187525234658,0,0,1,0,588066.0,0,1,inf,53.2544,inf,83500.7,inf,76.4593,inf,2.85812,inf,21250.4,inf,3.94123,1
,171873,0.028639910444144986,6001171,0.8648412118234925,1,0.10909337527625858,0.8648412118234925,0.0943484196667617,0.10909337527625858,0.0943484196667617,0,0,1,0,566201.0,0,1,inf,54.85,inf,80223.1,inf,60.1827,inf,4.35235,inf,5.16195,inf,6.01464,1
,54269,0.00904306842781184,6001171,0.27307337184692787,1,0.9023755530378987,0.27307337184692787,0.2464152412920745,0.9023755530378987,0.2464152412920745,0,0,1,0,1478780.0,0,1,inf,54.4926,inf,209922.0,inf,118.772,inf,2.78555,inf,53458.9,inf,3.84187,1
,91758,0.015290015898563797,6001171,0.46171322230278056,1,1.0,0.46171322230278056,0.46171322230278056,1.0,0.46171322230278056,0,0,1,0,2770820.0,0,0,inf,57.8085,inf,392861.0,inf,128.094,inf,3.285,inf,99736.4,inf,4.52898,1
,150681,0.025108599638303926,6001171,0.7582053569211742,1,0.9627704326372303,0.7582053569211742,0.7299775327181979,0.9627704326372303,0.7299775327181979,0,0,1,0,4380720.0,0,1,inf,60.9605,inf,620710.0,inf,128.766,inf,4.07002,inf,157304.0,inf,5.61996,1
,114714,0.01911526933660114,6001171,0.5772240117803675,1,1.0,0.5772240117803675,0.5772240117803675,1.0,0.5772240117803675,0,0,1,0,3464020.0,0,0,inf,59.0845,inf,490979.0,inf,129.434,inf,3.59084,inf,124534.0,inf,4.95273,1
,1914,0.0003189377539816812,6001171,0.009630970355618928,1,0.1323248412684791,0.009630970355618928,0.001274417942764837,0.1323248412684791,0.001274417942764837,0,0,1,0,7648.0,0,1,inf,51.6197,inf,1144.1,inf,57.1912,inf,2.08804,inf,2.89774,inf,2.90118,1
,13908,0.0023175476919421226,6001171,0.06998317495035553,1,1.0,0.06998317495035553,0.06998317495035553,1.0,0.06998317495035553,0,0,1,0,419981.0,0,0,inf,52.323,inf,60113.5,inf,123.574,inf,2.24783,inf,15642.0,inf,3.11424,1
,115617,0.019265739969749236,6001171,0.581768124920953,1,0.8179853565245849,0.581768124920953,0.4758787909892919,0.8179853565245849,0.4758787909892919,0,0,1,0,2855830.0,0,1,inf,58.1775,inf,404783.0,inf,115.611,inf,3.60287,inf,102668.0,inf,4.96944,1
,470,7.831804826091441e-05,6001171,0.002364971769676285,1,1.0,0.002364971769676285,0.002364971769676285,1.0,0.002364971769676285,0,0,1,0,14192.6,0,0,inf,51.4487,inf,2676.68,inf,122.803,inf,2.0688,inf,1126.15,inf,2.87974,1
,169113,0.028180000203293656,6001171,0.8509522558180729,1,0.06488300366711763,0.8509522558180729,0.05521239104834706,0.06488300366711763,0.05521239104834706,0,0,1,0,331339.0,0,2,inf,54.4291,inf,46979.5,inf,58.1846,inf,4.31558,inf,5.12518,inf,5.96318,1
,82128,0.013685329079941232,6001171,0.4132560128681552,1,0.045935035012333425,0.4132560128681552,0.018982961825283765,0.045935035012333425,0.018982961825283765,0,0,1,0,113920.0,0,1,inf,52.9176,inf,16195.3,inf,55.5937,inf,3.15671,inf,3.96636,inf,4.35182,1
,195296,0.03254298202800753,6001171,0.9827015427489069,1,1.0,0.9827015427489069,0.9827015427489069,1.0,0.9827015427489069,0,0,1,0,5897360.0,0,0,inf,63.5637,inf,835403.0,inf,134.147,inf,4.66441,inf,211579.0,inf,6.45198,1
,123097,0.020512163376114428,6001171,0.6194074456468579,1,1.0,0.6194074456468579,0.6194074456468579,1.0,0.6194074456468579,0,0,1,0,3717170.0,0,0,inf,59.5505,inf,526810.0,inf,129.923,inf,3.70252,inf,133589.0,inf,5.10792,1
,94276,0.015709600676268014,6001171,0.4743840827065251,1,0.25046611736276136,0.4743840827065251,0.11881731082150467,0.25046611736276136,0.11881731082150467,0,0,1,0,713043.0,0,2,inf,54.1788,inf,100999.0,inf,71.9689,inf,3.31855,inf,4.1282,inf,4.57537,1
,143652,0.023937328231440163,6001171,0.7228372595948357,1,0.32844089928448966,0.7228372595948357,0.23740866574206934,0.32844089928448966,0.23740866574206934,0,0,1,0,1424730.0,0,2,inf,55.9408,inf,201927.0,inf,79.2827,inf,3.97637,inf,51181.1,inf,5.48929,1
,133848,0.022303647071546535,6001171,0.6735035545562691,1,1.0,0.6735035545562691,0.6735035545562691,1.0,0.6735035545562691,0,0,1,0,4041810.0,0,0,inf,60.1481,inf,572762.0,inf,130.551,inf,3.84575,inf,145203.0,inf,5.30724,1
,71893,0.011979828603450893,6001171,0.36175606394152077,1,0.04639011286297291,0.36175606394152077,0.016781891400861598,0.04639011286297291,0.016781891400861598,0,0,1,0,100711.0,0,2,inf,52.7604,inf,14324.5,inf,55.4035,inf,3.02035,inf,3.83001,inf,4.16399,1
,196253,0.032702450904998376,6001171,0.9875172695462269,1,0.319570963733578,0.9875172695462269,0.31558174229662844,0.319570963733578,0.31558174229662844,0,0,1,0,1893860.0,0,2,inf,57.2979,inf,268324.0,inf,80.2645,inf,4.67716,inf,67957.5,inf,6.46987,1
,174744,0.029118317075117507,6001171,0.8792867258740003,1,0.005905580760821513,0.8792867258740003,0.0051926865606729085,0.005905580760821513,0.0051926865606729085,0,0,1,0,31162.2,0,2,inf,55.0761,inf,4482.25,inf,55.8468,inf,5.29155,inf,1136.65,inf,6.06818,1
,38430,0.006403750201419023,6001171,0.19337392652200713,1,0.58079164882987,0.19337392652200713,0.1123100808158941,0.58079164882987,0.1123100808158941,0,0,1,0,673992.0,0,1,inf,53.1165,inf,95815.9,inf,94.2524,inf,2.57453,inf,24477.0,inf,3.55418,1
,134959,0.02248877760690372,6001171,0.6790941301289365,1,0.4920906269793012,0.6790941301289365,0.33417644656351236,0.4920906269793012,0.33417644656351236,0,0,1,0,2005450.0,0,2,inf,56.8399,inf,284222.0,inf,91.4624,inf,3.86056,inf,72052.7,inf,5.32786,1
,113418,0.0188993114843753,6001171,0.5707036176772833,1,0.4464295385017357,0.5707036176772833,0.25477860904146876,0.4464295385017357,0.25477860904146876,0,0,1,0,1528970.0,0,1,inf,55.8256,inf,216753.0,inf,87.1887,inf,3.57357,inf,54980.8,inf,4.92876,1
,136254,0.022704568824984325,6001171,0.685611191549116,1,0.0777979830936329,0.685611191549116,0.05333908998760409,0.0777979830936329,0.05333908998760409,0,0,1,0,320097.0,0,1,inf,53.9824,inf,45384.6,inf,58.0275,inf,3.87781,inf,4.68743,inf,5.3519,1
,173987,0.028992175027173862,6001171,0.8754774693139056,1,0.4996708142460863,0.8754774693139056,0.4374512907564207,0.4996708142460863,0.4374512907564207,0,0,1,0,2625220.0,0,1,inf,58.2426,inf,371951.0,inf,93.5492,inf,4.38051,inf,94227.7,inf,6.05406,1
,194793,0.032459165052953834,6001171,0.9801703700827722,1,1.0,0.9801703700827722,0.9801703700827722,1.0,0.9801703700827722,0,0,1,0,5882170.0,0,0,inf,63.5358,inf,833253.0,inf,134.118,inf,4.65771,inf,211036.0,inf,6.44258,1
,47395,0.007897625313459656,6001171,0.2384851223202938,1,0.2745014264716003,0.2384851223202938,0.06546455683399123,0.2745014264716003,0.06546455683399123,0,0,1,0,392864.0,0,2,inf,52.8085,inf,55674.3,inf,72.3599,inf,2.69397,inf,3.50364,inf,3.71677,1
,161215,0.026863923724219824,6001171,0.811211678520742,1,0.7909473001185935,0.811211678520742,0.6416264425726246,0.7909473001185935,0.6416264425726246,0,0,1,0,3850510.0,0,1,inf,60.1461,inf,545558.0,inf,115.82,inf,4.21036,inf,138234.0,inf,5.81602,1
,59602,0.009931728324355363,6001171,0.2999081345957314,1,1.0,0.2999081345957314,0.2999081345957314,1.0,0.2999081345957314,0,0,1,0,1799800.0,0,0,inf,54.8642,inf,255419.0,inf,126.222,inf,2.8566,inf,65001.2,inf,3.93915,1
,68956,0.011490424118892796,6001171,0.346977281600541,1,1.0,0.346977281600541,0.346977281600541,1.0,0.346977281600541,0,0,1,0,2082270.0,0,0,inf,56.541,inf,295400.0,inf,126.766,inf,2.98122,inf,75105.5,inf,4.11019,1
,166693,0.027776745571822567,6001171,0.8387762988256792,1,0.30651851113724304,0.8387762988256792,0.25709982268460607,0.30651851113724304,0.25709982268460607,0,0,1,0,1542900.0,0,1,inf,56.3907,inf,218469.0,inf,78.3312,inf,4.28334,inf,5.09294,inf,5.91807,1
,57192,0.009530140034336632,6001171,0.2877821678469085,1,0.25720480219610475,0.2877821678469085,0.0740192205821164,0.25720480219610475,0.0740192205821164,0,0,1,0,444202.0,0,2,inf,53.0111,inf,62941.8,inf,71.3995,inf,2.82449,inf,3.63416,inf,3.89517,1
,83698,0.013946944687961732,6001171,0.42115613769379345,1,0.27392153964617905,0.42115613769379345,0.11536348489319835,0.27392153964617905,0.11536348489319835,0,0,1,0,692316.0,0,2,inf,54.0361,inf,98064.0,inf,73.3821,inf,3.17762,inf,3.98728,inf,4.38068,1
