query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,685,0.00011414438948665186,6001171,0.34249982211804997,1,1.0,0.34249982211804997,0.34249982211804997,1.0,0.34249982211804997,0,0,1,0,2055400.0,0,0,inf,60.2491,inf,3579.94,inf,122.584,inf,0.0893449,inf,1340.14,inf,0.0905353,1
,836,0.00013930614541728605,6001171,0.4180000869830238,1,0.2586561856011102,0.4180000869830238,0.10811839889248281,0.2586561856011102,0.10811839889248281,0,0,1,0,648837.0,0,1,inf,52.6749,inf,983.702,inf,67.9238,inf,0.0912668,inf,0.0908298,inf,0.0926013,1
,1829,0.00030477385163662227,6001171,0.9144998534452693,1,1.0,0.9144998534452693,0.9144998534452693,1.0,0.9144998534452693,0,0,1,0,5488070.0,0,0,inf,67.2004,inf,8473.89,inf,126.924,inf,0.103906,inf,2575.9,inf,0.106255,1
,601,0.00010014712128682885,6001171,0.30049968581131914,1,0.36610854781508473,0.30049968581131914,0.11001552863599454,0.36610854781508473,0.11001552863599454,0,0,1,0,660222.0,0,2,inf,50.5317,inf,1210.58,inf,75.4723,inf,0.0858241,inf,457.467,inf,0.0893877,1
,88,1.4663804780766954e-05,6001171,0.04400007931785313,1,1.0,0.04400007931785313,0.04400007931785313,1.0,0.04400007931785313,0,0,1,0,264052.0,0,0,inf,49.9187,inf,911.392,inf,120.32,inf,0.0795626,inf,0.0817003,inf,0.0824268,1
,850,0.0001416390234505899,6001171,0.42500038742438767,1,0.08510772314269999,0.42500038742438767,0.03617077400394023,0.08510772314269999,0.03617077400394023,0,0,1,0,217067.0,0,1,inf,50.6569,inf,368.13,inf,52.8741,inf,0.091445,inf,0.0910006,inf,0.092793,1
,73,1.2164292602227132e-05,6001171,0.03650004307492654,1,1.0,0.03650004307492654,0.03650004307492654,1.0,0.03650004307492654,0,0,1,0,219043.0,0,0,inf,49.8586,inf,764.405,inf,120.263,inf,0.0793795,inf,0.0815172,inf,0.0822258,1
,116,1.932956084737462e-05,6001171,0.05800001366399991,1,0.3850598491527737,0.05800001366399991,0.022333474583543778,0.3850598491527737,0.022333474583543778,0,0,1,0,134027.0,0,1,inf,52.4589,inf,471.758,inf,76.1403,inf,0.0821027,inf,279.409,inf,0.0828028,1
,1872,0.0003119391198817697,6001171,0.9360006572050689,1,0.17947497246787336,0.9360006572050689,0.1679888808367567,0.17947497246787336,0.1679888808367567,0,0,1,0,1008130.0,0,2,inf,52.8932,inf,1496.06,inf,57.464,inf,0.104453,inf,0.103474,inf,0.106848,1
,1202,0.0002002942425736577,6001171,0.6009993716226383,1,0.16805720083630346,0.6009993716226383,0.10100228772017994,0.16805720083630346,0.10100228772017994,0,0,1,0,606132.0,0,2,inf,51.9958,inf,922.859,inf,56.5078,inf,0.0959252,inf,0.0952968,inf,0.0976222,1
,1986,0.0003309354124386724,6001171,0.992999532924491,1,0.29544067316195455,0.992999532924491,0.2933727434195759,0.29544067316195455,0.2933727434195759,0,0,1,0,1760580.0,0,1,inf,55.1807,inf,2568.84,inf,71.9111,inf,0.105904,inf,0.104866,inf,0.108421,1
,545,9.081560915361351e-05,6001171,0.27250015038731606,1,1.0,0.27250015038731606,0.27250015038731606,1.0,0.27250015038731606,0,0,1,0,1635320.0,0,0,inf,51.752,inf,2981.03,inf,122.053,inf,0.0851406,inf,1188.91,inf,0.0886235,1
,152,2.5328390075870194e-05,6001171,0.07600000066653657,1,0.24850316713188142,0.07600000066653657,0.018886147386901656,0.24850316713188142,0.018886147386901656,0,0,1,0,113339.0,0,2,inf,51.516,inf,220.168,inf,66.5324,inf,0.0825609,inf,0.0824815,inf,0.0832876,1
,803,0.00013380721862449844,6001171,0.4014999739217563,1,1.0,0.4014999739217563,0.4014999739217563,1.0,0.4014999739217563,0,0,1,0,2409470.0,0,0,inf,60.9661,inf,4084.73,inf,123.032,inf,0.0908467,inf,1467.61,inf,0.0921495,1
,1957,0.0003261030222268287,6001171,0.9785006959475075,1,0.3335065772996637,0.9785006959475075,0.3263363100301591,0.3335065772996637,0.3263363100301591,0,0,1,0,1958400.0,0,1,inf,55.8312,inf,3041.83,inf,74.8311,inf,0.105535,inf,905.247,inf,0.10802,1
,1513,0.00025211746174205003,6001171,0.7565006896154101,1,0.5779055454343828,0.7565006896154101,0.4371863424654955,0.5779055454343828,0.4371863424654955,0,0,1,0,2623630.0,0,1,inf,58.7822,inf,4136.91,inf,93.0068,inf,0.0998835,inf,1291.4,inf,0.1019,1
,1642,0.0002736132664774925,6001171,0.820999768211904,1,0.2871106322416075,0.820999768211904,0.23571732916792407,0.2871106322416075,0.23571732916792407,0,0,1,0,1414580.0,0,2,inf,54.4216,inf,2075.52,inf,70.8875,inf,0.101525,inf,0.100667,inf,0.103677,1
,258,4.299160947088493e-05,6001171,0.12899999016858543,1,0.11173852569773465,0.12899999016858543,0.014414270148276061,0.11173852569773465,0.014414270148276061,0,0,1,0,86502.5,0,1,inf,50.5603,inf,181.918,inf,53.6953,inf,0.0839101,inf,0.0837752,inf,0.0847204,1
,292,4.865717040890853e-05,6001171,0.14600000566556093,1,0.21283512834411816,0.14600000566556093,0.03107393540360706,0.21283512834411816,0.03107393540360706,0,0,1,0,186480.0,0,2,inf,51.4303,inf,324.46,inf,57.703,inf,0.0843428,inf,0.0841902,inf,0.0851813,1
,1921,0.00032010419299833317,6001171,0.9604992092376637,1,0.3549007352065122,0.9604992092376637,0.34088180456780853,0.3549007352065122,0.34088180456780853,0,0,1,0,2045690.0,0,1,inf,56.1483,inf,3179.12,inf,76.446,inf,0.105077,inf,949.509,inf,0.107524,1
,634,0.00010564604807961646,6001171,0.3169997988725867,1,1.0,0.3169997988725867,0.3169997988725867,1.0,0.3169997988725867,0,0,1,0,1902370.0,0,0,inf,59.9392,inf,3361.76,inf,122.391,inf,0.0886957,inf,1285.05,inf,0.0898384,1
,204,3.399336562814157e-05,6001171,0.10199992634770781,1,0.41813839332356967,0.10199992634770781,0.04265017610729639,0.41813839332356967,0.04265017610729639,0,0,1,0,255951.0,0,2,inf,52.9249,inf,665.436,inf,78.6341,inf,0.0832228,inf,343.153,inf,0.0839896,1
,640,0.00010664585295103239,6001171,0.31999921348683447,1,1.0,0.31999921348683447,0.31999921348683447,1.0,0.31999921348683447,0,0,1,0,1920370.0,0,0,inf,59.9757,inf,3387.43,inf,122.414,inf,0.0887721,inf,1291.53,inf,0.0899203,1
