query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
99ed2cf9cd73bfd7b5f400f9486b9645,1654,0.00027561287622032433,6001171,0.5000297441949246,1,0.19229547033403982,0.5000297441949246,0.09614773516701991,0.19229547033403982,0.09614773516701991,0,0,1,0,793314,0,1,10000214436.56,214436.56,10043099763.04,43099763.04,10000381294.09,381294.09,-1,-1,-1,-1,-1,-1,1
4fb35bab750a3ef3ee8e1e92a82c31c9,278,4.6324292375604696e-05,6001171,0.5000297441949246,1,1.0,0.5000297441949246,0.5000297441949246,1.0,0.5000297441949246,0,0,1,0,693443,0,0,10000363168.66,363168.66,10037678208.45,37678208.45,10001347070.14,1347070.14,-1,-1,-1,-1,-1,-1,1
cb884ecd17ef9ccc5db06b0a32ba4faa,2363,0.0003937564851926399,6001171,0.5000297441949246,1,0.3653818563077106,0.5000297441949246,0.18269101147092792,0.3653818563077106,0.18269101147092792,0,0,1,0,2153531,0,2,10000285252.33,285252.33,10116750141.77,116750141.77,10000617715.22,617715.22,-1,-1,-1,-1,-1,-1,1
aa188d725cf6d0a613a1b54c29cc77d4,2223,0.00037042770485960156,6001171,0.5000297441949246,1,0.1228531898191203,0.5000297441949246,0.06142667822663277,0.1228531898191203,0.06142667822663277,0,0,1,0,681187,0,1,10000202233.21,202233.21,10037029798.07,37029798.07,10000298577.22,298577.22,-1,-1,-1,-1,-1,-1,1
f6b369fde0c5d553728f7199dabba0f2,538,8.96491701369616e-05,6001171,0.5000297441949246,1,1.0,0.5000297441949246,0.5000297441949246,1.0,0.5000297441949246,0,0,1,0,1341988,0,0,10000371451.31,371451.31,10072787167.87,72787167.87,10001356834.65,1356834.65,-1,-1,-1,-1,-1,-1,1
68163914ad60d08fd3f3f079f40ea57a,1941,0.0003234368759030529,6001171,0.5000297441949246,1,0.38317188428724996,0.5000297441949246,0.19158594214362498,0.38317188428724996,0.19158594214362498,0,0,1,0,1855067,0,1,10000268201.41,268201.41,10100577777.1,100577777.1,10000621277.82,621277.82,-1,-1,-1,-1,-1,-1,1
c3a2381033853e283575dbd0bde527a5,1872,0.0003119391198817697,6001171,0.5000297441949246,1,0.17841501267002724,0.5000297441949246,0.08920758965208624,0.17841501267002724,0.08920758965208624,0,0,1,0,833063,0,2,10000228357.5,228357.5,10045266580.26,45266580.26,10000380296.23,380296.23,-1,-1,-1,-1,-1,-1,1
c9677f06beba7393a79a481ffe105ec2,756,0.000125975413798407,6001171,0.5000297441949246,1,0.16645651323716654,0.5000297441949246,0.08322825661858327,0.16645651323716654,0.08322825661858327,0,0,1,0,313880,0,2,10000212909.91,212909.91,10017160559.77,17160559.77,10000359931.92,359931.92,-1,-1,-1,-1,-1,-1,1
69817c9e131676494ec30c99d650c608,640,0.00010664585295103239,6001171,0.5000297441949246,1,0.17646772604879948,0.5000297441949246,0.08823377970732713,0.17646772604879948,0.08823377970732713,0,0,1,0,281699,0,2,10000213935.04,213935.04,10015418472.78,15418472.78,10000371096.32,371096.32,-1,-1,-1,-1,-1,-1,1
ddadf965e2128cb5279b0b408ee93a65,1208,0.00020129404744507364,6001171,0.5000297441949246,1,0.10693046407109545,0.5000297441949246,0.053465232035547726,0.10693046407109545,0.053465232035547726,0,0,1,0,322188,0,2,10000203270.66,200924.27,10017610339.2,17610339.2,10000265051.64,262705.25,-1,-1,-1,-1,-1,-1,1
