query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,68269,0.341345,200000,0.290228,0.11518,0.597365,0.033595599999999996,0.1744765,0.089022,0.0260606,0,1,0,1,6133.58,2,1,123.229,124.93,125.068,226.252,123.247,124.972,122.884,122.884,122.849,122.849,122.903,122.903,0
,86294,0.43147,200000,0.3519595,0.147075,1.0,0.0519705,0.3519595,0.147075,0.0519705,0,1,0,1,12745.1,3,0,123.655,125.292,126.425,393.734,123.709,125.39,123.215,123.215,123.176,123.176,123.26,123.26,0
,80187,0.400935,200000,0.33165550000000005,0.183485,0.4977165,0.061047,0.1661225,0.129447,0.0432257,0,1,0,1,10453.3,2,2,123.613,125.184,126.929,399.108,123.665,125.273,123.106,123.106,123.065,123.065,123.159,123.159,0
,82458,0.41229,200000,0.3392775,0.150615,1.0,0.0512955,0.3392775,0.150615,0.0512955,0,1,0,1,12468.7,2,0,123.591,125.221,126.339,394.134,123.647,125.322,123.146,123.146,123.106,123.106,123.189,123.189,0
,37620,0.1881,200000,0.1718395,0.33528,1.0,0.057872,0.1718395,0.33528,0.057872,0,1,0,1,12671.1,2,0,123.163,124.44,127.038,730.988,123.299,124.695,122.332,122.332,122.292,122.292,122.376,122.376,0
,47955,0.239775,200000,0.213767,0.84039,0.597365,0.17974700000000002,0.1285105,0.54762,0.11787299999999999,0,1,0,1,26445.4,1,1,124.474,124.784,135.703,3274.62,124.744,125.269,122.543,122.543,122.48,122.48,122.701,122.701,0
,68756,0.34378,200000,0.29196900000000003,0.08219,1.0,0.024013850000000003,0.29196900000000003,0.08219,0.024013850000000003,0,1,0,1,5655.07,3,0,123.164,124.925,124.451,191.895,123.174,124.956,122.891,122.891,122.858,122.858,122.899,122.899,0
,49867,0.249335,200000,0.221293,0.38484,0.41902550000000005,0.08554700000000001,0.0933185,0.2491155,0.0555695,0,1,0,1,12525.2,1,2,123.488,124.672,128.716,811.02,123.598,124.866,122.56,122.56,122.515,122.515,122.63,122.63,0
,58147,0.290735,200000,0.253083,0.048135,0.87885,0.01213685,0.2238385,0.04512505,0.011459200000000001,0,1,0,1,2631.95,1,1,122.885,124.715,123.527,143.203,122.883,124.719,122.696,122.696,122.665,122.665,122.699,122.699,4
,20007,0.100035,200000,0.0953095,0.69143,1.0,0.0659125,0.0953095,0.69143,0.0659125,0,1,0,1,13836.9,1,0,123.591,124.186,129.758,1488.43,123.883,124.761,122.013,122.013,121.973,121.973,122.062,122.062,0
