query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
e3a72de2bb0d222097b303740ee5ee0e,68269,0.341345,200000,0.5,0.113365,0.5937,0.05668,0.29685,0.067305,0.03365,0,1,0,1,4595,2,1,1366961.55,1373450.74,1414355.22,15157549.3,1377651.16,1384974.44,-1,-1,-1,-1,-1,-1,0
7ceb5d1010a0a9149d03b4fbb4e2f37b,86294,0.43147,200000,0.5,0.14447,1.0,0.072235,0.5,0.14447,0.072235,0,1,0,1,12467,3,0,1373140.81,1379394.02,1423142.41,87530611.35,1381907.29,1392201.55,-1,-1,-1,-1,-1,-1,0
72c2d721ef4e533b62fe4e015bd22d2f,80187,0.400935,200000,0.5,0.18191,0.495035,0.090955,0.24752,0.09005,0.045025,0,1,0,1,7221,2,2,1368388.62,1374585.07,1420365.71,23036550.1,1381033.33,1388385.38,-1,-1,-1,-1,-1,-1,0
08655e0b0afba7345d29b034262dcd3d,82458,0.41229,200000,0.5,0.14784,1.0,0.07392,0.5,0.14784,0.07392,0,1,0,1,12191,2,0,1372801.38,1378584.27,1421066.21,85605653.63,1381058.71,1390993.45,-1,-1,-1,-1,-1,-1,0
224e57106bb357ffcc08402c1f2b09ad,37620,0.1881,200000,0.5,0.33315,1.0,0.166575,0.5,0.33315,0.166575,0,1,0,1,12533,2,0,649748.73,653576.36,676396.93,87228970.65,650765.58,664581.54,-1,-1,-1,-1,-1,-1,0
006dae3c697ffe38d249f9e85078b73d,47955,0.239775,200000,0.5,0.839165,0.5937,0.41958,0.29685,0.498215,0.24911,0,1,0,1,23892,1,1,1380498.67,1379237.46,1404332.26,166415952.25,1381235.91,1395137.92,-1,-1,-1,-1,-1,-1,1
3c408eb4c0e5b78fa7a9455f10572f7a,68756,0.34378,200000,0.5,0.080115,1.0,0.04006,0.5,0.080115,0.04006,0,1,0,1,5508,3,0,1366657.92,1373514.41,1414592.63,17898202.09,1377413.34,1385296.49,-1,-1,-1,-1,-1,-1,0
a1a4d45e89df1727c045cc9c6b701b73,49867,0.249335,200000,0.5,0.38302,0.414535,0.19151,0.20727,0.158775,0.07939,0,1,0,1,7918,1,2,1372660.28,1376247.55,1405384.24,56092583.59,1376797.41,1384956.11,-1,-1,-1,-1,-1,-1,0
29a4ad650ec87a4f226a982135f6f291,58147,0.290735,200000,0.5,0.04736,0.874465,0.02368,0.43723,0.041415,0.02071,0,1,0,1,2408,1,1,1365705.36,1372396.0,1409275.38,8596545.05,1374761.3,1381922.2,-1,-1,-1,-1,-1,-1,0
030d115758b1f34e09fafef540ae1dc0,20007,0.100035,200000,0.5,0.691475,1.0,0.34574,0.5,0.691475,0.34574,0,1,0,1,13834,1,0,627902.5,627875.77,640467.8,62874001.11,621870.73,643294.48,-1,-1,-1,-1,-1,-1,4
