query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,685,0.3425,2000,0.2890495,0.3915,0.0005,0.1131935,0.0005,0.0005,0.0005,0,1,0,1,1.0,2,1,121.735,121.747,121.724,121.712,121.719,121.731,121.651,121.651,121.622,121.622,121.651,121.651,3
,278,0.139,2000,0.1296065,0.0855,1.0,0.01108695,0.1296065,0.0855,0.01108695,0,1,0,1,23.772,3,0,121.692,121.678,121.653,121.682,121.708,121.723,121.611,121.611,121.614,121.614,121.644,121.644,2
,601,0.3005,2000,0.2587985,0.8425,0.0005,0.2178425,0.0005,0.0005,0.0005,0,1,0,1,1.0,1,1,121.743,121.745,121.795,121.735,121.726,121.729,121.649,121.649,121.62,121.62,121.65,121.65,4
,88,0.044,2000,0.043035649999999995,0.149,0.0005,0.00643205,0.0005,0.0005,0.0005,0,1,0,1,1.0,3,1,121.72,121.735,121.653,121.618,121.703,121.719,121.639,121.639,121.611,121.581,121.64,121.64,3
,73,0.0365,2000,0.03583625,0.0295,1.0,0.00106847,0.03583625,0.0295,0.00106847,0,1,0,1,2.17699,2,0,121.688,121.677,121.643,121.61,121.701,121.719,121.61,121.61,121.611,121.581,121.64,121.64,3
,756,0.378,2000,0.313627,0.064,1.0,0.0201163,0.313627,0.064,0.0201163,0,1,0,1,48.5148,2,0,121.693,121.681,121.664,121.695,121.715,121.732,121.613,121.613,121.623,121.623,121.652,121.652,2
,851,0.4255,2000,0.345151,0.399,0.0005,0.13763650000000002,0.0005,0.0005,0.0005,0,1,0,1,1.0,1,1,121.738,121.75,121.739,121.723,121.722,121.734,121.654,121.654,121.625,121.625,121.654,121.654,4
,148,0.074,2000,0.07128749999999999,0.007,0.0005,0.0005,0.0005,0.0005,0.0005,0,1,0,1,1.0,3,1,121.747,121.737,121.644,121.607,121.73,121.72,121.641,121.641,121.612,121.581,121.641,121.641,3
,640,0.32,2000,0.273005,0.728,0.0005,0.1986135,0.0005,0.0005,0.0005,0,1,0,1,1.0,1,2,121.741,121.746,121.781,121.731,121.725,121.73,121.65,121.65,121.621,121.621,121.651,121.651,4
,676,0.338,2000,0.28587,0.258,1.0,0.073801,0.28587,0.258,0.073801,0,1,0,1,174.587,3,0,121.734,121.747,121.698,121.766,121.718,121.731,121.65,121.65,121.622,121.622,121.651,121.651,2
,803,0.4015,2000,0.329414,0.9355,1.0,0.308084,0.329414,0.9355,0.308084,0,1,0,1,750.956,1,0,121.753,121.754,121.846,122.763,121.738,121.737,121.653,121.653,121.624,121.624,121.654,121.654,5
,54,0.027,2000,0.0266374,0.2125,1.0,0.00567515,0.0266374,0.2125,0.00567515,0,1,0,1,11.5049,2,0,121.663,121.677,121.655,121.639,121.705,121.719,121.61,121.61,121.61,121.581,121.639,121.639,3
,274,0.137,2000,0.1278695,0.179,0.0005,0.02295015,0.0005,0.0005,0.0005,0,1,0,1,1.0,1,2,121.724,121.739,121.665,121.683,121.707,121.723,121.643,121.643,121.614,121.614,121.644,121.644,2
,889,0.4445,2000,0.357339,0.019,0.0005,0.006871400000000001,0.0005,0.0005,0.0005,0,1,0,1,1.0,2,1,121.761,121.75,121.66,121.691,121.744,121.734,121.654,121.654,121.625,121.625,121.655,121.655,2
,871,0.4355,2000,0.35159500000000005,0.0395,0.0005,0.013889150000000001,0.0005,0.0005,0.0005,0,1,0,1,1.0,3,2,121.761,121.75,121.662,121.692,121.744,121.734,121.654,121.654,121.625,121.625,121.654,121.654,2
,909,0.4545,2000,0.36366000000000004,0.0185,1.0,0.0068041,0.36366000000000004,0.0185,0.0068041,0,1,0,1,17.1238,2,0,121.692,121.681,121.66,121.691,121.716,121.734,121.613,121.613,121.626,121.626,121.655,121.655,2
,775,0.3875,2000,0.3200545,0.464,1.0,0.1482875,0.3200545,0.464,0.1482875,0,1,0,1,359.138,1,0,121.741,121.75,121.746,121.96,121.725,121.734,121.652,121.652,121.623,121.623,121.653,121.653,4
,132,0.066,2000,0.063838,0.5655,1.0,0.0360549,0.063838,0.5655,0.0360549,0,1,0,1,74.5535,1,0,121.671,121.679,121.696,121.742,121.715,121.722,121.611,121.611,121.612,121.612,121.641,121.641,0
,847,0.4235,2000,0.343854,0.374,0.0005,0.128591,0.0005,0.0005,0.0005,0,1,0,1,1.0,1,2,121.738,121.75,121.733,121.72,121.722,121.734,121.653,121.653,121.625,121.625,121.654,121.654,3
,910,0.455,2000,0.36397399999999996,0.061,0.0005,0.0222527,0.0005,0.0005,0.0005,0,1,0,1,1.0,2,1,121.763,121.75,121.668,121.695,121.746,121.734,121.654,121.654,121.626,121.626,121.655,121.655,2
,170,0.085,2000,0.081431,0.44,0.0005,0.03582425,0.0005,0.0005,0.0005,0,1,0,1,1.0,1,1,121.726,121.737,121.687,121.624,121.71,121.721,121.641,121.641,121.612,121.582,121.642,121.642,3
,257,0.1285,2000,0.120446,0.1425,0.0005,0.0172326,0.0005,0.0005,0.0005,0,1,0,1,1.0,2,2,121.723,121.739,121.66,121.681,121.706,121.722,121.643,121.643,121.614,121.614,121.643,121.643,2
,388,0.194,2000,0.17601650000000002,0.2105,0.0005,0.0371419,0.0005,0.0005,0.0005,0,1,0,1,1.0,3,1,121.727,121.741,121.674,121.688,121.71,121.725,121.645,121.645,121.616,121.616,121.646,121.646,2
,384,0.192,2000,0.174374,0.0345,0.0005,0.0060986,0.0005,0.0005,0.0005,0,1,0,1,1.0,1,2,121.752,121.741,121.65,121.681,121.735,121.725,121.645,121.645,121.616,121.616,121.645,121.645,2
,384,0.192,2000,0.174374,0.2005,0.0005,0.035020499999999996,0.0005,0.0005,0.0005,0,1,0,1,1.0,3,2,121.727,121.741,121.673,121.688,121.71,121.725,121.645,121.645,121.616,121.616,121.646,121.646,2
,943,0.4715,2000,0.374258,0.895,0.0005,0.3349275,0.0005,0.0005,0.0005,0,1,0,1,1.0,1,2,121.75,121.752,121.859,121.775,121.734,121.736,121.656,121.656,121.626,121.626,121.657,121.657,4
,42,0.021,2000,0.020781400000000002,0.4695,0.0005,0.009738450000000001,0.0005,0.0005,0.0005,0,1,0,1,1.0,3,2,121.725,121.735,121.672,121.618,121.708,121.718,121.639,121.639,121.61,121.581,121.639,121.639,3
,12,0.006,2000,0.0059831500000000004,0.4475,0.0005,0.002674945,0.0005,0.0005,0.0005,0,1,0,1,1.0,3,2,121.724,121.734,121.651,121.616,121.707,121.718,121.638,121.638,121.61,121.581,121.639,121.639,3
,276,0.138,2000,0.12873849999999998,0.2105,1.0,0.02716655,0.12873849999999998,0.2105,0.02716655,0,1,0,1,58.2466,3,0,121.665,121.679,121.669,121.7,121.709,121.723,121.611,121.611,121.614,121.614,121.644,121.644,0
,489,0.2445,2000,0.216393,0.3475,0.614515,0.0752235,0.1329765,0.2724085,0.0589685,0,1,0,1,133.304,2,1,121.732,121.744,121.701,121.765,121.716,121.728,121.647,121.647,121.618,121.618,121.648,121.648,2
,516,0.258,2000,0.2268385,0.05,1.0,0.0113497,0.2268385,0.05,0.0113497,0,1,0,1,25.8419,3,0,121.692,121.679,121.655,121.686,121.71,121.727,121.612,121.612,121.619,121.619,121.648,121.648,2
,297,0.1485,2000,0.1378105,0.478,1.0,0.065739,0.1378105,0.478,0.065739,0,1,0,1,141.687,1,0,121.731,121.741,121.703,121.788,121.716,121.725,121.643,121.643,121.615,121.615,121.644,121.644,2
,411,0.2055,2000,0.185395,0.3635,1.0,0.0673825,0.185395,0.3635,0.0673825,0,1,0,1,149.419,3,0,121.731,121.743,121.698,121.772,121.716,121.727,121.645,121.645,121.617,121.617,121.646,121.646,2
,830,0.415,2000,0.3383135,0.006,0.0005,0.001958935,0.0005,0.0005,0.0005,0,1,0,1,1.0,3,1,121.76,121.749,121.657,121.688,121.743,121.733,121.653,121.653,121.624,121.624,121.654,121.654,2
,599,0.2995,2000,0.2580625,0.177,1.0,0.045783250000000004,0.2580625,0.177,0.045783250000000004,0,1,0,1,106.317,2,0,121.73,121.745,121.68,121.721,121.714,121.729,121.649,121.649,121.62,121.62,121.65,121.65,2
,529,0.2645,2000,0.231817,0.537,0.43342,0.1242365,0.10047400000000001,0.3176115,0.0734805,0,1,0,1,167.695,1,1,121.737,121.745,121.735,121.839,121.721,121.729,121.648,121.648,121.619,121.619,121.649,121.649,4
,26,0.013,2000,0.01291725,0.5215,0.0005,0.00672355,0.0005,0.0005,0.0005,0,1,0,1,1.0,1,1,121.726,121.734,121.666,121.617,121.709,121.718,121.638,121.638,121.61,121.581,121.639,121.639,3
,118,0.059,2000,0.05727,0.19,1.0,0.01092125,0.05727,0.19,0.01092125,0,1,0,1,22.504,2,0,121.663,121.678,121.658,121.658,121.705,121.72,121.61,121.61,121.611,121.581,121.641,121.641,2
,929,0.4645,2000,0.3699165,0.234,0.0005,0.0866495,0.0005,0.0005,0.0005,0,1,0,1,1.0,1,1,121.737,121.751,121.708,121.712,121.72,121.735,121.655,121.655,121.626,121.626,121.656,121.656,2
,470,0.235,2000,0.2089555,0.068,1.0,0.0142375,0.2089555,0.068,0.0142375,0,1,0,1,32.0272,2,0,121.692,121.679,121.657,121.687,121.71,121.726,121.612,121.612,121.618,121.618,121.647,121.647,2
,592,0.296,2000,0.25548,0.2115,0.0005,0.0541645,0.0005,0.0005,0.0005,0,1,0,1,1.0,2,2,121.73,121.745,121.685,121.696,121.714,121.729,121.649,121.649,121.62,121.62,121.649,121.649,2
,167,0.0835,2000,0.0800545,0.423,0.0005,0.03387055,0.0005,0.0005,0.0005,0,1,0,1,1.0,2,2,121.726,121.737,121.685,121.624,121.71,121.721,121.641,121.641,121.612,121.581,121.642,121.642,3
,382,0.191,2000,0.1735515,0.966,0.0005,0.167662,0.0005,0.0005,0.0005,0,1,0,1,1.0,1,2,121.741,121.741,121.779,121.717,121.724,121.725,121.645,121.645,121.616,121.616,121.646,121.646,3
,235,0.1175,2000,0.1107435,0.854,0.0005,0.094501,0.0005,0.0005,0.0005,0,1,0,1,1.0,1,2,121.736,121.738,121.741,121.638,121.719,121.722,121.642,121.642,121.614,121.582,121.643,121.643,3
,710,0.355,2000,0.2978055,0.482,1.0,0.143261,0.2978055,0.482,0.143261,0,1,0,1,341.649,1,0,121.74,121.749,121.743,121.954,121.725,121.733,121.651,121.651,121.622,121.622,121.652,121.652,4
,213,0.1065,2000,0.1009315,0.1405,1.0,0.0142272,0.1009315,0.1405,0.0142272,0,1,0,1,30.03,3,0,121.662,121.678,121.658,121.658,121.706,121.722,121.611,121.611,121.613,121.582,121.642,121.642,2
